case_id,person_id,true_role
CASE008,P0667,False Lead
CASE008,P0408,False Lead
CASE008,P0505,False Lead
CASE008,P0043,False Lead
CASE008,P0085,False Lead
CASE008,P0220,Associate
CASE008,P0004,Associate
CASE008,P0066,Associate
CASE008,P0414,Vehicle Provider
CASE008,P0954,Unrelated Person
CASE008,P0722,Logistics Coordinator
CASE008,P0463,Operational Member
CASE008,P0945,Communicator
CASE008,P0662,Operational Member
CASE008,P0298,Vehicle Provider
CASE008,P0876,Communicator
CASE008,P0941,Operational Member
CASE008,P0593,Vehicle Provider
CASE008,P0885,Associate
CASE008,P0459,Vehicle Provider
CASE008,P0736,Unrelated Person
CASE008,P0218,Document Handler
CASE008,P0108,Operational Member
CASE008,P0377,Associate
CASE008,P0844,Recruiter
CASE008,P0490,Communicator
CASE008,P0205,Operational Member
CASE008,P0351,Vehicle Provider
CASE008,P0135,Recruiter
CASE008,P0001,Document Handler
CASE008,P0902,Vehicle Provider
CASE008,P0926,Communicator
CASE008,P0154,Logistics Coordinator
CASE008,P0966,Associate
CASE008,P0763,Recruiter
CASE008,P0195,Vehicle Provider
CASE008,P0447,Vehicle Provider
CASE008,P0470,Logistics Coordinator
CASE008,P0188,Document Handler
CASE008,P0806,Recruiter
CASE008,P0774,Vehicle Provider
CASE008,P0023,Vehicle Provider
CASE008,P0555,Vehicle Provider
CASE008,P0996,Logistics Coordinator
CASE008,P0661,Operational Member
CASE008,P0760,Vehicle Provider
CASE008,P0212,Recruiter
CASE008,P0746,Vehicle Provider
CASE008,P0333,Unrelated Person
CASE008,P0669,Logistics Coordinator
CASE008,P0908,Document Handler
CASE008,P0777,Unrelated Person
CASE008,P0528,Vehicle Provider
CASE008,P0586,Recruiter
CASE008,P0451,Logistics Coordinator
CASE008,P0617,Unrelated Person
CASE008,P0318,Associate
CASE008,P0035,Operational Member
CASE008,P0674,Vehicle Provider
CASE008,P0375,Document Handler
CASE008,P0148,Vehicle Provider
CASE008,P0860,Unrelated Person
CASE008,P0964,Associate
CASE008,P0424,Communicator
CASE008,P0289,Operational Member
CASE008,P0293,Communicator
CASE008,P0805,Associate
CASE008,P0049,Operational Member
CASE008,P0301,Communicator
CASE008,P0171,Associate
CASE009,P0763,Coordinator
CASE009,P0399,Financial Intermediary
CASE009,P0029,False Lead
CASE009,P0440,False Lead
CASE009,P0008,False Lead
CASE009,P0798,False Lead
CASE009,P0083,False Lead
CASE009,P0247,False Lead
CASE009,P0228,False Lead
CASE009,P0967,Associate
CASE009,P0979,Recruiter
CASE009,P0013,Recruiter
CASE009,P0351,Vehicle Provider
CASE009,P0838,Logistics Coordinator
CASE009,P0016,Operational Member
CASE009,P0472,Document Handler
CASE009,P0529,Recruiter
CASE009,P0137,Unrelated Person
CASE009,P0141,Recruiter
CASE009,P0858,Associate
CASE009,P0012,Recruiter
CASE009,P0871,Document Handler
CASE009,P0055,Unrelated Person
CASE009,P0725,Logistics Coordinator
CASE009,P0208,Operational Member
CASE009,P0124,Logistics Coordinator
CASE009,P0430,Logistics Coordinator
CASE009,P0547,Unrelated Person
CASE009,P0225,Logistics Coordinator
CASE009,P0125,Operational Member
CASE009,P0670,Operational Member
CASE009,P0340,Vehicle Provider
CASE009,P0282,Associate
CASE009,P0374,Communicator
CASE009,P0517,Vehicle Provider
CASE009,P0814,Logistics Coordinator
CASE009,P0599,Communicator
CASE009,P0905,Unrelated Person
CASE009,P0426,Recruiter
CASE009,P0380,Associate
CASE009,P0103,Recruiter
CASE009,P0964,Vehicle Provider
CASE009,P0076,Recruiter
CASE009,P0315,Vehicle Provider
CASE009,P0255,Operational Member
CASE009,P0740,Communicator
CASE009,P0505,Associate
CASE009,P0332,Recruiter
CASE009,P0445,Associate
CASE009,P0140,Operational Member
CASE009,P0400,Communicator
CASE009,P0886,Operational Member
CASE009,P0538,Logistics Coordinator
CASE009,P0164,Unrelated Person
CASE009,P0709,Document Handler
CASE009,P0397,Associate
CASE009,P0248,Associate
CASE009,P0609,Operational Member
CASE009,P0436,Associate
CASE009,P0200,Communicator
CASE009,P0133,Logistics Coordinator
CASE009,P0567,Recruiter
CASE009,P0323,Communicator
CASE009,P0755,Document Handler
CASE009,P0041,Vehicle Provider
CASE009,P0250,Recruiter
CASE009,P0826,Logistics Coordinator
CASE009,P0840,Logistics Coordinator
CASE009,P0990,Unrelated Person
CASE009,P0421,Recruiter
CASE009,P0787,Document Handler
CASE009,P0376,Recruiter
CASE009,P0572,Associate
CASE009,P0651,Document Handler
CASE009,P0153,Associate
CASE009,P0658,Unrelated Person
CASE009,P0294,Recruiter
CASE009,P0861,Logistics Coordinator
CASE009,P0827,Communicator
CASE010,P0288,Coordinator
CASE010,P0534,Financial Intermediary
CASE010,P0440,False Lead
CASE010,P0746,False Lead
CASE010,P0141,False Lead
CASE010,P0960,False Lead
CASE010,P0978,Recruiter
CASE010,P0730,Logistics Coordinator
CASE010,P0231,Associate
CASE010,P0794,Recruiter
CASE010,P0353,Associate
CASE010,P0210,Associate
CASE010,P0006,Vehicle Provider
CASE010,P0720,Associate
CASE010,P0815,Vehicle Provider
CASE010,P0694,Associate
CASE010,P0319,Operational Member
CASE010,P0129,Logistics Coordinator
CASE010,P0510,Vehicle Provider
CASE010,P0967,Unrelated Person
CASE010,P0486,Document Handler
CASE010,P0061,Vehicle Provider
CASE010,P0124,Logistics Coordinator
CASE010,P0809,Logistics Coordinator
CASE010,P0159,Unrelated Person
CASE010,P0506,Communicator
CASE010,P0814,Operational Member
CASE010,P0436,Document Handler
CASE010,P0499,Recruiter
CASE010,P0832,Logistics Coordinator
CASE010,P0076,Operational Member
CASE010,P0594,Document Handler
CASE010,P0428,Operational Member
CASE010,P0280,Logistics Coordinator
CASE010,P0144,Logistics Coordinator
CASE010,P0999,Document Handler
CASE010,P0983,Unrelated Person
CASE010,P0939,Logistics Coordinator
CASE010,P0028,Unrelated Person
CASE010,P0830,Associate
CASE010,P0085,Vehicle Provider
CASE010,P0416,Recruiter
CASE010,P0840,Unrelated Person
CASE010,P0807,Vehicle Provider
CASE010,P0565,Communicator
CASE010,P0904,Recruiter
CASE011,P0649,Coordinator
CASE011,P0510,Financial Intermediary
CASE011,P0437,False Lead
CASE011,P0137,Communicator
CASE011,P0361,Document Handler
CASE011,P0705,Logistics Coordinator
CASE011,P0402,Communicator
CASE011,P0842,Communicator
CASE011,P0549,Associate
CASE011,P0587,Operational Member
CASE011,P0794,Document Handler
CASE011,P0416,Logistics Coordinator
CASE011,P0034,Associate
CASE012,P0174,Coordinator
CASE012,P0927,Financial Intermediary
CASE012,P0096,False Lead
CASE012,P0235,Unrelated Person
CASE012,P0670,Vehicle Provider
CASE012,P0715,Vehicle Provider
CASE012,P0637,Recruiter
CASE012,P0257,Recruiter
CASE013,P0196,Coordinator
CASE013,P0325,Financial Intermediary
CASE013,P0759,False Lead
CASE013,P0309,Document Handler
CASE013,P0383,Associate
CASE013,P0344,Recruiter
CASE013,P0443,Unrelated Person
CASE013,P0517,Operational Member
CASE014,P0454,Coordinator
CASE014,P0801,Financial Intermediary
CASE014,P0807,False Lead
CASE014,P0843,False Lead
CASE014,P0233,Operational Member
CASE014,P0754,Unrelated Person
CASE014,P0842,Logistics Coordinator
CASE014,P0026,Communicator
CASE014,P0234,Logistics Coordinator
CASE014,P0666,Communicator
CASE014,P0610,Operational Member
CASE014,P0332,Logistics Coordinator
CASE014,P0889,Recruiter
CASE014,P0703,Associate
CASE014,P0643,Logistics Coordinator
CASE014,P0414,Communicator
CASE014,P0861,Communicator
CASE014,P0266,Unrelated Person
CASE014,P0627,Operational Member
CASE014,P0342,Recruiter
CASE014,P0168,Unrelated Person
CASE014,P0697,Communicator
CASE014,P0171,Vehicle Provider
CASE014,P0001,Communicator
CASE014,P0691,Unrelated Person
CASE014,P0116,Recruiter
CASE014,P0616,Operational Member
CASE014,P0449,Document Handler
CASE014,P0502,Operational Member
CASE015,P0930,Coordinator
CASE015,P0261,Financial Intermediary
CASE015,P0611,False Lead
CASE015,P0587,Logistics Coordinator
CASE015,P0046,Recruiter
CASE016,P0486,Coordinator
CASE016,P0704,Financial Intermediary
CASE016,P0547,False Lead
CASE016,P0343,False Lead
CASE016,P0452,False Lead
CASE016,P0730,False Lead
CASE016,P0099,Vehicle Provider
CASE016,P0130,Recruiter
CASE016,P0550,Operational Member
CASE016,P0979,Operational Member
CASE016,P0591,Logistics Coordinator
CASE016,P0319,Vehicle Provider
CASE016,P0566,Logistics Coordinator
CASE016,P0926,Operational Member
CASE016,P0875,Operational Member
CASE016,P0962,Vehicle Provider
CASE016,P0861,Associate
CASE016,P0859,Associate
CASE016,P0801,Associate
CASE016,P0913,Communicator
CASE016,P0729,Operational Member
CASE016,P0355,Document Handler
CASE016,P0092,Operational Member
CASE016,P0826,Operational Member
CASE016,P0737,Unrelated Person
CASE016,P0521,Logistics Coordinator
CASE016,P0786,Associate
CASE016,P0909,Unrelated Person
CASE016,P0029,Unrelated Person
CASE016,P0150,Logistics Coordinator
CASE016,P0189,Operational Member
CASE016,P0384,Associate
CASE016,P0002,Operational Member
CASE016,P0906,Operational Member
CASE016,P0534,Recruiter
CASE016,P0489,Associate
CASE016,P0889,Associate
CASE016,P0447,Operational Member
CASE016,P0956,Unrelated Person
CASE016,P0210,Associate
CASE016,P0829,Associate
CASE016,P0076,Communicator
CASE016,P0732,Recruiter
CASE016,P0032,Document Handler
CASE017,P0186,Coordinator
CASE017,P0723,Financial Intermediary
CASE017,P0026,False Lead
CASE017,P0870,False Lead
CASE017,P0511,False Lead
CASE017,P0219,False Lead
CASE017,P0695,Operational Member
CASE017,P0727,Vehicle Provider
CASE017,P0139,Document Handler
CASE017,P0862,Vehicle Provider
CASE017,P0318,Operational Member
CASE017,P0624,Vehicle Provider
CASE017,P0313,Communicator
CASE017,P0730,Recruiter
CASE017,P0579,Communicator
CASE017,P1000,Logistics Coordinator
CASE017,P0600,Recruiter
CASE017,P0450,Associate
CASE017,P0196,Recruiter
CASE017,P0359,Logistics Coordinator
CASE017,P0397,Document Handler
CASE017,P0953,Logistics Coordinator
CASE017,P0463,Communicator
CASE017,P0404,Vehicle Provider
CASE017,P0693,Unrelated Person
CASE017,P0748,Associate
CASE017,P0728,Logistics Coordinator
CASE017,P0029,Document Handler
CASE017,P0198,Logistics Coordinator
CASE017,P0970,Communicator
CASE017,P0356,Unrelated Person
CASE017,P0009,Document Handler
CASE017,P0775,Logistics Coordinator
CASE017,P0520,Operational Member
CASE017,P0043,Operational Member
CASE017,P0785,Associate
CASE017,P0456,Vehicle Provider
CASE017,P0806,Associate
CASE017,P0249,Logistics Coordinator
CASE017,P0287,Vehicle Provider
CASE017,P0550,Operational Member
CASE017,P0178,Unrelated Person
CASE017,P0814,Recruiter
CASE017,P0307,Recruiter
CASE018,P0772,Coordinator
CASE018,P0613,Financial Intermediary
CASE018,P0273,False Lead
CASE018,P0596,False Lead
CASE018,P0986,False Lead
CASE018,P0448,False Lead
CASE018,P0930,False Lead
CASE018,P0970,Communicator
CASE018,P0664,Communicator
CASE018,P0103,Communicator
CASE018,P0021,Vehicle Provider
CASE018,P0810,Unrelated Person
CASE018,P0728,Associate
CASE018,P0893,Vehicle Provider
CASE018,P0148,Vehicle Provider
CASE018,P0663,Document Handler
CASE018,P0732,Operational Member
CASE018,P0355,Associate
CASE018,P0552,Recruiter
CASE018,P0239,Document Handler
CASE018,P0277,Document Handler
CASE018,P0589,Operational Member
CASE018,P0585,Communicator
CASE018,P0120,Logistics Coordinator
CASE018,P0745,Vehicle Provider
CASE018,P0326,Vehicle Provider
CASE018,P0778,Recruiter
CASE018,P0535,Recruiter
CASE018,P0757,Communicator
CASE018,P0921,Document Handler
CASE018,P0924,Unrelated Person
CASE018,P0036,Recruiter
CASE018,P0248,Operational Member
CASE018,P0786,Communicator
CASE018,P0789,Associate
CASE018,P0918,Recruiter
CASE018,P0219,Operational Member
CASE018,P0673,Logistics Coordinator
CASE018,P0680,Unrelated Person
CASE018,P0393,Vehicle Provider
CASE018,P0012,Recruiter
CASE018,P0991,Logistics Coordinator
CASE018,P0776,Vehicle Provider
CASE018,P0665,Operational Member
CASE018,P0931,Associate
CASE018,P0246,Vehicle Provider
CASE018,P0005,Associate
CASE018,P0531,Document Handler
CASE018,P0466,Associate
CASE018,P0584,Associate
CASE018,P0163,Communicator
CASE018,P0746,Document Handler
CASE018,P0168,Vehicle Provider
CASE018,P0854,Document Handler
CASE019,P0888,Coordinator
CASE019,P0333,Financial Intermediary
CASE019,P0894,False Lead
CASE019,P0528,False Lead
CASE019,P0587,False Lead
CASE019,P0635,False Lead
CASE019,P0270,False Lead
CASE019,P0625,Bridge / Communicator
CASE019,P0406,Associate
CASE019,P0538,Logistics Coordinator
CASE019,P0283,Recruiter
CASE019,P0215,Unrelated Person
CASE019,P0498,Unrelated Person
CASE019,P0354,Logistics Coordinator
CASE019,P0772,Operational Member
CASE019,P0222,Operational Member
CASE019,P0547,Vehicle Provider
CASE019,P0257,Recruiter
CASE019,P0816,Vehicle Provider
CASE019,P0723,Logistics Coordinator
CASE019,P0242,Recruiter
CASE019,P0722,Communicator
CASE019,P0431,Operational Member
CASE019,P0458,Associate
CASE019,P0929,Recruiter
CASE019,P0404,Vehicle Provider
CASE019,P0052,Communicator
CASE019,P0228,Associate
CASE019,P0050,Communicator
CASE019,P0613,Associate
CASE019,P0582,Operational Member
CASE019,P0710,Recruiter
CASE019,P0703,Communicator
CASE019,P0998,Document Handler
CASE019,P0313,Operational Member
CASE019,P0759,Vehicle Provider
CASE019,P0741,Communicator
CASE019,P0933,Document Handler
CASE019,P0762,Logistics Coordinator
CASE019,P0734,Communicator
CASE019,P0777,Operational Member
CASE019,P0912,Unrelated Person
CASE019,P0295,Vehicle Provider
CASE019,P0438,Document Handler
CASE019,P0850,Unrelated Person
CASE019,P0990,Communicator
CASE019,P0687,Unrelated Person
CASE019,P0755,Logistics Coordinator
CASE019,P0733,Associate
CASE019,P0107,Unrelated Person
CASE019,P0823,Communicator
CASE019,P0532,Communicator
CASE019,P0463,Unrelated Person
CASE019,P0343,Associate
CASE019,P0291,Recruiter
CASE019,P0062,Unrelated Person
CASE019,P0649,Operational Member
CASE019,P0407,Vehicle Provider
CASE020,P0985,Coordinator
CASE020,P0820,Financial Intermediary
CASE020,P0572,False Lead
CASE020,P0023,False Lead
CASE020,P0826,False Lead
CASE020,P0494,False Lead
CASE020,P0038,False Lead
CASE020,P0674,False Lead
CASE020,P0543,False Lead
CASE020,P0850,Operational Member
CASE020,P0541,Communicator
CASE020,P0435,Operational Member
CASE020,P0565,Logistics Coordinator
CASE020,P0911,Unrelated Person
CASE020,P0714,Recruiter
CASE020,P0693,Associate
CASE020,P0951,Communicator
CASE020,P0273,Communicator
CASE020,P0065,Recruiter
CASE020,P0132,Vehicle Provider
CASE020,P0443,Document Handler
CASE020,P0214,Document Handler
CASE020,P0239,Vehicle Provider
CASE020,P1000,Document Handler
CASE020,P0041,Operational Member
CASE020,P0669,Logistics Coordinator
CASE020,P0206,Document Handler
CASE020,P0010,Document Handler
CASE020,P0817,Associate
CASE020,P0345,Vehicle Provider
CASE020,P0964,Communicator
CASE020,P0048,Recruiter
CASE020,P0763,Document Handler
CASE020,P0203,Document Handler
CASE020,P0397,Vehicle Provider
CASE020,P0789,Vehicle Provider
CASE020,P0950,Recruiter
CASE020,P0606,Communicator
CASE020,P0296,Recruiter
CASE020,P0487,Logistics Coordinator
CASE020,P0411,Unrelated Person
CASE020,P0949,Recruiter
CASE020,P0767,Communicator
CASE020,P0742,Operational Member
CASE020,P0975,Document Handler
CASE020,P0007,Unrelated Person
CASE020,P0502,Communicator
CASE020,P0191,Document Handler
CASE020,P0621,Document Handler
CASE020,P0930,Communicator
CASE020,P0125,Document Handler
CASE020,P0927,Logistics Coordinator
CASE020,P0707,Logistics Coordinator
CASE020,P0127,Communicator
CASE020,P0670,Associate
CASE020,P0842,Operational Member
CASE020,P0561,Associate
CASE020,P0195,Logistics Coordinator
CASE020,P0651,Associate
CASE020,P0066,Unrelated Person
CASE020,P0302,Document Handler
CASE020,P0255,Document Handler
CASE020,P0076,Recruiter
CASE020,P0406,Recruiter
CASE020,P0107,Operational Member
CASE020,P0448,Document Handler
CASE020,P0708,Unrelated Person
CASE020,P0802,Operational Member
CASE020,P0177,Logistics Coordinator
CASE020,P0071,Document Handler
CASE020,P0544,Recruiter
CASE020,P0620,Unrelated Person
CASE020,P0421,Recruiter
CASE020,P0907,Associate
CASE020,P0812,Associate
CASE021,P0801,Coordinator
CASE021,P0038,Financial Intermediary
CASE021,P0585,False Lead
CASE021,P0954,False Lead
CASE021,P0127,Recruiter
CASE021,P0113,Operational Member
CASE021,P0401,Communicator
CASE021,P0624,Recruiter
CASE021,P0591,Document Handler
CASE021,P0738,Associate
CASE021,P0328,Document Handler
CASE021,P0483,Logistics Coordinator
CASE021,P0132,Unrelated Person
CASE021,P0616,Recruiter
CASE021,P0431,Document Handler
CASE021,P0187,Operational Member
CASE021,P0922,Associate
CASE021,P0840,Document Handler
CASE021,P0090,Recruiter
CASE021,P0974,Logistics Coordinator
CASE021,P0938,Communicator
CASE021,P0942,Associate
CASE021,P0200,Communicator
CASE021,P0806,Unrelated Person
CASE021,P0763,Document Handler
CASE021,P0358,Logistics Coordinator
CASE022,P0875,Coordinator
CASE022,P0184,Financial Intermediary
CASE022,P0346,False Lead
CASE022,P0364,Associate
CASE022,P0277,Communicator
CASE022,P0498,Unrelated Person
CASE022,P0908,Associate
CASE022,P0504,Logistics Coordinator
CASE023,P0933,Coordinator
CASE023,P0760,Financial Intermediary
CASE023,P0060,False Lead
CASE023,P0191,False Lead
CASE023,P0084,False Lead
CASE023,P0101,False Lead
CASE023,P0334,False Lead
CASE023,P0431,False Lead
CASE023,P0992,False Lead
CASE023,P0892,Document Handler
CASE023,P0393,Recruiter
CASE023,P0246,Logistics Coordinator
CASE023,P0093,Logistics Coordinator
CASE023,P0536,Associate
CASE023,P0063,Unrelated Person
CASE023,P0678,Recruiter
CASE023,P0925,Document Handler
CASE023,P0624,Associate
CASE023,P0358,Recruiter
CASE023,P0315,Unrelated Person
CASE023,P0444,Communicator
CASE023,P0679,Communicator
CASE023,P0149,Vehicle Provider
CASE023,P0878,Communicator
CASE023,P0058,Logistics Coordinator
CASE023,P0434,Document Handler
CASE023,P0575,Associate
CASE023,P0915,Associate
CASE023,P0756,Unrelated Person
CASE023,P0048,Document Handler
CASE023,P0176,Unrelated Person
CASE023,P0346,Unrelated Person
CASE023,P0479,Document Handler
CASE023,P0182,Operational Member
CASE023,P0172,Communicator
CASE023,P0843,Operational Member
CASE023,P0245,Vehicle Provider
CASE023,P0596,Unrelated Person
CASE023,P0630,Communicator
CASE023,P0905,Unrelated Person
CASE023,P0081,Logistics Coordinator
CASE023,P0531,Associate
CASE023,P0714,Vehicle Provider
CASE023,P0857,Logistics Coordinator
CASE023,P0699,Operational Member
CASE023,P0024,Associate
CASE023,P0665,Operational Member
CASE023,P0526,Vehicle Provider
CASE023,P0303,Vehicle Provider
CASE023,P0123,Document Handler
CASE023,P0644,Vehicle Provider
CASE023,P0166,Vehicle Provider
CASE023,P0098,Logistics Coordinator
CASE023,P0380,Recruiter
CASE023,P0340,Recruiter
CASE023,P0397,Unrelated Person
CASE023,P0970,Document Handler
CASE023,P0386,Logistics Coordinator
CASE023,P0602,Operational Member
CASE023,P0914,Vehicle Provider
CASE023,P0518,Operational Member
CASE023,P0167,Associate
CASE023,P0208,Operational Member
CASE023,P0731,Unrelated Person
CASE023,P0594,Vehicle Provider
CASE023,P0898,Unrelated Person
CASE023,P0803,Recruiter
CASE023,P0522,Logistics Coordinator
CASE023,P0932,Operational Member
CASE023,P0675,Document Handler
CASE023,P0832,Operational Member
CASE023,P0827,Associate
CASE023,P0661,Logistics Coordinator
CASE023,P0552,Document Handler
CASE023,P0351,Document Handler
CASE023,P0629,Vehicle Provider
CASE023,P0353,Recruiter
CASE024,P0436,Coordinator
CASE024,P0429,Financial Intermediary
CASE024,P0352,False Lead
CASE024,P0364,False Lead
CASE024,P0565,False Lead
CASE024,P0878,False Lead
CASE024,P0404,False Lead
CASE024,P0967,False Lead
CASE024,P0787,False Lead
CASE024,P0236,Document Handler
CASE024,P0630,Document Handler
CASE024,P0162,Unrelated Person
CASE024,P0288,Logistics Coordinator
CASE024,P0366,Unrelated Person
CASE024,P0384,Operational Member
CASE024,P0544,Vehicle Provider
CASE024,P0212,Associate
CASE024,P0169,Document Handler
CASE024,P0070,Associate
CASE024,P0038,Operational Member
CASE024,P0318,Communicator
CASE024,P0882,Unrelated Person
CASE024,P0772,Document Handler
CASE024,P0206,Associate
CASE024,P0241,Logistics Coordinator
CASE024,P0482,Vehicle Provider
CASE024,P0263,Communicator
CASE024,P0684,Recruiter
CASE024,P0590,Operational Member
CASE024,P0666,Document Handler
CASE024,P0780,Associate
CASE024,P0221,Associate
CASE024,P0635,Operational Member
CASE024,P0960,Associate
CASE024,P0205,Communicator
CASE024,P0063,Logistics Coordinator
CASE024,P0266,Recruiter
CASE024,P0391,Communicator
CASE024,P0963,Vehicle Provider
CASE024,P0219,Logistics Coordinator
CASE024,P0250,Communicator
CASE024,P0249,Vehicle Provider
CASE024,P0297,Vehicle Provider
CASE024,P0337,Vehicle Provider
CASE024,P0885,Unrelated Person
CASE024,P0736,Document Handler
CASE024,P0865,Vehicle Provider
CASE024,P0824,Associate
CASE024,P0451,Recruiter
CASE024,P0529,Unrelated Person
CASE024,P0240,Associate
CASE024,P0491,Document Handler
CASE024,P0353,Communicator
CASE024,P0850,Associate
CASE024,P0806,Unrelated Person
CASE024,P0245,Logistics Coordinator
CASE024,P0557,Document Handler
CASE024,P0158,Document Handler
CASE024,P0310,Unrelated Person
CASE024,P0537,Associate
CASE024,P0421,Logistics Coordinator
CASE024,P0925,Associate
CASE024,P0903,Unrelated Person
CASE024,P0302,Unrelated Person
CASE024,P0223,Operational Member
CASE024,P0438,Document Handler
CASE024,P0155,Logistics Coordinator
CASE024,P0880,Communicator
CASE024,P0702,Associate
CASE024,P0182,Associate
CASE024,P0074,Associate
CASE024,P0778,Document Handler
CASE024,P0541,Recruiter
CASE024,P0387,Vehicle Provider
CASE024,P0422,Operational Member
CASE024,P0402,Operational Member
CASE024,P0731,Document Handler
CASE024,P0447,Document Handler
CASE024,P0328,Operational Member
CASE025,P0510,Coordinator
CASE025,P0603,Financial Intermediary
CASE025,P0751,False Lead
CASE025,P0625,Bridge / Communicator
CASE025,P0711,Document Handler
CASE025,P0223,Vehicle Provider
CASE025,P0550,Associate
CASE025,P0900,Associate
CASE026,P0689,Coordinator
CASE026,P0759,Financial Intermediary
CASE026,P0992,False Lead
CASE026,P0095,False Lead
CASE026,P0094,Bridge / Communicator
CASE026,P0734,Recruiter
CASE026,P0903,Vehicle Provider
CASE026,P0290,Logistics Coordinator
CASE026,P0069,Unrelated Person
CASE026,P0577,Operational Member
CASE026,P0162,Communicator
CASE026,P0034,Recruiter
CASE026,P0843,Vehicle Provider
CASE026,P0397,Operational Member
CASE026,P0187,Recruiter
CASE026,P0946,Document Handler
CASE026,P0473,Document Handler
CASE026,P0979,Communicator
CASE026,P0767,Communicator
CASE026,P0895,Operational Member
CASE026,P0431,Logistics Coordinator
CASE026,P0851,Vehicle Provider
CASE026,P0773,Document Handler
CASE026,P0394,Vehicle Provider
CASE026,P0153,Document Handler
CASE026,P0849,Recruiter
CASE026,P0883,Unrelated Person
CASE027,P0627,Coordinator
CASE027,P0126,Financial Intermediary
CASE027,P0899,False Lead
CASE027,P0995,False Lead
CASE027,P0586,False Lead
CASE027,P0158,Bridge / Communicator
CASE027,P0811,Operational Member
CASE027,P0937,Communicator
CASE027,P0203,Document Handler
CASE027,P0943,Communicator
CASE027,P0532,Recruiter
