case_id,cdr_id,anomaly_pattern
CASE001,CDR0138,odd_hour_contact
CASE001,CDR0139,odd_hour_contact
CASE001,CDR0140,odd_hour_contact
CASE001,CDR0144,single_use_contact
CASE001,CDR0145,single_use_contact
CASE001,CDR0146,single_use_contact
CASE001,CDR0147,odd_hour_contact|single_use_contact
CASE001,CDR0148,single_use_contact
CASE001,CDR0149,single_use_contact
CASE001,CDR0150,single_use_contact
CASE001,CDR0151,single_use_contact
CASE001,CDR0152,odd_hour_contact|single_use_contact
CASE001,CDR0153,single_use_contact
CASE001,CDR0154,single_use_contact
CASE001,CDR0155,odd_hour_contact|single_use_contact
CASE001,CDR0156,single_use_contact
CASE001,CDR0157,single_use_contact
CASE001,CDR0158,single_use_contact
CASE001,CDR0159,single_use_contact
CASE001,CDR0160,single_use_contact
CASE001,CDR0161,single_use_contact
CASE001,CDR0162,single_use_contact
CASE001,CDR0163,single_use_contact
CASE001,CDR0164,single_use_contact
CASE001,CDR0165,single_use_contact
CASE001,CDR0166,single_use_contact
CASE001,CDR0167,single_use_contact
CASE001,CDR0168,single_use_contact
CASE001,CDR0169,single_use_contact
CASE001,CDR0170,single_use_contact
CASE001,CDR0171,single_use_contact
CASE001,CDR0172,odd_hour_contact|single_use_contact
CASE001,CDR0173,single_use_contact
CASE001,CDR0174,odd_hour_contact|single_use_contact
CASE001,CDR0175,single_use_contact
CASE001,CDR0176,single_use_contact
CASE001,CDR0177,odd_hour_contact|single_use_contact
CASE001,CDR0178,odd_hour_contact|single_use_contact
CASE001,CDR0179,single_use_contact
CASE001,CDR0180,single_use_contact
CASE001,CDR0181,single_use_contact
CASE001,CDR0182,single_use_contact
CASE001,CDR0183,single_use_contact
CASE001,CDR0184,single_use_contact
CASE001,CDR0185,odd_hour_contact|single_use_contact
CASE001,CDR0186,single_use_contact
CASE001,CDR0187,single_use_contact
CASE001,CDR0188,single_use_contact
CASE001,CDR0189,single_use_contact
CASE001,CDR0190,single_use_contact
CASE001,CDR0191,single_use_contact
CASE001,CDR0192,single_use_contact
CASE001,CDR0193,single_use_contact
CASE001,CDR0194,single_use_contact
CASE001,CDR0195,single_use_contact
CASE001,CDR0196,single_use_contact
CASE001,CDR0197,single_use_contact
CASE001,CDR0198,single_use_contact
CASE001,CDR0199,single_use_contact
CASE001,CDR0200,single_use_contact
CASE001,CDR0201,single_use_contact
CASE001,CDR0202,single_use_contact
CASE001,CDR0203,single_use_contact
CASE001,CDR0204,single_use_contact
CASE001,CDR0205,single_use_contact
CASE001,CDR0206,single_use_contact
CASE001,CDR0207,single_use_contact
CASE001,CDR0208,single_use_contact
CASE001,CDR0209,single_use_contact
CASE001,CDR0210,single_use_contact
CASE001,CDR0211,single_use_contact
CASE001,CDR0212,single_use_contact
CASE001,CDR0213,single_use_contact
CASE001,CDR0214,single_use_contact
CASE001,CDR0215,single_use_contact
CASE001,CDR0216,odd_hour_contact|single_use_contact
CASE001,CDR0217,single_use_contact
CASE001,CDR0218,single_use_contact
CASE001,CDR0219,single_use_contact
CASE001,CDR0220,single_use_contact
CASE001,CDR0221,odd_hour_contact|single_use_contact
CASE001,CDR0222,single_use_contact
CASE001,CDR0223,single_use_contact
CASE001,CDR0224,single_use_contact
CASE001,CDR0225,odd_hour_contact|single_use_contact
CASE001,CDR0226,single_use_contact
CASE001,CDR0227,single_use_contact
CASE001,CDR0228,odd_hour_contact|single_use_contact
CASE001,CDR0229,odd_hour_contact|single_use_contact
CASE001,CDR0230,odd_hour_contact|single_use_contact
CASE001,CDR0231,single_use_contact
CASE001,CDR0232,single_use_contact
CASE001,CDR0233,single_use_contact
CASE002,CDR0234,burst_calling
CASE002,CDR0235,burst_calling
CASE002,CDR0236,odd_hour_contact|burst_calling
CASE002,CDR0237,burst_calling
CASE002,CDR0238,burst_calling
CASE002,CDR0241,odd_hour_contact|burst_calling
CASE002,CDR0242,odd_hour_contact|burst_calling
CASE002,CDR0243,burst_calling
CASE002,CDR0244,burst_calling
CASE002,CDR0245,burst_calling
CASE002,CDR0246,burst_calling
CASE002,CDR0247,odd_hour_contact|burst_calling
CASE002,CDR0248,odd_hour_contact|burst_calling
CASE002,CDR0249,odd_hour_contact|burst_calling
CASE002,CDR0250,burst_calling
CASE002,CDR0251,burst_calling
CASE002,CDR0257,odd_hour_contact
CASE002,CDR0258,burst_calling
CASE002,CDR0259,burst_calling
CASE002,CDR0260,burst_calling
CASE002,CDR0261,burst_calling
CASE002,CDR0262,burst_calling
CASE002,CDR0263,odd_hour_contact
CASE002,CDR0266,odd_hour_contact
CASE002,CDR0267,odd_hour_contact
CASE002,CDR0271,burst_calling
CASE002,CDR0272,burst_calling
CASE002,CDR0273,burst_calling
CASE002,CDR0274,burst_calling
CASE002,CDR0275,odd_hour_contact|burst_calling
CASE002,CDR0278,odd_hour_contact
CASE002,CDR0287,burst_calling
CASE002,CDR0288,burst_calling
CASE002,CDR0289,burst_calling
CASE002,CDR0290,burst_calling
CASE002,CDR0291,burst_calling
CASE002,CDR0292,odd_hour_contact
CASE002,CDR0293,odd_hour_contact
CASE002,CDR0298,odd_hour_contact|burst_calling
CASE002,CDR0299,burst_calling
CASE002,CDR0300,burst_calling
CASE002,CDR0301,burst_calling
CASE002,CDR0302,burst_calling
CASE002,CDR0303,burst_calling
CASE002,CDR0304,odd_hour_contact|burst_calling
CASE002,CDR0305,burst_calling
CASE002,CDR0306,burst_calling
CASE002,CDR0307,burst_calling
CASE002,CDR0308,burst_calling
CASE002,CDR0309,burst_calling
CASE002,CDR0310,burst_calling
CASE002,CDR0311,odd_hour_contact|burst_calling
CASE002,CDR0312,burst_calling
CASE002,CDR0313,burst_calling
CASE002,CDR0314,burst_calling
CASE002,CDR0315,burst_calling
CASE002,CDR0317,odd_hour_contact
CASE002,CDR0320,odd_hour_contact|burst_calling
CASE002,CDR0321,burst_calling
CASE002,CDR0322,burst_calling
CASE002,CDR0323,odd_hour_contact|burst_calling
CASE002,CDR0324,burst_calling
CASE002,CDR0331,odd_hour_contact
CASE002,CDR0332,odd_hour_contact|burst_calling
CASE002,CDR0333,odd_hour_contact|burst_calling
CASE002,CDR0334,burst_calling
CASE002,CDR0335,burst_calling
CASE002,CDR0336,burst_calling
CASE002,CDR0337,burst_calling
CASE002,CDR0340,odd_hour_contact
CASE002,CDR0343,odd_hour_contact
CASE002,CDR0345,burst_calling
CASE002,CDR0346,burst_calling
CASE002,CDR0347,burst_calling
CASE002,CDR0348,burst_calling
CASE002,CDR0349,burst_calling
CASE002,CDR0350,burst_calling
CASE002,CDR0351,odd_hour_contact
CASE002,CDR0357,single_use_contact
CASE002,CDR0358,odd_hour_contact|single_use_contact
CASE002,CDR0359,single_use_contact
CASE002,CDR0360,single_use_contact
CASE002,CDR0361,odd_hour_contact|single_use_contact
CASE002,CDR0362,single_use_contact
CASE002,CDR0363,single_use_contact
CASE002,CDR0364,single_use_contact
CASE002,CDR0365,single_use_contact
CASE002,CDR0366,single_use_contact
CASE002,CDR0367,single_use_contact
CASE002,CDR0368,single_use_contact
CASE002,CDR0369,single_use_contact
CASE002,CDR0370,single_use_contact
CASE002,CDR0371,odd_hour_contact|single_use_contact
CASE002,CDR0372,single_use_contact
CASE002,CDR0373,single_use_contact
CASE002,CDR0374,single_use_contact
CASE002,CDR0375,odd_hour_contact|single_use_contact
CASE002,CDR0376,single_use_contact
CASE002,CDR0377,single_use_contact
CASE002,CDR0378,single_use_contact
CASE002,CDR0379,single_use_contact
CASE002,CDR0380,single_use_contact
CASE002,CDR0381,odd_hour_contact|single_use_contact
CASE002,CDR0382,single_use_contact
CASE002,CDR0383,single_use_contact
CASE002,CDR0384,single_use_contact
CASE002,CDR0385,odd_hour_contact|single_use_contact
CASE002,CDR0386,single_use_contact
CASE002,CDR0387,single_use_contact
CASE002,CDR0388,single_use_contact
CASE002,CDR0389,single_use_contact
CASE002,CDR0390,single_use_contact
CASE002,CDR0391,single_use_contact
CASE002,CDR0392,odd_hour_contact|single_use_contact
CASE002,CDR0393,odd_hour_contact|single_use_contact
CASE002,CDR0394,single_use_contact
CASE002,CDR0395,single_use_contact
CASE002,CDR0396,single_use_contact
CASE002,CDR0397,single_use_contact
CASE002,CDR0398,single_use_contact
CASE002,CDR0399,single_use_contact
CASE002,CDR0400,single_use_contact
CASE002,CDR0401,single_use_contact
CASE002,CDR0402,single_use_contact
CASE002,CDR0403,odd_hour_contact|single_use_contact
CASE002,CDR0404,single_use_contact
CASE002,CDR0405,single_use_contact
CASE002,CDR0406,single_use_contact
CASE002,CDR0407,odd_hour_contact|single_use_contact
CASE002,CDR0408,single_use_contact
CASE002,CDR0409,single_use_contact
CASE002,CDR0410,single_use_contact
CASE002,CDR0411,odd_hour_contact|single_use_contact
CASE002,CDR0412,single_use_contact
CASE002,CDR0413,single_use_contact
CASE002,CDR0414,single_use_contact
CASE002,CDR0415,odd_hour_contact|single_use_contact
CASE002,CDR0416,single_use_contact
CASE002,CDR0417,single_use_contact
CASE002,CDR0418,single_use_contact
CASE002,CDR0419,single_use_contact
CASE002,CDR0420,single_use_contact
CASE002,CDR0421,single_use_contact
CASE002,CDR0422,single_use_contact
CASE002,CDR0423,single_use_contact
CASE002,CDR0424,single_use_contact
CASE002,CDR0425,single_use_contact
CASE002,CDR0426,single_use_contact
CASE002,CDR0427,odd_hour_contact|single_use_contact
CASE002,CDR0428,single_use_contact
CASE002,CDR0429,odd_hour_contact|single_use_contact
CASE002,CDR0430,single_use_contact
CASE002,CDR0431,single_use_contact
CASE002,CDR0432,odd_hour_contact|single_use_contact
CASE002,CDR0433,odd_hour_contact|single_use_contact
CASE002,CDR0434,odd_hour_contact|single_use_contact
CASE002,CDR0435,single_use_contact
CASE002,CDR0436,single_use_contact
CASE002,CDR0437,single_use_contact
CASE002,CDR0438,odd_hour_contact|single_use_contact
CASE002,CDR0439,single_use_contact
CASE002,CDR0440,single_use_contact
CASE002,CDR0441,single_use_contact
CASE002,CDR0442,odd_hour_contact|single_use_contact
CASE002,CDR0443,single_use_contact
CASE002,CDR0444,single_use_contact
CASE002,CDR0445,single_use_contact
CASE002,CDR0446,odd_hour_contact|single_use_contact
CASE003,CDR0447,odd_hour_contact
CASE003,CDR0450,odd_hour_contact
CASE003,CDR0453,odd_hour_contact
CASE003,CDR0456,odd_hour_contact
CASE003,CDR0460,burst_calling
CASE003,CDR0461,burst_calling
CASE003,CDR0462,burst_calling
CASE003,CDR0463,odd_hour_contact|burst_calling
CASE003,CDR0464,odd_hour_contact|burst_calling
CASE003,CDR0465,burst_calling
CASE003,CDR0466,odd_hour_contact|burst_calling
CASE003,CDR0467,burst_calling
CASE003,CDR0468,burst_calling
CASE003,CDR0469,burst_calling
CASE003,CDR0470,burst_calling
CASE003,CDR0471,burst_calling
CASE003,CDR0477,odd_hour_contact
CASE003,CDR0480,odd_hour_contact|burst_calling
CASE003,CDR0481,burst_calling
CASE003,CDR0482,burst_calling
CASE003,CDR0483,odd_hour_contact|burst_calling
CASE003,CDR0484,burst_calling
CASE003,CDR0485,burst_calling
CASE003,CDR0494,odd_hour_contact|burst_calling
CASE003,CDR0495,burst_calling
CASE003,CDR0496,burst_calling
CASE003,CDR0497,odd_hour_contact|burst_calling
CASE003,CDR0498,burst_calling
CASE003,CDR0499,burst_calling
CASE003,CDR0501,odd_hour_contact
CASE003,CDR0510,odd_hour_contact|single_use_contact
CASE003,CDR0511,single_use_contact
CASE003,CDR0512,single_use_contact
CASE003,CDR0513,odd_hour_contact|single_use_contact
CASE003,CDR0514,single_use_contact
CASE003,CDR0515,odd_hour_contact|single_use_contact
CASE003,CDR0516,single_use_contact
CASE003,CDR0517,odd_hour_contact|single_use_contact
CASE003,CDR0518,odd_hour_contact|single_use_contact
CASE003,CDR0519,single_use_contact
CASE003,CDR0520,single_use_contact
CASE003,CDR0521,odd_hour_contact|single_use_contact
CASE003,CDR0522,single_use_contact
CASE003,CDR0523,odd_hour_contact|single_use_contact
CASE003,CDR0524,single_use_contact
CASE003,CDR0525,odd_hour_contact|single_use_contact
CASE003,CDR0526,single_use_contact
CASE003,CDR0527,single_use_contact
CASE003,CDR0528,single_use_contact
CASE003,CDR0529,odd_hour_contact|single_use_contact
CASE003,CDR0530,single_use_contact
CASE003,CDR0531,single_use_contact
CASE003,CDR0532,odd_hour_contact|single_use_contact
CASE003,CDR0533,single_use_contact
CASE003,CDR0534,single_use_contact
CASE003,CDR0535,odd_hour_contact|single_use_contact
CASE003,CDR0536,single_use_contact
CASE003,CDR0537,single_use_contact
CASE003,CDR0538,single_use_contact
CASE003,CDR0539,odd_hour_contact|single_use_contact
CASE003,CDR0540,single_use_contact
CASE003,CDR0541,single_use_contact
CASE003,CDR0542,single_use_contact
CASE003,CDR0545,odd_hour_contact|single_use_contact
CASE003,CDR0546,single_use_contact
CASE003,CDR0547,single_use_contact
CASE003,CDR0548,single_use_contact
CASE003,CDR0549,single_use_contact
CASE003,CDR0550,single_use_contact
CASE003,CDR0551,single_use_contact
CASE003,CDR0552,single_use_contact
CASE003,CDR0553,odd_hour_contact|single_use_contact
CASE003,CDR0554,odd_hour_contact|single_use_contact
CASE003,CDR0555,single_use_contact
CASE003,CDR0556,single_use_contact
CASE003,CDR0557,odd_hour_contact|single_use_contact
CASE003,CDR0558,single_use_contact
CASE003,CDR0559,single_use_contact
CASE003,CDR0560,single_use_contact
CASE003,CDR0561,single_use_contact
CASE003,CDR0562,single_use_contact
CASE003,CDR0563,single_use_contact
CASE003,CDR0564,single_use_contact
CASE003,CDR0565,odd_hour_contact|single_use_contact
CASE003,CDR0566,single_use_contact
CASE003,CDR0567,single_use_contact
CASE003,CDR0568,single_use_contact
CASE003,CDR0569,single_use_contact
CASE003,CDR0570,single_use_contact
CASE003,CDR0571,single_use_contact
CASE003,CDR0572,single_use_contact
CASE003,CDR0573,odd_hour_contact|single_use_contact
CASE003,CDR0574,single_use_contact
CASE003,CDR0575,single_use_contact
CASE003,CDR0576,single_use_contact
CASE003,CDR0577,odd_hour_contact|single_use_contact
CASE003,CDR0578,single_use_contact
CASE003,CDR0579,single_use_contact
CASE003,CDR0580,odd_hour_contact|single_use_contact
CASE003,CDR0581,single_use_contact
CASE003,CDR0582,single_use_contact
CASE003,CDR0583,single_use_contact
CASE003,CDR0584,single_use_contact
CASE003,CDR0585,single_use_contact
CASE003,CDR0586,odd_hour_contact|single_use_contact
CASE003,CDR0587,single_use_contact
CASE003,CDR0588,single_use_contact
CASE003,CDR0589,single_use_contact
CASE003,CDR0590,single_use_contact
CASE003,CDR0591,single_use_contact
CASE003,CDR0592,single_use_contact
CASE003,CDR0593,single_use_contact
CASE003,CDR0594,odd_hour_contact|single_use_contact
CASE003,CDR0595,single_use_contact
CASE003,CDR0596,single_use_contact
CASE003,CDR0597,odd_hour_contact|single_use_contact
CASE003,CDR0598,single_use_contact
CASE003,CDR0599,single_use_contact
CASE004,CDR0601,odd_hour_contact
CASE004,CDR0607,burst_calling
CASE004,CDR0608,burst_calling
CASE004,CDR0609,burst_calling
CASE004,CDR0610,burst_calling
CASE004,CDR0611,burst_calling
CASE004,CDR0614,odd_hour_contact
CASE004,CDR0615,odd_hour_contact
CASE004,CDR0616,burst_calling
CASE004,CDR0617,burst_calling
CASE004,CDR0618,burst_calling
CASE004,CDR0619,burst_calling
CASE004,CDR0620,burst_calling
CASE004,CDR0621,burst_calling
CASE004,CDR0622,burst_calling
CASE004,CDR0623,burst_calling
CASE004,CDR0624,burst_calling
CASE004,CDR0625,odd_hour_contact|burst_calling
CASE004,CDR0626,odd_hour_contact|burst_calling
CASE004,CDR0627,burst_calling
CASE004,CDR0628,odd_hour_contact|burst_calling
CASE004,CDR0629,burst_calling
CASE004,CDR0630,burst_calling
CASE004,CDR0633,odd_hour_contact|burst_calling
CASE004,CDR0634,burst_calling
CASE004,CDR0635,burst_calling
CASE004,CDR0636,burst_calling
CASE004,CDR0637,burst_calling
CASE004,CDR0642,burst_calling
CASE004,CDR0643,burst_calling
CASE004,CDR0644,burst_calling
CASE004,CDR0645,burst_calling
CASE004,CDR0646,burst_calling
CASE004,CDR0647,burst_calling
CASE004,CDR0648,single_use_contact
CASE004,CDR0649,odd_hour_contact|single_use_contact
CASE004,CDR0650,odd_hour_contact|single_use_contact
CASE004,CDR0651,single_use_contact
CASE004,CDR0652,single_use_contact
CASE004,CDR0653,single_use_contact
CASE004,CDR0654,single_use_contact
CASE004,CDR0655,odd_hour_contact|single_use_contact
CASE004,CDR0656,single_use_contact
CASE004,CDR0657,single_use_contact
CASE004,CDR0658,single_use_contact
CASE004,CDR0659,single_use_contact
CASE004,CDR0660,single_use_contact
CASE004,CDR0661,odd_hour_contact|single_use_contact
CASE004,CDR0662,odd_hour_contact|single_use_contact
CASE004,CDR0663,single_use_contact
CASE004,CDR0664,single_use_contact
CASE004,CDR0665,single_use_contact
CASE004,CDR0666,single_use_contact
CASE004,CDR0667,odd_hour_contact|single_use_contact
CASE004,CDR0668,single_use_contact
CASE004,CDR0669,single_use_contact
CASE004,CDR0670,single_use_contact
CASE004,CDR0671,single_use_contact
CASE004,CDR0672,single_use_contact
CASE004,CDR0673,single_use_contact
CASE004,CDR0674,single_use_contact
CASE004,CDR0675,single_use_contact
CASE004,CDR0676,odd_hour_contact|single_use_contact
CASE004,CDR0677,single_use_contact
CASE004,CDR0678,single_use_contact
CASE004,CDR0679,single_use_contact
CASE004,CDR0680,single_use_contact
CASE004,CDR0681,single_use_contact
CASE004,CDR0682,single_use_contact
CASE004,CDR0683,single_use_contact
CASE004,CDR0684,single_use_contact
CASE004,CDR0685,single_use_contact
CASE004,CDR0686,odd_hour_contact|single_use_contact
CASE004,CDR0687,single_use_contact
CASE004,CDR0688,single_use_contact
CASE004,CDR0689,single_use_contact
CASE004,CDR0690,single_use_contact
CASE004,CDR0691,odd_hour_contact|single_use_contact
CASE004,CDR0692,odd_hour_contact|single_use_contact
CASE004,CDR0693,single_use_contact
CASE004,CDR0694,single_use_contact
CASE004,CDR0695,single_use_contact
CASE004,CDR0696,odd_hour_contact|single_use_contact
CASE004,CDR0697,odd_hour_contact|single_use_contact
CASE004,CDR0698,single_use_contact
CASE004,CDR0699,single_use_contact
CASE004,CDR0700,single_use_contact
CASE004,CDR0701,single_use_contact
CASE004,CDR0702,single_use_contact
CASE004,CDR0703,single_use_contact
CASE004,CDR0704,odd_hour_contact|single_use_contact
CASE004,CDR0705,single_use_contact
CASE004,CDR0706,odd_hour_contact|single_use_contact
CASE004,CDR0707,odd_hour_contact|single_use_contact
CASE004,CDR0708,single_use_contact
CASE004,CDR0709,single_use_contact
CASE004,CDR0710,odd_hour_contact|single_use_contact
CASE004,CDR0711,odd_hour_contact|single_use_contact
CASE004,CDR0712,single_use_contact
CASE004,CDR0713,single_use_contact
CASE004,CDR0714,single_use_contact
CASE004,CDR0715,single_use_contact
CASE004,CDR0716,single_use_contact
CASE004,CDR0717,single_use_contact
CASE004,CDR0718,single_use_contact
CASE004,CDR0719,single_use_contact
CASE004,CDR0720,single_use_contact
CASE004,CDR0721,single_use_contact
CASE004,CDR0722,odd_hour_contact|single_use_contact
CASE004,CDR0723,single_use_contact
CASE004,CDR0724,single_use_contact
CASE004,CDR0725,single_use_contact
CASE004,CDR0726,single_use_contact
CASE004,CDR0727,single_use_contact
CASE004,CDR0728,odd_hour_contact|single_use_contact
CASE004,CDR0729,single_use_contact
CASE004,CDR0730,odd_hour_contact|single_use_contact
CASE004,CDR0731,odd_hour_contact|single_use_contact
CASE004,CDR0732,odd_hour_contact|single_use_contact
CASE004,CDR0733,odd_hour_contact|single_use_contact
CASE004,CDR0734,single_use_contact
CASE004,CDR0735,odd_hour_contact|single_use_contact
CASE004,CDR0736,single_use_contact
CASE004,CDR0737,single_use_contact
CASE005,CDR0738,odd_hour_contact
CASE005,CDR0741,odd_hour_contact
CASE005,CDR0742,odd_hour_contact
CASE005,CDR0743,odd_hour_contact
CASE005,CDR0748,odd_hour_contact
CASE005,CDR0751,odd_hour_contact
CASE005,CDR0752,burst_calling
CASE005,CDR0753,burst_calling
CASE005,CDR0754,odd_hour_contact|burst_calling
CASE005,CDR0755,burst_calling
CASE005,CDR0756,burst_calling
CASE005,CDR0757,burst_calling
CASE005,CDR0758,burst_calling
CASE005,CDR0759,odd_hour_contact|burst_calling
CASE005,CDR0760,burst_calling
CASE005,CDR0761,burst_calling
CASE005,CDR0762,burst_calling
CASE005,CDR0763,burst_calling
CASE005,CDR0764,burst_calling
CASE005,CDR0765,burst_calling
CASE005,CDR0766,burst_calling
CASE005,CDR0767,burst_calling
CASE005,CDR0768,burst_calling
CASE005,CDR0769,odd_hour_contact|burst_calling
CASE005,CDR0770,burst_calling
CASE005,CDR0771,burst_calling
CASE005,CDR0772,burst_calling
CASE005,CDR0773,odd_hour_contact
CASE005,CDR0774,odd_hour_contact
CASE005,CDR0777,odd_hour_contact
CASE005,CDR0779,odd_hour_contact
CASE005,CDR0780,single_use_contact
CASE005,CDR0781,single_use_contact
CASE005,CDR0782,single_use_contact
CASE005,CDR0783,single_use_contact
CASE005,CDR0784,single_use_contact
CASE005,CDR0785,single_use_contact
CASE005,CDR0786,single_use_contact
CASE005,CDR0787,single_use_contact
CASE005,CDR0788,single_use_contact
CASE005,CDR0789,single_use_contact
CASE005,CDR0790,single_use_contact
CASE005,CDR0791,odd_hour_contact|single_use_contact
CASE005,CDR0792,single_use_contact
CASE005,CDR0793,single_use_contact
CASE005,CDR0794,single_use_contact
CASE005,CDR0795,single_use_contact
CASE005,CDR0796,single_use_contact
CASE005,CDR0797,single_use_contact
CASE005,CDR0798,single_use_contact
CASE005,CDR0799,odd_hour_contact|single_use_contact
CASE005,CDR0800,single_use_contact
CASE005,CDR0801,single_use_contact
CASE005,CDR0802,single_use_contact
CASE005,CDR0803,single_use_contact
CASE005,CDR0804,odd_hour_contact|single_use_contact
CASE005,CDR0805,odd_hour_contact|single_use_contact
CASE005,CDR0806,single_use_contact
CASE005,CDR0807,single_use_contact
CASE005,CDR0808,odd_hour_contact|single_use_contact
CASE005,CDR0809,odd_hour_contact|single_use_contact
CASE005,CDR0810,single_use_contact
CASE005,CDR0811,single_use_contact
CASE005,CDR0812,single_use_contact
CASE005,CDR0813,odd_hour_contact|single_use_contact
CASE005,CDR0814,single_use_contact
CASE005,CDR0815,single_use_contact
CASE005,CDR0816,single_use_contact
CASE005,CDR0817,single_use_contact
CASE005,CDR0818,single_use_contact
CASE005,CDR0819,single_use_contact
CASE005,CDR0820,single_use_contact
CASE005,CDR0821,single_use_contact
CASE005,CDR0822,single_use_contact
CASE005,CDR0823,single_use_contact
CASE005,CDR0824,single_use_contact
CASE005,CDR0825,single_use_contact
CASE005,CDR0826,single_use_contact
CASE005,CDR0827,odd_hour_contact|single_use_contact
CASE005,CDR0828,single_use_contact
CASE005,CDR0829,odd_hour_contact|single_use_contact
CASE005,CDR0830,single_use_contact
CASE005,CDR0831,single_use_contact
CASE005,CDR0832,single_use_contact
CASE005,CDR0833,single_use_contact
CASE005,CDR0834,single_use_contact
CASE005,CDR0835,single_use_contact
CASE005,CDR0836,single_use_contact
CASE005,CDR0837,odd_hour_contact|single_use_contact
CASE005,CDR0838,odd_hour_contact|single_use_contact
CASE005,CDR0839,single_use_contact
CASE005,CDR0840,odd_hour_contact|single_use_contact
CASE005,CDR0841,single_use_contact
CASE005,CDR0842,single_use_contact
CASE005,CDR0843,single_use_contact
CASE005,CDR0844,single_use_contact
CASE005,CDR0845,single_use_contact
CASE005,CDR0846,single_use_contact
CASE005,CDR0847,single_use_contact
CASE005,CDR0848,single_use_contact
CASE005,CDR0849,single_use_contact
CASE005,CDR0850,single_use_contact
CASE005,CDR0851,odd_hour_contact|single_use_contact
CASE005,CDR0852,single_use_contact
CASE005,CDR0853,single_use_contact
CASE005,CDR0854,single_use_contact
CASE005,CDR0855,single_use_contact
CASE005,CDR0856,single_use_contact
CASE005,CDR0857,single_use_contact
CASE005,CDR0858,single_use_contact
CASE005,CDR0859,single_use_contact
CASE005,CDR0860,single_use_contact
CASE005,CDR0861,single_use_contact
CASE005,CDR0862,single_use_contact
CASE005,CDR0863,odd_hour_contact|single_use_contact
CASE005,CDR0864,single_use_contact
CASE005,CDR0865,odd_hour_contact|single_use_contact
CASE005,CDR0866,single_use_contact
CASE005,CDR0867,single_use_contact
CASE005,CDR0868,single_use_contact
CASE005,CDR0869,single_use_contact
CASE006,CDR0870,odd_hour_contact
CASE006,CDR0872,burst_calling
CASE006,CDR0873,burst_calling
CASE006,CDR0874,burst_calling
CASE006,CDR0875,burst_calling
