case_id,person_id,true_role,is_innocent
CASE009,P0886,Operational Member,N
CASE009,P0538,Logistics Coordinator,N
CASE009,P0164,Unrelated Person,Y
CASE009,P0709,Document Handler,N
CASE009,P0397,Associate,N
CASE009,P0248,Associate,N
CASE009,P0609,Operational Member,N
CASE009,P0436,Associate,N
CASE009,P0200,Communicator,N
CASE009,P0133,Logistics Coordinator,N
CASE009,P0567,Recruiter,N
CASE009,P0323,Communicator,N
CASE009,P0755,Document Handler,N
CASE009,P0041,Vehicle Provider,N
CASE009,P0250,Recruiter,N
CASE009,P0826,Logistics Coordinator,N
CASE009,P0840,Logistics Coordinator,N
CASE009,P0990,Unrelated Person,Y
CASE009,P0421,Recruiter,N
CASE009,P0787,Document Handler,N
CASE009,P0376,Recruiter,N
CASE009,P0572,Associate,N
CASE009,P0651,Document Handler,N
CASE009,P0153,Associate,N
CASE009,P0658,Unrelated Person,Y
CASE009,P0294,Recruiter,N
CASE009,P0861,Logistics Coordinator,N
CASE009,P0827,Communicator,N
CASE010,P0288,Coordinator,N
CASE010,P0534,Financial Intermediary,N
CASE010,P0440,False Lead,Y
CASE010,P0746,False Lead,Y
CASE010,P0141,False Lead,Y
CASE010,P0960,False Lead,Y
CASE010,P0978,Recruiter,N
CASE010,P0730,Logistics Coordinator,N
CASE010,P0231,Associate,N
CASE010,P0794,Recruiter,N
CASE010,P0353,Associate,N
CASE010,P0210,Associate,N
CASE010,P0006,Vehicle Provider,N
CASE010,P0720,Associate,N
CASE010,P0815,Vehicle Provider,N
CASE010,P0694,Associate,N
CASE010,P0319,Operational Member,N
CASE010,P0129,Logistics Coordinator,N
CASE010,P0510,Vehicle Provider,N
CASE010,P0967,Unrelated Person,Y
CASE010,P0486,Document Handler,N
CASE010,P0061,Vehicle Provider,N
CASE010,P0124,Logistics Coordinator,N
CASE010,P0809,Logistics Coordinator,N
CASE010,P0159,Unrelated Person,Y
CASE010,P0506,Communicator,N
CASE010,P0814,Operational Member,N
CASE010,P0436,Document Handler,N
CASE010,P0499,Recruiter,N
CASE010,P0832,Logistics Coordinator,N
CASE010,P0076,Operational Member,N
CASE010,P0594,Document Handler,N
CASE010,P0428,Operational Member,N
CASE010,P0280,Logistics Coordinator,N
CASE010,P0144,Logistics Coordinator,N
CASE010,P0999,Document Handler,N
CASE010,P0983,Unrelated Person,Y
CASE010,P0939,Logistics Coordinator,N
CASE010,P0028,Unrelated Person,Y
CASE010,P0830,Associate,N
CASE010,P0085,Vehicle Provider,N
CASE010,P0416,Recruiter,N
CASE010,P0840,Unrelated Person,Y
CASE010,P0807,Vehicle Provider,N
CASE010,P0565,Communicator,N
CASE010,P0904,Recruiter,N
CASE011,P0649,Coordinator,N
CASE011,P0510,Financial Intermediary,N
CASE011,P0437,False Lead,Y
CASE011,P0137,Communicator,N
CASE011,P0361,Document Handler,N
CASE011,P0705,Logistics Coordinator,N
CASE011,P0402,Communicator,N
CASE011,P0842,Communicator,N
CASE011,P0549,Associate,N
CASE011,P0587,Operational Member,N
CASE011,P0794,Document Handler,N
CASE011,P0416,Logistics Coordinator,N
CASE011,P0034,Associate,N
CASE012,P0174,Coordinator,N
CASE012,P0927,Financial Intermediary,N
CASE012,P0096,False Lead,Y
CASE012,P0235,Unrelated Person,Y
CASE012,P0670,Vehicle Provider,N
CASE012,P0715,Vehicle Provider,N
CASE012,P0637,Recruiter,N
CASE012,P0257,Recruiter,N
CASE013,P0196,Coordinator,N
CASE013,P0325,Financial Intermediary,N
CASE013,P0759,False Lead,Y
CASE013,P0309,Document Handler,N
CASE013,P0383,Associate,N
CASE013,P0344,Recruiter,N
CASE013,P0443,Unrelated Person,Y
CASE013,P0517,Operational Member,N
CASE014,P0454,Coordinator,N
CASE014,P0801,Financial Intermediary,N
CASE014,P0807,False Lead,Y
CASE014,P0843,False Lead,Y
CASE014,P0233,Operational Member,N
CASE014,P0754,Unrelated Person,Y
CASE014,P0842,Logistics Coordinator,N
CASE014,P0026,Communicator,N
CASE014,P0234,Logistics Coordinator,N
CASE014,P0666,Communicator,N
CASE014,P0610,Operational Member,N
CASE014,P0332,Logistics Coordinator,N
CASE014,P0889,Recruiter,N
CASE014,P0703,Associate,N
CASE014,P0643,Logistics Coordinator,N
CASE014,P0414,Communicator,N
CASE014,P0861,Communicator,N
CASE014,P0266,Unrelated Person,Y
CASE014,P0627,Operational Member,N
CASE014,P0342,Recruiter,N
CASE014,P0168,Unrelated Person,Y
CASE014,P0697,Communicator,N
CASE014,P0171,Vehicle Provider,N
CASE014,P0001,Communicator,N
CASE014,P0691,Unrelated Person,Y
CASE014,P0116,Recruiter,N
CASE014,P0616,Operational Member,N
CASE014,P0449,Document Handler,N
CASE014,P0502,Operational Member,N
CASE015,P0930,Coordinator,N
CASE015,P0261,Financial Intermediary,N
CASE015,P0611,False Lead,Y
CASE015,P0587,Logistics Coordinator,N
CASE015,P0046,Recruiter,N
CASE016,P0486,Coordinator,N
CASE016,P0704,Financial Intermediary,N
CASE016,P0547,False Lead,Y
CASE016,P0343,False Lead,Y
CASE016,P0452,False Lead,Y
CASE016,P0730,False Lead,Y
CASE016,P0099,Vehicle Provider,N
CASE016,P0130,Recruiter,N
CASE016,P0550,Operational Member,N
CASE016,P0979,Operational Member,N
CASE016,P0591,Logistics Coordinator,N
CASE016,P0319,Vehicle Provider,N
CASE016,P0566,Logistics Coordinator,N
CASE016,P0926,Operational Member,N
CASE016,P0875,Operational Member,N
CASE016,P0962,Vehicle Provider,N
CASE016,P0861,Associate,N
CASE016,P0859,Associate,N
CASE016,P0801,Associate,N
CASE016,P0913,Communicator,N
CASE016,P0729,Operational Member,N
CASE016,P0355,Document Handler,N
CASE016,P0092,Operational Member,N
CASE016,P0826,Operational Member,N
CASE016,P0737,Unrelated Person,Y
CASE016,P0521,Logistics Coordinator,N
CASE016,P0786,Associate,N
CASE016,P0909,Unrelated Person,Y
CASE016,P0029,Unrelated Person,Y
CASE016,P0150,Logistics Coordinator,N
CASE016,P0189,Operational Member,N
CASE016,P0384,Associate,N
CASE016,P0002,Operational Member,N
CASE016,P0906,Operational Member,N
CASE016,P0534,Recruiter,N
CASE016,P0489,Associate,N
CASE016,P0889,Associate,N
CASE016,P0447,Operational Member,N
CASE016,P0956,Unrelated Person,Y
CASE016,P0210,Associate,N
CASE016,P0829,Associate,N
CASE016,P0076,Communicator,N
CASE016,P0732,Recruiter,N
CASE016,P0032,Document Handler,N
CASE017,P0186,Coordinator,N
CASE017,P0723,Financial Intermediary,N
CASE017,P0026,False Lead,Y
CASE017,P0870,False Lead,Y
CASE017,P0511,False Lead,Y
CASE017,P0219,False Lead,Y
CASE017,P0695,Operational Member,N
CASE017,P0727,Vehicle Provider,N
CASE017,P0139,Document Handler,N
CASE017,P0862,Vehicle Provider,N
CASE017,P0318,Operational Member,N
CASE017,P0624,Vehicle Provider,N
CASE017,P0313,Communicator,N
CASE017,P0730,Recruiter,N
CASE017,P0579,Communicator,N
CASE017,P1000,Logistics Coordinator,N
CASE017,P0600,Recruiter,N
CASE017,P0450,Associate,N
CASE017,P0196,Recruiter,N
CASE017,P0359,Logistics Coordinator,N
CASE017,P0397,Document Handler,N
CASE017,P0953,Logistics Coordinator,N
CASE017,P0463,Communicator,N
CASE017,P0404,Vehicle Provider,N
CASE017,P0693,Unrelated Person,Y
CASE017,P0748,Associate,N
CASE017,P0728,Logistics Coordinator,N
CASE017,P0029,Document Handler,N
CASE017,P0198,Logistics Coordinator,N
CASE017,P0970,Communicator,N
CASE017,P0356,Unrelated Person,Y
CASE017,P0009,Document Handler,N
CASE017,P0775,Logistics Coordinator,N
CASE017,P0520,Operational Member,N
CASE017,P0043,Operational Member,N
CASE017,P0785,Associate,N
CASE017,P0456,Vehicle Provider,N
CASE017,P0806,Associate,N
CASE017,P0249,Logistics Coordinator,N
CASE017,P0287,Vehicle Provider,N
CASE017,P0550,Operational Member,N
CASE017,P0178,Unrelated Person,Y
CASE017,P0814,Recruiter,N
CASE017,P0307,Recruiter,N
CASE018,P0772,Coordinator,N
CASE018,P0613,Financial Intermediary,N
CASE018,P0273,False Lead,Y
CASE018,P0596,False Lead,Y
CASE018,P0986,False Lead,Y
CASE018,P0448,False Lead,Y
CASE018,P0930,False Lead,Y
CASE018,P0970,Communicator,N
CASE018,P0664,Communicator,N
CASE018,P0103,Communicator,N
CASE018,P0021,Vehicle Provider,N
CASE018,P0810,Unrelated Person,Y
CASE018,P0728,Associate,N
CASE018,P0893,Vehicle Provider,N
CASE018,P0148,Vehicle Provider,N
CASE018,P0663,Document Handler,N
CASE018,P0732,Operational Member,N
CASE018,P0355,Associate,N
CASE018,P0552,Recruiter,N
CASE018,P0239,Document Handler,N
CASE018,P0277,Document Handler,N
CASE018,P0589,Operational Member,N
CASE018,P0585,Communicator,N
CASE018,P0120,Logistics Coordinator,N
CASE018,P0745,Vehicle Provider,N
CASE018,P0326,Vehicle Provider,N
CASE018,P0778,Recruiter,N
CASE018,P0535,Recruiter,N
CASE018,P0757,Communicator,N
CASE018,P0921,Document Handler,N
CASE018,P0924,Unrelated Person,Y
CASE018,P0036,Recruiter,N
CASE018,P0248,Operational Member,N
CASE018,P0786,Communicator,N
CASE018,P0789,Associate,N
CASE018,P0918,Recruiter,N
CASE018,P0219,Operational Member,N
CASE018,P0673,Logistics Coordinator,N
CASE018,P0680,Unrelated Person,Y
CASE018,P0393,Vehicle Provider,N
CASE018,P0012,Recruiter,N
CASE018,P0991,Logistics Coordinator,N
CASE018,P0776,Vehicle Provider,N
CASE018,P0665,Operational Member,N
CASE018,P0931,Associate,N
CASE018,P0246,Vehicle Provider,N
CASE018,P0005,Associate,N
CASE018,P0531,Document Handler,N
CASE018,P0466,Associate,N
CASE018,P0584,Associate,N
CASE018,P0163,Communicator,N
CASE018,P0746,Document Handler,N
CASE018,P0168,Vehicle Provider,N
CASE018,P0854,Document Handler,N
CASE019,P0888,Coordinator,N
CASE019,P0333,Financial Intermediary,N
CASE019,P0894,False Lead,Y
CASE019,P0528,False Lead,Y
CASE019,P0587,False Lead,Y
CASE019,P0635,False Lead,Y
CASE019,P0270,False Lead,Y
CASE019,P0625,Bridge / Communicator,N
CASE019,P0406,Associate,N
CASE019,P0538,Logistics Coordinator,N
CASE019,P0283,Recruiter,N
CASE019,P0215,Unrelated Person,Y
CASE019,P0498,Unrelated Person,Y
CASE019,P0354,Logistics Coordinator,N
CASE019,P0772,Operational Member,N
CASE019,P0222,Operational Member,N
CASE019,P0547,Vehicle Provider,N
CASE019,P0257,Recruiter,N
CASE019,P0816,Vehicle Provider,N
CASE019,P0723,Logistics Coordinator,N
CASE019,P0242,Recruiter,N
CASE019,P0722,Communicator,N
CASE019,P0431,Operational Member,N
CASE019,P0458,Associate,N
CASE019,P0929,Recruiter,N
CASE019,P0404,Vehicle Provider,N
CASE019,P0052,Communicator,N
CASE019,P0228,Associate,N
CASE019,P0050,Communicator,N
CASE019,P0613,Associate,N
CASE019,P0582,Operational Member,N
CASE019,P0710,Recruiter,N
CASE019,P0703,Communicator,N
CASE019,P0998,Document Handler,N
CASE019,P0313,Operational Member,N
CASE019,P0759,Vehicle Provider,N
CASE019,P0741,Communicator,N
CASE019,P0933,Document Handler,N
CASE019,P0762,Logistics Coordinator,N
CASE019,P0734,Communicator,N
CASE019,P0777,Operational Member,N
CASE019,P0912,Unrelated Person,Y
CASE019,P0295,Vehicle Provider,N
CASE019,P0438,Document Handler,N
CASE019,P0850,Unrelated Person,Y
CASE019,P0990,Communicator,N
CASE019,P0687,Unrelated Person,Y
CASE019,P0755,Logistics Coordinator,N
CASE019,P0733,Associate,N
CASE019,P0107,Unrelated Person,Y
CASE019,P0823,Communicator,N
CASE019,P0532,Communicator,N
CASE019,P0463,Unrelated Person,Y
CASE019,P0343,Associate,N
CASE019,P0291,Recruiter,N
CASE019,P0062,Unrelated Person,Y
CASE019,P0649,Operational Member,N
CASE019,P0407,Vehicle Provider,N
CASE020,P0985,Coordinator,N
CASE020,P0820,Financial Intermediary,N
CASE020,P0572,False Lead,Y
CASE020,P0023,False Lead,Y
CASE020,P0826,False Lead,Y
CASE020,P0494,False Lead,Y
CASE020,P0038,False Lead,Y
CASE020,P0674,False Lead,Y
CASE020,P0543,False Lead,Y
CASE020,P0850,Operational Member,N
CASE020,P0541,Communicator,N
CASE020,P0435,Operational Member,N
CASE020,P0565,Logistics Coordinator,N
CASE020,P0911,Unrelated Person,Y
CASE020,P0714,Recruiter,N
CASE020,P0693,Associate,N
CASE020,P0951,Communicator,N
CASE020,P0273,Communicator,N
CASE020,P0065,Recruiter,N
CASE020,P0132,Vehicle Provider,N
CASE020,P0443,Document Handler,N
CASE020,P0214,Document Handler,N
CASE020,P0239,Vehicle Provider,N
CASE020,P1000,Document Handler,N
CASE020,P0041,Operational Member,N
CASE020,P0669,Logistics Coordinator,N
CASE020,P0206,Document Handler,N
CASE020,P0010,Document Handler,N
CASE020,P0817,Associate,N
CASE020,P0345,Vehicle Provider,N
CASE020,P0964,Communicator,N
CASE020,P0048,Recruiter,N
CASE020,P0763,Document Handler,N
CASE020,P0203,Document Handler,N
CASE020,P0397,Vehicle Provider,N
CASE020,P0789,Vehicle Provider,N
CASE020,P0950,Recruiter,N
CASE020,P0606,Communicator,N
CASE020,P0296,Recruiter,N
CASE020,P0487,Logistics Coordinator,N
CASE020,P0411,Unrelated Person,Y
CASE020,P0949,Recruiter,N
CASE020,P0767,Communicator,N
CASE020,P0742,Operational Member,N
CASE020,P0975,Document Handler,N
CASE020,P0007,Unrelated Person,Y
CASE020,P0502,Communicator,N
CASE020,P0191,Document Handler,N
CASE020,P0621,Document Handler,N
CASE020,P0930,Communicator,N
CASE020,P0125,Document Handler,N
CASE020,P0927,Logistics Coordinator,N
CASE020,P0707,Logistics Coordinator,N
CASE020,P0127,Communicator,N
CASE020,P0670,Associate,N
CASE020,P0842,Operational Member,N
CASE020,P0561,Associate,N
CASE020,P0195,Logistics Coordinator,N
CASE020,P0651,Associate,N
CASE020,P0066,Unrelated Person,Y
CASE020,P0302,Document Handler,N
CASE020,P0255,Document Handler,N
CASE020,P0076,Recruiter,N
CASE020,P0406,Recruiter,N
CASE020,P0107,Operational Member,N
CASE020,P0448,Document Handler,N
CASE020,P0708,Unrelated Person,Y
CASE020,P0802,Operational Member,N
CASE020,P0177,Logistics Coordinator,N
CASE020,P0071,Document Handler,N
CASE020,P0544,Recruiter,N
CASE020,P0620,Unrelated Person,Y
CASE020,P0421,Recruiter,N
CASE020,P0907,Associate,N
CASE020,P0812,Associate,N
CASE021,P0801,Coordinator,N
CASE021,P0038,Financial Intermediary,N
CASE021,P0585,False Lead,Y
CASE021,P0954,False Lead,Y
CASE021,P0127,Recruiter,N
CASE021,P0113,Operational Member,N
CASE021,P0401,Communicator,N
CASE021,P0624,Recruiter,N
CASE021,P0591,Document Handler,N
CASE021,P0738,Associate,N
CASE021,P0328,Document Handler,N
CASE021,P0483,Logistics Coordinator,N
CASE021,P0132,Unrelated Person,Y
CASE021,P0616,Recruiter,N
CASE021,P0431,Document Handler,N
CASE021,P0187,Operational Member,N
CASE021,P0922,Associate,N
CASE021,P0840,Document Handler,N
CASE021,P0090,Recruiter,N
CASE021,P0974,Logistics Coordinator,N
CASE021,P0938,Communicator,N
CASE021,P0942,Associate,N
CASE021,P0200,Communicator,N
CASE021,P0806,Unrelated Person,Y
CASE021,P0763,Document Handler,N
CASE021,P0358,Logistics Coordinator,N
CASE022,P0875,Coordinator,N
CASE022,P0184,Financial Intermediary,N
CASE022,P0346,False Lead,Y
CASE022,P0364,Associate,N
CASE022,P0277,Communicator,N
CASE022,P0498,Unrelated Person,Y
CASE022,P0908,Associate,N
CASE022,P0504,Logistics Coordinator,N
CASE023,P0933,Coordinator,N
CASE023,P0760,Financial Intermediary,N
CASE023,P0060,False Lead,Y
CASE023,P0191,False Lead,Y
CASE023,P0084,False Lead,Y
CASE023,P0101,False Lead,Y
CASE023,P0334,False Lead,Y
CASE023,P0431,False Lead,Y
CASE023,P0992,False Lead,Y
CASE023,P0892,Document Handler,N
CASE023,P0393,Recruiter,N
CASE023,P0246,Logistics Coordinator,N
CASE023,P0093,Logistics Coordinator,N
CASE023,P0536,Associate,N
CASE023,P0063,Unrelated Person,Y
CASE023,P0678,Recruiter,N
CASE023,P0925,Document Handler,N
CASE023,P0624,Associate,N
CASE023,P0358,Recruiter,N
CASE023,P0315,Unrelated Person,Y
CASE023,P0444,Communicator,N
CASE023,P0679,Communicator,N
CASE023,P0149,Vehicle Provider,N
CASE023,P0878,Communicator,N
CASE023,P0058,Logistics Coordinator,N
CASE023,P0434,Document Handler,N
CASE023,P0575,Associate,N
CASE023,P0915,Associate,N
CASE023,P0756,Unrelated Person,Y
CASE023,P0048,Document Handler,N
CASE023,P0176,Unrelated Person,Y
CASE023,P0346,Unrelated Person,Y
CASE023,P0479,Document Handler,N
CASE023,P0182,Operational Member,N
CASE023,P0172,Communicator,N
CASE023,P0843,Operational Member,N
CASE023,P0245,Vehicle Provider,N
CASE023,P0596,Unrelated Person,Y
CASE023,P0630,Communicator,N
CASE023,P0905,Unrelated Person,Y
CASE023,P0081,Logistics Coordinator,N
CASE023,P0531,Associate,N
CASE023,P0714,Vehicle Provider,N
CASE023,P0857,Logistics Coordinator,N
CASE023,P0699,Operational Member,N
CASE023,P0024,Associate,N
CASE023,P0665,Operational Member,N
CASE023,P0526,Vehicle Provider,N
CASE023,P0303,Vehicle Provider,N
CASE023,P0123,Document Handler,N
CASE023,P0644,Vehicle Provider,N
CASE023,P0166,Vehicle Provider,N
CASE023,P0098,Logistics Coordinator,N
CASE023,P0380,Recruiter,N
CASE023,P0340,Recruiter,N
CASE023,P0397,Unrelated Person,Y
CASE023,P0970,Document Handler,N
CASE023,P0386,Logistics Coordinator,N
CASE023,P0602,Operational Member,N
CASE023,P0914,Vehicle Provider,N
CASE023,P0518,Operational Member,N
CASE023,P0167,Associate,N
CASE023,P0208,Operational Member,N
CASE023,P0731,Unrelated Person,Y
CASE023,P0594,Vehicle Provider,N
CASE023,P0898,Unrelated Person,Y
CASE023,P0803,Recruiter,N
CASE023,P0522,Logistics Coordinator,N
CASE023,P0932,Operational Member,N
CASE023,P0675,Document Handler,N
CASE023,P0832,Operational Member,N
CASE023,P0827,Associate,N
CASE023,P0661,Logistics Coordinator,N
CASE023,P0552,Document Handler,N
CASE023,P0351,Document Handler,N
CASE023,P0629,Vehicle Provider,N
CASE023,P0353,Recruiter,N
CASE024,P0436,Coordinator,N
CASE024,P0429,Financial Intermediary,N
CASE024,P0352,False Lead,Y
CASE024,P0364,False Lead,Y
CASE024,P0565,False Lead,Y
CASE024,P0878,False Lead,Y
CASE024,P0404,False Lead,Y
CASE024,P0967,False Lead,Y
CASE024,P0787,False Lead,Y
CASE024,P0236,Document Handler,N
CASE024,P0630,Document Handler,N
CASE024,P0162,Unrelated Person,Y
CASE024,P0288,Logistics Coordinator,N
