case_id,transaction_id,anomaly_pattern
CASE043,TX5003,fan_in
CASE043,TX5004,fan_in
CASE043,TX5005,fan_in
CASE043,TX5006,fan_in
CASE044,TX5007,fan_out
CASE044,TX5008,fan_out
CASE044,TX5009,fan_out
CASE044,TX5010,fan_out
CASE044,TX5011,fan_out
CASE045,TX5012,layering|large_transfer
CASE045,TX5013,layering|large_transfer
CASE045,TX5014,layering|large_transfer
CASE045,TX5015,layering|large_transfer
CASE045,TX5016,layering|large_transfer
CASE046,TX5017,round_tripping|large_transfer
CASE046,TX5018,round_tripping|large_transfer
CASE046,TX5019,round_tripping|large_transfer
CASE046,TX5020,round_tripping|large_transfer
CASE047,TX5021,dormant_burst
CASE047,TX5022,dormant_burst|large_transfer
CASE047,TX5023,dormant_burst|large_transfer
CASE047,TX5024,dormant_burst|large_transfer
CASE047,TX5025,dormant_burst|large_transfer
CASE047,TX5026,dormant_burst|large_transfer
CASE047,TX5027,dormant_burst|large_transfer
CASE048,TX5028,structuring
CASE048,TX5029,structuring
CASE048,TX5030,structuring
CASE048,TX5031,structuring
CASE048,TX5032,structuring
CASE049,TX5033,fan_in
CASE049,TX5034,fan_in
CASE049,TX5035,fan_in
CASE049,TX5036,fan_in
CASE049,TX5037,fan_in
CASE050,TX5038,fan_out
CASE050,TX5039,fan_out
CASE050,TX5040,fan_out
CASE050,TX5041,fan_out
CASE050,TX5042,fan_out
CASE051,TX5043,layering|large_transfer
CASE051,TX5044,layering|large_transfer
CASE051,TX5045,layering|large_transfer
CASE051,TX5046,layering|large_transfer
CASE051,TX5047,layering|large_transfer
CASE052,TX5048,round_tripping|large_transfer
CASE052,TX5049,round_tripping|large_transfer
CASE052,TX5050,round_tripping|large_transfer
CASE052,TX5051,round_tripping|large_transfer
CASE053,TX5052,dormant_burst
CASE053,TX5053,dormant_burst|large_transfer
CASE053,TX5054,dormant_burst|large_transfer
CASE053,TX5055,dormant_burst|large_transfer
CASE053,TX5056,dormant_burst
CASE053,TX5057,dormant_burst|large_transfer
CASE053,TX5058,dormant_burst|large_transfer
CASE054,TX5059,structuring
CASE054,TX5060,structuring
CASE054,TX5061,structuring
CASE054,TX5062,structuring
CASE054,TX5063,structuring
CASE055,TX5064,fan_in
CASE055,TX5065,fan_in
CASE055,TX5066,fan_in
CASE055,TX5067,fan_in
CASE055,TX5068,fan_in
CASE056,TX5069,fan_out
CASE056,TX5070,fan_out
CASE056,TX5071,fan_out
CASE056,TX5072,fan_out
CASE056,TX5073,fan_out
CASE057,TX5074,layering|large_transfer
CASE057,TX5075,layering|large_transfer
CASE057,TX5076,layering|large_transfer
CASE057,TX5077,layering|large_transfer
CASE057,TX5078,layering|large_transfer
CASE058,TX5079,round_tripping|large_transfer
CASE058,TX5080,round_tripping|large_transfer
CASE058,TX5081,round_tripping|large_transfer
CASE058,TX5082,round_tripping|large_transfer
CASE059,TX5083,dormant_burst
CASE059,TX5084,dormant_burst|large_transfer
CASE059,TX5085,dormant_burst|large_transfer
CASE059,TX5086,dormant_burst|large_transfer
CASE059,TX5087,dormant_burst|large_transfer
CASE059,TX5088,dormant_burst|large_transfer
CASE059,TX5089,dormant_burst|large_transfer
CASE060,TX5090,structuring
CASE060,TX5091,structuring
CASE060,TX5092,structuring
CASE060,TX5093,structuring
CASE060,TX5094,structuring
CASE061,TX5095,fan_in
CASE061,TX5096,fan_in
CASE061,TX5097,fan_in
CASE061,TX5098,fan_in
CASE061,TX5099,fan_in
CASE062,TX5100,fan_out
CASE062,TX5101,fan_out
CASE062,TX5102,fan_out
CASE062,TX5103,fan_out
CASE062,TX5104,fan_out
CASE063,TX5105,layering|large_transfer
CASE063,TX5106,layering|large_transfer
CASE063,TX5107,layering|large_transfer
CASE063,TX5108,layering|large_transfer
CASE063,TX5109,layering|large_transfer
CASE064,TX5110,round_tripping|large_transfer
CASE064,TX5111,round_tripping|large_transfer
CASE064,TX5112,round_tripping|large_transfer
CASE064,TX5113,round_tripping|large_transfer
CASE065,TX5114,dormant_burst
CASE065,TX5115,dormant_burst|large_transfer
CASE065,TX5116,dormant_burst|large_transfer
CASE065,TX5117,dormant_burst|large_transfer
CASE065,TX5118,dormant_burst|large_transfer
CASE065,TX5119,dormant_burst|large_transfer
CASE065,TX5120,dormant_burst|large_transfer
CASE066,TX5121,structuring
CASE066,TX5122,structuring
CASE066,TX5123,structuring
CASE066,TX5124,structuring
CASE066,TX5125,structuring
CASE067,TX5126,fan_in
CASE067,TX5127,fan_in
CASE067,TX5128,fan_in
CASE067,TX5129,fan_in
CASE067,TX5130,fan_in
CASE068,TX5131,fan_out
CASE068,TX5132,fan_out
CASE068,TX5133,fan_out
CASE068,TX5134,fan_out
CASE068,TX5135,fan_out
CASE069,TX5136,layering|large_transfer
CASE069,TX5137,layering|large_transfer
CASE069,TX5138,layering|large_transfer
CASE069,TX5139,layering|large_transfer
CASE069,TX5140,layering|large_transfer
CASE070,TX5141,round_tripping|large_transfer
CASE070,TX5142,round_tripping|large_transfer
CASE070,TX5143,round_tripping|large_transfer
CASE070,TX5144,round_tripping|large_transfer
CASE071,TX5145,dormant_burst
CASE071,TX5146,dormant_burst|large_transfer
CASE071,TX5147,dormant_burst|large_transfer
CASE071,TX5148,dormant_burst|large_transfer
CASE071,TX5149,dormant_burst|large_transfer
CASE071,TX5150,dormant_burst|large_transfer
CASE071,TX5151,dormant_burst|large_transfer
CASE072,TX5152,structuring
CASE072,TX5153,structuring
CASE072,TX5154,structuring
CASE072,TX5155,structuring
CASE072,TX5156,structuring
CASE073,TX5157,fan_in
CASE073,TX5158,fan_in
CASE073,TX5159,fan_in
CASE073,TX5160,fan_in
CASE073,TX5161,fan_in
CASE074,TX5162,fan_out
CASE074,TX5163,fan_out
CASE074,TX5164,fan_out
CASE074,TX5165,fan_out
CASE074,TX5166,fan_out
CASE075,TX5167,layering|large_transfer
CASE075,TX5168,layering|large_transfer
CASE075,TX5169,layering|large_transfer
CASE075,TX5170,layering|large_transfer
CASE075,TX5171,layering|large_transfer
CASE076,TX5172,round_tripping|large_transfer
CASE076,TX5173,round_tripping|large_transfer
CASE076,TX5174,round_tripping|large_transfer
CASE076,TX5175,round_tripping|large_transfer
CASE077,TX5176,dormant_burst
CASE077,TX5177,dormant_burst|large_transfer
CASE077,TX5178,dormant_burst|large_transfer
CASE077,TX5179,dormant_burst|large_transfer
CASE077,TX5180,dormant_burst|large_transfer
CASE077,TX5181,dormant_burst|large_transfer
CASE077,TX5182,dormant_burst|large_transfer
CASE078,TX5183,structuring
CASE078,TX5184,structuring
CASE078,TX5185,structuring
CASE078,TX5186,structuring
CASE078,TX5187,structuring
CASE079,TX5188,fan_in
CASE079,TX5189,fan_in
CASE079,TX5190,fan_in
CASE079,TX5191,fan_in
CASE079,TX5192,fan_in
CASE080,TX5193,fan_out
CASE080,TX5194,fan_out
CASE080,TX5195,fan_out
CASE080,TX5196,fan_out
CASE080,TX5197,fan_out
CASE081,TX5198,layering|large_transfer
CASE081,TX5199,layering|large_transfer
CASE081,TX5200,layering|large_transfer
CASE081,TX5201,layering|large_transfer
CASE081,TX5202,layering|large_transfer
CASE082,TX5203,round_tripping|large_transfer
CASE082,TX5204,round_tripping|large_transfer
CASE082,TX5205,round_tripping|large_transfer
CASE082,TX5206,round_tripping|large_transfer
CASE083,TX5207,dormant_burst
CASE083,TX5208,dormant_burst|large_transfer
CASE083,TX5209,dormant_burst|large_transfer
CASE083,TX5210,dormant_burst|large_transfer
CASE083,TX5211,dormant_burst|large_transfer
CASE083,TX5212,dormant_burst
CASE083,TX5213,dormant_burst|large_transfer
CASE084,TX5214,structuring
CASE084,TX5215,structuring
CASE084,TX5216,structuring
CASE084,TX5217,structuring
CASE084,TX5218,structuring
CASE085,TX5219,fan_in
CASE085,TX5220,fan_in
CASE085,TX5221,fan_in
CASE085,TX5222,fan_in
CASE085,TX5223,fan_in
CASE086,TX5224,fan_out
CASE086,TX5225,fan_out
CASE086,TX5226,fan_out
CASE086,TX5227,fan_out
CASE086,TX5228,fan_out
CASE087,TX5229,layering|large_transfer
CASE087,TX5230,layering|large_transfer
CASE087,TX5231,layering|large_transfer
CASE087,TX5232,layering|large_transfer
CASE087,TX5233,layering|large_transfer
CASE088,TX5234,round_tripping|large_transfer
CASE088,TX5235,round_tripping|large_transfer
CASE088,TX5236,round_tripping|large_transfer
CASE088,TX5237,round_tripping|large_transfer
CASE089,TX5238,dormant_burst
CASE089,TX5239,dormant_burst|large_transfer
CASE089,TX5240,dormant_burst|large_transfer
CASE089,TX5241,dormant_burst|large_transfer
CASE089,TX5242,dormant_burst
CASE089,TX5243,dormant_burst|large_transfer
CASE089,TX5244,dormant_burst|large_transfer
CASE090,TX5245,structuring
CASE090,TX5246,structuring
CASE090,TX5247,structuring
CASE090,TX5248,structuring
CASE090,TX5249,structuring
CASE091,TX5250,fan_in
CASE091,TX5251,fan_in
CASE091,TX5252,fan_in
CASE091,TX5253,fan_in
CASE091,TX5254,fan_in
CASE092,TX5255,fan_out
CASE092,TX5256,fan_out
CASE092,TX5257,fan_out
CASE092,TX5258,fan_out
CASE092,TX5259,fan_out
CASE093,TX5260,layering|large_transfer
CASE093,TX5261,layering|large_transfer
CASE093,TX5262,layering|large_transfer
CASE093,TX5263,layering|large_transfer
CASE093,TX5264,layering|large_transfer
CASE094,TX5265,round_tripping|large_transfer
CASE094,TX5266,round_tripping|large_transfer
CASE094,TX5267,round_tripping|large_transfer
CASE094,TX5268,round_tripping|large_transfer
CASE095,TX5269,dormant_burst
CASE095,TX5270,dormant_burst|large_transfer
CASE095,TX5271,dormant_burst|large_transfer
CASE095,TX5272,dormant_burst
CASE095,TX5273,dormant_burst|large_transfer
CASE095,TX5274,dormant_burst|large_transfer
CASE095,TX5275,dormant_burst|large_transfer
CASE096,TX5276,structuring
CASE096,TX5277,structuring
CASE096,TX5278,structuring
CASE096,TX5279,structuring
CASE096,TX5280,structuring
CASE097,TX5281,fan_in
CASE097,TX5282,fan_in
CASE097,TX5283,fan_in
CASE097,TX5284,fan_in
CASE097,TX5285,fan_in
CASE098,TX5286,fan_out
CASE098,TX5287,fan_out
CASE098,TX5288,fan_out
CASE098,TX5289,fan_out
CASE098,TX5290,fan_out
CASE099,TX5291,layering|large_transfer
CASE099,TX5292,layering|large_transfer
CASE099,TX5293,layering|large_transfer
CASE099,TX5294,layering|large_transfer
CASE099,TX5295,layering|large_transfer
CASE100,TX5296,round_tripping|large_transfer
CASE100,TX5297,round_tripping|large_transfer
CASE100,TX5298,round_tripping|large_transfer
CASE100,TX5299,round_tripping|large_transfer
