case_id,timestamp,event_type,source_table,source_id,description,entities_involved
CASE001,2026-05-22T11:59:00,cdr_sms,cdr,CDR0162,sms 549s,P0321|P0448
CASE001,2026-05-22T11:59:00,cdr_sms,cdr,CDR0209,sms 216s,P0019|P0402
CASE001,2026-05-22T13:59:00,cdr_sms,cdr,CDR0197,sms 435s,P0745|P0055
CASE001,2026-05-22T15:59:00,cdr_voice,cdr,CDR0205,voice 479s,P0338|P0598
CASE001,2026-05-23T04:59:00,transaction,transactions,TX0039,legitimate transfer amount=5919,ACC0383|ACC0443
CASE001,2026-05-23T09:59:00,cdr_sms,cdr,CDR0220,sms 142s,P0824|P0240
CASE001,2026-05-23T11:59:00,cdr_voice,cdr,CDR0183,voice 213s,P0236|P0076
CASE001,2026-05-23T12:59:00,cdr_voice,cdr,CDR0207,voice 166s,P0508|P0817
CASE001,2026-05-23T16:59:00,cdr_sms,cdr,CDR0164,sms 521s,P0013|P0563
CASE001,2026-05-23T17:59:00,cdr_sms,cdr,CDR0193,sms 302s,P0344|P0314
CASE001,2026-05-23T21:59:00,cdr_voice,cdr,CDR0169,voice 312s,P0914|P0957
CASE001,2026-05-24T11:59:00,cdr_sms,cdr,CDR0145,sms 194s,P0745|P0651
CASE001,2026-05-24T11:59:00,cdr_voice,cdr,CDR0214,voice 534s,P0269|P0725
CASE001,2026-05-24T12:59:00,cdr_voice,cdr,CDR0232,voice 236s,P0469|P0445
CASE001,2026-05-24T14:59:00,cdr_sms,cdr,CDR0199,sms 577s,P0624|P0378
CASE001,2026-05-24T15:59:00,cdr_sms,cdr,CDR0203,sms 139s,P0536|P0491
CASE001,2026-05-24T17:59:00,cdr_sms,cdr,CDR0196,sms 198s,P0107|P0833
CASE001,2026-05-24T18:59:00,cdr_voice,cdr,CDR0233,voice 263s,P0607|P0638
CASE001,2026-05-24T20:59:00,cdr_sms,cdr,CDR0187,sms 333s,P0144|P0517
CASE001,2026-05-25T00:59:00,cdr_sms,cdr,CDR0147,sms 544s,P0163|P0936
CASE001,2026-05-25T00:59:00,cdr_sms,cdr,CDR0177,sms 164s,P0887|P0592
CASE001,2026-05-25T04:59:00,transaction,transactions,TX0047,legitimate transfer amount=8076,ACC0730|ACC0151
CASE001,2026-05-25T06:59:00,cdr_voice,cdr,CDR0149,voice 560s,P0536|P0302
CASE001,2026-05-25T11:59:00,cdr_sms,cdr,CDR0222,sms 188s,P0144|P0568
CASE001,2026-05-25T21:59:00,cdr_voice,cdr,CDR0206,voice 294s,P0861|P0363
CASE001,2026-05-25T21:59:00,cdr_voice,cdr,CDR0210,voice 283s,P0536|P0580
CASE001,2026-05-25T23:59:00,cdr_voice,cdr,CDR0153,voice 315s,P0635|P0795
CASE001,2026-05-26T04:59:00,transaction,transactions,TX0009,legitimate transfer amount=2531,ACC0326|ACC0752
CASE001,2026-05-26T04:59:00,transaction,transactions,TX0040,legitimate transfer amount=18383,ACC0165|ACC0769
CASE001,2026-05-26T19:59:00,cdr_voice,cdr,CDR0190,voice 384s,P0172|P0663
CASE001,2026-05-26T22:59:00,cdr_voice,cdr,CDR0231,voice 153s,P0469|P0175
CASE001,2026-05-27T04:59:00,cdr_sms,cdr,CDR0178,sms 263s,P0212|P0664
CASE001,2026-05-27T05:59:00,cdr_voice,cdr,CDR0160,voice 441s,P0867|P0542
CASE001,2026-05-27T07:59:00,cdr_voice,cdr,CDR0191,voice 146s,P0038|P0602
CASE001,2026-05-27T10:59:00,cdr_voice,cdr,CDR0202,voice 394s,P0981|P0671
CASE001,2026-05-27T11:59:00,cdr_voice,cdr,CDR0208,voice 233s,P0107|P0102
CASE001,2026-05-27T17:59:00,cdr_voice,cdr,CDR0146,voice 302s,P0607|P0627
CASE001,2026-05-28T04:59:00,transaction,transactions,TX0017,legitimate transfer amount=10163,ACC0724|ACC0582
CASE001,2026-05-28T18:59:00,cdr_voice,cdr,CDR0188,voice 371s,P0520|P0413
CASE001,2026-05-28T21:59:00,cdr_voice,cdr,CDR0161,voice 563s,P0019|P0100
CASE001,2026-05-28T21:59:00,cdr_sms,cdr,CDR0194,sms 141s,P0013|P0561
CASE001,2026-05-29T00:59:00,cdr_voice,cdr,CDR0216,voice 562s,P0887|P0927
CASE001,2026-05-29T00:59:00,cdr_voice,cdr,CDR0221,voice 487s,P0887|P0591
CASE001,2026-05-29T04:59:00,transaction,transactions,TX0033,legitimate transfer amount=16034,ACC0395|ACC0251
CASE001,2026-05-29T04:59:00,location_routine,location_events,CASE001-LE0004,seen at LOC0137,P0520
CASE001,2026-05-29T14:59:00,cdr_voice,cdr,CDR0163,voice 463s,P0076|P0763
CASE001,2026-05-30T04:59:00,transaction,transactions,TX0008,legitimate transfer amount=17019,ACC0315|ACC0068
CASE001,2026-05-30T04:59:00,transaction,transactions,TX0036,legitimate transfer amount=5579,ACC0019|ACC0474
CASE001,2026-05-30T19:59:00,cdr_voice,cdr,CDR0181,voice 150s,P0914|P0666
CASE001,2026-05-30T22:59:00,cdr_voice,cdr,CDR0200,voice 13s,P0321|P0346
CASE001,2026-05-31T03:59:00,cdr_sms,cdr,CDR0155,sms 257s,P0163|P0031
CASE001,2026-05-31T04:59:00,transaction,transactions,TX0021,legitimate transfer amount=17351,ACC0539|ACC0057
CASE001,2026-05-31T04:59:00,transaction,transactions,TX0026,legitimate transfer amount=2969,ACC0391|ACC0427
CASE001,2026-05-31T04:59:00,transaction,transactions,TX0028,legitimate transfer amount=8299,ACC0590|ACC0206
CASE001,2026-05-31T04:59:00,transaction,transactions,TX0048,legitimate transfer amount=9414,ACC0065|ACC0018
CASE001,2026-05-31T08:59:00,phone_call,timelines,CASE001-EVT034,Interaction preceding the reported incident.,P0861|P0967
CASE001,2026-05-31T12:59:00,cdr_sms,cdr,CDR0151,sms 598s,P0635|P0696
CASE001,2026-06-01T03:59:00,meeting,timelines,CASE001-EVT012,Interaction preceding the reported incident.,P0019|P0635
CASE001,2026-06-01T04:59:00,transaction,transactions,TX0018,legitimate transfer amount=13336,ACC0570|ACC0577
CASE001,2026-06-01T04:59:00,transaction,transactions,TX0019,legitimate transfer amount=9741,ACC0237|ACC0117
CASE001,2026-06-01T04:59:00,transaction,transactions,TX0044,legitimate transfer amount=4039,ACC0373|ACC0319
CASE001,2026-06-01T05:59:00,cdr_voice,cdr,CDR0091,voice 446s,P0344|P0172
CASE001,2026-06-01T06:59:00,cdr_voice,cdr,CDR0027,voice 609s,P0607|P0201
CASE001,2026-06-01T07:59:00,cdr_sms,cdr,CDR0182,sms 395s,P0624|P0604
CASE001,2026-06-01T08:59:00,cdr_voice,cdr,CDR0136,voice 686s,P0475|P0038
CASE001,2026-06-01T09:59:00,cdr_voice,cdr,CDR0100,voice 379s,P0172|P0508
CASE001,2026-06-01T10:59:00,phone_call,timelines,CASE001-EVT020,Interaction preceding the reported incident.,P0980|P0013
CASE001,2026-06-01T11:59:00,cdr_voice,cdr,CDR0026,voice 435s,P0607|P0201
CASE001,2026-06-01T13:59:00,vehicle_movement,timelines,CASE001-EVT015,Interaction preceding the reported incident.,P0107|P0076
CASE001,2026-06-01T13:59:00,cdr_voice,cdr,CDR0123,voice 537s,P0286|P0236
CASE001,2026-06-01T13:59:00,cdr_voice,cdr,CDR0171,voice 517s,P0520|P0624
CASE001,2026-06-01T14:59:00,vehicle_movement,timelines,CASE001-EVT018,Interaction preceding the reported incident.,P0493|P0824
CASE001,2026-06-01T14:59:00,cdr_voice,cdr,CDR0006,voice 779s,P0520|P0536
CASE001,2026-06-01T16:59:00,cdr_sms,cdr,CDR0066,sms 151s,P0270|P0493
CASE001,2026-06-01T17:59:00,vehicle_movement,timelines,CASE001-EVT005,Interaction preceding the reported incident.,P0144|P0887
CASE001,2026-06-01T17:59:00,cdr_voice,cdr,CDR0056,voice 521s,P0107|P0076
CASE001,2026-06-01T19:59:00,meeting,timelines,CASE001-EVT004,Interaction preceding the reported incident.,P0624|P0144
CASE001,2026-06-01T21:59:00,cdr_sms,cdr,CDR0124,sms 665s,P0286|P0236
CASE001,2026-06-01T22:59:00,cdr_sms,cdr,CDR0009,sms 665s,P0520|P0536
CASE001,2026-06-01T22:59:00,cdr_voice,cdr,CDR0037,voice 236s,P0163|P0019
CASE001,2026-06-01T23:59:00,cdr_sms,cdr,CDR0143,sms 757s,P0907|P0006
CASE001,2026-06-01T23:59:00,cdr_sms,cdr,CDR0219,sms 489s,P0493|P0855
CASE001,2026-06-02T01:59:00,cdr_sms,cdr,CDR0079,sms 794s,P0013|P0269
CASE001,2026-06-02T02:59:00,cdr_voice,cdr,CDR0085,voice 575s,P0269|P0867
CASE001,2026-06-02T03:59:00,cdr_voice,cdr,CDR0051,voice 786s,P0745|P0107
CASE001,2026-06-02T03:59:00,cdr_voice,cdr,CDR0114,voice 695s,P0338|P0083
CASE001,2026-06-02T04:59:00,cdr_voice,cdr,CDR0059,voice 688s,P0107|P0076
CASE001,2026-06-02T04:59:00,transaction,transactions,TX0029,legitimate transfer amount=14160,ACC0685|ACC0364
CASE001,2026-06-02T04:59:00,transaction,transactions,TX0032,legitimate transfer amount=2333,ACC0602|ACC0361
CASE001,2026-06-02T06:59:00,cdr_voice,cdr,CDR0087,voice 215s,P0867|P0344
CASE001,2026-06-02T07:59:00,cdr_voice,cdr,CDR0168,voice 17s,P0508|P0002
CASE001,2026-06-02T08:59:00,cdr_voice,cdr,CDR0011,voice 704s,P0536|P0624
CASE001,2026-06-02T08:59:00,cdr_voice,cdr,CDR0067,voice 603s,P0270|P0493
CASE001,2026-06-02T08:59:00,cdr_sms,cdr,CDR0077,sms 692s,P0013|P0269
CASE001,2026-06-02T08:59:00,cdr_voice,cdr,CDR0180,voice 410s,P0338|P0413
CASE001,2026-06-02T09:59:00,phone_call,timelines,CASE001-EVT009,Interaction preceding the reported incident.,P0914|P0469
CASE001,2026-06-02T10:59:00,cdr_voice,cdr,CDR0113,voice 249s,P0338|P0083
CASE001,2026-06-02T11:59:00,cdr_sms,cdr,CDR0060,sms 258s,P0076|P0270
CASE001,2026-06-02T11:59:00,cdr_voice,cdr,CDR0076,voice 470s,P0980|P0013
CASE001,2026-06-02T13:59:00,cdr_voice,cdr,CDR0029,voice 36s,P0201|P0914
CASE001,2026-06-02T13:59:00,cdr_sms,cdr,CDR0128,sms 660s,P0321|P0861
CASE001,2026-06-02T13:59:00,cdr_voice,cdr,CDR0204,voice 555s,P0607|P0128
CASE001,2026-06-02T14:59:00,meeting,timelines,CASE001-EVT033,Interaction preceding the reported incident.,P0321|P0861
CASE001,2026-06-02T14:59:00,meeting,timelines,CASE001-EVT037,Interaction preceding the reported incident.,P0038|P0907
CASE001,2026-06-02T14:59:00,cdr_voice,cdr,CDR0040,voice 639s,P0163|P0019
CASE001,2026-06-02T14:59:00,cdr_voice,cdr,CDR0055,voice 551s,P0107|P0076
CASE001,2026-06-02T15:59:00,cdr_sms,cdr,CDR0135,sms 350s,P0475|P0038
CASE001,2026-06-02T18:59:00,vehicle_movement,timelines,CASE001-EVT026,Interaction preceding the reported incident.,P0508|P0119
CASE001,2026-06-02T18:59:00,cdr_voice,cdr,CDR0032,voice 142s,P0201|P0914
CASE001,2026-06-02T18:59:00,cdr_sms,cdr,CDR0167,sms 293s,P0861|P0429
CASE001,2026-06-02T19:59:00,phone_call,timelines,CASE001-EVT010,Interaction preceding the reported incident.,P0469|P0163
CASE001,2026-06-02T20:59:00,cdr_voice,cdr,CDR0092,voice 482s,P0344|P0172
CASE001,2026-06-02T21:59:00,meeting,timelines,CASE001-EVT019,Interaction preceding the reported incident.,P0824|P0980
CASE001,2026-06-02T21:59:00,cdr_voice,cdr,CDR0192,voice 177s,P0824|P0717
CASE001,2026-06-02T22:59:00,cdr_voice,cdr,CDR0111,voice 307s,P0212|P0338
CASE001,2026-06-03T02:59:00,phone_call,timelines,CASE001-EVT029,Interaction preceding the reported incident.,P0338|P0083
CASE001,2026-06-03T02:59:00,cdr_sms,cdr,CDR0034,sms 397s,P0914|P0469
CASE001,2026-06-03T03:59:00,cdr_voice,cdr,CDR0133,voice 600s,P0967|P0475
CASE001,2026-06-03T03:59:00,cdr_sms,cdr,CDR0140,sms 104s,P0907|P0006
CASE001,2026-06-03T03:59:00,cdr_voice,cdr,CDR0152,voice 67s,P0508|P0678
CASE001,2026-06-03T03:59:00,cdr_sms,cdr,CDR0172,sms 348s,P0270|P0629
CASE001,2026-06-03T04:59:00,transaction,transactions,TX0046,legitimate transfer amount=7728,ACC0185|ACC0144
CASE001,2026-06-03T04:59:00,transaction,transactions,TX0049,legitimate transfer amount=4137,ACC0369|ACC0028
CASE001,2026-06-03T04:59:00,location_routine,location_events,CASE001-LE0003,seen at LOC0167,P0107
CASE001,2026-06-03T06:59:00,cdr_voice,cdr,CDR0125,voice 431s,P0236|P0321
CASE001,2026-06-03T09:59:00,cdr_voice,cdr,CDR0084,voice 739s,P0269|P0867
CASE001,2026-06-03T09:59:00,cdr_voice,cdr,CDR0186,voice 207s,P0286|P0247
CASE001,2026-06-03T10:59:00,cdr_sms,cdr,CDR0005,sms 474s,P0520|P0536
CASE001,2026-06-03T11:59:00,vehicle_movement,timelines,CASE001-EVT022,Interaction preceding the reported incident.,P0269|P0867
CASE001,2026-06-03T13:59:00,cdr_sms,cdr,CDR0156,sms 359s,P0212|P0445
CASE001,2026-06-03T15:59:00,meeting,timelines,CASE001-EVT032,Interaction preceding the reported incident.,P0236|P0321
CASE001,2026-06-03T16:59:00,cdr_voice,cdr,CDR0069,voice 300s,P0493|P0824
CASE001,2026-06-03T17:59:00,cdr_voice,cdr,CDR0057,voice 214s,P0107|P0076
CASE001,2026-06-03T21:59:00,meeting,timelines,CASE001-EVT038,Interaction preceding the reported incident.,P0907|P0006
CASE001,2026-06-03T21:59:00,cdr_sms,cdr,CDR0020,sms 322s,P0144|P0887
CASE001,2026-06-03T21:59:00,cdr_voice,cdr,CDR0098,voice 700s,P0172|P0508
CASE001,2026-06-03T23:59:00,cdr_sms,cdr,CDR0158,sms 329s,P0006|P0260
CASE001,2026-06-04T02:59:00,meeting,timelines,CASE001-EVT007,Interaction preceding the reported incident.,P0607|P0201
CASE001,2026-06-04T02:59:00,phone_call,timelines,CASE001-EVT017,Interaction preceding the reported incident.,P0270|P0493
CASE001,2026-06-04T03:59:00,meeting,timelines,CASE001-EVT036,Interaction preceding the reported incident.,P0475|P0038
CASE001,2026-06-04T03:59:00,cdr_voice,cdr,CDR0139,voice 526s,P0038|P0907
CASE001,2026-06-04T03:59:00,cdr_voice,cdr,CDR0225,voice 277s,P0269|P0146
CASE001,2026-06-04T04:59:00,cdr_voice,cdr,CDR0105,voice 742s,P0119|P0212
CASE001,2026-06-04T04:59:00,transaction,transactions,TX0010,legitimate transfer amount=18163,ACC0420|ACC0555
CASE001,2026-06-04T04:59:00,transaction,transactions,TX0038,legitimate transfer amount=7223,ACC0307|ACC0094
CASE001,2026-06-04T05:59:00,cdr_sms,cdr,CDR0212,sms 203s,P0270|P0466
CASE001,2026-06-04T06:59:00,cdr_sms,cdr,CDR0083,sms 572s,P0269|P0867
CASE001,2026-06-04T06:59:00,cdr_voice,cdr,CDR0110,voice 687s,P0212|P0338
CASE001,2026-06-04T06:59:00,cdr_voice,cdr,CDR0141,voice 68s,P0907|P0006
CASE001,2026-06-04T06:59:00,cdr_voice,cdr,CDR0173,voice 487s,P0013|P0074
CASE001,2026-06-04T12:59:00,phone_call,timelines,CASE001-EVT028,Interaction preceding the reported incident.,P0212|P0338
CASE001,2026-06-04T12:59:00,cdr_sms,cdr,CDR0130,sms 112s,P0861|P0967
CASE001,2026-06-04T13:59:00,cdr_voice,cdr,CDR0048,voice 737s,P0635|P0745
CASE001,2026-06-04T14:59:00,cdr_sms,cdr,CDR0008,sms 674s,P0520|P0536
CASE001,2026-06-04T16:59:00,cdr_voice,cdr,CDR0132,voice 142s,P0967|P0475
CASE001,2026-06-04T17:59:00,cdr_sms,cdr,CDR0159,sms 513s,P0980|P0082
CASE001,2026-06-04T19:59:00,cdr_voice,cdr,CDR0157,voice 577s,P0321|P0916
CASE001,2026-06-04T20:59:00,cdr_sms,cdr,CDR0001,sms 880s,P0981|P0520
CASE001,2026-06-04T20:59:00,cdr_sms,cdr,CDR0023,sms 867s,P0144|P0887
CASE001,2026-06-04T21:59:00,cdr_sms,cdr,CDR0080,sms 200s,P0013|P0269
CASE001,2026-06-04T21:59:00,cdr_sms,cdr,CDR0081,sms 116s,P0269|P0867
CASE001,2026-06-04T23:59:00,meeting,timelines,CASE001-EVT016,Interaction preceding the reported incident.,P0076|P0270
CASE001,2026-06-04T23:59:00,cdr_voice,cdr,CDR0115,voice 547s,P0338|P0083
CASE001,2026-06-05T00:59:00,cdr_sms,cdr,CDR0049,sms 528s,P0635|P0745
CASE001,2026-06-05T01:59:00,vehicle_movement,timelines,CASE001-EVT002,Interaction preceding the reported incident.,P0520|P0536
CASE001,2026-06-05T01:59:00,cdr_sms,cdr,CDR0095,sms 262s,P0172|P0508
CASE001,2026-06-05T01:59:00,cdr_sms,cdr,CDR0120,sms 787s,P0286|P0236
CASE001,2026-06-05T03:59:00,cdr_voice,cdr,CDR0013,voice 538s,P0536|P0624
CASE001,2026-06-05T04:59:00,phone_call,timelines,CASE001-EVT031,Interaction preceding the reported incident.,P0286|P0236
CASE001,2026-06-05T05:59:00,cdr_sms,cdr,CDR0165,sms 107s,P0038|P0620
CASE001,2026-06-05T08:59:00,cdr_voice,cdr,CDR0014,voice 781s,P0536|P0624
CASE001,2026-06-05T08:59:00,cdr_sms,cdr,CDR0022,sms 891s,P0144|P0887
CASE001,2026-06-05T08:59:00,cdr_sms,cdr,CDR0119,sms 384s,P0083|P0286
CASE001,2026-06-05T10:59:00,cdr_sms,cdr,CDR0198,sms 566s,P0536|P0493
CASE001,2026-06-05T11:59:00,meeting,timelines,CASE001-EVT023,Interaction preceding the reported incident.,P0867|P0344
CASE001,2026-06-05T13:59:00,cdr_voice,cdr,CDR0226,voice 422s,P0076|P0609
CASE001,2026-06-05T14:59:00,cdr_voice,cdr,CDR0070,voice 723s,P0824|P0980
CASE001,2026-06-05T18:59:00,meeting,timelines,CASE001-EVT013,Interaction preceding the reported incident.,P0635|P0745
CASE001,2026-06-05T18:59:00,cdr_voice,cdr,CDR0090,voice 111s,P0344|P0172
CASE001,2026-06-05T19:59:00,cdr_voice,cdr,CDR0016,voice 539s,P0624|P0144
CASE001,2026-06-05T19:59:00,cdr_voice,cdr,CDR0213,voice 324s,P0201|P0089
CASE001,2026-06-05T22:59:00,cdr_voice,cdr,CDR0021,voice 30s,P0144|P0887
CASE001,2026-06-05T22:59:00,cdr_voice,cdr,CDR0099,voice 275s,P0172|P0508
CASE001,2026-06-05T22:59:00,cdr_sms,cdr,CDR0121,sms 354s,P0286|P0236
CASE001,2026-06-05T22:59:00,cdr_sms,cdr,CDR0227,sms 101s,P0508|P0935
CASE001,2026-06-06T03:59:00,cdr_voice,cdr,CDR0072,voice 271s,P0980|P0013
CASE001,2026-06-06T03:59:00,cdr_voice,cdr,CDR0118,voice 61s,P0083|P0286
CASE001,2026-06-06T04:59:00,transaction,transactions,TX0003,transfer amount=235000,ACC0255|ACC0088
CASE001,2026-06-06T04:59:00,transaction,transactions,TX0004,transfer amount=150000,ACC0088|ACC0377
CASE001,2026-06-06T06:59:00,cdr_sms,cdr,CDR0102,sms 585s,P0508|P0119
CASE001,2026-06-06T07:59:00,cdr_voice,cdr,CDR0166,voice 496s,P0887|P0608
CASE001,2026-06-06T07:59:00,cdr_sms,cdr,CDR0224,sms 386s,P0119|P0991
CASE001,2026-06-06T08:59:00,cdr_sms,cdr,CDR0012,sms 770s,P0536|P0624
CASE001,2026-06-06T08:59:00,cdr_voice,cdr,CDR0218,voice 21s,P0635|P0328
CASE001,2026-06-06T10:59:00,cdr_voice,cdr,CDR0150,voice 111s,P0887|P0239
CASE001,2026-06-06T13:59:00,vehicle_movement,timelines,CASE001-EVT024,Interaction preceding the reported incident.,P0344|P0172
CASE001,2026-06-06T13:59:00,cdr_voice,cdr,CDR0061,voice 327s,P0076|P0270
CASE001,2026-06-06T14:59:00,cdr_voice,cdr,CDR0131,voice 99s,P0967|P0475
CASE001,2026-06-06T16:59:00,cdr_voice,cdr,CDR0041,voice 480s,P0163|P0019
CASE001,2026-06-06T21:59:00,phone_call,timelines,CASE001-EVT001,Interaction preceding the reported incident.,P0981|P0520
CASE001,2026-06-06T21:59:00,cdr_sms,cdr,CDR0018,sms 296s,P0624|P0144
CASE001,2026-06-07T00:59:00,cdr_sms,cdr,CDR0024,sms 92s,P0887|P0607
CASE001,2026-06-07T00:59:00,location_co-location,location_events,CASE001-LE0001,seen at LOC0233,P0981
CASE001,2026-06-07T01:59:00,cdr_voice,cdr,CDR0002,voice 18s,P0981|P0520
CASE001,2026-06-07T01:59:00,cdr_voice,cdr,CDR0185,voice 548s,P0172|P0794
CASE001,2026-06-07T02:59:00,vehicle_movement,timelines,CASE001-EVT030,Interaction preceding the reported incident.,P0083|P0286
CASE001,2026-06-07T03:59:00,cdr_sms,cdr,CDR0229,sms 543s,P0907|P0233
CASE001,2026-06-07T05:59:00,cdr_voice,cdr,CDR0108,voice 358s,P0119|P0212
CASE001,2026-06-07T08:59:00,cdr_voice,cdr,CDR0082,voice 20s,P0269|P0867
CASE001,2026-06-07T09:59:00,cdr_sms,cdr,CDR0042,sms 837s,P0163|P0019
CASE001,2026-06-07T09:59:00,cdr_sms,cdr,CDR0154,sms 575s,P0119|P0025
CASE001,2026-06-07T10:59:00,cdr_voice,cdr,CDR0039,voice 543s,P0163|P0019
CASE001,2026-06-07T12:59:00,cdr_voice,cdr,CDR0058,voice 18s,P0107|P0076
CASE001,2026-06-07T12:59:00,cdr_sms,cdr,CDR0063,sms 66s,P0270|P0493
CASE001,2026-06-07T13:59:00,meeting,timelines,CASE001-EVT014,Interaction preceding the reported incident.,P0745|P0107
CASE001,2026-06-07T14:59:00,cdr_voice,cdr,CDR0112,voice 375s,P0338|P0083
CASE001,2026-06-07T15:59:00,cdr_voice,cdr,CDR0045,voice 855s,P0019|P0635
CASE001,2026-06-07T15:59:00,cdr_voice,cdr,CDR0179,voice 488s,P0236|P0478
CASE001,2026-06-07T17:59:00,cdr_sms,cdr,CDR0075,sms 464s,P0980|P0013
CASE001,2026-06-07T19:59:00,cdr_sms,cdr,CDR0010,sms 485s,P0536|P0624
CASE001,2026-06-07T19:59:00,cdr_voice,cdr,CDR0184,voice 206s,P0887|P0218
CASE001,2026-06-07T19:59:00,cdr_voice,cdr,CDR0211,voice 118s,P0469|P0050
CASE001,2026-06-07T21:59:00,cdr_sms,cdr,CDR0031,sms 695s,P0201|P0914
CASE001,2026-06-07T21:59:00,cdr_sms,cdr,CDR0223,sms 156s,P0286|P0622
CASE001,2026-06-07T22:59:00,cdr_voice,cdr,CDR0044,voice 580s,P0019|P0635
CASE001,2026-06-07T23:59:00,cdr_voice,cdr,CDR0004,voice 812s,P0981|P0520
CASE001,2026-06-07T23:59:00,cdr_voice,cdr,CDR0019,voice 636s,P0144|P0887
CASE001,2026-06-08T02:59:00,phone_call,timelines,CASE001-EVT027,Interaction preceding the reported incident.,P0119|P0212
CASE001,2026-06-08T02:59:00,cdr_voice,cdr,CDR0028,voice 137s,P0607|P0201
CASE001,2026-06-08T02:59:00,cdr_voice,cdr,CDR0109,voice 900s,P0212|P0338
CASE001,2026-06-08T03:59:00,cdr_voice,cdr,CDR0047,voice 89s,P0635|P0745
CASE001,2026-06-08T03:59:00,cdr_voice,cdr,CDR0129,voice 96s,P0861|P0967
CASE001,2026-06-08T04:59:00,cdr_voice,cdr,CDR0025,voice 554s,P0887|P0607
CASE001,2026-06-08T04:59:00,cdr_voice,cdr,CDR0064,voice 608s,P0270|P0493
CASE001,2026-06-08T04:59:00,transaction,transactions,TX0001,transfer amount=150000,ACC0358|ACC0361
CASE001,2026-06-08T04:59:00,transaction,transactions,TX0002,transfer amount=150000,ACC0361|ACC0255
CASE001,2026-06-08T04:59:00,transaction,transactions,TX0006,legitimate transfer amount=14561,ACC0753|ACC0169
CASE001,2026-06-08T04:59:00,transaction,transactions,TX0015,legitimate transfer amount=11783,ACC0737|ACC0120
CASE001,2026-06-08T04:59:00,transaction,transactions,TX0037,legitimate transfer amount=13328,ACC0082|ACC0404
CASE001,2026-06-08T04:59:00,location_co-location,location_events,CASE001-LE0002,seen at LOC0233,P0520
CASE001,2026-06-08T04:59:00,location_routine,location_events,CASE001-LE0005,seen at LOC0206,P0907
CASE001,2026-06-08T05:59:00,cdr_sms,cdr,CDR0127,sms 835s,P0321|P0861
CASE001,2026-06-08T05:59:00,cdr_voice,cdr,CDR0195,voice 471s,P0013|P0812
CASE001,2026-06-08T07:59:00,cdr_voice,cdr,CDR0074,voice 281s,P0980|P0013
CASE001,2026-06-08T08:59:00,cdr_voice,cdr,CDR0007,voice 677s,P0520|P0536
CASE001,2026-06-08T08:59:00,cdr_voice,cdr,CDR0033,voice 21s,P0914|P0469
CASE001,2026-06-08T08:59:00,cdr_voice,cdr,CDR0053,voice 466s,P0745|P0107
CASE001,2026-06-08T08:59:00,cdr_voice,cdr,CDR0137,voice 214s,P0475|P0038
CASE001,2026-06-08T08:59:00,cdr_sms,cdr,CDR0189,sms 343s,P0635|P0586
CASE001,2026-06-08T12:59:00,cdr_sms,cdr,CDR0071,sms 196s,P0824|P0980
CASE001,2026-06-08T13:59:00,cdr_voice,cdr,CDR0043,voice 734s,P0019|P0635
CASE001,2026-06-08T14:59:00,cdr_voice,cdr,CDR0046,voice 356s,P0635|P0745
CASE001,2026-06-08T15:59:00,cdr_voice,cdr,CDR0052,voice 755s,P0745|P0107
