event_id,case_id,timestamp,person_ids,location_id,event_type,description
CASE002-EVT005,CASE002,2026-04-15T22:17:00,P0905|P0417,LOC0068,meeting,Interaction preceding the reported incident.
CASE002-EVT006,CASE002,2026-04-20T09:17:00,P0905|P0082,LOC0084,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT007,CASE002,2026-04-15T03:17:00,P0905|P0925,LOC0123,phone_call,Interaction preceding the reported incident.
CASE002-EVT008,CASE002,2026-04-20T11:17:00,P0905|P0920,LOC0117,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT009,CASE002,2026-04-15T14:17:00,P0905|P0325,LOC0021,meeting,Interaction preceding the reported incident.
CASE002-EVT010,CASE002,2026-04-16T16:17:00,P0905|P0917,LOC0093,phone_call,Interaction preceding the reported incident.
CASE002-EVT011,CASE002,2026-04-20T17:17:00,P0905|P0060,LOC0018,meeting,Interaction preceding the reported incident.
CASE002-EVT012,CASE002,2026-04-16T07:17:00,P0905|P0063,LOC0015,phone_call,Interaction preceding the reported incident.
CASE002-EVT013,CASE002,2026-04-13T20:17:00,P0905|P0919,LOC0162,meeting,Interaction preceding the reported incident.
CASE002-EVT014,CASE002,2026-04-21T09:17:00,P0905|P0524,LOC0037,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT015,CASE002,2026-04-18T05:17:00,P0905|P0677,LOC0013,phone_call,Interaction preceding the reported incident.
CASE002-EVT016,CASE002,2026-04-14T03:17:00,P0905|P0730,LOC0198,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT017,CASE002,2026-04-21T04:17:00,P0905|P0003,LOC0300,phone_call,Interaction preceding the reported incident.
CASE002-EVT018,CASE002,2026-04-15T09:17:00,P0905|P0320,LOC0274,phone_call,Interaction preceding the reported incident.
CASE002-EVT019,CASE002,2026-04-17T17:17:00,P0905|P0552,LOC0158,phone_call,Interaction preceding the reported incident.
CASE002-EVT020,CASE002,2026-04-21T12:17:00,P0905|P0125,LOC0127,phone_call,Interaction preceding the reported incident.
CASE002-EVT021,CASE002,2026-04-20T23:17:00,P0905|P0916,LOC0227,phone_call,Interaction preceding the reported incident.
CASE002-EVT022,CASE002,2026-04-19T15:17:00,P0905|P0844,LOC0251,meeting,Interaction preceding the reported incident.
CASE002-EVT023,CASE002,2026-04-21T14:17:00,P0905|P0964,LOC0009,meeting,Interaction preceding the reported incident.
CASE002-EVT024,CASE002,2026-04-16T18:17:00,P0905|P0904,LOC0082,meeting,Interaction preceding the reported incident.
CASE002-EVT025,CASE002,2026-04-19T23:17:00,P0905|P0949,LOC0119,vehicle_movement,Interaction preceding the reported incident.
CASE002-EVT026,CASE002,2026-04-14T20:17:00,P0905|P0049,LOC0292,meeting,Interaction preceding the reported incident.
CASE002-EVT027,CASE002,2026-04-19T11:17:00,P0905|P0773,LOC0023,phone_call,Interaction preceding the reported incident.
CASE002-EVT028,CASE002,2026-04-14T21:17:00,P0905|P0234,LOC0093,meeting,Interaction preceding the reported incident.
CASE002-EVT029,CASE002,2026-04-18T22:17:00,P0905|P0663,LOC0207,meeting,Interaction preceding the reported incident.
CASE002-EVT030,CASE002,2026-04-14T09:17:00,P0905|P0182,LOC0134,phone_call,Interaction preceding the reported incident.
CASE002-EVT031,CASE002,2026-04-22T23:17:00,P0905,LOC0111,incident,Reported smuggling-style network incident.
CASE003-EVT001,CASE003,2025-12-31T23:29:00,P0037|P0154,LOC0244,vehicle_movement,Interaction preceding the reported incident.
CASE003-EVT002,CASE003,2025-12-31T22:29:00,P0217|P0605,LOC0249,vehicle_movement,Interaction preceding the reported incident.
CASE003-EVT003,CASE003,2026-01-04T16:29:00,P0037|P0990,LOC0115,meeting,Interaction preceding the reported incident.
CASE003-EVT004,CASE003,2026-01-03T03:29:00,P0217|P0423,LOC0285,phone_call,Interaction preceding the reported incident.
CASE003-EVT005,CASE003,2026-01-08T05:29:00,P0217|P0019,LOC0114,vehicle_movement,Interaction preceding the reported incident.
CASE003-EVT006,CASE003,2026-01-02T06:29:00,P0217|P0539,LOC0204,meeting,Interaction preceding the reported incident.
CASE003-EVT007,CASE003,2026-01-05T16:29:00,P0037|P0584,LOC0049,meeting,Interaction preceding the reported incident.
CASE003-EVT008,CASE003,2026-01-01T13:29:00,P0037|P0001,LOC0235,meeting,Interaction preceding the reported incident.
CASE003-EVT009,CASE003,2026-01-02T11:29:00,P0037|P1000,LOC0018,phone_call,Interaction preceding the reported incident.
CASE003-EVT010,CASE003,2026-01-04T13:29:00,P0217|P0894,LOC0182,meeting,Interaction preceding the reported incident.
CASE003-EVT011,CASE003,2025-12-31T12:29:00,P0217|P0351,LOC0300,vehicle_movement,Interaction preceding the reported incident.
CASE003-EVT012,CASE003,2025-12-30T10:29:00,P0037|P0421,LOC0040,meeting,Interaction preceding the reported incident.
CASE003-EVT013,CASE003,2026-01-06T18:29:00,P0037|P0173,LOC0196,phone_call,Interaction preceding the reported incident.
CASE003-EVT014,CASE003,2026-01-01T06:29:00,P0037|P0523,LOC0234,vehicle_movement,Interaction preceding the reported incident.
CASE003-EVT015,CASE003,2025-12-31T10:29:00,P0037|P0607,LOC0197,meeting,Interaction preceding the reported incident.
CASE003-EVT016,CASE003,2026-01-03T19:29:00,P0217|P0784,LOC0239,phone_call,Interaction preceding the reported incident.
CASE003-EVT017,CASE003,2026-01-09T06:29:00,P0037,LOC0047,incident,Reported financial fraud incident.
CASE004-EVT001,CASE004,2026-07-25T18:00:00,P0662|P0595,LOC0240,meeting,Interaction preceding the reported incident.
CASE004-EVT002,CASE004,2026-07-29T11:00:00,P0662|P0257,LOC0286,meeting,Interaction preceding the reported incident.
CASE004-EVT003,CASE004,2026-07-25T18:00:00,P0662|P0726,LOC0079,phone_call,Interaction preceding the reported incident.
CASE004-EVT004,CASE004,2026-07-20T04:00:00,P0662|P0841,LOC0181,meeting,Interaction preceding the reported incident.
CASE004-EVT005,CASE004,2026-07-27T13:00:00,P0662|P0976,LOC0077,meeting,Interaction preceding the reported incident.
CASE004-EVT006,CASE004,2026-07-24T18:00:00,P0662|P0081,LOC0130,vehicle_movement,Interaction preceding the reported incident.
CASE004-EVT007,CASE004,2026-07-28T02:00:00,P0662|P0179,LOC0167,phone_call,Interaction preceding the reported incident.
CASE004-EVT008,CASE004,2026-07-28T13:00:00,P0662|P0792,LOC0175,vehicle_movement,Interaction preceding the reported incident.
CASE004-EVT009,CASE004,2026-07-20T00:00:00,P0662|P0307,LOC0264,meeting,Interaction preceding the reported incident.
CASE004-EVT010,CASE004,2026-07-22T11:00:00,P0662|P0775,LOC0007,phone_call,Interaction preceding the reported incident.
CASE004-EVT011,CASE004,2026-07-28T22:00:00,P0662|P0964,LOC0075,meeting,Interaction preceding the reported incident.
CASE004-EVT012,CASE004,2026-07-30T18:00:00,P0662,LOC0252,incident,Reported warehouse theft incident.
CASE005-EVT001,CASE005,2026-04-07T05:48:00,P0509|P0765,LOC0205,phone_call,Interaction preceding the reported incident.
CASE005-EVT002,CASE005,2026-04-09T11:48:00,P0509|P0639,LOC0013,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT003,CASE005,2026-04-06T14:48:00,P0509|P0450,LOC0236,phone_call,Interaction preceding the reported incident.
CASE005-EVT004,CASE005,2026-04-12T00:48:00,P0509|P0705,LOC0045,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT005,CASE005,2026-04-05T23:48:00,P0509|P0327,LOC0008,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT006,CASE005,2026-04-04T15:48:00,P0509|P0414,LOC0103,phone_call,Interaction preceding the reported incident.
CASE005-EVT007,CASE005,2026-04-08T02:48:00,P0509|P0432,LOC0150,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT008,CASE005,2026-04-04T07:48:00,P0509|P0782,LOC0091,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT009,CASE005,2026-04-04T15:48:00,P0509|P0093,LOC0022,phone_call,Interaction preceding the reported incident.
CASE005-EVT010,CASE005,2026-04-05T15:48:00,P0509|P0622,LOC0168,vehicle_movement,Interaction preceding the reported incident.
CASE005-EVT011,CASE005,2026-04-13T07:48:00,P0509,LOC0069,incident,Reported missing-person investigation incident.
CASE006-EVT001,CASE006,2025-10-25T02:22:00,P0575|P0036,LOC0187,phone_call,Interaction preceding the reported incident.
CASE006-EVT002,CASE006,2025-11-01T12:22:00,P0036|P0095,LOC0032,meeting,Interaction preceding the reported incident.
CASE006-EVT003,CASE006,2025-11-03T03:22:00,P0575,LOC0263,incident,Reported procurement fraud incident.
CASE007-EVT001,CASE007,2026-05-25T11:03:00,P0207|P0303,LOC0028,phone_call,Interaction preceding the reported incident.
CASE007-EVT002,CASE007,2026-05-28T12:03:00,P0303|P0586,LOC0030,phone_call,Interaction preceding the reported incident.
CASE007-EVT003,CASE007,2026-05-26T13:03:00,P0586|P0918,LOC0095,meeting,Interaction preceding the reported incident.
CASE007-EVT004,CASE007,2026-05-25T09:03:00,P0267|P0584,LOC0197,meeting,Interaction preceding the reported incident.
CASE007-EVT005,CASE007,2026-05-25T12:03:00,P0584|P0053,LOC0099,phone_call,Interaction preceding the reported incident.
CASE007-EVT006,CASE007,2026-05-27T05:03:00,P0053|P0158,LOC0041,meeting,Interaction preceding the reported incident.
CASE007-EVT007,CASE007,2026-05-24T08:03:00,P0918|P0267,LOC0206,meeting,Interaction preceding the reported incident.
CASE007-EVT008,CASE007,2026-05-30T21:03:00,P0207,LOC0069,incident,Reported organized theft incident.
CASE008-EVT001,CASE008,2025-08-08T21:17:00,P0922|P0913,LOC0108,meeting,Interaction preceding the reported incident.
CASE008-EVT002,CASE008,2025-08-08T15:17:00,P0922|P0220,LOC0143,meeting,Interaction preceding the reported incident.
CASE008-EVT003,CASE008,2025-08-08T07:17:00,P0922|P0004,LOC0150,meeting,Interaction preceding the reported incident.
CASE008-EVT004,CASE008,2025-08-02T06:17:00,P0922|P0066,LOC0152,meeting,Interaction preceding the reported incident.
CASE008-EVT005,CASE008,2025-08-11T02:17:00,P0922|P0414,LOC0245,phone_call,Interaction preceding the reported incident.
CASE008-EVT006,CASE008,2025-08-04T00:17:00,P0922|P0954,LOC0227,meeting,Interaction preceding the reported incident.
CASE008-EVT007,CASE008,2025-08-11T17:17:00,P0922|P0788,LOC0177,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT008,CASE008,2025-08-02T14:17:00,P0922|P0722,LOC0055,phone_call,Interaction preceding the reported incident.
CASE008-EVT009,CASE008,2025-08-07T20:17:00,P0922|P0463,LOC0209,meeting,Interaction preceding the reported incident.
CASE008-EVT010,CASE008,2025-08-09T10:17:00,P0922|P0945,LOC0298,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT011,CASE008,2025-08-02T12:17:00,P0922|P0662,LOC0049,meeting,Interaction preceding the reported incident.
CASE008-EVT012,CASE008,2025-08-02T08:17:00,P0922|P0298,LOC0195,meeting,Interaction preceding the reported incident.
CASE008-EVT013,CASE008,2025-08-12T01:17:00,P0922|P0667,LOC0035,phone_call,Interaction preceding the reported incident.
CASE008-EVT014,CASE008,2025-08-08T08:17:00,P0922|P0876,LOC0258,phone_call,Interaction preceding the reported incident.
CASE008-EVT015,CASE008,2025-08-03T19:17:00,P0922|P0941,LOC0276,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT016,CASE008,2025-08-02T22:17:00,P0922|P0593,LOC0196,meeting,Interaction preceding the reported incident.
CASE008-EVT017,CASE008,2025-08-02T11:17:00,P0922|P0885,LOC0121,phone_call,Interaction preceding the reported incident.
CASE008-EVT018,CASE008,2025-08-03T22:17:00,P0922|P0459,LOC0060,meeting,Interaction preceding the reported incident.
CASE008-EVT019,CASE008,2025-08-07T06:17:00,P0922|P0736,LOC0088,phone_call,Interaction preceding the reported incident.
CASE008-EVT020,CASE008,2025-08-08T08:17:00,P0922|P0218,LOC0029,phone_call,Interaction preceding the reported incident.
CASE008-EVT021,CASE008,2025-08-02T13:17:00,P0922|P0108,LOC0299,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT022,CASE008,2025-08-06T11:17:00,P0922|P0377,LOC0291,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT023,CASE008,2025-08-10T10:17:00,P0922|P0844,LOC0064,phone_call,Interaction preceding the reported incident.
CASE008-EVT024,CASE008,2025-08-06T11:17:00,P0922|P0490,LOC0098,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT025,CASE008,2025-08-05T09:17:00,P0922|P0205,LOC0126,meeting,Interaction preceding the reported incident.
CASE008-EVT026,CASE008,2025-08-09T11:17:00,P0922|P0351,LOC0225,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT027,CASE008,2025-08-07T14:17:00,P0922|P0135,LOC0112,meeting,Interaction preceding the reported incident.
CASE008-EVT028,CASE008,2025-08-02T19:17:00,P0922|P0001,LOC0166,phone_call,Interaction preceding the reported incident.
CASE008-EVT029,CASE008,2025-08-09T10:17:00,P0922|P0902,LOC0216,phone_call,Interaction preceding the reported incident.
CASE008-EVT030,CASE008,2025-08-09T11:17:00,P0922|P0926,LOC0221,phone_call,Interaction preceding the reported incident.
CASE008-EVT031,CASE008,2025-08-08T00:17:00,P0922|P0154,LOC0044,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT032,CASE008,2025-08-03T15:17:00,P0922|P0966,LOC0190,phone_call,Interaction preceding the reported incident.
CASE008-EVT033,CASE008,2025-08-06T21:17:00,P0922|P0763,LOC0186,meeting,Interaction preceding the reported incident.
CASE008-EVT034,CASE008,2025-08-10T15:17:00,P0922|P0408,LOC0069,meeting,Interaction preceding the reported incident.
CASE008-EVT035,CASE008,2025-08-09T10:17:00,P0922|P0195,LOC0217,meeting,Interaction preceding the reported incident.
CASE008-EVT036,CASE008,2025-08-06T17:17:00,P0922|P0447,LOC0097,meeting,Interaction preceding the reported incident.
CASE008-EVT037,CASE008,2025-08-05T10:17:00,P0922|P0470,LOC0077,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT038,CASE008,2025-08-06T02:17:00,P0922|P0188,LOC0141,phone_call,Interaction preceding the reported incident.
CASE008-EVT039,CASE008,2025-08-09T06:17:00,P0922|P0806,LOC0141,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT040,CASE008,2025-08-09T23:17:00,P0922|P0505,LOC0276,phone_call,Interaction preceding the reported incident.
CASE008-EVT041,CASE008,2025-08-09T17:17:00,P0922|P0774,LOC0166,phone_call,Interaction preceding the reported incident.
CASE008-EVT042,CASE008,2025-08-10T21:17:00,P0922|P0023,LOC0133,phone_call,Interaction preceding the reported incident.
CASE008-EVT043,CASE008,2025-08-11T16:17:00,P0922|P0555,LOC0097,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT044,CASE008,2025-08-09T21:17:00,P0922|P0996,LOC0164,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT045,CASE008,2025-08-03T13:17:00,P0922|P0661,LOC0002,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT046,CASE008,2025-08-10T01:17:00,P0922|P0760,LOC0290,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT047,CASE008,2025-08-06T14:17:00,P0922|P0212,LOC0268,phone_call,Interaction preceding the reported incident.
CASE008-EVT048,CASE008,2025-08-09T23:17:00,P0922|P0746,LOC0300,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT049,CASE008,2025-08-08T09:17:00,P0922|P0333,LOC0043,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT050,CASE008,2025-08-02T17:17:00,P0922|P0669,LOC0183,meeting,Interaction preceding the reported incident.
CASE008-EVT051,CASE008,2025-08-11T12:17:00,P0922|P0908,LOC0188,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT052,CASE008,2025-08-10T16:17:00,P0922|P0777,LOC0285,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT053,CASE008,2025-08-08T18:17:00,P0922|P0528,LOC0058,meeting,Interaction preceding the reported incident.
CASE008-EVT054,CASE008,2025-08-06T12:17:00,P0922|P0586,LOC0038,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT055,CASE008,2025-08-02T21:17:00,P0922|P0451,LOC0282,meeting,Interaction preceding the reported incident.
CASE008-EVT056,CASE008,2025-08-02T23:17:00,P0922|P0617,LOC0237,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT057,CASE008,2025-08-03T10:17:00,P0922|P0043,LOC0217,meeting,Interaction preceding the reported incident.
CASE008-EVT058,CASE008,2025-08-09T16:17:00,P0922|P0318,LOC0015,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT059,CASE008,2025-08-11T11:17:00,P0922|P0035,LOC0205,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT060,CASE008,2025-08-03T18:17:00,P0922|P0674,LOC0258,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT061,CASE008,2025-08-12T01:17:00,P0922|P0085,LOC0118,phone_call,Interaction preceding the reported incident.
CASE008-EVT062,CASE008,2025-08-02T20:17:00,P0922|P0375,LOC0211,meeting,Interaction preceding the reported incident.
CASE008-EVT063,CASE008,2025-08-02T11:17:00,P0922|P0148,LOC0025,meeting,Interaction preceding the reported incident.
CASE008-EVT064,CASE008,2025-08-08T10:17:00,P0922|P0860,LOC0177,phone_call,Interaction preceding the reported incident.
CASE008-EVT065,CASE008,2025-08-09T12:17:00,P0922|P0229,LOC0279,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT066,CASE008,2025-08-04T20:17:00,P0922|P0964,LOC0022,phone_call,Interaction preceding the reported incident.
CASE008-EVT067,CASE008,2025-08-04T17:17:00,P0922|P0424,LOC0253,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT068,CASE008,2025-08-04T07:17:00,P0922|P0289,LOC0185,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT069,CASE008,2025-08-06T21:17:00,P0922|P0293,LOC0060,meeting,Interaction preceding the reported incident.
CASE008-EVT070,CASE008,2025-08-07T15:17:00,P0922|P0805,LOC0016,meeting,Interaction preceding the reported incident.
CASE008-EVT071,CASE008,2025-08-08T15:17:00,P0922|P0049,LOC0229,meeting,Interaction preceding the reported incident.
CASE008-EVT072,CASE008,2025-08-07T20:17:00,P0922|P0301,LOC0114,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT073,CASE008,2025-08-09T13:17:00,P0922|P0171,LOC0219,vehicle_movement,Interaction preceding the reported incident.
CASE008-EVT074,CASE008,2025-08-13T02:17:00,P0922,LOC0015,incident,Reported courier-based criminal network incident.
CASE009-EVT001,CASE009,2026-07-15T16:03:00,P0763|P0399,LOC0137,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT002,CASE009,2026-07-14T03:03:00,P0763|P0967,LOC0202,phone_call,Interaction preceding the reported incident.
CASE009-EVT003,CASE009,2026-07-16T10:03:00,P0399|P0967,LOC0172,phone_call,Interaction preceding the reported incident.
CASE009-EVT004,CASE009,2026-07-16T04:03:00,P0399|P0979,LOC0069,phone_call,Interaction preceding the reported incident.
CASE009-EVT005,CASE009,2026-07-17T02:03:00,P0967|P0979,LOC0066,phone_call,Interaction preceding the reported incident.
CASE009-EVT006,CASE009,2026-07-13T07:03:00,P0967|P0013,LOC0085,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT007,CASE009,2026-07-13T04:03:00,P0979|P0013,LOC0216,phone_call,Interaction preceding the reported incident.
CASE009-EVT008,CASE009,2026-07-20T01:03:00,P0979|P0351,LOC0120,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT009,CASE009,2026-07-19T08:03:00,P0013|P0351,LOC0001,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT010,CASE009,2026-07-11T01:03:00,P0013|P0838,LOC0294,meeting,Interaction preceding the reported incident.
CASE009-EVT011,CASE009,2026-07-15T16:03:00,P0351|P0838,LOC0126,phone_call,Interaction preceding the reported incident.
CASE009-EVT012,CASE009,2026-07-11T16:03:00,P0351|P0016,LOC0252,phone_call,Interaction preceding the reported incident.
CASE009-EVT013,CASE009,2026-07-17T21:03:00,P0838|P0016,LOC0225,meeting,Interaction preceding the reported incident.
CASE009-EVT014,CASE009,2026-07-16T00:03:00,P0838|P0472,LOC0104,phone_call,Interaction preceding the reported incident.
CASE009-EVT015,CASE009,2026-07-19T21:03:00,P0016|P0472,LOC0058,meeting,Interaction preceding the reported incident.
CASE009-EVT016,CASE009,2026-07-12T19:03:00,P0016|P0529,LOC0115,meeting,Interaction preceding the reported incident.
CASE009-EVT017,CASE009,2026-07-15T06:03:00,P0472|P0529,LOC0055,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT018,CASE009,2026-07-17T16:03:00,P0472|P0137,LOC0110,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT019,CASE009,2026-07-18T12:03:00,P0529|P0137,LOC0207,meeting,Interaction preceding the reported incident.
CASE009-EVT020,CASE009,2026-07-18T05:03:00,P0529|P0141,LOC0145,phone_call,Interaction preceding the reported incident.
CASE009-EVT021,CASE009,2026-07-19T22:03:00,P0137|P0141,LOC0247,phone_call,Interaction preceding the reported incident.
CASE009-EVT022,CASE009,2026-07-11T16:03:00,P0137|P0029,LOC0069,meeting,Interaction preceding the reported incident.
CASE009-EVT023,CASE009,2026-07-19T23:03:00,P0141|P0029,LOC0008,phone_call,Interaction preceding the reported incident.
CASE009-EVT024,CASE009,2026-07-17T08:03:00,P0141|P0858,LOC0212,phone_call,Interaction preceding the reported incident.
CASE009-EVT025,CASE009,2026-07-20T06:03:00,P0029|P0858,LOC0242,meeting,Interaction preceding the reported incident.
CASE009-EVT026,CASE009,2026-07-20T05:03:00,P0029|P0012,LOC0266,phone_call,Interaction preceding the reported incident.
CASE009-EVT027,CASE009,2026-07-11T07:03:00,P0858|P0012,LOC0233,phone_call,Interaction preceding the reported incident.
CASE009-EVT028,CASE009,2026-07-16T20:03:00,P0858|P0871,LOC0168,meeting,Interaction preceding the reported incident.
CASE009-EVT029,CASE009,2026-07-19T22:03:00,P0012|P0871,LOC0228,phone_call,Interaction preceding the reported incident.
CASE009-EVT030,CASE009,2026-07-15T04:03:00,P0012|P0055,LOC0293,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT031,CASE009,2026-07-18T23:03:00,P0871|P0055,LOC0010,vehicle_movement,Interaction preceding the reported incident.
CASE009-EVT032,CASE009,2026-07-12T22:03:00,P0871|P0725,LOC0234,phone_call,Interaction preceding the reported incident.
