case_id,merkle_root,n_evidence_items,chain_head_hash
CASE021,8cf5d54f0019e4d0c631e770c3c3f5101a5e1c68a903b9ed3e05fae827b9474e,242,696d8cb5cc8578f20c71198df4777c1dfaca8c4e3dcdea3123145e85d96db217
CASE022,54aa40c5aea6aaa4114af07e211ca3b946fae0d50cd66ca95535029bcb4fd92d,164,460df1ee6ac0258030142be97777803167e0af51ff177a9c469e8ff44d5f3d62
CASE023,6677059b61d7f34e4a84681aeaba5bbe85ac1a927288da15aec6bb375217714a,449,ac37ce0e8336a834b1662dfb3d872d095d6e7fd62926eebe54a39bb684f794fb
CASE024,a0b8719f4f998f7295ad511b7940ec2f26a7027ae03150e276f86a2924c42691,354,79a9f684afc6dfaa5bf236cd74e2c38fe95bc31a44d01634322ad639fdcb9ca5
CASE025,eb24d9d17754c821f51c7a918e9365b9962036c267dec058eeee94eba8042b50,205,30ee31419722b947f3acbf55be8ebcb3a2f38c7c846af1b0721034cef5b3ec81
CASE026,d729a7e5e7bcf707ff9672b4bafe59645e3b64da81d7fcfa95d16a17cbec72e3,266,8debe44fcea99030c6887826286c5a5040ae4731930847ab1dd1da5a12c23836
CASE027,f4f016ad6dc97a72de15cff2d78cada833298a51e4ce3e8757ce16ae9652dcf7,276,a4a7d1565b38d93ff59fccd784d7f665c56b782f9c444da48d611973e5f13282
CASE028,d83a2d493fb97dc01fb9827cf6c244e072a26d70b7c2ccd9c1a080cda4f012f1,197,e9a216a7c444f948cde12437d4a714fdf548eacec72dec4b3571d8584a6b688d
CASE029,b8ccdfe096d96baf92ee13abd1479335b9c57e6e5ad1b368c9ec050b042203a1,177,cd2614e22e8e873b47adf6f79cf90ca7d783bbf0e3d8b53cd184c1668bf7b6d6
CASE030,6b5c0980474f63a4ca17a671b9e14659b95ea4d3de3e14932a8b933c1cf74f18,210,e69947a28f2f057646a023ad9df4d7481fe717f034b528dd2e44c2b5eb222582
CASE031,614a5e000af71fbe58fb47f9bdd09410fa9e15f2371b9374bd07839607dffe5e,298,281f28c013b54749745d9bcba44a41e8113c51fc33edfa9c3d101e26322c9707
CASE032,ccb0364ffbb8fc2997d186ca8b00f3de77ce0e5c1399e3e003bc696b0b2159c1,195,d9cb527a179997a3fb707c853ac52cac05ca76ea803626abefc7bb148882bf41
CASE033,03af8def1ca7b5525c6d1b64b07bd8dd96ba86aa160e9a91ef597279741b7a49,204,bf70506f9dee8a030334b3a2dc263b065efdb9dfb61ed0eed08dec0464713287
CASE034,0849947b21c2e959462b1ae3f187ef87192cd7d6d74c0cae45252f779a6d0ed1,154,940e3fdb4bc89d1a2128a48d6f6c3e09e39e7aa5b745fb1a71a0837ff0a38cef
CASE035,5e39570d865eee364ea03816639c200006ff8b3725b1f4252bcf1154c5d37b8d,351,f4ab833180040bd2420653d746db6db5ffb10a8dbe3029e07589bf68a06f3186
CASE036,9fad43b1528bee306ad0847a1dbff43fbd3c29aa6cf51e0d488797b935b3a567,180,ebdcc49dfb1b6af5f676324acf059251cf6607c504ab43e324efa65cdf64c762
CASE037,8cdd4f462e21bea35bb6a6a4518c5b533e97bbcf3372fc144ae2e86f67b5d2ca,213,59b8cdcba726549219646854fc3776c10ac04a7e520aec6dcf907607ce3f9dd3
CASE038,3d464a131d1010794065d572bac86faa8563e8a7bd49981ca037cd1bdf13334b,183,5a9bd2f2ec636364fc36488f1c1e0bcbac1ee2bbf41c0b88fc067fed510a0485
CASE039,2a933c5374932de1914a2dff844628132fa04aadacbaa4fef2b65f16493ff4d0,571,c63ce843b45bf36cd50ac6ff4aa029c7ba30604fa044b6e9b3def9b6c6bbfb44
CASE040,964ae110cae01b4b4eb58521383848874adef2ee360af59b5a4543ffd8f40fa8,155,6a73474f3247256ec5997fffee5d98cefe492a35795f73efc6360c5e6dce4772
CASE041,3c7dbf086ed2a24e67447c7638e12ff8f2d2ba3d5b176874b61da67bde48296c,355,f957a6beabbb990dc276105bb2eb59519d4331629bfd975d71d2696ee5481e31
CASE042,bb82830d2b688066b538de369131c2acb0b5fb670598b2e9167dbc5ab1f339bc,226,3afa2a8a8fa3fa675bd05034e312cf34d0776c3e7f49df66ea70667191bc567d
CASE043,00eff080f39a1510a89d830d37a265319b79bf90366dbf2b51d7632dd4bc282e,169,d9232ce7f34be1a03dc662035875f72cfa3275ca176360daa8d1d3cfe31b8f61
CASE044,eb506464a0eb3638fe894c146981cfba8c6caf7804b5a0085ce7cf6801bca23e,210,9f4479f15b6fdeb7dec9440fbbf61f7df7193f52659243ce6c1910a96d56bd05
CASE045,125f36ae293ee60e32c7036dfac819c4485e21060d9a783d905f5fb7268c81ec,203,aec077da140d47abde80653ba01e61cfecbf7433efe35d7b6a29d38dad3112df
CASE046,d261cf91c42fdafec143b48230e4a7f7f408781a6e1681e629826c49dd0584c8,158,fbae8ab1b0c4edad63b736352392ed7a3aa3ace92b6d8ddbbe14efd908997090
CASE047,49158b553bb2867948ce9f35be9e6375520d9fd41bc8db1bd8af09d8cf129217,168,e7e63cf1f138af13ae8d88b41700d7bb797129c33f24fb3e3a63020c4d8dc74a
CASE048,e8727c74d5f0d1d962a0943cb1620ed56469ccd67c5d23baf5b29f0356c00dae,241,2994d7966fa5ed9545a6b7507a96f7050a9cf79acf2478a78951150233ba364b
CASE049,a9c1e5c4a58237a4db1e356b6bf88b55928450a0e55059981dbd5b22326beefc,201,2736ddf1a94b17227ba2d508971d54cc48826438bb5bdcd5a82ec8c443149f07
CASE050,bf7746f4a13e508d7e5035f59143b17f89b329c4c3243aef8cfb5027baa3b0fd,330,591813aa40fcd0c122a4a26fa1944d36884a3f30e78c30078f6490f40cec775b
CASE051,286898dfa4b40208069255630a64e60be90766a0de39853f24f95bd42bdd28b2,161,631be8a3c9551001def969463e86ae3f0305cf34eaf363f94bf0c894706d4bc6
CASE052,59b313bc7e8b46f2e84fbc2f979b4fd929ab2d3cce7e71d25ea88d88901ccf68,161,a4f17344a2b06afb1183f20a845e062fa5ef0221e76832dc540d85f02810a107
CASE053,b4b552ef8c0cd58e9f7198192f94c45c14dd999d4b003e299b3a330d05d8b6a6,194,061a396fe61cd140432cbddd8aeb4c00fdecf6355ba30b93ad60915ab2c99a68
CASE054,5587459998802e50bd6c4dc39a60f7b09523e1d4fb1499cc1950736c4366a825,163,9d24d58dc3ab20be1cc912168500a1fbc84657b2a366ec23fe4a969f0c66c930
CASE055,b0f8609409dc0758f32cc0257405eff8a99a871a83f929ea33ba00d4ebaf8ecc,188,d8992b6188569f5a6b0a2a84d83dc1d6991a62e1be4aebe64298ab40d65888b9
CASE056,f30b843b6638c41a3a206dd39e8c9b9a64a8d43c1a15a712487f5639ea0b0f74,376,c5f5490ff0d64cf902c35bcc5f860ac8f8609a22275b6a9172fb55b87c438a6b
CASE057,39057f4646d3709ee2e2f7a3ce979526439fabaa840ee684f37900bd1b9807c3,157,a0a0af3ff811622f6d196132a8b66a822c8b445e3892d4ec6051afcc217886cd
CASE058,815bf0b8aced41edb4dcd2b16ba659d1c241d97ce7d960b0a2e9b8c3ecf81bbc,203,284814305417ea652dc37c0264c423dad8cd43e66f366798124c70e15132b944
CASE059,cfdbcabf5b2e699d4db9b1479072b4abdfac7bfd5c14fc4940b065db28f8da69,338,f3ddd9f63d2f1d0a6d3be8dc4f8e43b77b5f434643353aac2adfeb3b276cf914
CASE060,d4f4a79df50d8ba81c1a2f4364afe2bd9dea6bfd579ac62663d47ffe5a1de2a6,304,446ded9731a18803e66aab000b3c44d0445f03e577d83b0977f0045b7485620f
CASE061,8166fe067b5bcfe4ce85ad3af97ca3bf4162dfa925173031055da4ac5366fb4e,448,b2ac17aa34809dca79719af4597cf916a2c8bcdeef7cade21c1f772b9f19b0cf
CASE062,bb54ebe89c5029288de4fe8722ba5758e2107679719dfad509ea5c6cc272f17f,333,f0ae552488b5bf106ce9a74a2cebe74e68146d0d0ecd12c6e14e2115e45fdcef
CASE063,18e6a727a0a52dc3d91819e5dd147d49bc7d8d2243ad06b35392fdfbb2724f4c,371,ac93281ac4eee1aa7c6759e653d85adeedcbc0534373886326dcd067d5934c0c
CASE064,60a3c5f784fdbc2d672be786088bd3400f5ae75678af64db3253a19372e4d145,174,5214ab79771c94d1a3322a514d8584ef5f25bf4e0692f4d813e5aa861bf22aa1
CASE065,5f0a64b7da46ce416f6cdf6b80eda2e2415340ac62cfe493f482388c068039a1,173,f54303545a7707931434a07f328f005ede9a1f381c6df88ff4abbeb832225a6a
CASE066,73a86c359b3e5b13bed7687fb1b3a8943ce82ee2af25ccf8fe77b837ea8836e3,424,97384a0f35e0e14153e796de3f2d90e0bef083261a480cc75f23e4df5fe2302d
CASE067,a7cd877e11f3b61f405bea52fca08d583c5f941e78a951499d9d24812985cb7b,152,b3096b23a0713410468ac6cc13794d572b675b2c3fbf9d33c7495a67060fb25a
CASE068,dbeb568004ed7c41de7047d2d9b9876cb1a4f8eba619ced901a9f973b0866a6b,275,5b68d50e05ad17e858db869ab8c28581161d8eea93d98626c1ecc8a0d859ab1c
CASE069,84b10cc5fe3a80244f65b54ecdd16804e7f79c6ed883a34aab0408c3c3cc1ace,221,1532354c2136f287814eb2ee3f2d08235ee148fe274584a1fb0f2a5b884a1e0e
CASE070,a798e1e3acc974d30861df3abebfc2d1d4144e86e7570b9191dc5cd3f0a39335,242,71c524f095502f0fe204d45ad4f7d4a180cca970268633acfd0395bd8fc0e2f1
CASE071,3151560e6e459eefd5615137ee81454f4a081be7eae3758421252f6d6291fab3,328,b24e2f632c05a59ed236ea785c431538ee82fa6cf61203d3abea3d3fc3ca3b29
CASE072,2afd24778381999218d367c7597037d21514eb1673c030df89d8906d80059c13,426,becf6d186ea72c487cf4a70499c8ff371cedf9965374e5d0dd744dabe3d3dcbd
CASE073,d8c86ed029a38252672eaef022e04d394dd73ef7c2629fe8c8f0f72442a5fe2c,320,b102769e725d4bd58309e38843957afa9ed6afa812d361f0b541066ff3942aae
CASE074,cd45a4c8b274337f0339075bd665912f7c49995b7804584e06b5e84ed9866d85,447,3b7246d8f2f3e94c9b338b631c62768a36c831b2f24892929372f5e9b2989afd
CASE075,7ee0a1484cf5b2a08d2cff8ad2495048da5b6d0003de3a5860b73cf98999dcaa,167,822d5d19c9644ae4bf84593baf6ff43d652c0e842b3337fc9b7d78950bbd0f69
CASE076,39adb803c2fbe3ded096ddbfd0cd4a52d28f8a8168619e1d7ba70a563e9df522,160,7229c2c8cc179a5a192b5b7f2a7616a1247db18f278713754580b30dc7e3a876
CASE077,e8001a8fd68221b6d85d7aa19adad5565499987615de1aa8a0e37e94e963e276,345,29c37a2c90f1bce36b17ac8bbe33cb7cab1ba7aa8fdcce266b106216d9028197
CASE078,9c045ebaf86d43a8f6b182af22f59f2ffde596a3ca1b14a94088b7eebf05efc2,370,bab81eecab92dbe8c24d6f3d119652c79fe5ef0321a94d092ecf22e45215d80d
CASE079,2d74ee1cc1967eb1f2dd9fecb5072e92fea5ca73737b97486183f81e8afe5f19,278,6b0ea5a0349836a13f7b9876c3040078d7540411774f5c60065dc8c7932021d6
CASE080,0f7950a1e8e67bb6b9a557e8b3ff4e3541f5ecce81aa2483097bca6cdeef5d3a,215,45e52082a1e5aea4cbe13dd1c41d2c6861effb8a6a2e167d5026385663c3c1ee
CASE081,520eace5e00236b0a366dd76727476d57d22b0073889c987320f95fd32823e99,448,2ccebd38d01f6c1277603d34473bb08a127bf6b7d4b6ce431f11690cdd5ccf8e
CASE082,57e2d37ca7b32c392fa6d2f44187028d04a64b0aff26310c70c4c25fcb30decc,267,b61cc9b7fcfa6d9f7fe4b4e58a4a0ab6b66f0b6d8518fa52594fa2b159b1886e
CASE083,ba49a7e723f8da68d5561228940978f43dae52fab229b46ce38e3557f3555bc0,257,95ba3a67c5c74d8e011b642c576daa89c18c0d0f7c57d972b134021c6a5a6f33
CASE084,e332a310b6b035d13b1bb727d55505cfc136c0f441d81ed033c04e2e3e39d8a1,349,f0a489c044d63f2b84867e189a33e0a3ae0f182efe7811fb7ff8a8785f5ced2f
CASE085,40408aefa95d5df748fb47ba954a8631fd4d5ede87275a9e1055d6cbce056699,178,914233cc6790c59c4479252dc11cd3405832c6f802011dac2fa8523ca552ad7e
CASE086,a9a1475413fd9dad0035d5bf08b8a079cbf4b297e1b2b30bd2163b4882ef8bb1,204,270cbdcc449775261b00f8805b8c9febd1d4be7001aa575a947a20d603e322ad
CASE087,eb8861e839825ba32b6a3ba76e1d013f0bbb45f35b79b80ab0ae99d507a3f9e3,174,5074f95e84e76d7e31513c535684131eb12c77035a0d5c08fda1eb86b992e5c1
CASE088,8430b23af6336ef237bf2f64dfd5a1081ff3a492eb219538a060c03c75a28b7a,199,df34c8c28e80718a6011cc0a81298fe3a642340df5560c4acb57883bc4a67679
CASE089,4454242f438c5865bd0f3967ee39473621cd95bdf954fd792e2c5752c05ece3a,168,d4d76fc7099d3bd6da8e4084779788422eb822446732e8f76e1e19fbee2f8aa4
CASE090,99b55dfbe451163afe8470015e8fa101a5f0fbbfdfe0c5a7b5459d9b3e6ce366,459,1502f5da7d3158785a47c27978b03f056584bd4cc0cc157ce68780f41cf2870c
CASE091,5d49617d3415679c78a847a390d45bf810ec69ab919846a1b1de2adeb22c617c,180,72a0ef7dafb7831a032211089e842d4c75017db6874df908895e609662b74cf0
CASE092,288c6c8707693193126bf9b18a194da667b089ca81f0ef185ca442ed9f4c5581,200,1e68f18cc761f0ad526ec4aaf66cb1113e80c86fe9addb40533839ef0b100fe2
CASE093,9493d96a7f98b3c4a47925d435a47f967fa711a7de30881c8b5d53e6fd3b285c,175,5124081447274e2ba30e34001c03785401b9af6ce7c47b2b2aa7d97d4d453027
CASE094,70a44fc23b8a61cc495fa9b91eb4c53bdd21caebf9c40f774b7812782a5ee9e2,356,d1818c1d8c404feffb58d79a0ad75f8854cf33316e8e675fc5421b8b43a00446
CASE095,c184e4903ffd5fc072afc6951eaed96717b94e36bf0a2148f134e807ff9030cb,232,d107aace8163e8354e1d79fe6c5ae863c640ba2fb8b55996e24d645ef117129b
CASE096,39bcb27e87dcdbf6093c5e0642f3db2d982eb9e8fa29fa2ee82a66358ea2038c,394,414b4570d76f2379c35b4679a6ad84b847ddcfcaa4619777bc6b11c4e0692bf4
CASE097,3562b19d697014affc639359ab766d828b7e37b0f4f95a43a9c4b7618f6973c5,243,1637f148b4bc3a6a0ee05e89ed0f15647b9aa7f79e9bcac91ef8a22de7504b94
CASE098,7b7618af9f9b5c0f01c1e4169ed109dd9b3227f7bc90653ce73b2b89687a5c81,171,c3160e814b2bd4e86aacc196a4c3dbbd1a2834406ea2431a69676de17bfe2883
CASE099,3b4a8c61ef46cf72177d1545abd547170ee417b53837d8962c5b707a61635159,451,fc60ef48ea30ff1ca87286dba7972cf4797a986b021accc4aa89189f40453d5b
CASE100,b837d5369e564e2bbe0c19dbfda55b161fa7fa3beea5c699b205348213af60e3,208,cf7111324313a1040e73480cb5d7f1c58a47eb30a2ab5bfffe1f28a3b93dad0d
