event_id,case_id,true_person_id
CASE050-CCTV0194,CASE050,P0980
CASE070-CCTV0195,CASE070,P0351
CASE035-CCTV0196,CASE035,P0315
CASE005-CCTV0197,CASE005,P0154
CASE014-CCTV0198,CASE014,P0917
CASE018-CCTV0199,CASE018,P0065
CASE062-CCTV0200,CASE062,P0369
CASE038-CCTV0201,CASE038,P0526
CASE100-CCTV0202,CASE100,P0787
CASE070-CCTV0203,CASE070,P0428
CASE085-CCTV0204,CASE085,P0867
CASE056-CCTV0206,CASE056,P0387
CASE071-CCTV0208,CASE071,P0986
CASE033-CCTV0209,CASE033,P0156
CASE098-CCTV0210,CASE098,P0571
CASE028-CCTV0211,CASE028,P0917
CASE075-CCTV0212,CASE075,P0803
CASE071-CCTV0214,CASE071,P0835
CASE066-CCTV0215,CASE066,P0635
CASE025-CCTV0216,CASE025,P0692
CASE099-CCTV0217,CASE099,P0775
CASE093-CCTV0218,CASE093,P0898
CASE002-CCTV0221,CASE002,P0032
CASE060-CCTV0222,CASE060,P0898
CASE083-CCTV0224,CASE083,P0422
CASE096-CCTV0225,CASE096,P0441
CASE031-CCTV0226,CASE031,P0148
CASE034-CCTV0227,CASE034,P0968
CASE016-CCTV0228,CASE016,P0254
CASE098-CCTV0229,CASE098,P0195
CASE042-CCTV0231,CASE042,P0967
CASE059-CCTV0232,CASE059,P0879
CASE071-CCTV0233,CASE071,P0079
CASE095-CCTV0234,CASE095,P0016
CASE081-CCTV0235,CASE081,P0689
CASE051-CCTV0236,CASE051,P0913
CASE016-CCTV0237,CASE016,P0478
CASE052-CCTV0238,CASE052,P0860
CASE011-CCTV0239,CASE011,P0361
CASE088-CCTV0243,CASE088,P0260
CASE063-CCTV0244,CASE063,P0672
CASE007-CCTV0245,CASE007,P0454
CASE065-CCTV0247,CASE065,P0767
CASE042-CCTV0248,CASE042,P0844
CASE067-CCTV0249,CASE067,P0452
CASE011-CCTV0250,CASE011,P0091
CASE084-CCTV0251,CASE084,P0155
CASE059-CCTV0252,CASE059,P0532
CASE057-CCTV0253,CASE057,P0865
CASE069-CCTV0254,CASE069,P0829
CASE060-CCTV0255,CASE060,P0853
CASE004-CCTV0256,CASE004,P0729
CASE061-CCTV0259,CASE061,P0799
CASE028-CCTV0260,CASE028,P0503
