case_id,typology,transaction_ids,accounts_involved,description
CASE032,fan_out,TX4945|TX4946|TX4947|TX4948|TX4949,ACC0082|ACC0472|ACC0622|ACC0095|ACC0730|ACC0136,Fan Out pattern injected for benchmark evaluation
CASE033,layering,TX4950|TX4951|TX4952|TX4953|TX4954,ACC0689|ACC0521|ACC0270|ACC0114|ACC0418|ACC0663,Layering pattern injected for benchmark evaluation
CASE034,round_tripping,TX4955|TX4956|TX4957|TX4958,ACC0228|ACC0481|ACC0619|ACC0548|ACC0763|ACC0135,Round Tripping pattern injected for benchmark evaluation
CASE035,dormant_burst,TX4959|TX4960|TX4961|TX4962|TX4963|TX4964|TX4965,ACC0724|ACC0206|ACC0218|ACC0538|ACC0083|ACC0098,Dormant Burst pattern injected for benchmark evaluation
CASE036,structuring,TX4966|TX4967|TX4968|TX4969|TX4970,ACC0741|ACC0012|ACC0620|ACC0471|ACC0523|ACC0386,Structuring pattern injected for benchmark evaluation
CASE037,fan_in,TX4971|TX4972|TX4973|TX4974|TX4975,ACC0104|ACC0595|ACC0721|ACC0425|ACC0539|ACC0294,Fan In pattern injected for benchmark evaluation
CASE038,fan_out,TX4976|TX4977|TX4978|TX4979|TX4980,ACC0193|ACC0083|ACC0213|ACC0732|ACC0321|ACC0099,Fan Out pattern injected for benchmark evaluation
CASE039,layering,TX4981|TX4982|TX4983|TX4984|TX4985,ACC0800|ACC0710|ACC0566|ACC0703|ACC0470|ACC0126,Layering pattern injected for benchmark evaluation
CASE040,round_tripping,TX4986|TX4987|TX4988|TX4989,ACC0115|ACC0579|ACC0676|ACC0030|ACC0502|ACC0098,Round Tripping pattern injected for benchmark evaluation
CASE041,dormant_burst,TX4990|TX4991|TX4992|TX4993|TX4994|TX4995|TX4996,ACC0033|ACC0770|ACC0492|ACC0682|ACC0596|ACC0087,Dormant Burst pattern injected for benchmark evaluation
CASE042,structuring,TX4997|TX4998|TX4999|TX5000|TX5001,ACC0464|ACC0718|ACC0585|ACC0347|ACC0217|ACC0565,Structuring pattern injected for benchmark evaluation
CASE043,fan_in,TX5002|TX5003|TX5004|TX5005|TX5006,ACC0652|ACC0210|ACC0114|ACC0190|ACC0077|ACC0759,Fan In pattern injected for benchmark evaluation
CASE044,fan_out,TX5007|TX5008|TX5009|TX5010|TX5011,ACC0277|ACC0301|ACC0312|ACC0460|ACC0249|ACC0520,Fan Out pattern injected for benchmark evaluation
CASE045,layering,TX5012|TX5013|TX5014|TX5015|TX5016,ACC0189|ACC0131|ACC0720|ACC0219|ACC0670|ACC0435,Layering pattern injected for benchmark evaluation
CASE046,round_tripping,TX5017|TX5018|TX5019|TX5020,ACC0756|ACC0211|ACC0588|ACC0703|ACC0369|ACC0746,Round Tripping pattern injected for benchmark evaluation
CASE047,dormant_burst,TX5021|TX5022|TX5023|TX5024|TX5025|TX5026|TX5027,ACC0588|ACC0187|ACC0373|ACC0773|ACC0708|ACC0102,Dormant Burst pattern injected for benchmark evaluation
CASE048,structuring,TX5028|TX5029|TX5030|TX5031|TX5032,ACC0228|ACC0536|ACC0676|ACC0072|ACC0603|ACC0624,Structuring pattern injected for benchmark evaluation
CASE049,fan_in,TX5033|TX5034|TX5035|TX5036|TX5037,ACC0151|ACC0478|ACC0349|ACC0229|ACC0713|ACC0276,Fan In pattern injected for benchmark evaluation
CASE050,fan_out,TX5038|TX5039|TX5040|TX5041|TX5042,ACC0491|ACC0644|ACC0140|ACC0262|ACC0673|ACC0729,Fan Out pattern injected for benchmark evaluation
CASE051,layering,TX5043|TX5044|TX5045|TX5046|TX5047,ACC0024|ACC0332|ACC0270|ACC0671|ACC0006|ACC0443,Layering pattern injected for benchmark evaluation
CASE052,round_tripping,TX5048|TX5049|TX5050|TX5051,ACC0028|ACC0622|ACC0119|ACC0691|ACC0098|ACC0375,Round Tripping pattern injected for benchmark evaluation
CASE053,dormant_burst,TX5052|TX5053|TX5054|TX5055|TX5056|TX5057|TX5058,ACC0399|ACC0008|ACC0432|ACC0397|ACC0403|ACC0389,Dormant Burst pattern injected for benchmark evaluation
CASE054,structuring,TX5059|TX5060|TX5061|TX5062|TX5063,ACC0060|ACC0496|ACC0600|ACC0511|ACC0567|ACC0368,Structuring pattern injected for benchmark evaluation
CASE055,fan_in,TX5064|TX5065|TX5066|TX5067|TX5068,ACC0591|ACC0465|ACC0623|ACC0253|ACC0625|ACC0558,Fan In pattern injected for benchmark evaluation
CASE056,fan_out,TX5069|TX5070|TX5071|TX5072|TX5073,ACC0359|ACC0515|ACC0795|ACC0486|ACC0404|ACC0093,Fan Out pattern injected for benchmark evaluation
CASE057,layering,TX5074|TX5075|TX5076|TX5077|TX5078,ACC0471|ACC0710|ACC0770|ACC0479|ACC0049|ACC0059,Layering pattern injected for benchmark evaluation
CASE058,round_tripping,TX5079|TX5080|TX5081|TX5082,ACC0763|ACC0248|ACC0700|ACC0655|ACC0286|ACC0699,Round Tripping pattern injected for benchmark evaluation
CASE059,dormant_burst,TX5083|TX5084|TX5085|TX5086|TX5087|TX5088|TX5089,ACC0752|ACC0281|ACC0080|ACC0610|ACC0006|ACC0570,Dormant Burst pattern injected for benchmark evaluation
CASE060,structuring,TX5090|TX5091|TX5092|TX5093|TX5094,ACC0612|ACC0791|ACC0635|ACC0449|ACC0682|ACC0517,Structuring pattern injected for benchmark evaluation
CASE061,fan_in,TX5095|TX5096|TX5097|TX5098|TX5099,ACC0162|ACC0683|ACC0203|ACC0227|ACC0210|ACC0060,Fan In pattern injected for benchmark evaluation
CASE062,fan_out,TX5100|TX5101|TX5102|TX5103|TX5104,ACC0293|ACC0457|ACC0181|ACC0615|ACC0496|ACC0748,Fan Out pattern injected for benchmark evaluation
CASE063,layering,TX5105|TX5106|TX5107|TX5108|TX5109,ACC0704|ACC0784|ACC0507|ACC0719|ACC0328|ACC0624,Layering pattern injected for benchmark evaluation
CASE064,round_tripping,TX5110|TX5111|TX5112|TX5113,ACC0506|ACC0185|ACC0094|ACC0537|ACC0149|ACC0592,Round Tripping pattern injected for benchmark evaluation
CASE065,dormant_burst,TX5114|TX5115|TX5116|TX5117|TX5118|TX5119|TX5120,ACC0723|ACC0418|ACC0731|ACC0172|ACC0086|ACC0056,Dormant Burst pattern injected for benchmark evaluation
CASE066,structuring,TX5121|TX5122|TX5123|TX5124|TX5125,ACC0498|ACC0715|ACC0374|ACC0155|ACC0337|ACC0704,Structuring pattern injected for benchmark evaluation
CASE067,fan_in,TX5126|TX5127|TX5128|TX5129|TX5130,ACC0644|ACC0370|ACC0101|ACC0156|ACC0753|ACC0358,Fan In pattern injected for benchmark evaluation
CASE068,fan_out,TX5131|TX5132|TX5133|TX5134|TX5135,ACC0230|ACC0653|ACC0079|ACC0207|ACC0477|ACC0148,Fan Out pattern injected for benchmark evaluation
CASE069,layering,TX5136|TX5137|TX5138|TX5139|TX5140,ACC0373|ACC0513|ACC0283|ACC0129|ACC0002|ACC0140,Layering pattern injected for benchmark evaluation
CASE070,round_tripping,TX5141|TX5142|TX5143|TX5144,ACC0582|ACC0110|ACC0675|ACC0047|ACC0037|ACC0310,Round Tripping pattern injected for benchmark evaluation
CASE071,dormant_burst,TX5145|TX5146|TX5147|TX5148|TX5149|TX5150|TX5151,ACC0736|ACC0317|ACC0660|ACC0555|ACC0092|ACC0165,Dormant Burst pattern injected for benchmark evaluation
CASE072,structuring,TX5152|TX5153|TX5154|TX5155|TX5156,ACC0570|ACC0141|ACC0083|ACC0037|ACC0082|ACC0490,Structuring pattern injected for benchmark evaluation
CASE073,fan_in,TX5157|TX5158|TX5159|TX5160|TX5161,ACC0384|ACC0490|ACC0671|ACC0315|ACC0017|ACC0641,Fan In pattern injected for benchmark evaluation
CASE074,fan_out,TX5162|TX5163|TX5164|TX5165|TX5166,ACC0791|ACC0768|ACC0153|ACC0230|ACC0288|ACC0248,Fan Out pattern injected for benchmark evaluation
CASE075,layering,TX5167|TX5168|TX5169|TX5170|TX5171,ACC0497|ACC0382|ACC0445|ACC0053|ACC0589|ACC0334,Layering pattern injected for benchmark evaluation
CASE076,round_tripping,TX5172|TX5173|TX5174|TX5175,ACC0072|ACC0567|ACC0591|ACC0270|ACC0788|ACC0776,Round Tripping pattern injected for benchmark evaluation
CASE077,dormant_burst,TX5176|TX5177|TX5178|TX5179|TX5180|TX5181|TX5182,ACC0384|ACC0717|ACC0399|ACC0015|ACC0078|ACC0377,Dormant Burst pattern injected for benchmark evaluation
CASE078,structuring,TX5183|TX5184|TX5185|TX5186|TX5187,ACC0167|ACC0243|ACC0064|ACC0688|ACC0358|ACC0634,Structuring pattern injected for benchmark evaluation
CASE079,fan_in,TX5188|TX5189|TX5190|TX5191|TX5192,ACC0179|ACC0022|ACC0030|ACC0079|ACC0197|ACC0245,Fan In pattern injected for benchmark evaluation
CASE080,fan_out,TX5193|TX5194|TX5195|TX5196|TX5197,ACC0291|ACC0224|ACC0128|ACC0287|ACC0115|ACC0411,Fan Out pattern injected for benchmark evaluation
CASE081,layering,TX5198|TX5199|TX5200|TX5201|TX5202,ACC0065|ACC0604|ACC0465|ACC0620|ACC0716|ACC0521,Layering pattern injected for benchmark evaluation
CASE082,round_tripping,TX5203|TX5204|TX5205|TX5206,ACC0442|ACC0267|ACC0342|ACC0164|ACC0179|ACC0326,Round Tripping pattern injected for benchmark evaluation
CASE083,dormant_burst,TX5207|TX5208|TX5209|TX5210|TX5211|TX5212|TX5213,ACC0794|ACC0553|ACC0620|ACC0234|ACC0176|ACC0640,Dormant Burst pattern injected for benchmark evaluation
CASE084,structuring,TX5214|TX5215|TX5216|TX5217|TX5218,ACC0107|ACC0258|ACC0792|ACC0642|ACC0354|ACC0088,Structuring pattern injected for benchmark evaluation
CASE085,fan_in,TX5219|TX5220|TX5221|TX5222|TX5223,ACC0013|ACC0732|ACC0763|ACC0612|ACC0153|ACC0443,Fan In pattern injected for benchmark evaluation
CASE086,fan_out,TX5224|TX5225|TX5226|TX5227|TX5228,ACC0225|ACC0771|ACC0076|ACC0289|ACC0585|ACC0316,Fan Out pattern injected for benchmark evaluation
CASE087,layering,TX5229|TX5230|TX5231|TX5232|TX5233,ACC0335|ACC0800|ACC0066|ACC0347|ACC0735|ACC0499,Layering pattern injected for benchmark evaluation
CASE088,round_tripping,TX5234|TX5235|TX5236|TX5237,ACC0792|ACC0286|ACC0508|ACC0647|ACC0615|ACC0717,Round Tripping pattern injected for benchmark evaluation
CASE089,dormant_burst,TX5238|TX5239|TX5240|TX5241|TX5242|TX5243|TX5244,ACC0751|ACC0603|ACC0362|ACC0036|ACC0438|ACC0675,Dormant Burst pattern injected for benchmark evaluation
CASE090,structuring,TX5245|TX5246|TX5247|TX5248|TX5249,ACC0129|ACC0672|ACC0629|ACC0108|ACC0524|ACC0593,Structuring pattern injected for benchmark evaluation
CASE091,fan_in,TX5250|TX5251|TX5252|TX5253|TX5254,ACC0185|ACC0270|ACC0067|ACC0315|ACC0675|ACC0271,Fan In pattern injected for benchmark evaluation
CASE092,fan_out,TX5255|TX5256|TX5257|TX5258|TX5259,ACC0296|ACC0776|ACC0735|ACC0230|ACC0368|ACC0468,Fan Out pattern injected for benchmark evaluation
CASE093,layering,TX5260|TX5261|TX5262|TX5263|TX5264,ACC0018|ACC0394|ACC0104|ACC0706|ACC0254|ACC0156,Layering pattern injected for benchmark evaluation
CASE094,round_tripping,TX5265|TX5266|TX5267|TX5268,ACC0304|ACC0639|ACC0195|ACC0315|ACC0044|ACC0167,Round Tripping pattern injected for benchmark evaluation
CASE095,dormant_burst,TX5269|TX5270|TX5271|TX5272|TX5273|TX5274|TX5275,ACC0667|ACC0638|ACC0043|ACC0393|ACC0503|ACC0451,Dormant Burst pattern injected for benchmark evaluation
CASE096,structuring,TX5276|TX5277|TX5278|TX5279|TX5280,ACC0759|ACC0147|ACC0685|ACC0471|ACC0338|ACC0354,Structuring pattern injected for benchmark evaluation
CASE097,fan_in,TX5281|TX5282|TX5283|TX5284|TX5285,ACC0410|ACC0384|ACC0726|ACC0447|ACC0222|ACC0770,Fan In pattern injected for benchmark evaluation
CASE098,fan_out,TX5286|TX5287|TX5288|TX5289|TX5290,ACC0349|ACC0794|ACC0510|ACC0773|ACC0250|ACC0017,Fan Out pattern injected for benchmark evaluation
CASE099,layering,TX5291|TX5292|TX5293|TX5294|TX5295,ACC0537|ACC0309|ACC0328|ACC0110|ACC0092|ACC0630,Layering pattern injected for benchmark evaluation
CASE100,round_tripping,TX5296|TX5297|TX5298|TX5299,ACC0677|ACC0687|ACC0593|ACC0082|ACC0360|ACC0086,Round Tripping pattern injected for benchmark evaluation
