case_id,anomaly_id,anomaly_type
CASE041,CASE041-LE0210,co_location
CASE042,TX1950,financial_chain
CASE042,TX1951,financial_chain
CASE042,TX1952,financial_chain
CASE042,TX1953,financial_chain
CASE042,CASE042-LE0214,co_location
CASE042,CASE042-LE0215,co_location
CASE043,TX1999,financial_chain
CASE043,TX2000,financial_chain
CASE043,TX2001,financial_chain
CASE043,TX2002,financial_chain
CASE043,CASE043-LE0219,co_location
CASE043,CASE043-LE0220,co_location
CASE044,TX2048,financial_chain
CASE044,TX2049,financial_chain
CASE044,TX2050,financial_chain
CASE044,TX2051,financial_chain
CASE044,CASE044-LE0224,co_location
CASE044,CASE044-LE0225,co_location
CASE045,TX2097,financial_chain
CASE045,TX2098,financial_chain
CASE045,CASE045-LE0229,co_location
CASE045,CASE045-LE0230,co_location
CASE046,TX2144,financial_chain
CASE046,TX2145,financial_chain
CASE046,CASE046-LE0234,co_location
CASE046,CASE046-LE0235,co_location
CASE047,TX2191,financial_chain
CASE047,TX2192,financial_chain
CASE047,TX2193,financial_chain
CASE047,CASE047-LE0239,co_location
CASE047,CASE047-LE0240,co_location
CASE047,CASE047-LE0241,co_location
CASE048,TX2239,financial_chain
CASE048,TX2240,financial_chain
CASE048,TX2241,financial_chain
CASE048,TX2242,financial_chain
CASE048,CASE048-LE0245,co_location
CASE048,CASE048-LE0246,co_location
CASE049,TX2288,financial_chain
CASE049,TX2289,financial_chain
CASE049,TX2290,financial_chain
CASE049,CASE049-LE0250,co_location
CASE049,CASE049-LE0251,co_location
CASE050,TX2336,financial_chain
CASE050,TX2337,financial_chain
CASE050,TX2338,financial_chain
CASE050,TX2339,financial_chain
CASE050,CASE050-LE0255,co_location
CASE050,CASE050-LE0256,co_location
CASE051,TX2385,financial_chain
CASE051,CASE051-LE0260,co_location
CASE051,CASE051-LE0261,co_location
CASE052,TX2431,financial_chain
CASE052,TX2432,financial_chain
CASE052,CASE052-LE0265,co_location
CASE052,CASE052-LE0266,co_location
CASE053,TX2478,financial_chain
CASE053,TX2479,financial_chain
CASE053,TX2480,financial_chain
CASE053,TX2481,financial_chain
CASE053,CASE053-LE0270,co_location
CASE053,CASE053-LE0271,co_location
CASE053,CASE053-LE0272,co_location
CASE054,TX2527,financial_chain
CASE054,TX2528,financial_chain
CASE054,CASE054-LE0276,co_location
CASE054,CASE054-LE0277,co_location
CASE055,TX2574,financial_chain
CASE055,TX2575,financial_chain
CASE055,TX2576,financial_chain
CASE055,CASE055-LE0281,co_location
CASE055,CASE055-LE0282,co_location
CASE056,TX2622,financial_chain
CASE056,TX2623,financial_chain
CASE056,TX2624,financial_chain
CASE056,TX2625,financial_chain
CASE056,CASE056-LE0286,co_location
CASE056,CASE056-LE0287,co_location
CASE057,TX2671,financial_chain
CASE057,TX2672,financial_chain
CASE057,CASE057-LE0291,co_location
CASE057,CASE057-LE0292,co_location
CASE058,TX2718,financial_chain
CASE058,TX2719,financial_chain
CASE058,TX2720,financial_chain
CASE058,TX2721,financial_chain
CASE058,CASE058-LE0296,co_location
CASE058,CASE058-LE0297,co_location
CASE058,CASE058-LE0298,co_location
CASE059,TX2767,financial_chain
CASE059,CASE059-LE0302,co_location
CASE059,CASE059-LE0303,co_location
CASE060,TX2813,financial_chain
CASE060,TX2814,financial_chain
CASE060,TX2815,financial_chain
CASE060,CASE060-LE0307,co_location
CASE060,CASE060-LE0308,co_location
CASE061,TX2861,financial_chain
CASE061,TX2862,financial_chain
CASE061,TX2863,financial_chain
CASE061,TX2864,financial_chain
CASE061,CASE061-LE0312,co_location
CASE061,CASE061-LE0313,co_location
CASE062,TX2910,financial_chain
CASE062,TX2911,financial_chain
CASE062,TX2912,financial_chain
CASE062,TX2913,financial_chain
CASE062,CASE062-LE0317,co_location
CASE062,CASE062-LE0318,co_location
CASE062,CASE062-LE0319,co_location
CASE063,TX2959,financial_chain
CASE063,TX2960,financial_chain
CASE063,TX2961,financial_chain
CASE063,CASE063-LE0323,co_location
CASE063,CASE063-LE0324,co_location
CASE064,TX3007,financial_chain
CASE064,TX3008,financial_chain
CASE064,TX3009,financial_chain
CASE064,CASE064-LE0328,co_location
CASE064,CASE064-LE0329,co_location
CASE065,TX3055,financial_chain
CASE065,TX3056,financial_chain
CASE065,TX3057,financial_chain
CASE065,CASE065-LE0333,co_location
CASE065,CASE065-LE0334,co_location
CASE066,TX3103,financial_chain
CASE066,TX3104,financial_chain
CASE066,TX3105,financial_chain
CASE066,CASE066-LE0338,co_location
CASE066,CASE066-LE0339,co_location
CASE066,CASE066-LE0340,co_location
CASE067,TX3151,financial_chain
CASE067,TX3152,financial_chain
CASE067,CASE067-LE0344,co_location
CASE067,CASE067-LE0345,co_location
CASE068,TX3198,financial_chain
CASE068,TX3199,financial_chain
CASE068,TX3200,financial_chain
CASE068,CASE068-LE0349,co_location
CASE068,CASE068-LE0350,co_location
CASE069,TX3246,financial_chain
CASE069,TX3247,financial_chain
CASE069,TX3248,financial_chain
CASE069,CASE069-LE0354,co_location
CASE069,CASE069-LE0355,co_location
CASE070,TX3294,financial_chain
CASE070,TX3295,financial_chain
CASE070,CASE070-LE0359,co_location
CASE070,CASE070-LE0360,co_location
CASE071,TX3341,financial_chain
CASE071,TX3342,financial_chain
CASE071,TX3343,financial_chain
CASE071,TX3344,financial_chain
CASE071,CASE071-LE0364,co_location
CASE071,CASE071-LE0365,co_location
CASE071,CASE071-LE0366,co_location
CASE072,TX3390,financial_chain
CASE072,TX3391,financial_chain
CASE072,TX3392,financial_chain
CASE072,CASE072-LE0370,co_location
CASE072,CASE072-LE0371,co_location
CASE073,TX3438,financial_chain
CASE073,TX3439,financial_chain
CASE073,TX3440,financial_chain
CASE073,TX3441,financial_chain
CASE073,CASE073-LE0375,co_location
CASE073,CASE073-LE0376,co_location
CASE074,TX3487,financial_chain
CASE074,TX3488,financial_chain
CASE074,TX3489,financial_chain
CASE074,CASE074-LE0380,co_location
CASE074,CASE074-LE0381,co_location
CASE075,TX3535,financial_chain
CASE075,TX3536,financial_chain
CASE075,TX3537,financial_chain
CASE075,TX3538,financial_chain
CASE075,CASE075-LE0385,co_location
CASE075,CASE075-LE0386,co_location
CASE076,TX3584,financial_chain
CASE076,TX3585,financial_chain
CASE076,TX3586,financial_chain
CASE076,CASE076-LE0390,co_location
CASE076,CASE076-LE0391,co_location
CASE077,TX3632,financial_chain
CASE077,TX3633,financial_chain
CASE077,TX3634,financial_chain
CASE077,CASE077-LE0395,co_location
CASE077,CASE077-LE0396,co_location
CASE078,TX3680,financial_chain
CASE078,TX3681,financial_chain
CASE078,CASE078-LE0400,co_location
CASE078,CASE078-LE0401,co_location
CASE079,TX3727,financial_chain
CASE079,TX3728,financial_chain
CASE079,TX3729,financial_chain
CASE079,TX3730,financial_chain
CASE079,CASE079-LE0405,co_location
CASE079,CASE079-LE0406,co_location
CASE079,CASE079-LE0407,co_location
CASE080,TX3776,financial_chain
CASE080,TX3777,financial_chain
CASE080,TX3778,financial_chain
CASE080,CASE080-LE0411,co_location
CASE080,CASE080-LE0412,co_location
CASE081,TX3824,financial_chain
CASE081,TX3825,financial_chain
CASE081,TX3826,financial_chain
CASE081,TX3827,financial_chain
CASE081,CASE081-LE0416,co_location
CASE081,CASE081-LE0417,co_location
CASE082,TX3873,financial_chain
CASE082,TX3874,financial_chain
CASE082,TX3875,financial_chain
CASE082,CASE082-LE0421,co_location
CASE082,CASE082-LE0422,co_location
CASE082,CASE082-LE0423,co_location
CASE083,TX3921,financial_chain
CASE083,TX3922,financial_chain
CASE083,TX3923,financial_chain
CASE083,CASE083-LE0427,co_location
CASE083,CASE083-LE0428,co_location
CASE084,TX3969,financial_chain
CASE084,TX3970,financial_chain
CASE084,TX3971,financial_chain
CASE084,CASE084-LE0432,co_location
CASE084,CASE084-LE0433,co_location
CASE085,TX4017,financial_chain
CASE085,TX4018,financial_chain
CASE085,CASE085-LE0437,co_location
CASE085,CASE085-LE0438,co_location
CASE085,CASE085-LE0439,co_location
CASE086,TX4064,financial_chain
CASE086,TX4065,financial_chain
CASE086,CASE086-LE0443,co_location
CASE086,CASE086-LE0444,co_location
CASE086,CASE086-LE0445,co_location
CASE087,TX4111,financial_chain
CASE087,TX4112,financial_chain
CASE087,TX4113,financial_chain
CASE087,CASE087-LE0449,co_location
CASE087,CASE087-LE0450,co_location
CASE088,TX4159,financial_chain
CASE088,TX4160,financial_chain
CASE088,TX4161,financial_chain
CASE088,TX4162,financial_chain
CASE088,CASE088-LE0454,co_location
CASE088,CASE088-LE0455,co_location
CASE088,CASE088-LE0456,co_location
CASE089,TX4208,financial_chain
CASE089,TX4209,financial_chain
CASE089,CASE089-LE0460,co_location
CASE089,CASE089-LE0461,co_location
CASE090,TX4255,financial_chain
CASE090,TX4256,financial_chain
CASE090,TX4257,financial_chain
CASE090,TX4258,financial_chain
CASE090,CASE090-LE0465,co_location
CASE090,CASE090-LE0466,co_location
CASE091,TX4304,financial_chain
CASE091,TX4305,financial_chain
CASE091,TX4306,financial_chain
CASE091,TX4307,financial_chain
CASE091,CASE091-LE0470,co_location
CASE091,CASE091-LE0471,co_location
CASE091,CASE091-LE0472,co_location
CASE092,TX4353,financial_chain
CASE092,TX4354,financial_chain
CASE092,CASE092-LE0476,co_location
CASE092,CASE092-LE0477,co_location
CASE093,TX4400,financial_chain
CASE093,TX4401,financial_chain
CASE093,TX4402,financial_chain
CASE093,CASE093-LE0481,co_location
CASE093,CASE093-LE0482,co_location
CASE094,TX4448,financial_chain
CASE094,TX4449,financial_chain
CASE094,TX4450,financial_chain
CASE094,TX4451,financial_chain
CASE094,CASE094-LE0486,co_location
CASE094,CASE094-LE0487,co_location
CASE095,TX4497,financial_chain
CASE095,TX4498,financial_chain
CASE095,TX4499,financial_chain
CASE095,CASE095-LE0491,co_location
CASE095,CASE095-LE0492,co_location
CASE096,TX4545,financial_chain
CASE096,TX4546,financial_chain
CASE096,TX4547,financial_chain
CASE096,TX4548,financial_chain
CASE096,CASE096-LE0496,co_location
CASE096,CASE096-LE0497,co_location
CASE096,CASE096-LE0498,co_location
CASE097,TX4594,financial_chain
CASE097,TX4595,financial_chain
CASE097,TX4596,financial_chain
CASE097,TX4597,financial_chain
CASE097,CASE097-LE0502,co_location
CASE097,CASE097-LE0503,co_location
CASE097,CASE097-LE0504,co_location
CASE098,TX4643,financial_chain
CASE098,CASE098-LE0508,co_location
CASE098,CASE098-LE0509,co_location
CASE099,TX4689,financial_chain
CASE099,TX4690,financial_chain
CASE099,TX4691,financial_chain
CASE099,TX4692,financial_chain
CASE099,CASE099-LE0513,co_location
CASE099,CASE099-LE0514,co_location
CASE100,TX4738,financial_chain
CASE100,TX4739,financial_chain
CASE100,CASE100-LE0518,co_location
CASE100,CASE100-LE0519,co_location
CASE100,CASE100-LE0520,co_location
