case_id,source,target,type
CASE008,P0922,P0926,TRUE_NETWORK_EDGE
CASE008,P0922,P0154,TRUE_NETWORK_EDGE
CASE008,P0922,P0966,TRUE_NETWORK_EDGE
CASE008,P0922,P0763,TRUE_NETWORK_EDGE
CASE008,P0922,P0408,TRUE_NETWORK_EDGE
CASE008,P0922,P0195,TRUE_NETWORK_EDGE
CASE008,P0922,P0447,TRUE_NETWORK_EDGE
CASE008,P0922,P0470,TRUE_NETWORK_EDGE
CASE008,P0922,P0188,TRUE_NETWORK_EDGE
CASE008,P0922,P0806,TRUE_NETWORK_EDGE
CASE008,P0922,P0505,TRUE_NETWORK_EDGE
CASE008,P0922,P0774,TRUE_NETWORK_EDGE
CASE008,P0922,P0023,TRUE_NETWORK_EDGE
CASE008,P0922,P0555,TRUE_NETWORK_EDGE
CASE008,P0922,P0996,TRUE_NETWORK_EDGE
CASE008,P0922,P0661,TRUE_NETWORK_EDGE
CASE008,P0922,P0760,TRUE_NETWORK_EDGE
CASE008,P0922,P0212,TRUE_NETWORK_EDGE
CASE008,P0922,P0746,TRUE_NETWORK_EDGE
CASE008,P0922,P0333,TRUE_NETWORK_EDGE
CASE008,P0922,P0669,TRUE_NETWORK_EDGE
CASE008,P0922,P0908,TRUE_NETWORK_EDGE
CASE008,P0922,P0777,TRUE_NETWORK_EDGE
CASE008,P0922,P0528,TRUE_NETWORK_EDGE
CASE008,P0922,P0586,TRUE_NETWORK_EDGE
CASE008,P0922,P0451,TRUE_NETWORK_EDGE
CASE008,P0922,P0617,TRUE_NETWORK_EDGE
CASE008,P0922,P0043,TRUE_NETWORK_EDGE
CASE008,P0922,P0318,TRUE_NETWORK_EDGE
CASE008,P0922,P0035,TRUE_NETWORK_EDGE
CASE008,P0922,P0674,TRUE_NETWORK_EDGE
CASE008,P0922,P0085,TRUE_NETWORK_EDGE
CASE008,P0922,P0375,TRUE_NETWORK_EDGE
CASE008,P0922,P0148,TRUE_NETWORK_EDGE
CASE008,P0922,P0860,TRUE_NETWORK_EDGE
CASE008,P0922,P0229,TRUE_NETWORK_EDGE
CASE008,P0922,P0964,TRUE_NETWORK_EDGE
CASE008,P0922,P0424,TRUE_NETWORK_EDGE
CASE008,P0922,P0289,TRUE_NETWORK_EDGE
CASE008,P0922,P0293,TRUE_NETWORK_EDGE
CASE008,P0922,P0805,TRUE_NETWORK_EDGE
CASE008,P0922,P0049,TRUE_NETWORK_EDGE
CASE008,P0922,P0301,TRUE_NETWORK_EDGE
CASE008,P0922,P0171,TRUE_NETWORK_EDGE
CASE009,P0763,P0399,TRUE_NETWORK_EDGE
CASE009,P0763,P0967,TRUE_NETWORK_EDGE
CASE009,P0399,P0967,TRUE_NETWORK_EDGE
CASE009,P0399,P0979,TRUE_NETWORK_EDGE
CASE009,P0967,P0979,TRUE_NETWORK_EDGE
CASE009,P0967,P0013,TRUE_NETWORK_EDGE
CASE009,P0979,P0013,TRUE_NETWORK_EDGE
CASE009,P0979,P0351,TRUE_NETWORK_EDGE
CASE009,P0013,P0351,TRUE_NETWORK_EDGE
CASE009,P0013,P0838,TRUE_NETWORK_EDGE
CASE009,P0351,P0838,TRUE_NETWORK_EDGE
CASE009,P0351,P0016,TRUE_NETWORK_EDGE
CASE009,P0838,P0016,TRUE_NETWORK_EDGE
CASE009,P0838,P0472,TRUE_NETWORK_EDGE
CASE009,P0016,P0472,TRUE_NETWORK_EDGE
CASE009,P0016,P0529,TRUE_NETWORK_EDGE
CASE009,P0472,P0529,TRUE_NETWORK_EDGE
CASE009,P0472,P0137,TRUE_NETWORK_EDGE
CASE009,P0529,P0137,TRUE_NETWORK_EDGE
CASE009,P0529,P0141,TRUE_NETWORK_EDGE
CASE009,P0137,P0141,TRUE_NETWORK_EDGE
CASE009,P0137,P0029,TRUE_NETWORK_EDGE
CASE009,P0141,P0029,TRUE_NETWORK_EDGE
CASE009,P0141,P0858,TRUE_NETWORK_EDGE
CASE009,P0029,P0858,TRUE_NETWORK_EDGE
CASE009,P0029,P0012,TRUE_NETWORK_EDGE
CASE009,P0858,P0012,TRUE_NETWORK_EDGE
CASE009,P0858,P0871,TRUE_NETWORK_EDGE
CASE009,P0012,P0871,TRUE_NETWORK_EDGE
CASE009,P0012,P0055,TRUE_NETWORK_EDGE
CASE009,P0871,P0055,TRUE_NETWORK_EDGE
CASE009,P0871,P0725,TRUE_NETWORK_EDGE
CASE009,P0055,P0725,TRUE_NETWORK_EDGE
CASE009,P0055,P0208,TRUE_NETWORK_EDGE
CASE009,P0725,P0208,TRUE_NETWORK_EDGE
CASE009,P0725,P0124,TRUE_NETWORK_EDGE
CASE009,P0208,P0124,TRUE_NETWORK_EDGE
CASE009,P0208,P0430,TRUE_NETWORK_EDGE
CASE009,P0124,P0430,TRUE_NETWORK_EDGE
CASE009,P0124,P0547,TRUE_NETWORK_EDGE
CASE009,P0430,P0547,TRUE_NETWORK_EDGE
CASE009,P0430,P0225,TRUE_NETWORK_EDGE
CASE009,P0547,P0225,TRUE_NETWORK_EDGE
CASE009,P0547,P0083,TRUE_NETWORK_EDGE
CASE009,P0225,P0083,TRUE_NETWORK_EDGE
CASE009,P0225,P0798,TRUE_NETWORK_EDGE
CASE009,P0083,P0798,TRUE_NETWORK_EDGE
CASE009,P0083,P0125,TRUE_NETWORK_EDGE
CASE009,P0798,P0125,TRUE_NETWORK_EDGE
CASE009,P0798,P0670,TRUE_NETWORK_EDGE
CASE009,P0125,P0670,TRUE_NETWORK_EDGE
CASE009,P0125,P0228,TRUE_NETWORK_EDGE
CASE009,P0670,P0228,TRUE_NETWORK_EDGE
CASE009,P0670,P0340,TRUE_NETWORK_EDGE
CASE009,P0228,P0340,TRUE_NETWORK_EDGE
CASE009,P0228,P0282,TRUE_NETWORK_EDGE
CASE009,P0340,P0282,TRUE_NETWORK_EDGE
CASE009,P0340,P0374,TRUE_NETWORK_EDGE
CASE009,P0282,P0374,TRUE_NETWORK_EDGE
CASE009,P0282,P0517,TRUE_NETWORK_EDGE
CASE009,P0374,P0517,TRUE_NETWORK_EDGE
CASE009,P0374,P0814,TRUE_NETWORK_EDGE
CASE009,P0517,P0814,TRUE_NETWORK_EDGE
CASE009,P0517,P0599,TRUE_NETWORK_EDGE
CASE009,P0814,P0599,TRUE_NETWORK_EDGE
CASE009,P0814,P0905,TRUE_NETWORK_EDGE
CASE009,P0599,P0905,TRUE_NETWORK_EDGE
CASE009,P0599,P0426,TRUE_NETWORK_EDGE
CASE009,P0905,P0426,TRUE_NETWORK_EDGE
CASE009,P0905,P0380,TRUE_NETWORK_EDGE
CASE009,P0426,P0380,TRUE_NETWORK_EDGE
CASE009,P0426,P0103,TRUE_NETWORK_EDGE
CASE009,P0380,P0103,TRUE_NETWORK_EDGE
CASE009,P0380,P0964,TRUE_NETWORK_EDGE
CASE009,P0103,P0964,TRUE_NETWORK_EDGE
CASE009,P0103,P0076,TRUE_NETWORK_EDGE
CASE009,P0964,P0076,TRUE_NETWORK_EDGE
CASE009,P0964,P0315,TRUE_NETWORK_EDGE
CASE009,P0076,P0315,TRUE_NETWORK_EDGE
CASE009,P0076,P0255,TRUE_NETWORK_EDGE
CASE009,P0315,P0255,TRUE_NETWORK_EDGE
CASE009,P0315,P0740,TRUE_NETWORK_EDGE
CASE009,P0255,P0740,TRUE_NETWORK_EDGE
CASE009,P0255,P0505,TRUE_NETWORK_EDGE
CASE009,P0740,P0505,TRUE_NETWORK_EDGE
CASE009,P0740,P0332,TRUE_NETWORK_EDGE
CASE009,P0505,P0332,TRUE_NETWORK_EDGE
CASE009,P0505,P0445,TRUE_NETWORK_EDGE
CASE009,P0332,P0445,TRUE_NETWORK_EDGE
CASE009,P0332,P0008,TRUE_NETWORK_EDGE
CASE009,P0445,P0008,TRUE_NETWORK_EDGE
CASE009,P0445,P0140,TRUE_NETWORK_EDGE
CASE009,P0008,P0140,TRUE_NETWORK_EDGE
CASE009,P0008,P0400,TRUE_NETWORK_EDGE
CASE009,P0140,P0400,TRUE_NETWORK_EDGE
CASE009,P0140,P0886,TRUE_NETWORK_EDGE
CASE009,P0400,P0886,TRUE_NETWORK_EDGE
CASE009,P0400,P0538,TRUE_NETWORK_EDGE
CASE009,P0886,P0538,TRUE_NETWORK_EDGE
CASE009,P0886,P0164,TRUE_NETWORK_EDGE
CASE009,P0538,P0164,TRUE_NETWORK_EDGE
CASE009,P0538,P0709,TRUE_NETWORK_EDGE
CASE009,P0164,P0709,TRUE_NETWORK_EDGE
CASE009,P0164,P0397,TRUE_NETWORK_EDGE
CASE009,P0709,P0397,TRUE_NETWORK_EDGE
CASE009,P0709,P0248,TRUE_NETWORK_EDGE
CASE009,P0397,P0248,TRUE_NETWORK_EDGE
CASE009,P0397,P0609,TRUE_NETWORK_EDGE
CASE009,P0248,P0609,TRUE_NETWORK_EDGE
CASE009,P0248,P0436,TRUE_NETWORK_EDGE
CASE009,P0609,P0436,TRUE_NETWORK_EDGE
CASE009,P0609,P0200,TRUE_NETWORK_EDGE
CASE009,P0436,P0200,TRUE_NETWORK_EDGE
CASE009,P0436,P0133,TRUE_NETWORK_EDGE
CASE009,P0200,P0133,TRUE_NETWORK_EDGE
CASE009,P0200,P0567,TRUE_NETWORK_EDGE
CASE009,P0133,P0567,TRUE_NETWORK_EDGE
CASE009,P0133,P0323,TRUE_NETWORK_EDGE
CASE009,P0567,P0323,TRUE_NETWORK_EDGE
CASE009,P0567,P0755,TRUE_NETWORK_EDGE
CASE009,P0323,P0755,TRUE_NETWORK_EDGE
CASE009,P0323,P0041,TRUE_NETWORK_EDGE
CASE009,P0755,P0041,TRUE_NETWORK_EDGE
CASE009,P0755,P0250,TRUE_NETWORK_EDGE
CASE009,P0041,P0250,TRUE_NETWORK_EDGE
CASE009,P0041,P0826,TRUE_NETWORK_EDGE
CASE009,P0250,P0826,TRUE_NETWORK_EDGE
CASE009,P0250,P0840,TRUE_NETWORK_EDGE
CASE009,P0826,P0840,TRUE_NETWORK_EDGE
CASE009,P0826,P0990,TRUE_NETWORK_EDGE
CASE009,P0840,P0990,TRUE_NETWORK_EDGE
CASE009,P0840,P0440,TRUE_NETWORK_EDGE
CASE009,P0990,P0440,TRUE_NETWORK_EDGE
CASE009,P0990,P0421,TRUE_NETWORK_EDGE
CASE009,P0440,P0421,TRUE_NETWORK_EDGE
CASE009,P0440,P0787,TRUE_NETWORK_EDGE
CASE009,P0421,P0787,TRUE_NETWORK_EDGE
CASE009,P0421,P0376,TRUE_NETWORK_EDGE
CASE009,P0787,P0376,TRUE_NETWORK_EDGE
CASE009,P0787,P0572,TRUE_NETWORK_EDGE
CASE009,P0376,P0572,TRUE_NETWORK_EDGE
CASE009,P0376,P0651,TRUE_NETWORK_EDGE
CASE009,P0572,P0651,TRUE_NETWORK_EDGE
CASE009,P0572,P0247,TRUE_NETWORK_EDGE
CASE009,P0651,P0247,TRUE_NETWORK_EDGE
CASE009,P0651,P0153,TRUE_NETWORK_EDGE
CASE009,P0247,P0153,TRUE_NETWORK_EDGE
CASE009,P0247,P0658,TRUE_NETWORK_EDGE
CASE009,P0153,P0658,TRUE_NETWORK_EDGE
CASE009,P0153,P0294,TRUE_NETWORK_EDGE
CASE009,P0658,P0294,TRUE_NETWORK_EDGE
CASE009,P0658,P0861,TRUE_NETWORK_EDGE
CASE009,P0294,P0861,TRUE_NETWORK_EDGE
CASE009,P0294,P0827,TRUE_NETWORK_EDGE
CASE009,P0861,P0827,TRUE_NETWORK_EDGE
CASE010,P0288,P0534,TRUE_NETWORK_EDGE
CASE010,P0288,P0141,TRUE_NETWORK_EDGE
CASE010,P0288,P0978,TRUE_NETWORK_EDGE
CASE010,P0288,P0730,TRUE_NETWORK_EDGE
CASE010,P0288,P0231,TRUE_NETWORK_EDGE
CASE010,P0288,P0794,TRUE_NETWORK_EDGE
CASE010,P0288,P0353,TRUE_NETWORK_EDGE
CASE010,P0288,P0210,TRUE_NETWORK_EDGE
CASE010,P0288,P0006,TRUE_NETWORK_EDGE
CASE010,P0288,P0720,TRUE_NETWORK_EDGE
CASE010,P0288,P0815,TRUE_NETWORK_EDGE
CASE010,P0288,P0694,TRUE_NETWORK_EDGE
CASE010,P0288,P0319,TRUE_NETWORK_EDGE
CASE010,P0288,P0960,TRUE_NETWORK_EDGE
CASE010,P0288,P0129,TRUE_NETWORK_EDGE
CASE010,P0288,P0510,TRUE_NETWORK_EDGE
CASE010,P0288,P0746,TRUE_NETWORK_EDGE
CASE010,P0288,P0967,TRUE_NETWORK_EDGE
CASE010,P0288,P0486,TRUE_NETWORK_EDGE
CASE010,P0288,P0061,TRUE_NETWORK_EDGE
CASE010,P0288,P0124,TRUE_NETWORK_EDGE
CASE010,P0288,P0809,TRUE_NETWORK_EDGE
CASE010,P0288,P0159,TRUE_NETWORK_EDGE
CASE010,P0288,P0506,TRUE_NETWORK_EDGE
CASE010,P0288,P0814,TRUE_NETWORK_EDGE
CASE010,P0288,P0440,TRUE_NETWORK_EDGE
CASE010,P0288,P0436,TRUE_NETWORK_EDGE
CASE010,P0288,P0499,TRUE_NETWORK_EDGE
CASE010,P0288,P0832,TRUE_NETWORK_EDGE
CASE010,P0288,P0076,TRUE_NETWORK_EDGE
CASE010,P0288,P0594,TRUE_NETWORK_EDGE
CASE010,P0288,P0428,TRUE_NETWORK_EDGE
CASE010,P0288,P0280,TRUE_NETWORK_EDGE
CASE010,P0288,P0144,TRUE_NETWORK_EDGE
CASE010,P0288,P0999,TRUE_NETWORK_EDGE
CASE010,P0288,P0983,TRUE_NETWORK_EDGE
CASE010,P0288,P0939,TRUE_NETWORK_EDGE
CASE010,P0288,P0028,TRUE_NETWORK_EDGE
CASE010,P0288,P0830,TRUE_NETWORK_EDGE
CASE010,P0288,P0085,TRUE_NETWORK_EDGE
CASE010,P0288,P0416,TRUE_NETWORK_EDGE
CASE010,P0288,P0840,TRUE_NETWORK_EDGE
CASE010,P0288,P0807,TRUE_NETWORK_EDGE
CASE010,P0288,P0565,TRUE_NETWORK_EDGE
CASE010,P0288,P0904,TRUE_NETWORK_EDGE
CASE011,P0649,P0510,TRUE_NETWORK_EDGE
CASE011,P0649,P0437,TRUE_NETWORK_EDGE
CASE011,P0510,P0437,TRUE_NETWORK_EDGE
CASE011,P0510,P0137,TRUE_NETWORK_EDGE
CASE011,P0437,P0137,TRUE_NETWORK_EDGE
CASE011,P0437,P0361,TRUE_NETWORK_EDGE
CASE011,P0137,P0361,TRUE_NETWORK_EDGE
CASE011,P0137,P0705,TRUE_NETWORK_EDGE
CASE011,P0361,P0705,TRUE_NETWORK_EDGE
CASE011,P0361,P0402,TRUE_NETWORK_EDGE
CASE011,P0705,P0402,TRUE_NETWORK_EDGE
CASE011,P0705,P0842,TRUE_NETWORK_EDGE
CASE011,P0402,P0842,TRUE_NETWORK_EDGE
CASE011,P0402,P0549,TRUE_NETWORK_EDGE
CASE011,P0842,P0549,TRUE_NETWORK_EDGE
CASE011,P0842,P0587,TRUE_NETWORK_EDGE
CASE011,P0549,P0587,TRUE_NETWORK_EDGE
CASE011,P0549,P0794,TRUE_NETWORK_EDGE
CASE011,P0587,P0794,TRUE_NETWORK_EDGE
CASE011,P0587,P0416,TRUE_NETWORK_EDGE
CASE011,P0794,P0416,TRUE_NETWORK_EDGE
CASE011,P0794,P0034,TRUE_NETWORK_EDGE
CASE011,P0416,P0034,TRUE_NETWORK_EDGE
CASE012,P0174,P0927,TRUE_NETWORK_EDGE
CASE012,P0927,P0235,TRUE_NETWORK_EDGE
CASE012,P0235,P0670,TRUE_NETWORK_EDGE
CASE012,P0715,P0637,TRUE_NETWORK_EDGE
CASE012,P0637,P0257,TRUE_NETWORK_EDGE
CASE012,P0257,P0096,TRUE_NETWORK_EDGE
CASE012,P0670,P0715,TRUE_NETWORK_EDGE
CASE013,P0196,P0759,TRUE_NETWORK_EDGE
CASE013,P0325,P0759,TRUE_NETWORK_EDGE
CASE013,P0309,P0383,TRUE_NETWORK_EDGE
CASE013,P0759,P0344,TRUE_NETWORK_EDGE
CASE014,P0454,P0801,TRUE_NETWORK_EDGE
CASE014,P0801,P0233,TRUE_NETWORK_EDGE
CASE014,P0233,P0754,TRUE_NETWORK_EDGE
CASE014,P0754,P0842,TRUE_NETWORK_EDGE
CASE014,P0842,P0026,TRUE_NETWORK_EDGE
CASE014,P0026,P0234,TRUE_NETWORK_EDGE
CASE014,P0234,P0666,TRUE_NETWORK_EDGE
CASE014,P0666,P0610,TRUE_NETWORK_EDGE
CASE014,P0610,P0332,TRUE_NETWORK_EDGE
CASE014,P0332,P0889,TRUE_NETWORK_EDGE
CASE014,P0889,P0703,TRUE_NETWORK_EDGE
CASE014,P0703,P0643,TRUE_NETWORK_EDGE
CASE014,P0643,P0414,TRUE_NETWORK_EDGE
CASE014,P0414,P0861,TRUE_NETWORK_EDGE
CASE014,P0861,P0266,TRUE_NETWORK_EDGE
CASE014,P0266,P0627,TRUE_NETWORK_EDGE
CASE014,P0627,P0807,TRUE_NETWORK_EDGE
CASE014,P0807,P0342,TRUE_NETWORK_EDGE
CASE014,P0342,P0843,TRUE_NETWORK_EDGE
CASE014,P0843,P0168,TRUE_NETWORK_EDGE
CASE014,P0168,P0697,TRUE_NETWORK_EDGE
CASE014,P0697,P0171,TRUE_NETWORK_EDGE
CASE014,P0171,P0001,TRUE_NETWORK_EDGE
CASE014,P0001,P0691,TRUE_NETWORK_EDGE
CASE014,P0691,P0116,TRUE_NETWORK_EDGE
CASE014,P0116,P0616,TRUE_NETWORK_EDGE
CASE014,P0616,P0449,TRUE_NETWORK_EDGE
CASE014,P0449,P0502,TRUE_NETWORK_EDGE
CASE015,P0930,P0261,TRUE_NETWORK_EDGE
CASE015,P0261,P0587,TRUE_NETWORK_EDGE
CASE015,P0587,P0611,TRUE_NETWORK_EDGE
CASE015,P0611,P0046,TRUE_NETWORK_EDGE
CASE016,P0486,P0704,TRUE_NETWORK_EDGE
CASE016,P0486,P0099,TRUE_NETWORK_EDGE
CASE016,P0486,P0130,TRUE_NETWORK_EDGE
CASE016,P0486,P0550,TRUE_NETWORK_EDGE
CASE016,P0486,P0979,TRUE_NETWORK_EDGE
CASE016,P0486,P0591,TRUE_NETWORK_EDGE
CASE016,P0486,P0319,TRUE_NETWORK_EDGE
CASE016,P0486,P0566,TRUE_NETWORK_EDGE
CASE016,P0486,P0926,TRUE_NETWORK_EDGE
CASE016,P0486,P0547,TRUE_NETWORK_EDGE
CASE016,P0486,P0875,TRUE_NETWORK_EDGE
CASE016,P0486,P0962,TRUE_NETWORK_EDGE
CASE016,P0486,P0861,TRUE_NETWORK_EDGE
CASE016,P0486,P0343,TRUE_NETWORK_EDGE
CASE016,P0486,P0859,TRUE_NETWORK_EDGE
CASE016,P0486,P0801,TRUE_NETWORK_EDGE
CASE016,P0486,P0452,TRUE_NETWORK_EDGE
CASE016,P0486,P0913,TRUE_NETWORK_EDGE
CASE016,P0486,P0729,TRUE_NETWORK_EDGE
CASE016,P0486,P0355,TRUE_NETWORK_EDGE
CASE016,P0486,P0092,TRUE_NETWORK_EDGE
CASE016,P0486,P0826,TRUE_NETWORK_EDGE
CASE016,P0486,P0737,TRUE_NETWORK_EDGE
CASE016,P0486,P0521,TRUE_NETWORK_EDGE
CASE016,P0486,P0786,TRUE_NETWORK_EDGE
CASE016,P0486,P0909,TRUE_NETWORK_EDGE
CASE016,P0486,P0029,TRUE_NETWORK_EDGE
CASE016,P0486,P0150,TRUE_NETWORK_EDGE
CASE016,P0486,P0189,TRUE_NETWORK_EDGE
