sim_id,phone_id,imsi,operator,activation_date
SIM0060,PH0056,4051100000061,Airtel,2022-12-21
SIM0061,PH0057,4051100000062,Airtel,2020-03-09
SIM0062,PH0058,4051100000063,Jio,2022-05-09
SIM0063,PH0059,4051100000064,Jio,2021-12-06
SIM0064,PH0060,4051100000065,Jio,2024-06-13
SIM0065,PH0060,4051100000066,Airtel,2021-12-05
SIM0066,PH0061,4051100000067,Vi,2025-03-17
SIM0067,PH0062,4051100000068,Airtel,2021-05-14
SIM0068,PH0063,4051100000069,Jio,2023-11-25
SIM0069,PH0064,4051100000070,Vi,2023-12-03
SIM0070,PH0065,4051100000071,Jio,2021-09-09
SIM0071,PH0066,4051100000072,Jio,2020-07-14
SIM0072,PH0067,4051100000073,Vi,2025-01-25
SIM0073,PH0068,4051100000074,Jio,2022-10-10
SIM0074,PH0069,4051100000075,Vi,2020-05-04
SIM0075,PH0070,4051100000076,Airtel,2023-04-17
SIM0076,PH0071,4051100000077,BSNL,2022-08-27
SIM0077,PH0072,4051100000078,Jio,2022-01-19
SIM0078,PH0073,4051100000079,BSNL,2024-09-25
SIM0079,PH0074,4051100000080,Vi,2024-04-15
SIM0080,PH0075,4051100000081,Airtel,2022-08-24
SIM0081,PH0076,4051100000082,Airtel,2023-04-28
SIM0082,PH0077,4051100000083,Vi,2020-12-31
SIM0083,PH0078,4051100000084,Airtel,2022-06-13
SIM0084,PH0079,4051100000085,Vi,2023-12-28
SIM0085,PH0080,4051100000086,Vi,2020-08-28
SIM0086,PH0081,4051100000087,BSNL,2020-12-27
SIM0087,PH0082,4051100000088,BSNL,2023-11-11
SIM0088,PH0083,4051100000089,BSNL,2023-10-29
SIM0089,PH0084,4051100000090,Airtel,2024-04-22
SIM0090,PH0085,4051100000091,Jio,2021-07-09
SIM0091,PH0086,4051100000092,Vi,2023-12-09
SIM0092,PH0087,4051100000093,Jio,2024-05-14
SIM0093,PH0088,4051100000094,Airtel,2024-08-12
SIM0094,PH0089,4051100000095,BSNL,2023-03-18
SIM0095,PH0090,4051100000096,Vi,2021-11-16
SIM0096,PH0091,4051100000097,BSNL,2024-01-11
SIM0097,PH0092,4051100000098,Jio,2023-07-29
SIM0098,PH0093,4051100000099,Jio,2024-03-10
SIM0099,PH0094,4051100000100,Airtel,2024-06-10
SIM0100,PH0095,4051100000101,Jio,2020-08-09
SIM0101,PH0096,4051100000102,Airtel,2020-04-04
SIM0102,PH0097,4051100000103,BSNL,2024-09-25
SIM0103,PH0098,4051100000104,Jio,2020-01-13
SIM0104,PH0099,4051100000105,Airtel,2024-12-22
SIM0105,PH0100,4051100000106,Vi,2022-11-24
SIM0106,PH0101,4051100000107,Jio,2022-06-12
SIM0107,PH0102,4051100000108,Airtel,2023-05-11
SIM0108,PH0103,4051100000109,Vi,2020-11-26
SIM0109,PH0104,4051100000110,Jio,2025-02-18
SIM0110,PH0105,4051100000111,BSNL,2020-08-01
SIM0111,PH0106,4051100000112,Vi,2022-08-12
SIM0112,PH0106,4051100000113,BSNL,2021-06-06
SIM0113,PH0107,4051100000114,BSNL,2020-06-27
SIM0114,PH0108,4051100000115,Vi,2020-06-14
SIM0115,PH0109,4051100000116,Airtel,2024-11-28
SIM0116,PH0110,4051100000117,Jio,2021-06-27
SIM0117,PH0111,4051100000118,Airtel,2021-07-19
SIM0118,PH0112,4051100000119,Jio,2024-04-14
SIM0119,PH0113,4051100000120,Airtel,2020-05-01
SIM0120,PH0114,4051100000121,Airtel,2020-08-27
SIM0121,PH0114,4051100000122,BSNL,2020-02-13
SIM0122,PH0115,4051100000123,BSNL,2025-04-03
SIM0123,PH0116,4051100000124,Vi,2022-09-27
SIM0124,PH0117,4051100000125,Jio,2023-08-18
SIM0125,PH0118,4051100000126,Jio,2021-06-20
SIM0126,PH0119,4051100000127,Jio,2021-06-09
SIM0127,PH0120,4051100000128,Airtel,2020-09-03
SIM0128,PH0121,4051100000129,Vi,2023-11-02
SIM0129,PH0122,4051100000130,BSNL,2024-01-03
SIM0130,PH0123,4051100000131,Vi,2023-01-30
SIM0131,PH0124,4051100000132,Airtel,2021-02-08
SIM0132,PH0125,4051100000133,Vi,2024-05-01
SIM0133,PH0126,4051100000134,Airtel,2021-09-26
SIM0134,PH0127,4051100000135,Jio,2023-08-27
SIM0135,PH0128,4051100000136,Jio,2024-01-12
SIM0136,PH0129,4051100000137,Jio,2025-06-22
SIM0137,PH0130,4051100000138,Jio,2024-09-13
SIM0138,PH0131,4051100000139,Vi,2023-09-15
SIM0139,PH0132,4051100000140,Jio,2020-09-08
SIM0140,PH0133,4051100000141,BSNL,2020-12-19
SIM0141,PH0134,4051100000142,Jio,2021-07-19
SIM0142,PH0134,4051100000143,Vi,2024-09-30
SIM0143,PH0135,4051100000144,Airtel,2021-11-08
SIM0144,PH0136,4051100000145,BSNL,2022-06-25
SIM0145,PH0137,4051100000146,BSNL,2021-06-12
SIM0146,PH0138,4051100000147,Jio,2024-04-16
SIM0147,PH0139,4051100000148,Jio,2021-06-01
SIM0148,PH0140,4051100000149,Vi,2024-03-07
SIM0149,PH0141,4051100000150,BSNL,2021-03-28
SIM0150,PH0142,4051100000151,Airtel,2024-10-07
SIM0151,PH0143,4051100000152,Jio,2025-03-29
SIM0152,PH0144,4051100000153,Vi,2023-10-13
SIM0153,PH0144,4051100000154,BSNL,2022-12-11
SIM0154,PH0145,4051100000155,BSNL,2024-03-16
SIM0155,PH0146,4051100000156,Jio,2024-05-22
SIM0156,PH0147,4051100000157,Airtel,2021-03-27
SIM0157,PH0148,4051100000158,Vi,2021-05-28
SIM0158,PH0149,4051100000159,Airtel,2024-11-19
SIM0159,PH0150,4051100000160,Vi,2025-02-18
SIM0160,PH0151,4051100000161,Airtel,2024-11-22
SIM0161,PH0152,4051100000162,BSNL,2023-06-03
SIM0162,PH0153,4051100000163,Airtel,2024-05-14
SIM0163,PH0154,4051100000164,Airtel,2020-05-25
SIM0164,PH0155,4051100000165,BSNL,2020-07-20
SIM0165,PH0156,4051100000166,Vi,2023-10-03
SIM0166,PH0157,4051100000167,Jio,2020-01-11
SIM0167,PH0158,4051100000168,BSNL,2024-11-16
SIM0168,PH0159,4051100000169,Jio,2020-07-06
SIM0169,PH0160,4051100000170,Airtel,2024-01-12
SIM0170,PH0161,4051100000171,Vi,2024-07-07
SIM0171,PH0162,4051100000172,BSNL,2020-10-31
SIM0172,PH0163,4051100000173,Vi,2020-05-02
SIM0173,PH0164,4051100000174,Jio,2025-05-11
SIM0174,PH0165,4051100000175,Vi,2024-07-02
SIM0175,PH0166,4051100000176,BSNL,2024-03-23
SIM0176,PH0167,4051100000177,Airtel,2024-01-22
SIM0177,PH0168,4051100000178,Jio,2023-05-20
SIM0178,PH0169,4051100000179,Vi,2024-07-13
SIM0179,PH0170,4051100000180,Jio,2021-05-11
SIM0180,PH0171,4051100000181,Airtel,2020-09-02
SIM0181,PH0172,4051100000182,Airtel,2020-02-18
SIM0182,PH0173,4051100000183,Jio,2021-05-13
SIM0183,PH0174,4051100000184,Jio,2024-08-11
SIM0184,PH0175,4051100000185,Airtel,2022-06-05
SIM0185,PH0176,4051100000186,BSNL,2022-12-10
SIM0186,PH0177,4051100000187,Jio,2023-05-15
SIM0187,PH0178,4051100000188,Vi,2025-01-29
SIM0188,PH0179,4051100000189,Vi,2023-11-23
SIM0189,PH0180,4051100000190,Jio,2020-08-26
SIM0190,PH0181,4051100000191,BSNL,2020-06-13
SIM0191,PH0182,4051100000192,Airtel,2024-08-22
SIM0192,PH0183,4051100000193,BSNL,2023-06-15
SIM0193,PH0184,4051100000194,Vi,2025-06-21
SIM0194,PH0185,4051100000195,Vi,2023-07-09
SIM0195,PH0186,4051100000196,Jio,2023-02-02
SIM0196,PH0187,4051100000197,Airtel,2024-07-17
SIM0197,PH0188,4051100000198,Jio,2023-05-01
SIM0198,PH0189,4051100000199,Airtel,2022-08-04
SIM0199,PH0190,4051100000200,BSNL,2024-12-04
SIM0200,PH0191,4051100000201,BSNL,2021-04-01
SIM0201,PH0192,4051100000202,Airtel,2023-03-17
SIM0202,PH0193,4051100000203,Airtel,2024-05-25
SIM0203,PH0194,4051100000204,Jio,2020-10-23
SIM0204,PH0195,4051100000205,Airtel,2022-05-21
SIM0205,PH0196,4051100000206,BSNL,2022-02-20
SIM0206,PH0197,4051100000207,BSNL,2020-09-24
SIM0207,PH0198,4051100000208,Vi,2025-03-27
SIM0208,PH0199,4051100000209,Vi,2023-08-08
SIM0209,PH0200,4051100000210,BSNL,2022-12-21
SIM0210,PH0201,4051100000211,Airtel,2022-12-20
SIM0211,PH0202,4051100000212,BSNL,2020-02-22
SIM0212,PH0203,4051100000213,Jio,2020-12-02
SIM0213,PH0204,4051100000214,Vi,2022-06-03
SIM0214,PH0205,4051100000215,Vi,2020-06-28
SIM0215,PH0206,4051100000216,Airtel,2023-07-22
SIM0216,PH0207,4051100000217,BSNL,2024-12-03
SIM0217,PH0208,4051100000218,BSNL,2023-04-17
SIM0218,PH0209,4051100000219,Jio,2025-03-10
SIM0219,PH0210,4051100000220,BSNL,2024-07-15
SIM0220,PH0211,4051100000221,BSNL,2024-04-27
SIM0221,PH0212,4051100000222,Jio,2022-11-17
SIM0222,PH0212,4051100000223,Jio,2022-07-06
SIM0223,PH0213,4051100000224,Vi,2022-04-07
SIM0224,PH0214,4051100000225,Airtel,2020-06-05
SIM0225,PH0215,4051100000226,BSNL,2020-04-10
SIM0226,PH0216,4051100000227,Airtel,2022-09-28
SIM0227,PH0217,4051100000228,BSNL,2023-01-21
SIM0228,PH0218,4051100000229,Airtel,2021-11-09
SIM0229,PH0219,4051100000230,Vi,2020-04-27
SIM0230,PH0220,4051100000231,Airtel,2024-05-01
SIM0231,PH0221,4051100000232,Jio,2020-09-11
SIM0232,PH0222,4051100000233,BSNL,2020-03-26
SIM0233,PH0223,4051100000234,BSNL,2022-11-09
SIM0234,PH0224,4051100000235,Vi,2022-02-08
SIM0235,PH0225,4051100000236,Airtel,2023-09-15
SIM0236,PH0226,4051100000237,Jio,2023-05-28
SIM0237,PH0227,4051100000238,BSNL,2024-02-16
SIM0238,PH0228,4051100000239,Jio,2020-02-11
SIM0239,PH0229,4051100000240,Jio,2024-09-01
SIM0240,PH0230,4051100000241,Airtel,2020-08-22
SIM0241,PH0231,4051100000242,Vi,2024-02-18
SIM0242,PH0232,4051100000243,Airtel,2020-05-09
SIM0243,PH0233,4051100000244,Vi,2021-02-27
SIM0244,PH0234,4051100000245,BSNL,2020-06-18
SIM0245,PH0234,4051100000246,Jio,2020-06-11
SIM0246,PH0235,4051100000247,BSNL,2023-01-12
SIM0247,PH0236,4051100000248,Vi,2020-10-03
SIM0248,PH0237,4051100000249,BSNL,2022-01-07
SIM0249,PH0238,4051100000250,Jio,2021-12-06
SIM0250,PH0239,4051100000251,Vi,2022-04-20
SIM0251,PH0240,4051100000252,BSNL,2020-05-17
SIM0252,PH0241,4051100000253,BSNL,2020-03-13
SIM0253,PH0242,4051100000254,Vi,2022-10-19
SIM0254,PH0243,4051100000255,Jio,2025-05-15
SIM0255,PH0244,4051100000256,Airtel,2022-11-24
SIM0256,PH0245,4051100000257,Vi,2020-10-30
SIM0257,PH0246,4051100000258,Vi,2022-08-06
SIM0258,PH0246,4051100000259,BSNL,2020-02-21
SIM0259,PH0247,4051100000260,Vi,2023-01-28
SIM0260,PH0247,4051100000261,BSNL,2022-11-16
SIM0261,PH0248,4051100000262,Vi,2020-03-22
SIM0262,PH0249,4051100000263,BSNL,2022-05-30
SIM0263,PH0250,4051100000264,Airtel,2024-03-15
SIM0264,PH0251,4051100000265,BSNL,2022-03-14
SIM0265,PH0252,4051100000266,Airtel,2020-02-22
SIM0266,PH0253,4051100000267,Jio,2025-01-09
SIM0267,PH0254,4051100000268,Vi,2021-11-05
SIM0268,PH0255,4051100000269,BSNL,2023-05-09
SIM0269,PH0256,4051100000270,Jio,2021-08-15
SIM0270,PH0257,4051100000271,Airtel,2021-08-19
SIM0271,PH0258,4051100000272,Airtel,2024-06-09
SIM0272,PH0259,4051100000273,Jio,2024-01-05
SIM0273,PH0260,4051100000274,Jio,2020-11-01
SIM0274,PH0261,4051100000275,Jio,2020-12-24
SIM0275,PH0262,4051100000276,BSNL,2023-02-27
SIM0276,PH0263,4051100000277,BSNL,2024-02-26
SIM0277,PH0264,4051100000278,BSNL,2020-03-02
SIM0278,PH0265,4051100000279,Vi,2024-11-26
SIM0279,PH0266,4051100000280,Airtel,2024-02-24
SIM0280,PH0267,4051100000281,Vi,2024-08-18
SIM0281,PH0268,4051100000282,Airtel,2023-01-27
SIM0282,PH0269,4051100000283,Vi,2024-05-04
SIM0283,PH0269,4051100000284,Jio,2022-06-01
SIM0284,PH0270,4051100000285,Jio,2024-06-08
SIM0285,PH0271,4051100000286,BSNL,2023-05-04
SIM0286,PH0272,4051100000287,Jio,2023-09-26
SIM0287,PH0273,4051100000288,Vi,2024-07-22
SIM0288,PH0274,4051100000289,Airtel,2023-01-12
SIM0289,PH0275,4051100000290,BSNL,2023-10-14
SIM0290,PH0276,4051100000291,Airtel,2023-01-10
SIM0291,PH0277,4051100000292,Airtel,2024-05-08
SIM0292,PH0278,4051100000293,Airtel,2021-12-24
SIM0293,PH0279,4051100000294,Vi,2020-09-26
SIM0294,PH0280,4051100000295,Airtel,2024-09-02
SIM0295,PH0281,4051100000296,BSNL,2020-02-12
SIM0296,PH0282,4051100000297,Jio,2020-07-10
SIM0297,PH0283,4051100000298,Jio,2024-04-30
SIM0298,PH0284,4051100000299,Jio,2021-12-22
SIM0299,PH0285,4051100000300,BSNL,2025-04-27
SIM0300,PH0286,4051100000301,Jio,2023-12-23
SIM0301,PH0287,4051100000302,Jio,2023-01-17
SIM0302,PH0288,4051100000303,Vi,2020-03-17
SIM0303,PH0288,4051100000304,BSNL,2021-05-23
SIM0304,PH0289,4051100000305,Jio,2024-03-25
SIM0305,PH0290,4051100000306,Vi,2024-01-28
SIM0306,PH0291,4051100000307,BSNL,2023-01-03
SIM0307,PH0292,4051100000308,Vi,2020-03-20
SIM0308,PH0293,4051100000309,Vi,2020-04-16
SIM0309,PH0294,4051100000310,Airtel,2022-11-26
SIM0310,PH0295,4051100000311,BSNL,2024-09-07
SIM0311,PH0295,4051100000312,Vi,2020-02-16
SIM0312,PH0296,4051100000313,Airtel,2023-08-28
SIM0313,PH0297,4051100000314,BSNL,2022-02-02
SIM0314,PH0298,4051100000315,Vi,2020-12-07
SIM0315,PH0299,4051100000316,BSNL,2020-08-27
SIM0316,PH0300,4051100000317,BSNL,2020-08-26
SIM0317,PH0301,4051100000318,BSNL,2020-08-05
SIM0318,PH0302,4051100000319,BSNL,2020-04-14
SIM0319,PH0303,4051100000320,Airtel,2020-07-17
SIM0320,PH0303,4051100000321,Vi,2025-01-07
SIM0321,PH0304,4051100000322,BSNL,2021-08-31
SIM0322,PH0305,4051100000323,BSNL,2023-10-12
SIM0323,PH0306,4051100000324,Jio,2020-12-01
SIM0324,PH0307,4051100000325,BSNL,2025-04-20
SIM0325,PH0307,4051100000326,Jio,2024-12-07
SIM0326,PH0308,4051100000327,Airtel,2021-08-01
SIM0327,PH0309,4051100000328,Vi,2022-04-12
SIM0328,PH0310,4051100000329,BSNL,2025-06-22
SIM0329,PH0310,4051100000330,Jio,2023-05-09
SIM0330,PH0311,4051100000331,Jio,2022-10-26
SIM0331,PH0312,4051100000332,Airtel,2020-10-05
SIM0332,PH0312,4051100000333,BSNL,2024-12-10
SIM0333,PH0313,4051100000334,Airtel,2021-08-23
SIM0334,PH0314,4051100000335,Jio,2020-04-16
SIM0335,PH0315,4051100000336,Airtel,2023-08-05
SIM0336,PH0316,4051100000337,Vi,2023-07-25
SIM0337,PH0317,4051100000338,Vi,2024-08-05
SIM0338,PH0318,4051100000339,Airtel,2025-05-07
SIM0339,PH0319,4051100000340,Jio,2022-01-15
SIM0340,PH0320,4051100000341,Jio,2023-05-04
SIM0341,PH0321,4051100000342,Airtel,2022-04-15
SIM0342,PH0322,4051100000343,Jio,2024-06-25
SIM0343,PH0323,4051100000344,Jio,2021-12-28
SIM0344,PH0324,4051100000345,Vi,2021-01-25
SIM0345,PH0325,4051100000346,Vi,2023-01-07
SIM0346,PH0326,4051100000347,Airtel,2022-06-26
SIM0347,PH0327,4051100000348,Vi,2022-07-05
SIM0348,PH0328,4051100000349,Airtel,2023-06-23
SIM0349,PH0329,4051100000350,Airtel,2023-04-04
SIM0350,PH0330,4051100000351,Vi,2020-03-16
SIM0351,PH0331,4051100000352,Jio,2023-06-14
SIM0352,PH0332,4051100000353,BSNL,2024-03-09
SIM0353,PH0333,4051100000354,Vi,2020-07-24
SIM0354,PH0334,4051100000355,BSNL,2020-08-26
SIM0355,PH0335,4051100000356,Vi,2020-10-29
SIM0356,PH0336,4051100000357,BSNL,2023-10-03
SIM0357,PH0337,4051100000358,Vi,2023-01-10
SIM0358,PH0338,4051100000359,Vi,2024-02-03
SIM0359,PH0339,4051100000360,BSNL,2021-08-02
SIM0360,PH0340,4051100000361,Vi,2022-07-23
SIM0361,PH0341,4051100000362,Vi,2024-06-26
SIM0362,PH0342,4051100000363,Jio,2021-05-14
SIM0363,PH0343,4051100000364,Vi,2020-09-28
SIM0364,PH0344,4051100000365,Vi,2020-06-27
SIM0365,PH0345,4051100000366,Jio,2023-12-24
SIM0366,PH0346,4051100000367,BSNL,2023-11-06
SIM0367,PH0347,4051100000368,Jio,2025-02-09
SIM0368,PH0348,4051100000369,Vi,2022-08-29
SIM0369,PH0349,4051100000370,Airtel,2022-07-14
SIM0370,PH0350,4051100000371,Jio,2022-07-22
SIM0371,PH0351,4051100000372,BSNL,2020-02-14
SIM0372,PH0352,4051100000373,Airtel,2024-09-25
SIM0373,PH0353,4051100000374,BSNL,2022-09-21
SIM0374,PH0354,4051100000375,BSNL,2020-01-12
SIM0375,PH0355,4051100000376,Vi,2020-11-29
SIM0376,PH0356,4051100000377,Jio,2020-01-10
SIM0377,PH0357,4051100000378,Jio,2023-03-18
SIM0378,PH0358,4051100000379,BSNL,2021-01-13
SIM0379,PH0359,4051100000380,Jio,2020-06-07
SIM0380,PH0360,4051100000381,Airtel,2023-09-17
SIM0381,PH0361,4051100000382,Jio,2025-05-01
SIM0382,PH0362,4051100000383,Jio,2021-12-06
SIM0383,PH0362,4051100000384,BSNL,2020-02-29
SIM0384,PH0363,4051100000385,Jio,2022-07-10
SIM0385,PH0364,4051100000386,Airtel,2020-01-28
SIM0386,PH0365,4051100000387,Jio,2024-03-14
SIM0387,PH0366,4051100000388,Vi,2022-06-20
SIM0388,PH0367,4051100000389,Jio,2020-04-06
SIM0389,PH0367,4051100000390,Airtel,2021-12-04
SIM0390,PH0368,4051100000391,BSNL,2021-08-06
SIM0391,PH0369,4051100000392,Airtel,2022-08-04
SIM0392,PH0370,4051100000393,Jio,2022-04-24
SIM0393,PH0371,4051100000394,Airtel,2022-12-22
SIM0394,PH0372,4051100000395,Vi,2023-06-07
SIM0395,PH0373,4051100000396,Jio,2023-04-16
SIM0396,PH0374,4051100000397,Airtel,2022-08-11
SIM0397,PH0375,4051100000398,Jio,2021-04-29
SIM0398,PH0376,4051100000399,Jio,2020-11-06
SIM0399,PH0377,4051100000400,Airtel,2024-07-03
SIM0400,PH0378,4051100000401,Airtel,2022-07-05
SIM0401,PH0379,4051100000402,Airtel,2022-06-23
SIM0402,PH0380,4051100000403,Vi,2022-07-18
SIM0403,PH0381,4051100000404,Jio,2020-05-20
SIM0404,PH0381,4051100000405,Airtel,2023-03-12
SIM0405,PH0382,4051100000406,BSNL,2022-08-07
SIM0406,PH0383,4051100000407,Airtel,2023-11-01
SIM0407,PH0384,4051100000408,Jio,2022-10-22
SIM0408,PH0385,4051100000409,BSNL,2021-03-22
SIM0409,PH0386,4051100000410,Jio,2020-05-09
SIM0410,PH0387,4051100000411,Jio,2025-06-01
SIM0411,PH0388,4051100000412,Airtel,2023-02-09
SIM0412,PH0389,4051100000413,Jio,2024-11-09
SIM0413,PH0390,4051100000414,Jio,2021-11-27
SIM0414,PH0391,4051100000415,Vi,2021-10-15
SIM0415,PH0392,4051100000416,BSNL,2023-12-11
SIM0416,PH0393,4051100000417,BSNL,2024-03-01
SIM0417,PH0394,4051100000418,BSNL,2023-08-27
SIM0418,PH0395,4051100000419,Vi,2021-02-09
SIM0419,PH0396,4051100000420,Jio,2025-03-22
SIM0420,PH0397,4051100000421,BSNL,2020-03-09
SIM0421,PH0398,4051100000422,BSNL,2022-10-10
SIM0422,PH0399,4051100000423,BSNL,2020-07-20
SIM0423,PH0400,4051100000424,Vi,2020-05-02
SIM0424,PH0401,4051100000425,Airtel,2021-01-04
SIM0425,PH0402,4051100000426,BSNL,2024-03-13
SIM0426,PH0403,4051100000427,Jio,2023-12-30
SIM0427,PH0404,4051100000428,Airtel,2023-04-03
SIM0428,PH0405,4051100000429,Vi,2020-08-21
SIM0429,PH0406,4051100000430,Airtel,2022-05-17
SIM0430,PH0407,4051100000431,Vi,2021-07-20
SIM0431,PH0408,4051100000432,Jio,2025-01-28
SIM0432,PH0409,4051100000433,BSNL,2022-04-17
SIM0433,PH0410,4051100000434,BSNL,2023-03-20
SIM0434,PH0411,4051100000435,Jio,2021-05-23
SIM0435,PH0411,4051100000436,BSNL,2023-08-13
SIM0436,PH0412,4051100000437,Jio,2023-01-16
SIM0437,PH0413,4051100000438,BSNL,2020-08-28
SIM0438,PH0414,4051100000439,Jio,2022-04-02
SIM0439,PH0415,4051100000440,BSNL,2022-05-08
SIM0440,PH0415,4051100000441,BSNL,2024-07-12
SIM0441,PH0416,4051100000442,BSNL,2021-01-28
SIM0442,PH0416,4051100000443,Jio,2022-10-24
SIM0443,PH0417,4051100000444,BSNL,2022-03-20
SIM0444,PH0418,4051100000445,BSNL,2022-05-12
SIM0445,PH0419,4051100000446,Airtel,2021-05-20
SIM0446,PH0420,4051100000447,Vi,2024-01-12
SIM0447,PH0421,4051100000448,BSNL,2025-04-15
SIM0448,PH0422,4051100000449,Jio,2023-10-13
SIM0449,PH0423,4051100000450,Airtel,2025-01-06
SIM0450,PH0424,4051100000451,BSNL,2023-10-01
SIM0451,PH0425,4051100000452,Airtel,2023-07-29
SIM0452,PH0426,4051100000453,BSNL,2022-03-17
SIM0453,PH0427,4051100000454,BSNL,2024-07-18
SIM0454,PH0428,4051100000455,Vi,2025-03-03
SIM0455,PH0429,4051100000456,Jio,2022-08-15
SIM0456,PH0430,4051100000457,Jio,2023-10-21
SIM0457,PH0431,4051100000458,Vi,2024-05-20
SIM0458,PH0432,4051100000459,BSNL,2025-06-13
SIM0459,PH0433,4051100000460,Jio,2025-01-21
SIM0460,PH0434,4051100000461,Jio,2022-01-31
SIM0461,PH0435,4051100000462,BSNL,2025-01-16
SIM0462,PH0436,4051100000463,Airtel,2025-05-01
SIM0463,PH0437,4051100000464,Airtel,2025-03-24
SIM0464,PH0438,4051100000465,BSNL,2020-03-15
SIM0465,PH0439,4051100000466,Jio,2022-04-03
SIM0466,PH0440,4051100000467,Airtel,2024-04-20
SIM0467,PH0441,4051100000468,Airtel,2020-02-22
SIM0468,PH0442,4051100000469,Vi,2020-04-29
SIM0469,PH0443,4051100000470,BSNL,2024-05-06
SIM0470,PH0444,4051100000471,Jio,2022-11-17
SIM0471,PH0444,4051100000472,Vi,2021-03-11
SIM0472,PH0445,4051100000473,Jio,2022-12-18
SIM0473,PH0446,4051100000474,Airtel,2022-01-03
SIM0474,PH0447,4051100000475,Airtel,2024-12-20
SIM0475,PH0448,4051100000476,BSNL,2022-01-30
SIM0476,PH0449,4051100000477,BSNL,2024-06-24
SIM0477,PH0450,4051100000478,Jio,2020-11-25
SIM0478,PH0451,4051100000479,BSNL,2025-03-03
SIM0479,PH0452,4051100000480,Airtel,2025-01-18
SIM0480,PH0453,4051100000481,Jio,2023-12-04
SIM0481,PH0454,4051100000482,Airtel,2020-09-20
SIM0482,PH0455,4051100000483,Jio,2023-05-10
SIM0483,PH0456,4051100000484,Airtel,2022-06-28
SIM0484,PH0457,4051100000485,BSNL,2021-09-23
SIM0485,PH0458,4051100000486,Jio,2022-04-29
SIM0486,PH0459,4051100000487,Jio,2025-04-11
SIM0487,PH0460,4051100000488,Jio,2020-03-28
SIM0488,PH0461,4051100000489,BSNL,2022-06-16
SIM0489,PH0462,4051100000490,Jio,2023-05-06
