camera_id,location_id,camera_type,city
CAM0050,LOC0114,ANPR,Bengaluru
CAM0051,LOC0116,ANPR,Dehradun
CAM0052,LOC0119,ANPR,Kolkata
CAM0053,LOC0123,ANPR,Bhopal
CAM0054,LOC0124,ANPR,Surat
CAM0055,LOC0127,ANPR,Indore
CAM0056,LOC0128,ANPR,Mumbai
CAM0057,LOC0129,ANPR,Patna
CAM0058,LOC0130,CCTV,Patna
CAM0059,LOC0134,ANPR,Noida
CAM0060,LOC0136,CCTV,Bengaluru
CAM0061,LOC0137,ANPR,Indore
CAM0062,LOC0138,ANPR,Amritsar
CAM0063,LOC0142,ANPR,Chandigarh
CAM0064,LOC0143,ANPR,Kanpur
CAM0065,LOC0145,ANPR,Dehradun
CAM0066,LOC0146,ANPR,Agra
CAM0067,LOC0150,ANPR,Kanpur
CAM0068,LOC0151,ANPR,Haridwar
CAM0069,LOC0152,CCTV,Agra
CAM0070,LOC0153,ANPR,Bhubaneswar
CAM0071,LOC0155,ANPR,Patna
CAM0072,LOC0156,CCTV,Agra
CAM0073,LOC0161,CCTV,Agra
CAM0074,LOC0164,ANPR,Ahmedabad
CAM0075,LOC0165,ANPR,Kanpur
CAM0076,LOC0166,CCTV,Gurugram
CAM0077,LOC0168,ANPR,Noida
CAM0078,LOC0170,ANPR,Ghaziabad
CAM0079,LOC0171,ANPR,Dehradun
CAM0080,LOC0174,ANPR,Hyderabad
CAM0081,LOC0176,ANPR,Pune
CAM0082,LOC0177,ANPR,Agra
CAM0083,LOC0179,ANPR,Mumbai
CAM0084,LOC0180,ANPR,Gurugram
CAM0085,LOC0184,ANPR,Noida
CAM0086,LOC0185,ANPR,Patna
CAM0087,LOC0188,ANPR,Patna
CAM0088,LOC0192,ANPR,Surat
CAM0089,LOC0198,ANPR,Amritsar
CAM0090,LOC0203,ANPR,Agra
CAM0091,LOC0210,ANPR,Ranchi
CAM0092,LOC0211,ANPR,Pune
CAM0093,LOC0213,CCTV,Pune
CAM0094,LOC0214,ANPR,Chennai
CAM0095,LOC0215,ANPR,Jaipur
CAM0096,LOC0216,ANPR,Pune
CAM0097,LOC0217,ANPR,Surat
CAM0098,LOC0221,ANPR,Kanpur
CAM0099,LOC0223,CCTV,Agra
CAM0100,LOC0224,CCTV,Jaipur
CAM0101,LOC0225,ANPR,Noida
CAM0102,LOC0226,ANPR,Agra
CAM0103,LOC0227,ANPR,Agra
CAM0104,LOC0228,CCTV,Lucknow
CAM0105,LOC0229,ANPR,Kolkata
CAM0106,LOC0232,ANPR,Patna
CAM0107,LOC0236,ANPR,Pune
CAM0108,LOC0237,ANPR,Indore
CAM0109,LOC0238,ANPR,Ranchi
CAM0110,LOC0239,ANPR,Ghaziabad
CAM0111,LOC0241,ANPR,Ranchi
CAM0112,LOC0243,ANPR,Gurugram
CAM0113,LOC0244,ANPR,Bhopal
CAM0114,LOC0246,CCTV,Bengaluru
CAM0115,LOC0248,ANPR,Delhi
CAM0116,LOC0254,ANPR,Delhi
CAM0117,LOC0255,CCTV,Agra
CAM0118,LOC0257,CCTV,Pune
CAM0119,LOC0264,ANPR,Ghaziabad
CAM0120,LOC0266,CCTV,Ludhiana
CAM0121,LOC0270,CCTV,Kolkata
CAM0122,LOC0273,CCTV,Ghaziabad
CAM0123,LOC0276,ANPR,Hyderabad
CAM0124,LOC0277,ANPR,Surat
CAM0125,LOC0279,CCTV,Amritsar
CAM0126,LOC0280,ANPR,Kanpur
CAM0127,LOC0282,CCTV,Agra
CAM0128,LOC0283,ANPR,Faridabad
CAM0129,LOC0284,CCTV,Delhi
CAM0130,LOC0285,ANPR,Kolkata
CAM0131,LOC0288,ANPR,Agra
CAM0132,LOC0293,ANPR,Ghaziabad
CAM0133,LOC0294,ANPR,Chennai
CAM0134,LOC0296,CCTV,Ludhiana
CAM0135,LOC0297,ANPR,Amritsar
CAM0136,LOC0298,ANPR,Hyderabad
