device_id,imei,make,model
DEV0351,35100000000351,Vivo,Model-18
DEV0352,35100000000352,Apple,Model-26
DEV0353,35100000000353,Motorola,Model-13
DEV0354,35100000000354,Motorola,Model-1
DEV0355,35100000000355,OnePlus,Model-14
DEV0356,35100000000356,Samsung,Model-23
DEV0357,35100000000357,OnePlus,Model-20
DEV0358,35100000000358,Realme,Model-30
DEV0359,35100000000359,Oppo,Model-17
DEV0360,35100000000360,OnePlus,Model-1
DEV0361,35100000000361,Oppo,Model-4
DEV0362,35100000000362,Motorola,Model-40
DEV0363,35100000000363,OnePlus,Model-8
DEV0364,35100000000364,Realme,Model-13
DEV0365,35100000000365,Vivo,Model-29
DEV0366,35100000000366,OnePlus,Model-6
DEV0367,35100000000367,Samsung,Model-33
DEV0368,35100000000368,Realme,Model-35
DEV0369,35100000000369,OnePlus,Model-28
DEV0370,35100000000370,OnePlus,Model-31
DEV0371,35100000000371,Vivo,Model-3
DEV0372,35100000000372,Motorola,Model-9
DEV0373,35100000000373,Oppo,Model-24
DEV0374,35100000000374,Oppo,Model-29
DEV0375,35100000000375,Vivo,Model-1
DEV0376,35100000000376,Nokia,Model-39
DEV0377,35100000000377,Oppo,Model-27
DEV0378,35100000000378,Apple,Model-13
DEV0379,35100000000379,Motorola,Model-25
DEV0380,35100000000380,Oppo,Model-29
DEV0381,35100000000381,Realme,Model-18
DEV0382,35100000000382,Apple,Model-36
DEV0383,35100000000383,Nokia,Model-22
DEV0384,35100000000384,Xiaomi,Model-22
DEV0385,35100000000385,Nokia,Model-19
DEV0386,35100000000386,Nokia,Model-7
DEV0387,35100000000387,Samsung,Model-23
DEV0388,35100000000388,Vivo,Model-19
DEV0389,35100000000389,Oppo,Model-19
DEV0390,35100000000390,OnePlus,Model-19
DEV0391,35100000000391,Motorola,Model-7
DEV0392,35100000000392,Realme,Model-34
DEV0393,35100000000393,Vivo,Model-33
DEV0394,35100000000394,Xiaomi,Model-10
DEV0395,35100000000395,Samsung,Model-29
DEV0396,35100000000396,OnePlus,Model-10
DEV0397,35100000000397,Apple,Model-10
DEV0398,35100000000398,Samsung,Model-36
DEV0399,35100000000399,OnePlus,Model-1
DEV0400,35100000000400,Nokia,Model-21
DEV0401,35100000000401,Apple,Model-29
DEV0402,35100000000402,Oppo,Model-24
DEV0403,35100000000403,OnePlus,Model-1
DEV0404,35100000000404,Samsung,Model-18
DEV0405,35100000000405,Nokia,Model-18
DEV0406,35100000000406,Nokia,Model-10
DEV0407,35100000000407,OnePlus,Model-1
DEV0408,35100000000408,Nokia,Model-24
DEV0409,35100000000409,Oppo,Model-29
DEV0410,35100000000410,Vivo,Model-40
DEV0411,35100000000411,Oppo,Model-11
DEV0412,35100000000412,Vivo,Model-22
DEV0413,35100000000413,Xiaomi,Model-39
DEV0414,35100000000414,OnePlus,Model-23
DEV0415,35100000000415,OnePlus,Model-12
DEV0416,35100000000416,Nokia,Model-6
DEV0417,35100000000417,Nokia,Model-37
DEV0418,35100000000418,Vivo,Model-22
DEV0419,35100000000419,Nokia,Model-3
DEV0420,35100000000420,OnePlus,Model-21
DEV0421,35100000000421,Oppo,Model-34
DEV0422,35100000000422,Motorola,Model-16
DEV0423,35100000000423,Nokia,Model-4
DEV0424,35100000000424,Vivo,Model-22
DEV0425,35100000000425,OnePlus,Model-33
DEV0426,35100000000426,Apple,Model-28
DEV0427,35100000000427,Motorola,Model-33
DEV0428,35100000000428,Xiaomi,Model-34
DEV0429,35100000000429,Motorola,Model-40
DEV0430,35100000000430,Apple,Model-16
DEV0431,35100000000431,Realme,Model-10
DEV0432,35100000000432,Realme,Model-2
DEV0433,35100000000433,Nokia,Model-25
DEV0434,35100000000434,Nokia,Model-25
DEV0435,35100000000435,Xiaomi,Model-8
DEV0436,35100000000436,Nokia,Model-13
DEV0437,35100000000437,Nokia,Model-13
DEV0438,35100000000438,Vivo,Model-17
DEV0439,35100000000439,OnePlus,Model-30
DEV0440,35100000000440,Realme,Model-25
DEV0441,35100000000441,Motorola,Model-27
DEV0442,35100000000442,Xiaomi,Model-7
DEV0443,35100000000443,Nokia,Model-28
DEV0444,35100000000444,Oppo,Model-36
DEV0445,35100000000445,Xiaomi,Model-7
DEV0446,35100000000446,Motorola,Model-36
DEV0447,35100000000447,Samsung,Model-8
DEV0448,35100000000448,Xiaomi,Model-8
DEV0449,35100000000449,Xiaomi,Model-2
DEV0450,35100000000450,Nokia,Model-8
DEV0451,35100000000451,Motorola,Model-21
DEV0452,35100000000452,Apple,Model-36
DEV0453,35100000000453,OnePlus,Model-33
DEV0454,35100000000454,Realme,Model-23
DEV0455,35100000000455,Nokia,Model-8
DEV0456,35100000000456,Xiaomi,Model-19
DEV0457,35100000000457,Vivo,Model-36
DEV0458,35100000000458,Realme,Model-36
DEV0459,35100000000459,OnePlus,Model-32
DEV0460,35100000000460,Apple,Model-1
DEV0461,35100000000461,Motorola,Model-21
DEV0462,35100000000462,Apple,Model-26
DEV0463,35100000000463,Nokia,Model-40
DEV0464,35100000000464,Xiaomi,Model-30
DEV0465,35100000000465,Realme,Model-19
DEV0466,35100000000466,Motorola,Model-24
DEV0467,35100000000467,OnePlus,Model-12
DEV0468,35100000000468,Xiaomi,Model-26
DEV0469,35100000000469,Realme,Model-39
DEV0470,35100000000470,Apple,Model-36
DEV0471,35100000000471,Apple,Model-18
DEV0472,35100000000472,Realme,Model-23
DEV0473,35100000000473,Xiaomi,Model-32
DEV0474,35100000000474,Oppo,Model-28
DEV0475,35100000000475,Xiaomi,Model-19
DEV0476,35100000000476,Vivo,Model-2
DEV0477,35100000000477,Oppo,Model-20
DEV0478,35100000000478,Realme,Model-2
DEV0479,35100000000479,Vivo,Model-36
DEV0480,35100000000480,Nokia,Model-23
DEV0481,35100000000481,Motorola,Model-38
DEV0482,35100000000482,Nokia,Model-9
DEV0483,35100000000483,Realme,Model-33
DEV0484,35100000000484,Samsung,Model-22
DEV0485,35100000000485,Realme,Model-35
DEV0486,35100000000486,Vivo,Model-39
DEV0487,35100000000487,Xiaomi,Model-7
DEV0488,35100000000488,Apple,Model-34
DEV0489,35100000000489,Samsung,Model-12
DEV0490,35100000000490,Motorola,Model-5
DEV0491,35100000000491,Motorola,Model-19
DEV0492,35100000000492,OnePlus,Model-36
DEV0493,35100000000493,OnePlus,Model-6
DEV0494,35100000000494,Vivo,Model-15
DEV0495,35100000000495,Nokia,Model-17
DEV0496,35100000000496,Vivo,Model-23
DEV0497,35100000000497,Xiaomi,Model-1
DEV0498,35100000000498,Motorola,Model-21
DEV0499,35100000000499,Oppo,Model-30
DEV0500,35100000000500,Motorola,Model-10
DEV0501,35100000000501,Xiaomi,Model-24
DEV0502,35100000000502,Oppo,Model-17
DEV0503,35100000000503,OnePlus,Model-12
DEV0504,35100000000504,Apple,Model-9
DEV0505,35100000000505,Xiaomi,Model-9
DEV0506,35100000000506,Motorola,Model-3
DEV0507,35100000000507,Oppo,Model-40
DEV0508,35100000000508,Nokia,Model-4
DEV0509,35100000000509,Apple,Model-13
DEV0510,35100000000510,Motorola,Model-37
DEV0511,35100000000511,Apple,Model-3
DEV0512,35100000000512,Samsung,Model-27
DEV0513,35100000000513,Samsung,Model-6
DEV0514,35100000000514,Samsung,Model-16
DEV0515,35100000000515,Realme,Model-7
DEV0516,35100000000516,Oppo,Model-6
DEV0517,35100000000517,Xiaomi,Model-12
DEV0518,35100000000518,OnePlus,Model-30
DEV0519,35100000000519,Motorola,Model-8
DEV0520,35100000000520,OnePlus,Model-37
DEV0521,35100000000521,Realme,Model-39
DEV0522,35100000000522,Xiaomi,Model-32
DEV0523,35100000000523,OnePlus,Model-35
DEV0524,35100000000524,OnePlus,Model-3
DEV0525,35100000000525,Oppo,Model-2
DEV0526,35100000000526,Xiaomi,Model-10
DEV0527,35100000000527,Xiaomi,Model-39
DEV0528,35100000000528,Oppo,Model-33
DEV0529,35100000000529,Realme,Model-8
DEV0530,35100000000530,OnePlus,Model-28
DEV0531,35100000000531,Xiaomi,Model-38
DEV0532,35100000000532,Samsung,Model-22
DEV0533,35100000000533,OnePlus,Model-23
DEV0534,35100000000534,Vivo,Model-37
DEV0535,35100000000535,Vivo,Model-11
DEV0536,35100000000536,Motorola,Model-18
DEV0537,35100000000537,Oppo,Model-19
DEV0538,35100000000538,Xiaomi,Model-31
DEV0539,35100000000539,Vivo,Model-40
DEV0540,35100000000540,Motorola,Model-21
DEV0541,35100000000541,Vivo,Model-28
DEV0542,35100000000542,Samsung,Model-14
DEV0543,35100000000543,Nokia,Model-1
DEV0544,35100000000544,OnePlus,Model-39
DEV0545,35100000000545,Motorola,Model-37
DEV0546,35100000000546,Realme,Model-28
DEV0547,35100000000547,Samsung,Model-10
DEV0548,35100000000548,Vivo,Model-36
DEV0549,35100000000549,Xiaomi,Model-39
DEV0550,35100000000550,Xiaomi,Model-29
DEV0551,35100000000551,Realme,Model-2
DEV0552,35100000000552,Samsung,Model-28
DEV0553,35100000000553,OnePlus,Model-18
DEV0554,35100000000554,Samsung,Model-16
DEV0555,35100000000555,OnePlus,Model-33
DEV0556,35100000000556,OnePlus,Model-2
DEV0557,35100000000557,Vivo,Model-11
DEV0558,35100000000558,Oppo,Model-33
DEV0559,35100000000559,OnePlus,Model-18
DEV0560,35100000000560,Nokia,Model-17
DEV0561,35100000000561,Samsung,Model-1
DEV0562,35100000000562,Xiaomi,Model-25
DEV0563,35100000000563,Oppo,Model-17
DEV0564,35100000000564,Realme,Model-27
DEV0565,35100000000565,Samsung,Model-32
DEV0566,35100000000566,Vivo,Model-36
DEV0567,35100000000567,Vivo,Model-10
DEV0568,35100000000568,OnePlus,Model-12
DEV0569,35100000000569,Oppo,Model-34
DEV0570,35100000000570,Apple,Model-29
DEV0571,35100000000571,Motorola,Model-3
DEV0572,35100000000572,OnePlus,Model-18
DEV0573,35100000000573,Nokia,Model-7
DEV0574,35100000000574,Motorola,Model-30
DEV0575,35100000000575,Realme,Model-18
DEV0576,35100000000576,Samsung,Model-5
DEV0577,35100000000577,Vivo,Model-9
DEV0578,35100000000578,Xiaomi,Model-18
DEV0579,35100000000579,Samsung,Model-31
DEV0580,35100000000580,OnePlus,Model-23
DEV0581,35100000000581,Motorola,Model-18
DEV0582,35100000000582,Motorola,Model-30
DEV0583,35100000000583,Motorola,Model-39
DEV0584,35100000000584,OnePlus,Model-39
DEV0585,35100000000585,Vivo,Model-2
DEV0586,35100000000586,OnePlus,Model-30
DEV0587,35100000000587,OnePlus,Model-19
DEV0588,35100000000588,Samsung,Model-2
DEV0589,35100000000589,Realme,Model-25
DEV0590,35100000000590,Nokia,Model-4
DEV0591,35100000000591,Motorola,Model-2
DEV0592,35100000000592,Samsung,Model-19
DEV0593,35100000000593,Vivo,Model-39
DEV0594,35100000000594,Xiaomi,Model-13
DEV0595,35100000000595,Vivo,Model-36
DEV0596,35100000000596,Xiaomi,Model-20
DEV0597,35100000000597,Vivo,Model-18
DEV0598,35100000000598,Samsung,Model-33
DEV0599,35100000000599,Realme,Model-39
DEV0600,35100000000600,Apple,Model-14
DEV0601,35100000000601,OnePlus,Model-6
DEV0602,35100000000602,Apple,Model-37
DEV0603,35100000000603,OnePlus,Model-5
DEV0604,35100000000604,Motorola,Model-28
DEV0605,35100000000605,Oppo,Model-2
DEV0606,35100000000606,Nokia,Model-28
DEV0607,35100000000607,Samsung,Model-6
DEV0608,35100000000608,Vivo,Model-16
DEV0609,35100000000609,Apple,Model-35
DEV0610,35100000000610,Vivo,Model-34
DEV0611,35100000000611,Realme,Model-9
DEV0612,35100000000612,Xiaomi,Model-40
DEV0613,35100000000613,Nokia,Model-15
DEV0614,35100000000614,Nokia,Model-29
DEV0615,35100000000615,Realme,Model-28
DEV0616,35100000000616,OnePlus,Model-13
DEV0617,35100000000617,Realme,Model-20
DEV0618,35100000000618,Realme,Model-20
DEV0619,35100000000619,Vivo,Model-1
DEV0620,35100000000620,Samsung,Model-16
DEV0621,35100000000621,Oppo,Model-6
DEV0622,35100000000622,OnePlus,Model-38
DEV0623,35100000000623,Oppo,Model-21
DEV0624,35100000000624,Nokia,Model-4
DEV0625,35100000000625,Apple,Model-38
DEV0626,35100000000626,Vivo,Model-29
DEV0627,35100000000627,Oppo,Model-10
DEV0628,35100000000628,Vivo,Model-3
DEV0629,35100000000629,Oppo,Model-31
DEV0630,35100000000630,Apple,Model-22
DEV0631,35100000000631,Oppo,Model-26
