cdr_id,case_id,caller_phone_id,receiver_phone_id,timestamp,duration_seconds,call_type,tower_location_id
CDR0103,CASE001,PH0588,PH0135,2026-06-09T19:59:00,92,voice,LOC0189
CDR0104,CASE001,PH0588,PH0135,2026-06-10T13:59:00,529,sms,LOC0100
CDR0105,CASE001,PH0135,PH0240,2026-06-04T04:59:00,742,voice,LOC0058
CDR0106,CASE001,PH0135,PH0240,2026-06-10T11:59:00,395,voice,LOC0256
CDR0107,CASE001,PH0135,PH0240,2026-06-10T12:59:00,224,voice,LOC0035
CDR0108,CASE001,PH0135,PH0240,2026-06-07T05:59:00,358,voice,LOC0172
CDR0109,CASE001,PH0240,PH0386,2026-06-08T02:59:00,900,voice,LOC0208
CDR0110,CASE001,PH0240,PH0386,2026-06-04T06:59:00,687,voice,LOC0097
CDR0111,CASE001,PH0240,PH0386,2026-06-02T22:59:00,307,voice,LOC0228
CDR0112,CASE001,PH0386,PH0096,2026-06-07T14:59:00,375,voice,LOC0240
CDR0113,CASE001,PH0386,PH0096,2026-06-02T10:59:00,249,voice,LOC0228
CDR0114,CASE001,PH0386,PH0096,2026-06-02T03:59:00,695,voice,LOC0173
CDR0115,CASE001,PH0386,PH0096,2026-06-04T23:59:00,547,voice,LOC0166
CDR0116,CASE001,PH0386,PH0096,2026-06-11T03:59:00,403,sms,LOC0286
CDR0117,CASE001,PH0386,PH0096,2026-06-09T17:59:00,318,voice,LOC0230
CDR0118,CASE001,PH0096,PH0328,2026-06-06T03:59:00,61,voice,LOC0105
CDR0119,CASE001,PH0096,PH0328,2026-06-05T08:59:00,384,sms,LOC0020
CDR0120,CASE001,PH0328,PH0269,2026-06-05T01:59:00,787,sms,LOC0033
CDR0121,CASE001,PH0328,PH0269,2026-06-05T22:59:00,354,sms,LOC0020
CDR0122,CASE001,PH0328,PH0269,2026-06-09T23:59:00,765,sms,LOC0145
CDR0123,CASE001,PH0328,PH0270,2026-06-01T13:59:00,537,voice,LOC0100
CDR0124,CASE001,PH0328,PH0269,2026-06-01T21:59:00,665,sms,LOC0103
CDR0125,CASE001,PH0270,PH0367,2026-06-03T06:59:00,431,voice,LOC0126
CDR0126,CASE001,PH0269,PH0367,2026-06-10T08:59:00,371,sms,LOC0200
CDR0127,CASE001,PH0367,PH0997,2026-06-08T05:59:00,835,sms,LOC0072
CDR0128,CASE001,PH0367,PH0998,2026-06-02T13:59:00,660,sms,LOC0099
CDR0129,CASE001,PH0997,PH1123,2026-06-08T03:59:00,96,voice,LOC0299
CDR0130,CASE001,PH0998,PH1123,2026-06-04T12:59:00,112,sms,LOC0094
CDR0131,CASE001,PH1123,PH0550,2026-06-06T14:59:00,99,voice,LOC0065
CDR0132,CASE001,PH1123,PH0550,2026-06-04T16:59:00,142,voice,LOC0283
CDR0133,CASE001,PH1123,PH0550,2026-06-03T03:59:00,600,voice,LOC0182
CDR0134,CASE001,PH1123,PH0550,2026-06-10T05:59:00,870,voice,LOC0060
CDR0135,CASE001,PH0550,PH0044,2026-06-02T15:59:00,350,sms,LOC0145
CDR0136,CASE001,PH0550,PH0043,2026-06-01T08:59:00,686,voice,LOC0114
CDR0137,CASE001,PH0550,PH0044,2026-06-08T08:59:00,214,voice,LOC0143
CDR0138,CASE001,PH0043,PH1051,2026-06-10T00:59:00,559,voice,LOC0099
CDR0139,CASE001,PH0044,PH1051,2026-06-04T03:59:00,526,voice,LOC0260
CDR0140,CASE001,PH1051,PH0007,2026-06-03T03:59:00,104,sms,LOC0076
CDR0141,CASE001,PH1051,PH0007,2026-06-04T06:59:00,68,voice,LOC0099
CDR0142,CASE001,PH1051,PH0007,2026-06-09T23:59:00,822,voice,LOC0250
CDR0143,CASE001,PH1051,PH0007,2026-06-01T23:59:00,757,sms,LOC0198
CDR0144,CASE001,PH0043,PH0381,2026-06-10T21:59:00,119,voice,LOC0101
CDR0145,CASE001,PH0867,PH0761,2026-05-24T11:59:00,194,sms,LOC0280
CDR0146,CASE001,PH0709,PH0735,2026-05-27T17:59:00,302,voice,LOC0128
CDR0147,CASE001,PH0185,PH1087,2026-05-25T00:59:00,544,sms,LOC0038
CDR0148,CASE001,PH0043,PH0011,2026-06-08T21:59:00,285,voice,LOC0074
CDR0149,CASE001,PH0621,PH0346,2026-05-25T06:59:00,560,voice,LOC0132
CDR0150,CASE001,PH1029,PH0273,2026-06-06T10:59:00,111,voice,LOC0253
CDR0151,CASE001,PH0743,PH0810,2026-05-31T12:59:00,598,sms,LOC0138
CDR0152,CASE001,PH0588,PH0791,2026-06-03T03:59:00,67,voice,LOC0166
CDR0153,CASE001,PH0743,PH0922,2026-05-25T23:59:00,315,voice,LOC0050
CDR0154,CASE001,PH0135,PH0028,2026-06-07T09:59:00,575,sms,LOC0077
CDR0155,CASE001,PH0185,PH0035,2026-05-31T03:59:00,257,sms,LOC0061
CDR0156,CASE001,PH0240,PH0515,2026-06-03T13:59:00,359,sms,LOC0071
CDR0157,CASE001,PH0367,PH1062,2026-06-04T19:59:00,577,voice,LOC0032
CDR0158,CASE001,PH0007,PH0299,2026-06-03T23:59:00,329,sms,LOC0185
CDR0159,CASE001,PH1139,PH0095,2026-06-04T17:59:00,513,sms,LOC0187
CDR0160,CASE001,PH1007,PH0628,2026-05-27T05:59:00,441,voice,LOC0142
CDR0161,CASE001,PH0022,PH0114,2026-05-28T21:59:00,563,voice,LOC0133
CDR0162,CASE001,PH0367,PH0520,2026-05-22T11:59:00,549,sms,LOC0212
CDR0163,CASE001,PH0088,PH0886,2026-05-29T14:59:00,463,voice,LOC0014
CDR0164,CASE001,PH0016,PH0651,2026-05-23T16:59:00,521,sms,LOC0148
CDR0165,CASE001,PH0043,PH0724,2026-06-05T05:59:00,107,sms,LOC0015
CDR0166,CASE001,PH1028,PH0710,2026-06-06T07:59:00,496,voice,LOC0012
CDR0167,CASE001,PH0997,PH0496,2026-06-02T18:59:00,293,sms,LOC0112
CDR0168,CASE001,PH0587,PH0002,2026-06-02T07:59:00,17,voice,LOC0013
CDR0169,CASE001,PH1059,PH1112,2026-05-23T21:59:00,312,voice,LOC0086
CDR0170,CASE001,PH0121,PH0445,2026-06-08T18:59:00,569,voice,LOC0234
CDR0171,CASE001,PH0601,PH0730,2026-06-01T13:59:00,517,voice,LOC0147
CDR0172,CASE001,PH0311,PH0737,2026-06-03T03:59:00,348,sms,LOC0067
CDR0173,CASE001,PH0016,PH0086,2026-06-04T06:59:00,487,voice,LOC0062
CDR0174,CASE001,PH0088,PH0152,2026-06-11T00:59:00,392,voice,LOC0237
CDR0175,CASE001,PH0997,PH1042,2026-05-21T13:59:00,195,voice,LOC0193
CDR0176,CASE001,PH1007,PH0799,2026-06-08T21:59:00,166,sms,LOC0297
CDR0177,CASE001,PH1029,PH0690,2026-05-25T00:59:00,164,sms,LOC0048
CDR0178,CASE001,PH0240,PH0776,2026-05-27T04:59:00,263,sms,LOC0176
CDR0179,CASE001,PH0269,PH0553,2026-06-07T15:59:00,488,voice,LOC0068
CDR0180,CASE001,PH0386,PH0475,2026-06-02T08:59:00,410,voice,LOC0186
CDR0181,CASE001,PH1059,PH0779,2026-05-30T19:59:00,150,voice,LOC0229
CDR0182,CASE001,PH0729,PH0705,2026-06-01T07:59:00,395,sms,LOC0170
CDR0183,CASE001,PH0269,PH0088,2026-05-23T11:59:00,213,voice,LOC0238
CDR0184,CASE001,PH1029,PH0247,2026-06-07T19:59:00,206,voice,LOC0300
CDR0185,CASE001,PH0194,PH0921,2026-06-07T01:59:00,548,voice,LOC0158
CDR0186,CASE001,PH0328,PH0282,2026-06-03T09:59:00,207,voice,LOC0285
CDR0187,CASE001,PH0162,PH0597,2026-05-24T20:59:00,333,sms,LOC0250
CDR0188,CASE001,PH0601,PH0475,2026-05-28T18:59:00,371,voice,LOC0216
CDR0189,CASE001,PH0743,PH0682,2026-06-08T08:59:00,343,sms,LOC0072
CDR0190,CASE001,PH0194,PH0775,2026-05-26T19:59:00,384,voice,LOC0069
CDR0191,CASE001,PH0044,PH0702,2026-05-27T07:59:00,146,voice,LOC0139
CDR0192,CASE001,PH0954,PH0835,2026-06-02T21:59:00,177,voice,LOC0217
CDR0193,CASE001,PH0393,PH0359,2026-05-23T17:59:00,302,sms,LOC0108
CDR0194,CASE001,PH0016,PH0648,2026-05-28T21:59:00,141,sms,LOC0194
CDR0195,CASE001,PH0016,PH0941,2026-06-08T05:59:00,471,voice,LOC0125
CDR0196,CASE001,PH0121,PH0965,2026-05-24T17:59:00,198,sms,LOC0051
CDR0197,CASE001,PH0867,PH0063,2026-05-22T13:59:00,435,sms,LOC0248
CDR0198,CASE001,PH0621,PH0570,2026-06-05T10:59:00,566,sms,LOC0280
CDR0199,CASE001,PH0730,PH0436,2026-05-24T14:59:00,577,sms,LOC0060
CDR0200,CASE001,PH0367,PH0397,2026-05-30T22:59:00,13,voice,LOC0194
CDR0201,CASE001,PH0096,PH0548,2026-06-10T05:59:00,526,voice,LOC0238
CDR0202,CASE001,PH1140,PH0784,2026-05-27T10:59:00,394,voice,LOC0195
CDR0203,CASE001,PH0621,PH0567,2026-05-24T15:59:00,139,sms,LOC0048
CDR0204,CASE001,PH0709,PH0145,2026-06-02T13:59:00,555,voice,LOC0249
CDR0205,CASE001,PH0386,PH0698,2026-05-22T15:59:00,479,voice,LOC0248
CDR0206,CASE001,PH0997,PH0417,2026-05-25T21:59:00,294,voice,LOC0258
CDR0207,CASE001,PH0587,PH0947,2026-05-23T12:59:00,166,voice,LOC0195
CDR0208,CASE001,PH0121,PH0116,2026-05-27T11:59:00,233,voice,LOC0208
CDR0209,CASE001,PH0022,PH0462,2026-05-22T11:59:00,216,sms,LOC0133
CDR0210,CASE001,PH0621,PH0674,2026-05-25T21:59:00,283,voice,LOC0246
CDR0211,CASE001,PH0544,PH0057,2026-06-07T19:59:00,118,voice,LOC0098
CDR0212,CASE001,PH0311,PH0540,2026-06-04T05:59:00,203,sms,LOC0190
CDR0213,CASE001,PH0226,PH0102,2026-06-05T19:59:00,324,voice,LOC0074
CDR0214,CASE001,PH0310,PH0843,2026-05-24T11:59:00,534,voice,LOC0051
CDR0215,CASE001,PH0730,PH0575,2026-06-09T23:59:00,274,voice,LOC0250
CDR0216,CASE001,PH1028,PH1077,2026-05-29T00:59:00,562,voice,LOC0003
CDR0217,CASE001,PH0709,PH0908,2026-06-09T18:59:00,580,voice,LOC0048
CDR0218,CASE001,PH0743,PH0375,2026-06-06T08:59:00,21,voice,LOC0220
CDR0219,CASE001,PH0570,PH0990,2026-06-01T23:59:00,489,sms,LOC0058
CDR0220,CASE001,PH0954,PH0274,2026-05-23T09:59:00,142,sms,LOC0103
CDR0221,CASE001,PH1029,PH0689,2026-05-29T00:59:00,487,voice,LOC0185
CDR0222,CASE001,PH0162,PH0657,2026-05-25T11:59:00,188,sms,LOC0161
CDR0223,CASE001,PH0328,PH0727,2026-06-07T21:59:00,156,sms,LOC0135
CDR0224,CASE001,PH0135,PH1152,2026-06-06T07:59:00,386,sms,LOC0219
CDR0225,CASE001,PH0310,PH0165,2026-06-04T03:59:00,277,voice,LOC0132
CDR0226,CASE001,PH0088,PH0712,2026-06-05T13:59:00,422,voice,LOC0270
CDR0227,CASE001,PH0588,PH1086,2026-06-05T22:59:00,101,sms,LOC0241
CDR0228,CASE001,PH0367,PH0132,2026-06-11T00:59:00,445,voice,LOC0133
CDR0229,CASE001,PH1051,PH0266,2026-06-07T03:59:00,543,sms,LOC0073
CDR0230,CASE001,PH0730,PH0217,2026-06-09T00:59:00,365,sms,LOC0030
CDR0231,CASE001,PH0544,PH0199,2026-05-26T22:59:00,153,voice,LOC0211
CDR0232,CASE001,PH0544,PH0516,2026-05-24T12:59:00,236,voice,LOC0045
CDR0233,CASE001,PH0709,PH0747,2026-05-24T18:59:00,263,voice,LOC0051
CDR0234,CASE002,PH1049,PH0641,2026-04-17T15:17:00,563,voice,LOC0142
CDR0235,CASE002,PH1049,PH0641,2026-04-13T14:17:00,475,sms,LOC0022
CDR0236,CASE002,PH1049,PH0641,2026-04-14T00:17:00,239,voice,LOC0060
CDR0237,CASE002,PH1049,PH0641,2026-04-19T11:17:00,408,voice,LOC0153
CDR0238,CASE002,PH1049,PH0641,2026-04-19T14:17:00,384,voice,LOC0166
CDR0239,CASE002,PH1049,PH0020,2026-04-21T21:17:00,714,sms,LOC0158
CDR0240,CASE002,PH1049,PH0020,2026-04-14T05:17:00,809,voice,LOC0205
CDR0241,CASE002,PH1049,PH0777,2026-04-20T02:17:00,34,sms,LOC0180
CDR0242,CASE002,PH1049,PH0777,2026-04-15T04:17:00,795,sms,LOC0021
CDR0243,CASE002,PH1049,PH0777,2026-04-22T06:17:00,487,voice,LOC0265
CDR0244,CASE002,PH1049,PH0777,2026-04-14T13:17:00,301,voice,LOC0038
CDR0245,CASE002,PH1049,PH0777,2026-04-13T23:17:00,469,sms,LOC0055
CDR0246,CASE002,PH1049,PH0777,2026-04-15T14:17:00,830,voice,LOC0070
CDR0247,CASE002,PH1049,PH0032,2026-04-17T01:17:00,561,sms,LOC0163
CDR0248,CASE002,PH1049,PH0032,2026-04-19T01:17:00,154,voice,LOC0147
CDR0249,CASE002,PH1049,PH0032,2026-04-19T01:17:00,374,voice,LOC0037
CDR0250,CASE002,PH1049,PH0032,2026-04-20T18:17:00,625,sms,LOC0285
CDR0251,CASE002,PH1049,PH0032,2026-04-19T12:17:00,31,voice,LOC0110
CDR0252,CASE002,PH1049,PH0482,2026-04-15T15:17:00,565,sms,LOC0090
CDR0253,CASE002,PH1049,PH0482,2026-04-17T10:17:00,518,sms,LOC0199
CDR0254,CASE002,PH1049,PH0482,2026-04-15T18:17:00,22,voice,LOC0116
CDR0255,CASE002,PH1049,PH0482,2026-04-17T08:17:00,294,voice,LOC0230
CDR0256,CASE002,PH1049,PH0095,2026-04-22T22:17:00,137,voice,LOC0283
CDR0257,CASE002,PH1049,PH0095,2026-04-13T02:17:00,780,sms,LOC0172
CDR0258,CASE002,PH1049,PH1075,2026-04-13T23:17:00,514,voice,LOC0123
CDR0259,CASE002,PH1049,PH1075,2026-04-20T22:17:00,383,voice,LOC0071
CDR0260,CASE002,PH1049,PH1075,2026-04-15T17:17:00,115,voice,LOC0049
CDR0261,CASE002,PH1049,PH1075,2026-04-21T12:17:00,646,voice,LOC0175
CDR0262,CASE002,PH1049,PH1075,2026-04-16T06:17:00,270,voice,LOC0020
CDR0263,CASE002,PH1049,PH1068,2026-04-18T01:17:00,686,voice,LOC0128
CDR0264,CASE002,PH1049,PH1068,2026-04-15T15:17:00,756,voice,LOC0234
CDR0265,CASE002,PH1049,PH1068,2026-04-21T14:17:00,276,voice,LOC0070
CDR0266,CASE002,PH1049,PH1068,2026-04-19T04:17:00,591,voice,LOC0187
CDR0267,CASE002,PH1049,PH0372,2026-04-22T00:17:00,162,voice,LOC0082
CDR0268,CASE002,PH1049,PH0372,2026-04-16T16:17:00,178,sms,LOC0184
CDR0269,CASE002,PH1049,PH0372,2026-04-13T16:17:00,479,sms,LOC0048
CDR0270,CASE002,PH1049,PH0372,2026-04-20T23:17:00,337,voice,LOC0239
CDR0271,CASE002,PH1049,PH1063,2026-04-15T10:17:00,822,voice,LOC0115
CDR0272,CASE002,PH1049,PH1063,2026-04-14T21:17:00,856,voice,LOC0081
CDR0273,CASE002,PH1049,PH1063,2026-04-15T19:17:00,900,sms,LOC0124
CDR0274,CASE002,PH1049,PH1063,2026-04-15T23:17:00,712,sms,LOC0083
CDR0275,CASE002,PH1049,PH1063,2026-04-16T03:17:00,645,voice,LOC0190
CDR0276,CASE002,PH1049,PH0070,2026-04-13T14:17:00,270,voice,LOC0284
CDR0277,CASE002,PH1049,PH0071,2026-04-15T21:17:00,808,voice,LOC0128
CDR0278,CASE002,PH1049,PH0070,2026-04-15T01:17:00,493,sms,LOC0168
CDR0279,CASE002,PH1049,PH0074,2026-04-18T16:17:00,369,voice,LOC0106
CDR0280,CASE002,PH1049,PH0074,2026-04-19T08:17:00,272,voice,LOC0039
CDR0281,CASE002,PH1049,PH1067,2026-04-15T19:17:00,54,voice,LOC0101
CDR0282,CASE002,PH1049,PH1066,2026-04-19T07:17:00,473,sms,LOC0023
CDR0283,CASE002,PH1049,PH1067,2026-04-21T05:17:00,619,sms,LOC0055
CDR0284,CASE002,PH1049,PH0605,2026-04-14T15:17:00,366,voice,LOC0142
CDR0285,CASE002,PH1049,PH0606,2026-04-16T08:17:00,240,voice,LOC0008
CDR0286,CASE002,PH1049,PH0605,2026-04-17T18:17:00,458,voice,LOC0133
CDR0287,CASE002,PH1049,PH0790,2026-04-21T14:17:00,194,voice,LOC0055
CDR0288,CASE002,PH1049,PH0790,2026-04-22T17:17:00,354,voice,LOC0117
CDR0289,CASE002,PH1049,PH0790,2026-04-17T10:17:00,832,voice,LOC0042
CDR0290,CASE002,PH1049,PH0790,2026-04-16T21:17:00,832,voice,LOC0023
CDR0291,CASE002,PH1049,PH0790,2026-04-21T10:17:00,470,sms,LOC0212
CDR0292,CASE002,PH1049,PH0850,2026-04-16T03:17:00,795,voice,LOC0292
CDR0293,CASE002,PH1049,PH0850,2026-04-18T00:17:00,505,sms,LOC0150
CDR0294,CASE002,PH1049,PH0850,2026-04-21T16:17:00,682,voice,LOC0251
CDR0295,CASE002,PH1049,PH0850,2026-04-18T12:17:00,151,sms,LOC0051
CDR0296,CASE002,PH1049,PH0004,2026-04-13T09:17:00,792,sms,LOC0180
CDR0297,CASE002,PH1049,PH0004,2026-04-14T10:17:00,571,sms,LOC0146
CDR0298,CASE002,PH1049,PH0366,2026-04-19T00:17:00,448,sms,LOC0055
CDR0299,CASE002,PH1049,PH0366,2026-04-13T18:17:00,129,voice,LOC0028
CDR0300,CASE002,PH1049,PH0366,2026-04-16T14:17:00,720,voice,LOC0075
CDR0301,CASE002,PH1049,PH0366,2026-04-14T18:17:00,742,sms,LOC0026
CDR0302,CASE002,PH1049,PH0366,2026-04-17T23:17:00,257,sms,LOC0204
CDR0303,CASE002,PH1049,PH0366,2026-04-15T14:17:00,658,sms,LOC0210
CDR0304,CASE002,PH1049,PH0638,2026-04-20T03:17:00,296,sms,LOC0239
CDR0305,CASE002,PH1049,PH0638,2026-04-18T14:17:00,847,voice,LOC0087
CDR0306,CASE002,PH1049,PH0638,2026-04-19T21:17:00,15,sms,LOC0095
CDR0307,CASE002,PH1049,PH0638,2026-04-14T15:17:00,614,sms,LOC0079
CDR0308,CASE002,PH1049,PH0638,2026-04-17T16:17:00,719,voice,LOC0140
