fir_id,person_id,role,confidence,source
FIR0008,P0490,mentioned_person,0.42,FIR0008
FIR0008,P0205,mentioned_person,0.94,FIR0008
FIR0008,P0351,mentioned_person,0.51,FIR0008
FIR0008,P0135,mentioned_person,0.78,FIR0008
FIR0008,P0001,mentioned_person,0.88,FIR0008
FIR0008,P0902,victim,0.68,FIR0008
FIR0008,P0926,mentioned_person,0.45,FIR0008
FIR0008,P0154,mentioned_person,0.75,FIR0008
FIR0008,P0966,mentioned_person,0.62,FIR0008
FIR0008,P0763,mentioned_person,0.71,FIR0008
FIR0008,P0408,mentioned_person,0.48,FIR0008
FIR0008,P0195,mentioned_person,0.95,FIR0008
FIR0008,P0447,mentioned_person,0.88,FIR0008
FIR0008,P0470,mentioned_person,0.69,FIR0008
FIR0008,P0188,mentioned_person,0.79,FIR0008
FIR0008,P0806,mentioned_person,0.71,FIR0008
FIR0008,P0505,mentioned_person,0.95,FIR0008
FIR0008,P0774,mentioned_person,0.58,FIR0008
FIR0008,P0023,mentioned_person,0.52,FIR0008
FIR0008,P0555,mentioned_person,0.46,FIR0008
FIR0008,P0996,mentioned_person,0.46,FIR0008
FIR0008,P0661,mentioned_person,0.64,FIR0008
FIR0008,P0760,mentioned_person,0.86,FIR0008
FIR0008,P0212,mentioned_person,0.58,FIR0008
FIR0008,P0746,mentioned_person,0.86,FIR0008
FIR0008,P0333,mentioned_person,0.55,FIR0008
FIR0008,P0669,mentioned_person,0.83,FIR0008
FIR0008,P0908,mentioned_person,0.58,FIR0008
FIR0008,P0777,mentioned_person,0.57,FIR0008
FIR0008,P0528,mentioned_person,0.76,FIR0008
FIR0008,P0586,mentioned_person,0.77,FIR0008
FIR0008,P0451,mentioned_person,0.94,FIR0008
FIR0008,P0617,mentioned_person,0.9,FIR0008
FIR0008,P0043,mentioned_person,0.46,FIR0008
FIR0008,P0318,mentioned_person,0.44,FIR0008
FIR0008,P0035,mentioned_person,0.92,FIR0008
FIR0008,P0674,mentioned_person,0.87,FIR0008
FIR0008,P0085,mentioned_person,0.69,FIR0008
FIR0008,P0375,mentioned_person,0.82,FIR0008
FIR0008,P0148,mentioned_person,0.54,FIR0008
FIR0008,P0860,mentioned_person,0.93,FIR0008
FIR0008,P0229,mentioned_person,0.84,FIR0008
FIR0008,P0964,mentioned_person,0.56,FIR0008
FIR0008,P0424,mentioned_person,0.5,FIR0008
FIR0008,P0289,mentioned_person,0.76,FIR0008
FIR0008,P0293,mentioned_person,0.76,FIR0008
FIR0008,P0805,mentioned_person,0.69,FIR0008
FIR0008,P0049,mentioned_person,0.71,FIR0008
FIR0008,P0301,mentioned_person,0.89,FIR0008
FIR0008,P0171,mentioned_person,0.85,FIR0008
FIR0009,P0763,suspect,0.86,FIR0009
FIR0009,P0399,suspect,0.56,FIR0009
FIR0009,P0967,mentioned_person,0.41,FIR0009
FIR0009,P0979,mentioned_person,0.79,FIR0009
FIR0009,P0013,mentioned_person,0.59,FIR0009
FIR0009,P0351,mentioned_person,0.57,FIR0009
FIR0009,P0838,mentioned_person,0.44,FIR0009
FIR0009,P0016,mentioned_person,0.55,FIR0009
FIR0009,P0472,mentioned_person,0.54,FIR0009
FIR0009,P0529,mentioned_person,0.47,FIR0009
FIR0009,P0137,mentioned_person,0.79,FIR0009
FIR0009,P0141,mentioned_person,0.71,FIR0009
FIR0009,P0029,mentioned_person,0.45,FIR0009
FIR0009,P0858,mentioned_person,0.79,FIR0009
FIR0009,P0012,mentioned_person,0.87,FIR0009
FIR0009,P0871,mentioned_person,0.43,FIR0009
FIR0009,P0055,mentioned_person,0.76,FIR0009
FIR0009,P0725,mentioned_person,0.9,FIR0009
FIR0009,P0208,mentioned_person,0.44,FIR0009
FIR0009,P0124,mentioned_person,0.48,FIR0009
FIR0009,P0430,mentioned_person,0.91,FIR0009
FIR0009,P0547,mentioned_person,0.72,FIR0009
FIR0009,P0225,mentioned_person,0.81,FIR0009
FIR0009,P0083,mentioned_person,0.63,FIR0009
FIR0009,P0798,mentioned_person,0.7,FIR0009
FIR0009,P0125,mentioned_person,0.81,FIR0009
FIR0009,P0670,mentioned_person,0.67,FIR0009
FIR0009,P0228,mentioned_person,0.61,FIR0009
FIR0009,P0340,mentioned_person,0.55,FIR0009
FIR0009,P0282,mentioned_person,0.5,FIR0009
FIR0009,P0374,mentioned_person,0.42,FIR0009
FIR0009,P0517,mentioned_person,0.81,FIR0009
FIR0009,P0814,mentioned_person,0.93,FIR0009
FIR0009,P0599,mentioned_person,0.71,FIR0009
FIR0009,P0905,mentioned_person,0.6,FIR0009
FIR0009,P0426,mentioned_person,0.53,FIR0009
FIR0009,P0380,mentioned_person,0.63,FIR0009
FIR0009,P0103,mentioned_person,0.45,FIR0009
FIR0009,P0964,mentioned_person,0.88,FIR0009
FIR0009,P0076,mentioned_person,0.9,FIR0009
FIR0009,P0315,mentioned_person,0.53,FIR0009
FIR0009,P0255,mentioned_person,0.59,FIR0009
FIR0009,P0740,mentioned_person,0.46,FIR0009
FIR0009,P0505,mentioned_person,0.76,FIR0009
FIR0009,P0332,mentioned_person,0.4,FIR0009
FIR0009,P0445,mentioned_person,0.66,FIR0009
FIR0009,P0008,mentioned_person,0.45,FIR0009
FIR0009,P0140,victim,0.87,FIR0009
FIR0009,P0400,mentioned_person,0.45,FIR0009
FIR0009,P0886,mentioned_person,0.66,FIR0009
FIR0009,P0538,mentioned_person,0.69,FIR0009
FIR0009,P0164,mentioned_person,0.72,FIR0009
FIR0009,P0709,mentioned_person,0.47,FIR0009
FIR0009,P0397,mentioned_person,0.67,FIR0009
FIR0009,P0248,mentioned_person,0.59,FIR0009
FIR0009,P0609,mentioned_person,0.83,FIR0009
FIR0009,P0436,mentioned_person,0.86,FIR0009
FIR0009,P0200,mentioned_person,0.77,FIR0009
FIR0009,P0133,mentioned_person,0.56,FIR0009
FIR0009,P0567,mentioned_person,0.62,FIR0009
FIR0009,P0323,mentioned_person,0.94,FIR0009
FIR0009,P0755,mentioned_person,0.52,FIR0009
FIR0009,P0041,mentioned_person,0.84,FIR0009
FIR0009,P0250,mentioned_person,0.44,FIR0009
FIR0009,P0826,mentioned_person,0.6,FIR0009
FIR0009,P0840,mentioned_person,0.85,FIR0009
FIR0009,P0990,mentioned_person,0.84,FIR0009
FIR0009,P0440,mentioned_person,0.71,FIR0009
FIR0009,P0421,mentioned_person,0.46,FIR0009
FIR0009,P0787,mentioned_person,0.42,FIR0009
FIR0009,P0376,mentioned_person,0.74,FIR0009
FIR0009,P0572,mentioned_person,0.81,FIR0009
FIR0009,P0651,mentioned_person,0.63,FIR0009
FIR0009,P0247,mentioned_person,0.84,FIR0009
FIR0009,P0153,mentioned_person,0.94,FIR0009
FIR0009,P0658,mentioned_person,0.62,FIR0009
FIR0009,P0294,mentioned_person,0.91,FIR0009
FIR0009,P0861,mentioned_person,0.84,FIR0009
FIR0009,P0827,mentioned_person,0.51,FIR0009
FIR0010,P0288,suspect,0.48,FIR0010
FIR0010,P0534,suspect,0.84,FIR0010
FIR0010,P0141,mentioned_person,0.59,FIR0010
FIR0010,P0978,mentioned_person,0.43,FIR0010
FIR0010,P0730,mentioned_person,0.44,FIR0010
FIR0010,P0231,mentioned_person,0.81,FIR0010
FIR0010,P0794,mentioned_person,0.91,FIR0010
FIR0010,P0353,mentioned_person,0.46,FIR0010
FIR0010,P0210,mentioned_person,0.56,FIR0010
FIR0010,P0006,mentioned_person,0.42,FIR0010
FIR0010,P0720,mentioned_person,0.88,FIR0010
FIR0010,P0815,mentioned_person,0.78,FIR0010
FIR0010,P0694,mentioned_person,0.86,FIR0010
FIR0010,P0319,mentioned_person,0.44,FIR0010
FIR0010,P0960,mentioned_person,0.82,FIR0010
FIR0010,P0129,mentioned_person,0.63,FIR0010
FIR0010,P0510,mentioned_person,0.57,FIR0010
FIR0010,P0746,mentioned_person,0.46,FIR0010
FIR0010,P0967,mentioned_person,0.52,FIR0010
FIR0010,P0486,mentioned_person,0.6,FIR0010
FIR0010,P0061,mentioned_person,0.64,FIR0010
FIR0010,P0124,mentioned_person,0.84,FIR0010
FIR0010,P0809,mentioned_person,0.45,FIR0010
FIR0010,P0159,mentioned_person,0.5,FIR0010
FIR0010,P0506,mentioned_person,0.93,FIR0010
FIR0010,P0814,mentioned_person,0.54,FIR0010
FIR0010,P0440,mentioned_person,0.43,FIR0010
FIR0010,P0436,mentioned_person,0.57,FIR0010
FIR0010,P0499,mentioned_person,0.94,FIR0010
FIR0010,P0832,mentioned_person,0.41,FIR0010
FIR0010,P0076,mentioned_person,0.56,FIR0010
FIR0010,P0594,mentioned_person,0.9,FIR0010
FIR0010,P0428,mentioned_person,0.9,FIR0010
FIR0010,P0280,mentioned_person,0.42,FIR0010
FIR0010,P0144,mentioned_person,0.8,FIR0010
FIR0010,P0999,mentioned_person,0.74,FIR0010
FIR0010,P0983,victim,0.81,FIR0010
FIR0010,P0939,mentioned_person,0.74,FIR0010
FIR0010,P0028,mentioned_person,0.82,FIR0010
FIR0010,P0830,mentioned_person,0.67,FIR0010
FIR0010,P0085,mentioned_person,0.95,FIR0010
FIR0010,P0416,mentioned_person,0.44,FIR0010
FIR0010,P0840,mentioned_person,0.58,FIR0010
FIR0010,P0807,mentioned_person,0.41,FIR0010
FIR0010,P0565,mentioned_person,0.93,FIR0010
FIR0010,P0904,mentioned_person,0.52,FIR0010
FIR0011,P0649,suspect,0.46,FIR0011
FIR0011,P0510,suspect,0.74,FIR0011
FIR0011,P0437,mentioned_person,0.47,FIR0011
FIR0011,P0137,mentioned_person,0.57,FIR0011
FIR0011,P0361,mentioned_person,0.61,FIR0011
FIR0011,P0705,mentioned_person,0.72,FIR0011
FIR0011,P0402,victim,0.7,FIR0011
FIR0011,P0842,mentioned_person,0.91,FIR0011
FIR0011,P0549,mentioned_person,0.91,FIR0011
FIR0011,P0587,mentioned_person,0.75,FIR0011
FIR0011,P0794,mentioned_person,0.71,FIR0011
FIR0011,P0416,mentioned_person,0.82,FIR0011
FIR0011,P0034,mentioned_person,0.79,FIR0011
FIR0012,P0174,suspect,0.54,FIR0012
FIR0012,P0927,suspect,0.91,FIR0012
FIR0012,P0235,mentioned_person,0.79,FIR0012
FIR0012,P0670,mentioned_person,0.6,FIR0012
FIR0012,P0715,mentioned_person,0.48,FIR0012
FIR0012,P0637,mentioned_person,0.61,FIR0012
FIR0012,P0257,mentioned_person,0.56,FIR0012
FIR0012,P0096,mentioned_person,0.48,FIR0012
FIR0013,P0196,suspect,0.88,FIR0013
FIR0013,P0325,suspect,0.84,FIR0013
FIR0013,P0309,mentioned_person,0.59,FIR0013
FIR0013,P0759,victim,0.58,FIR0013
FIR0013,P0383,mentioned_person,0.92,FIR0013
FIR0013,P0344,mentioned_person,0.58,FIR0013
FIR0013,P0443,mentioned_person,0.93,FIR0013
FIR0013,P0517,mentioned_person,0.67,FIR0013
FIR0014,P0454,suspect,0.71,FIR0014
FIR0014,P0801,suspect,0.92,FIR0014
FIR0014,P0233,mentioned_person,0.92,FIR0014
FIR0014,P0754,mentioned_person,0.95,FIR0014
FIR0014,P0842,victim,0.53,FIR0014
FIR0014,P0026,mentioned_person,0.64,FIR0014
FIR0014,P0234,mentioned_person,0.6,FIR0014
FIR0014,P0666,mentioned_person,0.5,FIR0014
FIR0014,P0610,mentioned_person,0.81,FIR0014
FIR0014,P0332,mentioned_person,0.54,FIR0014
FIR0014,P0889,mentioned_person,0.81,FIR0014
FIR0014,P0703,mentioned_person,0.78,FIR0014
FIR0014,P0643,mentioned_person,0.72,FIR0014
FIR0014,P0414,mentioned_person,0.51,FIR0014
FIR0014,P0861,mentioned_person,0.44,FIR0014
FIR0014,P0266,mentioned_person,0.42,FIR0014
FIR0014,P0627,mentioned_person,0.72,FIR0014
FIR0014,P0807,mentioned_person,0.44,FIR0014
FIR0014,P0342,mentioned_person,0.6,FIR0014
FIR0014,P0843,mentioned_person,0.91,FIR0014
FIR0014,P0168,mentioned_person,0.68,FIR0014
FIR0014,P0697,mentioned_person,0.77,FIR0014
FIR0014,P0171,mentioned_person,0.63,FIR0014
FIR0014,P0001,mentioned_person,0.69,FIR0014
FIR0014,P0691,mentioned_person,0.47,FIR0014
FIR0014,P0116,mentioned_person,0.5,FIR0014
FIR0014,P0616,mentioned_person,0.59,FIR0014
FIR0014,P0449,mentioned_person,0.92,FIR0014
FIR0014,P0502,mentioned_person,0.95,FIR0014
FIR0015,P0930,suspect,0.58,FIR0015
FIR0015,P0261,suspect,0.91,FIR0015
FIR0015,P0587,victim,0.45,FIR0015
FIR0015,P0611,mentioned_person,0.52,FIR0015
FIR0015,P0046,mentioned_person,0.88,FIR0015
FIR0016,P0486,suspect,0.71,FIR0016
FIR0016,P0704,suspect,0.66,FIR0016
FIR0016,P0099,mentioned_person,0.87,FIR0016
FIR0016,P0130,mentioned_person,0.94,FIR0016
FIR0016,P0550,mentioned_person,0.91,FIR0016
FIR0016,P0979,mentioned_person,0.56,FIR0016
FIR0016,P0591,mentioned_person,0.95,FIR0016
FIR0016,P0319,mentioned_person,0.4,FIR0016
FIR0016,P0566,mentioned_person,0.87,FIR0016
FIR0016,P0926,mentioned_person,0.83,FIR0016
FIR0016,P0547,victim,0.6,FIR0016
FIR0016,P0875,mentioned_person,0.67,FIR0016
FIR0016,P0962,mentioned_person,0.77,FIR0016
FIR0016,P0861,mentioned_person,0.66,FIR0016
FIR0016,P0343,mentioned_person,0.64,FIR0016
FIR0016,P0859,mentioned_person,0.65,FIR0016
FIR0016,P0801,mentioned_person,0.52,FIR0016
FIR0016,P0452,mentioned_person,0.79,FIR0016
FIR0016,P0913,mentioned_person,0.48,FIR0016
FIR0016,P0729,mentioned_person,0.83,FIR0016
FIR0016,P0355,mentioned_person,0.62,FIR0016
FIR0016,P0092,mentioned_person,0.53,FIR0016
FIR0016,P0826,mentioned_person,0.93,FIR0016
FIR0016,P0737,mentioned_person,0.66,FIR0016
FIR0016,P0521,mentioned_person,0.6,FIR0016
FIR0016,P0786,mentioned_person,0.48,FIR0016
FIR0016,P0909,mentioned_person,0.44,FIR0016
FIR0016,P0029,mentioned_person,0.69,FIR0016
FIR0016,P0150,mentioned_person,0.47,FIR0016
FIR0016,P0189,mentioned_person,0.92,FIR0016
FIR0016,P0384,mentioned_person,0.67,FIR0016
FIR0016,P0002,mentioned_person,0.81,FIR0016
FIR0016,P0906,mentioned_person,0.61,FIR0016
FIR0016,P0534,mentioned_person,0.53,FIR0016
FIR0016,P0730,mentioned_person,0.8,FIR0016
FIR0016,P0489,mentioned_person,0.81,FIR0016
FIR0016,P0889,mentioned_person,0.81,FIR0016
FIR0016,P0447,mentioned_person,0.62,FIR0016
FIR0016,P0956,mentioned_person,0.75,FIR0016
FIR0016,P0210,mentioned_person,0.51,FIR0016
FIR0016,P0829,mentioned_person,0.93,FIR0016
FIR0016,P0076,mentioned_person,0.44,FIR0016
FIR0016,P0732,mentioned_person,0.73,FIR0016
FIR0016,P0032,mentioned_person,0.78,FIR0016
FIR0017,P0186,suspect,0.54,FIR0017
FIR0017,P0723,suspect,0.81,FIR0017
FIR0017,P0695,mentioned_person,0.78,FIR0017
FIR0017,P0727,mentioned_person,0.77,FIR0017
FIR0017,P0139,mentioned_person,0.48,FIR0017
FIR0017,P0862,mentioned_person,0.77,FIR0017
FIR0017,P0318,mentioned_person,0.43,FIR0017
FIR0017,P0870,mentioned_person,0.58,FIR0017
FIR0017,P0219,mentioned_person,0.65,FIR0017
FIR0017,P0624,mentioned_person,0.42,FIR0017
FIR0017,P0313,mentioned_person,0.94,FIR0017
FIR0017,P0730,mentioned_person,0.65,FIR0017
FIR0017,P0579,mentioned_person,0.61,FIR0017
FIR0017,P1000,mentioned_person,0.75,FIR0017
FIR0017,P0600,mentioned_person,0.42,FIR0017
FIR0017,P0450,mentioned_person,0.77,FIR0017
FIR0017,P0196,mentioned_person,0.42,FIR0017
FIR0017,P0359,mentioned_person,0.61,FIR0017
FIR0017,P0397,mentioned_person,0.73,FIR0017
FIR0017,P0953,victim,0.43,FIR0017
FIR0017,P0463,mentioned_person,0.92,FIR0017
FIR0017,P0404,mentioned_person,0.47,FIR0017
FIR0017,P0693,mentioned_person,0.61,FIR0017
FIR0017,P0748,mentioned_person,0.41,FIR0017
FIR0017,P0728,mentioned_person,0.91,FIR0017
FIR0017,P0029,mentioned_person,0.86,FIR0017
FIR0017,P0198,mentioned_person,0.81,FIR0017
FIR0017,P0970,mentioned_person,0.81,FIR0017
FIR0017,P0026,mentioned_person,0.79,FIR0017
FIR0017,P0356,mentioned_person,0.61,FIR0017
FIR0017,P0009,mentioned_person,0.76,FIR0017
FIR0017,P0775,mentioned_person,0.59,FIR0017
FIR0017,P0520,mentioned_person,0.53,FIR0017
FIR0017,P0043,mentioned_person,0.48,FIR0017
FIR0017,P0785,mentioned_person,0.65,FIR0017
FIR0017,P0456,mentioned_person,0.86,FIR0017
FIR0017,P0806,mentioned_person,0.69,FIR0017
FIR0017,P0249,mentioned_person,0.78,FIR0017
FIR0017,P0287,mentioned_person,0.88,FIR0017
FIR0017,P0550,mentioned_person,0.9,FIR0017
FIR0017,P0178,mentioned_person,0.48,FIR0017
FIR0017,P0814,mentioned_person,0.45,FIR0017
FIR0017,P0511,mentioned_person,0.4,FIR0017
FIR0017,P0307,mentioned_person,0.52,FIR0017
FIR0018,P0772,suspect,0.78,FIR0018
FIR0018,P0613,suspect,0.63,FIR0018
FIR0018,P0970,mentioned_person,0.55,FIR0018
FIR0018,P0664,mentioned_person,0.93,FIR0018
FIR0018,P0103,mentioned_person,0.44,FIR0018
FIR0018,P0021,mentioned_person,0.54,FIR0018
FIR0018,P0273,mentioned_person,0.72,FIR0018
FIR0018,P0810,mentioned_person,0.55,FIR0018
FIR0018,P0728,mentioned_person,0.51,FIR0018
FIR0018,P0893,mentioned_person,0.52,FIR0018
FIR0018,P0930,mentioned_person,0.68,FIR0018
FIR0018,P0148,mentioned_person,0.67,FIR0018
FIR0018,P0663,mentioned_person,0.9,FIR0018
FIR0018,P0732,mentioned_person,0.74,FIR0018
FIR0018,P0355,mentioned_person,0.51,FIR0018
FIR0018,P0552,mentioned_person,0.71,FIR0018
FIR0018,P0239,mentioned_person,0.94,FIR0018
FIR0018,P0277,mentioned_person,0.77,FIR0018
FIR0018,P0589,mentioned_person,0.72,FIR0018
FIR0018,P0448,mentioned_person,0.63,FIR0018
FIR0018,P0585,mentioned_person,0.64,FIR0018
FIR0018,P0120,mentioned_person,0.79,FIR0018
FIR0018,P0745,mentioned_person,0.41,FIR0018
FIR0018,P0326,mentioned_person,0.45,FIR0018
FIR0018,P0778,mentioned_person,0.4,FIR0018
FIR0018,P0535,mentioned_person,0.59,FIR0018
FIR0018,P0757,mentioned_person,0.75,FIR0018
FIR0018,P0921,mentioned_person,0.88,FIR0018
FIR0018,P0924,mentioned_person,0.44,FIR0018
FIR0018,P0036,mentioned_person,0.76,FIR0018
FIR0018,P0248,mentioned_person,0.61,FIR0018
FIR0018,P0786,mentioned_person,0.51,FIR0018
FIR0018,P0789,mentioned_person,0.5,FIR0018
FIR0018,P0918,victim,0.75,FIR0018
FIR0018,P0219,mentioned_person,0.54,FIR0018
FIR0018,P0673,mentioned_person,0.72,FIR0018
FIR0018,P0680,mentioned_person,0.74,FIR0018
FIR0018,P0393,mentioned_person,0.61,FIR0018
FIR0018,P0012,mentioned_person,0.57,FIR0018
FIR0018,P0991,mentioned_person,0.71,FIR0018
FIR0018,P0776,mentioned_person,0.49,FIR0018
FIR0018,P0665,mentioned_person,0.85,FIR0018
FIR0018,P0931,mentioned_person,0.93,FIR0018
FIR0018,P0246,mentioned_person,0.87,FIR0018
FIR0018,P0986,mentioned_person,0.52,FIR0018
FIR0018,P0005,mentioned_person,0.49,FIR0018
FIR0018,P0531,mentioned_person,0.53,FIR0018
FIR0018,P0466,mentioned_person,0.56,FIR0018
FIR0018,P0584,mentioned_person,0.72,FIR0018
FIR0018,P0163,mentioned_person,0.79,FIR0018
FIR0018,P0746,mentioned_person,0.56,FIR0018
