event_id,case_id,person_id,location_id,timestamp,event_type,source
CASE006-LE0029,CASE006,P0095,LOC0279,2025-10-24T03:22:00,routine,witness
CASE006-LE0030,CASE006,P0575,LOC0097,2025-10-27T03:22:00,routine,witness
CASE007-LE0031,CASE007,P0207,LOC0292,2026-05-27T20:03:00,co-location,surveillance
CASE007-LE0032,CASE007,P0303,LOC0292,2026-05-28T18:03:00,co-location,surveillance
CASE007-LE0033,CASE007,P0158,LOC0292,2026-05-28T21:03:00,co-location,surveillance
CASE007-LE0034,CASE007,P0918,LOC0226,2026-05-30T21:03:00,routine,witness
CASE007-LE0035,CASE007,P0303,LOC0200,2026-05-28T21:03:00,routine,witness
CASE007-LE0036,CASE007,P0586,LOC0185,2026-05-29T21:03:00,routine,witness
CASE008-LE0037,CASE008,P0922,LOC0134,2025-08-11T01:17:00,co-location,surveillance
CASE008-LE0038,CASE008,P0913,LOC0134,2025-08-12T02:17:00,co-location,surveillance
CASE008-LE0039,CASE008,P0722,LOC0122,2025-08-10T02:17:00,routine,witness
CASE008-LE0040,CASE008,P0301,LOC0081,2025-07-30T02:17:00,routine,witness
CASE008-LE0041,CASE008,P0023,LOC0025,2025-08-12T02:17:00,routine,witness
CASE009-LE0042,CASE009,P0763,LOC0249,2026-07-18T10:03:00,co-location,surveillance
CASE009-LE0043,CASE009,P0399,LOC0249,2026-07-19T09:03:00,co-location,surveillance
CASE009-LE0044,CASE009,P0651,LOC0086,2026-07-09T12:03:00,routine,witness
CASE009-LE0045,CASE009,P0505,LOC0159,2026-07-12T12:03:00,routine,witness
CASE009-LE0046,CASE009,P0421,LOC0076,2026-07-10T12:03:00,routine,witness
CASE010-LE0047,CASE010,P0288,LOC0067,2025-10-07T03:38:00,co-location,surveillance
CASE010-LE0048,CASE010,P0534,LOC0067,2025-10-07T05:38:00,co-location,surveillance
CASE010-LE0049,CASE010,P0534,LOC0258,2025-10-06T05:38:00,routine,witness
CASE010-LE0050,CASE010,P0832,LOC0153,2025-09-27T05:38:00,routine,witness
CASE010-LE0051,CASE010,P0840,LOC0258,2025-09-28T05:38:00,routine,witness
CASE011-LE0052,CASE011,P0649,LOC0195,2025-09-25T01:12:00,co-location,surveillance
CASE011-LE0053,CASE011,P0510,LOC0195,2025-09-23T22:12:00,co-location,surveillance
CASE011-LE0054,CASE011,P0794,LOC0030,2025-09-22T03:12:00,routine,witness
CASE011-LE0055,CASE011,P0510,LOC0071,2025-09-25T03:12:00,routine,witness
CASE011-LE0056,CASE011,P0649,LOC0186,2025-09-16T03:12:00,routine,witness
CASE012-LE0057,CASE012,P0174,LOC0028,2026-05-22T08:40:00,co-location,surveillance
CASE012-LE0058,CASE012,P0927,LOC0028,2026-05-20T10:40:00,co-location,surveillance
CASE012-LE0059,CASE012,P0637,LOC0266,2026-05-10T10:40:00,routine,witness
CASE012-LE0060,CASE012,P0235,LOC0266,2026-05-19T10:40:00,routine,witness
CASE012-LE0061,CASE012,P0257,LOC0233,2026-05-22T10:40:00,routine,witness
CASE013-LE0062,CASE013,P0196,LOC0219,2025-10-04T21:12:00,co-location,surveillance
CASE013-LE0063,CASE013,P0325,LOC0219,2025-10-05T19:12:00,co-location,surveillance
CASE013-LE0064,CASE013,P0344,LOC0293,2025-09-28T21:12:00,routine,witness
CASE013-LE0065,CASE013,P0517,LOC0170,2025-10-02T21:12:00,routine,witness
CASE013-LE0066,CASE013,P0309,LOC0222,2025-09-25T21:12:00,routine,witness
CASE014-LE0067,CASE014,P0454,LOC0189,2026-02-15T15:41:00,co-location,surveillance
CASE014-LE0068,CASE014,P0801,LOC0189,2026-02-15T17:41:00,co-location,surveillance
CASE014-LE0069,CASE014,P0801,LOC0067,2026-02-11T17:41:00,routine,witness
CASE014-LE0070,CASE014,P0502,LOC0227,2026-02-10T17:41:00,routine,witness
CASE014-LE0071,CASE014,P0807,LOC0064,2026-02-11T17:41:00,routine,witness
CASE015-LE0072,CASE015,P0930,LOC0292,2026-05-08T00:34:00,co-location,surveillance
CASE015-LE0073,CASE015,P0261,LOC0292,2026-05-05T22:34:00,co-location,surveillance
CASE015-LE0074,CASE015,P0611,LOC0135,2026-04-24T00:34:00,routine,witness
CASE015-LE0075,CASE015,P0587,LOC0181,2026-04-29T00:34:00,routine,witness
CASE015-LE0076,CASE015,P0046,LOC0011,2026-04-27T00:34:00,routine,witness
CASE016-LE0077,CASE016,P0486,LOC0093,2025-11-21T05:00:00,co-location,surveillance
CASE016-LE0078,CASE016,P0704,LOC0093,2025-11-21T06:00:00,co-location,surveillance
CASE016-LE0079,CASE016,P0534,LOC0146,2025-11-22T07:00:00,routine,witness
CASE016-LE0080,CASE016,P0489,LOC0138,2025-11-08T07:00:00,routine,witness
CASE016-LE0081,CASE016,P0786,LOC0026,2025-11-10T07:00:00,routine,witness
CASE017-LE0082,CASE017,P0186,LOC0023,2026-01-07T02:16:00,co-location,surveillance
CASE017-LE0083,CASE017,P0723,LOC0023,2026-01-07T23:16:00,co-location,surveillance
CASE017-LE0084,CASE017,P0600,LOC0108,2025-12-27T02:16:00,routine,witness
CASE017-LE0085,CASE017,P0029,LOC0153,2026-01-01T02:16:00,routine,witness
CASE017-LE0086,CASE017,P0870,LOC0279,2026-01-06T02:16:00,routine,witness
CASE018-LE0087,CASE018,P0772,LOC0007,2025-07-23T14:18:00,co-location,surveillance
CASE018-LE0088,CASE018,P0613,LOC0007,2025-07-26T13:18:00,co-location,surveillance
CASE018-LE0089,CASE018,P0931,LOC0265,2025-07-12T17:18:00,routine,witness
CASE018-LE0090,CASE018,P0757,LOC0139,2025-07-27T17:18:00,routine,witness
CASE018-LE0091,CASE018,P0466,LOC0002,2025-07-23T17:18:00,routine,witness
CASE019-LE0092,CASE019,P0888,LOC0122,2025-07-27T11:19:00,co-location,surveillance
CASE019-LE0093,CASE019,P0333,LOC0122,2025-07-24T12:19:00,co-location,surveillance
CASE019-LE0094,CASE019,P0625,LOC0122,2025-07-26T10:19:00,co-location,surveillance
CASE019-LE0095,CASE019,P0463,LOC0157,2025-07-19T12:19:00,routine,witness
CASE019-LE0096,CASE019,P0710,LOC0230,2025-07-28T12:19:00,routine,witness
CASE019-LE0097,CASE019,P0228,LOC0192,2025-07-25T12:19:00,routine,witness
CASE020-LE0098,CASE020,P0985,LOC0046,2025-12-10T15:54:00,co-location,surveillance
CASE020-LE0099,CASE020,P0820,LOC0046,2025-12-11T11:54:00,co-location,surveillance
CASE020-LE0100,CASE020,P0670,LOC0033,2025-12-03T15:54:00,routine,witness
CASE020-LE0101,CASE020,P0572,LOC0177,2025-12-05T15:54:00,routine,witness
CASE020-LE0102,CASE020,P0345,LOC0165,2025-12-07T15:54:00,routine,witness
CASE021-LE0103,CASE021,P0801,LOC0090,2026-01-23T21:59:00,co-location,surveillance
CASE021-LE0104,CASE021,P0038,LOC0090,2026-01-26T21:59:00,co-location,surveillance
CASE021-LE0105,CASE021,P0806,LOC0125,2026-01-14T21:59:00,routine,witness
CASE021-LE0106,CASE021,P0090,LOC0083,2026-01-20T21:59:00,routine,witness
CASE021-LE0107,CASE021,P0038,LOC0083,2026-01-26T21:59:00,routine,witness
CASE022-LE0108,CASE022,P0875,LOC0015,2025-09-08T15:54:00,co-location,surveillance
CASE022-LE0109,CASE022,P0184,LOC0015,2025-09-07T18:54:00,co-location,surveillance
CASE022-LE0110,CASE022,P0277,LOC0246,2025-08-29T20:54:00,routine,witness
CASE022-LE0111,CASE022,P0908,LOC0188,2025-09-07T20:54:00,routine,witness
CASE022-LE0112,CASE022,P0346,LOC0235,2025-08-27T20:54:00,routine,witness
CASE023-LE0113,CASE023,P0933,LOC0152,2025-06-24T22:43:00,co-location,surveillance
CASE023-LE0114,CASE023,P0760,LOC0152,2025-06-23T23:43:00,co-location,surveillance
CASE023-LE0115,CASE023,P0675,LOC0106,2025-06-19T01:43:00,routine,witness
CASE023-LE0116,CASE023,P0167,LOC0158,2025-06-22T01:43:00,routine,witness
CASE023-LE0117,CASE023,P0699,LOC0109,2025-06-17T01:43:00,routine,witness
CASE024-LE0118,CASE024,P0436,LOC0188,2025-07-13T02:50:00,co-location,surveillance
CASE024-LE0119,CASE024,P0429,LOC0188,2025-07-10T22:50:00,co-location,surveillance
CASE024-LE0120,CASE024,P0241,LOC0258,2025-07-09T03:50:00,routine,witness
CASE024-LE0121,CASE024,P0880,LOC0141,2025-07-05T03:50:00,routine,witness
CASE024-LE0122,CASE024,P0429,LOC0181,2025-07-13T03:50:00,routine,witness
CASE025-LE0123,CASE025,P0510,LOC0118,2026-03-04T16:19:00,co-location,surveillance
CASE025-LE0124,CASE025,P0603,LOC0118,2026-03-06T14:19:00,co-location,surveillance
CASE025-LE0125,CASE025,P0625,LOC0118,2026-03-05T15:19:00,co-location,surveillance
CASE025-LE0126,CASE025,P0900,LOC0062,2026-03-07T17:19:00,routine,witness
CASE025-LE0127,CASE025,P0625,LOC0065,2026-03-01T17:19:00,routine,witness
CASE025-LE0128,CASE025,P0223,LOC0102,2026-03-02T17:19:00,routine,witness
CASE026-LE0129,CASE026,P0689,LOC0191,2026-05-31T03:37:00,co-location,surveillance
CASE026-LE0130,CASE026,P0759,LOC0191,2026-06-02T03:37:00,co-location,surveillance
CASE026-LE0131,CASE026,P0094,LOC0191,2026-06-01T01:37:00,co-location,surveillance
CASE026-LE0132,CASE026,P0473,LOC0257,2026-05-26T04:37:00,routine,witness
CASE026-LE0133,CASE026,P0095,LOC0169,2026-06-02T04:37:00,routine,witness
CASE026-LE0134,CASE026,P0397,LOC0167,2026-05-30T04:37:00,routine,witness
CASE027-LE0135,CASE027,P0627,LOC0204,2026-06-10T08:13:00,co-location,surveillance
CASE027-LE0136,CASE027,P0126,LOC0204,2026-06-10T10:13:00,co-location,surveillance
CASE027-LE0137,CASE027,P0158,LOC0204,2026-06-11T07:13:00,co-location,surveillance
CASE027-LE0138,CASE027,P0823,LOC0060,2026-06-03T12:13:00,routine,witness
CASE027-LE0139,CASE027,P0995,LOC0254,2026-05-31T12:13:00,routine,witness
CASE027-LE0140,CASE027,P0154,LOC0159,2026-06-07T12:13:00,routine,witness
CASE028-LE0141,CASE028,P0813,LOC0088,2025-09-14T08:56:00,co-location,surveillance
CASE028-LE0142,CASE028,P0054,LOC0088,2025-09-14T10:56:00,co-location,surveillance
CASE028-LE0143,CASE028,P0146,LOC0152,2025-09-06T11:56:00,routine,witness
CASE028-LE0144,CASE028,P0430,LOC0106,2025-09-14T11:56:00,routine,witness
CASE028-LE0145,CASE028,P0054,LOC0189,2025-09-09T11:56:00,routine,witness
CASE029-LE0146,CASE029,P0849,LOC0224,2025-09-18T17:21:00,co-location,surveillance
CASE029-LE0147,CASE029,P0341,LOC0224,2025-09-17T17:21:00,co-location,surveillance
CASE029-LE0148,CASE029,P0597,LOC0278,2025-09-15T19:21:00,routine,witness
CASE029-LE0149,CASE029,P0322,LOC0165,2025-09-13T19:21:00,routine,witness
CASE029-LE0150,CASE029,P0282,LOC0039,2025-09-21T19:21:00,routine,witness
CASE030-LE0151,CASE030,P0026,LOC0280,2025-06-15T16:26:00,co-location,surveillance
CASE030-LE0152,CASE030,P0501,LOC0280,2025-06-15T16:26:00,co-location,surveillance
CASE030-LE0153,CASE030,P0818,LOC0052,2025-06-10T20:26:00,routine,witness
CASE030-LE0154,CASE030,P0477,LOC0230,2025-06-14T20:26:00,routine,witness
CASE030-LE0155,CASE030,P0355,LOC0120,2025-06-12T20:26:00,routine,witness
CASE031-LE0156,CASE031,P0323,LOC0226,2026-01-21T11:11:00,co-location,surveillance
CASE031-LE0157,CASE031,P0805,LOC0226,2026-01-18T06:11:00,co-location,surveillance
CASE031-LE0158,CASE031,P0120,LOC0073,2026-01-17T11:11:00,routine,witness
CASE031-LE0159,CASE031,P0170,LOC0251,2026-01-07T11:11:00,routine,witness
CASE031-LE0160,CASE031,P0763,LOC0167,2026-01-22T11:11:00,routine,witness
CASE032-LE0161,CASE032,P0019,LOC0260,2025-12-30T09:51:00,co-location,surveillance
CASE032-LE0162,CASE032,P0791,LOC0260,2025-12-29T11:51:00,co-location,surveillance
CASE032-LE0163,CASE032,P0210,LOC0199,2025-12-22T11:51:00,routine,witness
CASE032-LE0164,CASE032,P0138,LOC0287,2025-12-26T11:51:00,routine,witness
CASE032-LE0165,CASE032,P0716,LOC0187,2025-12-27T11:51:00,routine,witness
CASE033-LE0166,CASE033,P0535,LOC0176,2025-06-30T21:23:00,co-location,surveillance
CASE033-LE0167,CASE033,P0490,LOC0176,2025-06-30T22:23:00,co-location,surveillance
CASE033-LE0168,CASE033,P0094,LOC0176,2025-06-29T21:23:00,co-location,surveillance
CASE033-LE0169,CASE033,P0799,LOC0072,2025-06-26T02:23:00,routine,witness
CASE033-LE0170,CASE033,P0979,LOC0020,2025-06-26T02:23:00,routine,witness
CASE033-LE0171,CASE033,P0388,LOC0224,2025-06-30T02:23:00,routine,witness
CASE034-LE0172,CASE034,P0287,LOC0214,2026-07-03T17:09:00,co-location,surveillance
CASE034-LE0173,CASE034,P0216,LOC0214,2026-07-05T17:09:00,co-location,surveillance
CASE034-LE0174,CASE034,P0216,LOC0259,2026-06-30T19:09:00,routine,witness
CASE034-LE0175,CASE034,P0251,LOC0091,2026-07-01T19:09:00,routine,witness
CASE034-LE0176,CASE034,P0287,LOC0050,2026-07-03T19:09:00,routine,witness
CASE035-LE0177,CASE035,P0414,LOC0117,2025-10-21T13:13:00,co-location,surveillance
CASE035-LE0178,CASE035,P0894,LOC0117,2025-10-21T11:13:00,co-location,surveillance
CASE035-LE0179,CASE035,P0064,LOC0018,2025-10-21T16:13:00,routine,witness
CASE035-LE0180,CASE035,P0306,LOC0009,2025-10-21T16:13:00,routine,witness
CASE035-LE0181,CASE035,P0020,LOC0205,2025-10-21T16:13:00,routine,witness
CASE036-LE0182,CASE036,P0970,LOC0033,2025-07-28T19:04:00,co-location,surveillance
CASE036-LE0183,CASE036,P0954,LOC0033,2025-07-26T17:04:00,co-location,surveillance
CASE036-LE0184,CASE036,P0644,LOC0064,2025-07-17T20:04:00,routine,witness
CASE036-LE0185,CASE036,P0351,LOC0054,2025-07-22T20:04:00,routine,witness
CASE036-LE0186,CASE036,P0970,LOC0075,2025-07-26T20:04:00,routine,witness
CASE037-LE0187,CASE037,P0723,LOC0122,2026-06-16T17:16:00,co-location,surveillance
CASE037-LE0188,CASE037,P0557,LOC0122,2026-06-16T16:16:00,co-location,surveillance
CASE037-LE0189,CASE037,P0599,LOC0066,2026-06-04T19:16:00,routine,witness
CASE037-LE0190,CASE037,P0004,LOC0205,2026-06-09T19:16:00,routine,witness
CASE037-LE0191,CASE037,P0609,LOC0234,2026-06-09T19:16:00,routine,witness
CASE038-LE0192,CASE038,P0899,LOC0078,2026-06-15T16:56:00,co-location,surveillance
CASE038-LE0193,CASE038,P0938,LOC0078,2026-06-16T14:56:00,co-location,surveillance
CASE038-LE0194,CASE038,P0158,LOC0078,2026-06-16T14:56:00,co-location,surveillance
CASE038-LE0195,CASE038,P0426,LOC0292,2026-06-17T16:56:00,routine,witness
CASE038-LE0196,CASE038,P0158,LOC0092,2026-06-18T16:56:00,routine,witness
CASE038-LE0197,CASE038,P0781,LOC0222,2026-06-14T16:56:00,routine,witness
CASE039-LE0198,CASE039,P0826,LOC0056,2025-12-23T07:22:00,co-location,surveillance
CASE039-LE0199,CASE039,P0285,LOC0056,2025-12-22T10:22:00,co-location,surveillance
CASE039-LE0200,CASE039,P0766,LOC0169,2025-12-15T11:22:00,routine,witness
CASE039-LE0201,CASE039,P0621,LOC0107,2025-12-21T11:22:00,routine,witness
CASE039-LE0202,CASE039,P0033,LOC0132,2025-12-09T11:22:00,routine,witness
CASE040-LE0203,CASE040,P0869,LOC0110,2025-12-11T14:40:00,co-location,surveillance
CASE040-LE0204,CASE040,P0581,LOC0110,2025-12-12T14:40:00,co-location,surveillance
CASE040-LE0205,CASE040,P0581,LOC0091,2025-11-29T14:40:00,routine,witness
CASE040-LE0206,CASE040,P0869,LOC0177,2025-12-09T14:40:00,routine,witness
CASE040-LE0207,CASE040,P0335,LOC0052,2025-12-06T14:40:00,routine,witness
CASE041-LE0208,CASE041,P0772,LOC0255,2025-06-04T11:25:00,co-location,surveillance
CASE041-LE0209,CASE041,P0917,LOC0255,2025-06-04T13:25:00,co-location,surveillance
CASE041-LE0210,CASE041,P0671,LOC0255,2025-06-05T09:25:00,co-location,surveillance
CASE041-LE0211,CASE041,P0947,LOC0278,2025-06-05T14:25:00,routine,witness
CASE041-LE0212,CASE041,P0759,LOC0281,2025-05-30T14:25:00,routine,witness
CASE041-LE0213,CASE041,P0640,LOC0026,2025-06-01T14:25:00,routine,witness
CASE042-LE0214,CASE042,P0431,LOC0099,2025-07-29T16:53:00,co-location,surveillance
CASE042-LE0215,CASE042,P0529,LOC0099,2025-07-29T21:53:00,co-location,surveillance
CASE042-LE0216,CASE042,P0043,LOC0117,2025-07-24T21:53:00,routine,witness
CASE042-LE0217,CASE042,P0217,LOC0213,2025-07-30T21:53:00,routine,witness
CASE042-LE0218,CASE042,P0987,LOC0201,2025-07-21T21:53:00,routine,witness
CASE043-LE0219,CASE043,P0310,LOC0223,2026-02-11T08:54:00,co-location,surveillance
CASE043-LE0220,CASE043,P0133,LOC0223,2026-02-10T09:54:00,co-location,surveillance
CASE043-LE0221,CASE043,P0844,LOC0149,2026-02-12T11:54:00,routine,witness
CASE043-LE0222,CASE043,P0984,LOC0157,2026-02-06T11:54:00,routine,witness
CASE043-LE0223,CASE043,P0133,LOC0078,2026-01-28T11:54:00,routine,witness
CASE044-LE0224,CASE044,P0227,LOC0151,2026-01-14T05:34:00,co-location,surveillance
CASE044-LE0225,CASE044,P0689,LOC0151,2026-01-14T06:34:00,co-location,surveillance
CASE044-LE0226,CASE044,P0481,LOC0154,2026-01-12T06:34:00,routine,witness
CASE044-LE0227,CASE044,P0517,LOC0133,2026-01-16T06:34:00,routine,witness
CASE044-LE0228,CASE044,P0919,LOC0246,2026-01-14T06:34:00,routine,witness
CASE045-LE0229,CASE045,P0125,LOC0144,2025-11-30T14:01:00,co-location,surveillance
CASE045-LE0230,CASE045,P0916,LOC0144,2025-12-01T11:01:00,co-location,surveillance
CASE045-LE0231,CASE045,P0755,LOC0179,2025-11-25T15:01:00,routine,witness
CASE045-LE0232,CASE045,P0297,LOC0234,2025-11-24T15:01:00,routine,witness
CASE045-LE0233,CASE045,P0748,LOC0042,2025-11-25T15:01:00,routine,witness
CASE046-LE0234,CASE046,P0253,LOC0057,2025-08-22T11:57:00,co-location,surveillance
CASE046-LE0235,CASE046,P0170,LOC0057,2025-08-24T09:57:00,co-location,surveillance
CASE046-LE0236,CASE046,P0296,LOC0133,2025-08-19T12:57:00,routine,witness
CASE046-LE0237,CASE046,P0498,LOC0076,2025-08-15T12:57:00,routine,witness
CASE046-LE0238,CASE046,P0253,LOC0288,2025-08-17T12:57:00,routine,witness
CASE047-LE0239,CASE047,P0296,LOC0021,2025-07-04T10:09:00,co-location,surveillance
CASE047-LE0240,CASE047,P0817,LOC0021,2025-07-02T10:09:00,co-location,surveillance
CASE047-LE0241,CASE047,P0443,LOC0021,2025-07-03T12:09:00,co-location,surveillance
CASE047-LE0242,CASE047,P0195,LOC0175,2025-06-25T14:09:00,routine,witness
CASE047-LE0243,CASE047,P0443,LOC0112,2025-07-06T14:09:00,routine,witness
CASE047-LE0244,CASE047,P0817,LOC0002,2025-07-05T14:09:00,routine,witness
CASE048-LE0245,CASE048,P0632,LOC0275,2026-03-30T07:23:00,co-location,surveillance
CASE048-LE0246,CASE048,P0482,LOC0275,2026-03-30T09:23:00,co-location,surveillance
CASE048-LE0247,CASE048,P0482,LOC0095,2026-03-26T11:23:00,routine,witness
CASE048-LE0248,CASE048,P0731,LOC0025,2026-03-17T11:23:00,routine,witness
CASE048-LE0249,CASE048,P0230,LOC0264,2026-03-16T11:23:00,routine,witness
CASE049-LE0250,CASE049,P0736,LOC0113,2026-01-17T11:15:00,co-location,surveillance
CASE049-LE0251,CASE049,P0837,LOC0113,2026-01-17T06:15:00,co-location,surveillance
CASE049-LE0252,CASE049,P0843,LOC0149,2026-01-19T11:15:00,routine,witness
CASE049-LE0253,CASE049,P0287,LOC0156,2026-01-07T11:15:00,routine,witness
CASE049-LE0254,CASE049,P0755,LOC0084,2026-01-13T11:15:00,routine,witness
CASE050-LE0255,CASE050,P0118,LOC0209,2025-05-28T20:06:00,co-location,surveillance
CASE050-LE0256,CASE050,P0156,LOC0209,2025-05-29T15:06:00,co-location,surveillance
CASE050-LE0257,CASE050,P0401,LOC0055,2025-05-18T20:06:00,routine,witness
CASE050-LE0258,CASE050,P0732,LOC0225,2025-05-29T20:06:00,routine,witness
CASE050-LE0259,CASE050,P0378,LOC0025,2025-05-18T20:06:00,routine,witness
CASE051-LE0260,CASE051,P0009,LOC0192,2026-02-14T10:18:00,co-location,surveillance
CASE051-LE0261,CASE051,P0201,LOC0192,2026-02-14T07:18:00,co-location,surveillance
CASE051-LE0262,CASE051,P0201,LOC0283,2026-02-07T10:18:00,routine,witness
CASE051-LE0263,CASE051,P0009,LOC0014,2026-02-10T10:18:00,routine,witness
CASE051-LE0264,CASE051,P0145,LOC0125,2026-02-05T10:18:00,routine,witness
CASE052-LE0265,CASE052,P0086,LOC0193,2026-03-16T13:08:00,co-location,surveillance
CASE052-LE0266,CASE052,P0716,LOC0193,2026-03-17T16:08:00,co-location,surveillance
CASE052-LE0267,CASE052,P0783,LOC0021,2026-03-06T17:08:00,routine,witness
CASE052-LE0268,CASE052,P0086,LOC0247,2026-03-16T17:08:00,routine,witness
CASE052-LE0269,CASE052,P0102,LOC0219,2026-03-11T17:08:00,routine,witness
CASE053-LE0270,CASE053,P0968,LOC0274,2026-05-03T23:47:00,co-location,surveillance
CASE053-LE0271,CASE053,P0494,LOC0274,2026-04-30T18:47:00,co-location,surveillance
CASE053-LE0272,CASE053,P0158,LOC0274,2026-04-30T20:47:00,co-location,surveillance
CASE053-LE0273,CASE053,P0808,LOC0285,2026-04-26T23:47:00,routine,witness
CASE053-LE0274,CASE053,P0968,LOC0117,2026-04-24T23:47:00,routine,witness
CASE053-LE0275,CASE053,P0688,LOC0064,2026-04-24T23:47:00,routine,witness
CASE054-LE0276,CASE054,P0497,LOC0132,2026-04-14T20:07:00,co-location,surveillance
CASE054-LE0277,CASE054,P0366,LOC0132,2026-04-15T20:07:00,co-location,surveillance
CASE054-LE0278,CASE054,P0815,LOC0168,2026-04-13T20:07:00,routine,witness
CASE054-LE0279,CASE054,P0366,LOC0270,2026-04-16T20:07:00,routine,witness
CASE054-LE0280,CASE054,P0287,LOC0001,2026-04-17T20:07:00,routine,witness
CASE055-LE0281,CASE055,P0476,LOC0223,2026-02-27T14:06:00,co-location,surveillance
CASE055-LE0282,CASE055,P0101,LOC0223,2026-02-27T11:06:00,co-location,surveillance
CASE055-LE0283,CASE055,P0996,LOC0119,2026-02-25T16:06:00,routine,witness
CASE055-LE0284,CASE055,P0856,LOC0214,2026-02-18T16:06:00,routine,witness
CASE055-LE0285,CASE055,P0280,LOC0185,2026-02-20T16:06:00,routine,witness
CASE056-LE0286,CASE056,P0179,LOC0049,2025-06-13T03:21:00,co-location,surveillance
CASE056-LE0287,CASE056,P0725,LOC0049,2025-06-11T23:21:00,co-location,surveillance
CASE056-LE0288,CASE056,P0429,LOC0229,2025-06-11T03:21:00,routine,witness
CASE056-LE0289,CASE056,P0179,LOC0053,2025-06-02T03:21:00,routine,witness
CASE056-LE0290,CASE056,P0192,LOC0214,2025-06-05T03:21:00,routine,witness
CASE057-LE0291,CASE057,P0851,LOC0152,2026-03-29T12:39:00,co-location,surveillance
CASE057-LE0292,CASE057,P0285,LOC0152,2026-03-27T16:39:00,co-location,surveillance
CASE057-LE0293,CASE057,P0285,LOC0086,2026-03-23T16:39:00,routine,witness
CASE057-LE0294,CASE057,P0851,LOC0069,2026-03-19T16:39:00,routine,witness
CASE057-LE0295,CASE057,P0714,LOC0007,2026-03-23T16:39:00,routine,witness
CASE058-LE0296,CASE058,P0637,LOC0050,2025-06-27T14:03:00,co-location,surveillance
CASE058-LE0297,CASE058,P0821,LOC0050,2025-06-28T09:03:00,co-location,surveillance
CASE058-LE0298,CASE058,P0828,LOC0050,2025-06-27T13:03:00,co-location,surveillance
CASE058-LE0299,CASE058,P0828,LOC0155,2025-06-18T14:03:00,routine,witness
CASE058-LE0300,CASE058,P0543,LOC0288,2025-06-18T14:03:00,routine,witness
CASE058-LE0301,CASE058,P0487,LOC0093,2025-06-15T14:03:00,routine,witness
CASE059-LE0302,CASE059,P0780,LOC0054,2025-07-22T15:42:00,co-location,surveillance
CASE059-LE0303,CASE059,P0642,LOC0054,2025-07-22T16:42:00,co-location,surveillance
CASE059-LE0304,CASE059,P0426,LOC0285,2025-07-13T20:42:00,routine,witness
CASE059-LE0305,CASE059,P0585,LOC0192,2025-07-14T20:42:00,routine,witness
CASE059-LE0306,CASE059,P0075,LOC0216,2025-07-24T20:42:00,routine,witness
CASE060-LE0307,CASE060,P0577,LOC0113,2025-07-22T21:03:00,co-location,surveillance
CASE060-LE0308,CASE060,P0884,LOC0113,2025-07-23T22:03:00,co-location,surveillance
