evidence_id,case_id,source_table,record_id,evidence_type,collected_date,custodian
cdr:CDR0270,CASE002,cdr,CDR0270,structured,,System
cdr:CDR0271,CASE002,cdr,CDR0271,structured,,System
cdr:CDR0272,CASE002,cdr,CDR0272,structured,,System
cdr:CDR0273,CASE002,cdr,CDR0273,structured,,System
cdr:CDR0274,CASE002,cdr,CDR0274,structured,,System
cdr:CDR0275,CASE002,cdr,CDR0275,structured,,System
cdr:CDR0276,CASE002,cdr,CDR0276,structured,,System
cdr:CDR0277,CASE002,cdr,CDR0277,structured,,System
cdr:CDR0278,CASE002,cdr,CDR0278,structured,,System
cdr:CDR0279,CASE002,cdr,CDR0279,structured,,System
cdr:CDR0280,CASE002,cdr,CDR0280,structured,,System
cdr:CDR0281,CASE002,cdr,CDR0281,structured,,System
cdr:CDR0282,CASE002,cdr,CDR0282,structured,,System
cdr:CDR0283,CASE002,cdr,CDR0283,structured,,System
cdr:CDR0284,CASE002,cdr,CDR0284,structured,,System
cdr:CDR0285,CASE002,cdr,CDR0285,structured,,System
cdr:CDR0286,CASE002,cdr,CDR0286,structured,,System
cdr:CDR0287,CASE002,cdr,CDR0287,structured,,System
cdr:CDR0288,CASE002,cdr,CDR0288,structured,,System
cdr:CDR0289,CASE002,cdr,CDR0289,structured,,System
cdr:CDR0290,CASE002,cdr,CDR0290,structured,,System
cdr:CDR0291,CASE002,cdr,CDR0291,structured,,System
cdr:CDR0292,CASE002,cdr,CDR0292,structured,,System
cdr:CDR0293,CASE002,cdr,CDR0293,structured,,System
cdr:CDR0294,CASE002,cdr,CDR0294,structured,,System
cdr:CDR0295,CASE002,cdr,CDR0295,structured,,System
cdr:CDR0296,CASE002,cdr,CDR0296,structured,,System
cdr:CDR0297,CASE002,cdr,CDR0297,structured,,System
cdr:CDR0298,CASE002,cdr,CDR0298,structured,,System
cdr:CDR0299,CASE002,cdr,CDR0299,structured,,System
cdr:CDR0300,CASE002,cdr,CDR0300,structured,,System
cdr:CDR0301,CASE002,cdr,CDR0301,structured,,System
cdr:CDR0302,CASE002,cdr,CDR0302,structured,,System
cdr:CDR0303,CASE002,cdr,CDR0303,structured,,System
cdr:CDR0304,CASE002,cdr,CDR0304,structured,,System
cdr:CDR0305,CASE002,cdr,CDR0305,structured,,System
cdr:CDR0306,CASE002,cdr,CDR0306,structured,,System
cdr:CDR0307,CASE002,cdr,CDR0307,structured,,System
cdr:CDR0308,CASE002,cdr,CDR0308,structured,,System
cdr:CDR0309,CASE002,cdr,CDR0309,structured,,System
cdr:CDR0310,CASE002,cdr,CDR0310,structured,,System
cdr:CDR0311,CASE002,cdr,CDR0311,structured,,System
cdr:CDR0312,CASE002,cdr,CDR0312,structured,,System
cdr:CDR0313,CASE002,cdr,CDR0313,structured,,System
cdr:CDR0314,CASE002,cdr,CDR0314,structured,,System
cdr:CDR0315,CASE002,cdr,CDR0315,structured,,System
cdr:CDR0316,CASE002,cdr,CDR0316,structured,,System
cdr:CDR0317,CASE002,cdr,CDR0317,structured,,System
cdr:CDR0318,CASE002,cdr,CDR0318,structured,,System
cdr:CDR0319,CASE002,cdr,CDR0319,structured,,System
cdr:CDR0320,CASE002,cdr,CDR0320,structured,,System
cdr:CDR0321,CASE002,cdr,CDR0321,structured,,System
cdr:CDR0322,CASE002,cdr,CDR0322,structured,,System
cdr:CDR0323,CASE002,cdr,CDR0323,structured,,System
cdr:CDR0324,CASE002,cdr,CDR0324,structured,,System
cdr:CDR0325,CASE002,cdr,CDR0325,structured,,System
cdr:CDR0326,CASE002,cdr,CDR0326,structured,,System
cdr:CDR0327,CASE002,cdr,CDR0327,structured,,System
cdr:CDR0328,CASE002,cdr,CDR0328,structured,,System
cdr:CDR0329,CASE002,cdr,CDR0329,structured,,System
cdr:CDR0330,CASE002,cdr,CDR0330,structured,,System
cdr:CDR0331,CASE002,cdr,CDR0331,structured,,System
cdr:CDR0332,CASE002,cdr,CDR0332,structured,,System
cdr:CDR0333,CASE002,cdr,CDR0333,structured,,System
cdr:CDR0334,CASE002,cdr,CDR0334,structured,,System
cdr:CDR0335,CASE002,cdr,CDR0335,structured,,System
cdr:CDR0336,CASE002,cdr,CDR0336,structured,,System
cdr:CDR0337,CASE002,cdr,CDR0337,structured,,System
cdr:CDR0338,CASE002,cdr,CDR0338,structured,,System
cdr:CDR0339,CASE002,cdr,CDR0339,structured,,System
cdr:CDR0340,CASE002,cdr,CDR0340,structured,,System
cdr:CDR0341,CASE002,cdr,CDR0341,structured,,System
cdr:CDR0342,CASE002,cdr,CDR0342,structured,,System
cdr:CDR0343,CASE002,cdr,CDR0343,structured,,System
cdr:CDR0344,CASE002,cdr,CDR0344,structured,,System
cdr:CDR0345,CASE002,cdr,CDR0345,structured,,System
cdr:CDR0346,CASE002,cdr,CDR0346,structured,,System
cdr:CDR0347,CASE002,cdr,CDR0347,structured,,System
cdr:CDR0348,CASE002,cdr,CDR0348,structured,,System
cdr:CDR0349,CASE002,cdr,CDR0349,structured,,System
cdr:CDR0350,CASE002,cdr,CDR0350,structured,,System
cdr:CDR0351,CASE002,cdr,CDR0351,structured,,System
cdr:CDR0352,CASE002,cdr,CDR0352,structured,,System
cdr:CDR0353,CASE002,cdr,CDR0353,structured,,System
cdr:CDR0354,CASE002,cdr,CDR0354,structured,,System
cdr:CDR0355,CASE002,cdr,CDR0355,structured,,System
cdr:CDR0356,CASE002,cdr,CDR0356,structured,,System
cdr:CDR0357,CASE002,cdr,CDR0357,structured,,System
cdr:CDR0358,CASE002,cdr,CDR0358,structured,,System
cdr:CDR0359,CASE002,cdr,CDR0359,structured,,System
cdr:CDR0360,CASE002,cdr,CDR0360,structured,,System
cdr:CDR0361,CASE002,cdr,CDR0361,structured,,System
cdr:CDR0362,CASE002,cdr,CDR0362,structured,,System
cdr:CDR0363,CASE002,cdr,CDR0363,structured,,System
cdr:CDR0364,CASE002,cdr,CDR0364,structured,,System
cdr:CDR0365,CASE002,cdr,CDR0365,structured,,System
cdr:CDR0366,CASE002,cdr,CDR0366,structured,,System
cdr:CDR0367,CASE002,cdr,CDR0367,structured,,System
cdr:CDR0368,CASE002,cdr,CDR0368,structured,,System
cdr:CDR0369,CASE002,cdr,CDR0369,structured,,System
cdr:CDR0370,CASE002,cdr,CDR0370,structured,,System
cdr:CDR0371,CASE002,cdr,CDR0371,structured,,System
cdr:CDR0372,CASE002,cdr,CDR0372,structured,,System
cdr:CDR0373,CASE002,cdr,CDR0373,structured,,System
cdr:CDR0374,CASE002,cdr,CDR0374,structured,,System
cdr:CDR0375,CASE002,cdr,CDR0375,structured,,System
cdr:CDR0376,CASE002,cdr,CDR0376,structured,,System
cdr:CDR0377,CASE002,cdr,CDR0377,structured,,System
cdr:CDR0378,CASE002,cdr,CDR0378,structured,,System
cdr:CDR0379,CASE002,cdr,CDR0379,structured,,System
cdr:CDR0380,CASE002,cdr,CDR0380,structured,,System
cdr:CDR0381,CASE002,cdr,CDR0381,structured,,System
cdr:CDR0382,CASE002,cdr,CDR0382,structured,,System
cdr:CDR0383,CASE002,cdr,CDR0383,structured,,System
cdr:CDR0384,CASE002,cdr,CDR0384,structured,,System
cdr:CDR0385,CASE002,cdr,CDR0385,structured,,System
cdr:CDR0386,CASE002,cdr,CDR0386,structured,,System
cdr:CDR0387,CASE002,cdr,CDR0387,structured,,System
cdr:CDR0388,CASE002,cdr,CDR0388,structured,,System
