relationship_id,source_entity,target_entity,relationship_type,timestamp,source_record,confidence
REL0026,P0508,P0119,CALLS,2026-06-11T04:59:00,CDR,0.66
REL0027,P0119,P0212,CALLS,2026-06-11T04:59:00,CDR,0.91
REL0028,P0212,P0338,CALLS,2026-06-11T04:59:00,CDR,0.57
REL0029,P0338,P0083,CALLS,2026-06-11T04:59:00,CDR,0.69
REL0030,P0083,P0286,CALLS,2026-06-11T04:59:00,CDR,0.62
REL0031,P0286,P0236,CALLS,2026-06-11T04:59:00,CDR,0.55
REL0032,P0236,P0321,CALLS,2026-06-11T04:59:00,CDR,0.69
REL0033,P0321,P0861,CALLS,2026-06-11T04:59:00,CDR,0.62
REL0034,P0861,P0967,CALLS,2026-06-11T04:59:00,CDR,0.93
REL0035,P0967,P0475,CALLS,2026-06-11T04:59:00,CDR,0.76
REL0036,P0475,P0038,CALLS,2026-06-11T04:59:00,CDR,0.75
REL0037,P0038,P0907,CALLS,2026-06-11T04:59:00,CDR,0.55
REL0038,P0907,P0006,CALLS,2026-06-11T04:59:00,CDR,0.69
REL0039,P0607,P0607,ASSOCIATED_WITH,2026-06-11T04:59:00,SHARED_ORG,0.3
REL0040,P0905,P0555,CALLS,2026-04-22T23:17:00,CDR,0.94
REL0041,P0905,P0017,CALLS,2026-04-22T23:17:00,CDR,0.94
REL0042,P0905,P0665,CALLS,2026-04-22T23:17:00,CDR,0.67
REL0043,P0905,P0029,CALLS,2026-04-22T23:17:00,CDR,0.73
REL0044,P0905,P0417,CALLS,2026-04-22T23:17:00,CDR,0.84
REL0045,P0905,P0082,CALLS,2026-04-22T23:17:00,CDR,0.7
REL0046,P0905,P0925,CALLS,2026-04-22T23:17:00,CDR,0.8
REL0047,P0905,P0920,CALLS,2026-04-22T23:17:00,CDR,0.9
REL0048,P0905,P0325,CALLS,2026-04-22T23:17:00,CDR,0.57
REL0049,P0905,P0917,CALLS,2026-04-22T23:17:00,CDR,0.78
REL0050,P0905,P0060,CALLS,2026-04-22T23:17:00,CDR,0.63
REL0051,P0905,P0063,CALLS,2026-04-22T23:17:00,CDR,0.89
REL0052,P0905,P0919,CALLS,2026-04-22T23:17:00,CDR,0.6
REL0053,P0905,P0524,CALLS,2026-04-22T23:17:00,CDR,0.72
REL0054,P0905,P0677,CALLS,2026-04-22T23:17:00,CDR,0.51
REL0055,P0905,P0730,CALLS,2026-04-22T23:17:00,CDR,0.55
REL0056,P0905,P0003,CALLS,2026-04-22T23:17:00,CDR,0.88
REL0057,P0905,P0320,CALLS,2026-04-22T23:17:00,CDR,0.75
REL0058,P0905,P0552,CALLS,2026-04-22T23:17:00,CDR,0.63
REL0059,P0905,P0125,CALLS,2026-04-22T23:17:00,CDR,0.69
REL0060,P0905,P0916,CALLS,2026-04-22T23:17:00,CDR,0.76
REL0061,P0905,P0844,CALLS,2026-04-22T23:17:00,CDR,0.57
REL0062,P0905,P0964,CALLS,2026-04-22T23:17:00,CDR,0.52
REL0063,P0905,P0904,CALLS,2026-04-22T23:17:00,CDR,0.65
REL0064,P0905,P0949,CALLS,2026-04-22T23:17:00,CDR,0.6
REL0065,P0905,P0049,CALLS,2026-04-22T23:17:00,CDR,0.8
REL0066,P0905,P0773,CALLS,2026-04-22T23:17:00,CDR,0.86
REL0067,P0905,P0234,CALLS,2026-04-22T23:17:00,CDR,0.71
REL0068,P0905,P0663,CALLS,2026-04-22T23:17:00,CDR,0.81
REL0069,P0905,P0182,CALLS,2026-04-22T23:17:00,CDR,0.68
REL0070,P0904,P0905,ASSOCIATED_WITH,2026-04-22T23:17:00,SHARED_ORG,0.3
REL0071,P0037,P0154,CALLS,2026-01-09T06:29:00,CDR,0.91
REL0072,P0217,P0605,CALLS,2026-01-09T06:29:00,CDR,0.71
REL0073,P0037,P0990,CALLS,2026-01-09T06:29:00,CDR,0.67
REL0074,P0217,P0423,CALLS,2026-01-09T06:29:00,CDR,0.68
REL0075,P0217,P0019,CALLS,2026-01-09T06:29:00,CDR,0.84
REL0076,P0217,P0539,CALLS,2026-01-09T06:29:00,CDR,0.63
REL0077,P0037,P0584,CALLS,2026-01-09T06:29:00,CDR,0.81
REL0078,P0037,P0001,CALLS,2026-01-09T06:29:00,CDR,0.85
REL0079,P0037,P1000,CALLS,2026-01-09T06:29:00,CDR,0.72
REL0080,P0217,P0894,CALLS,2026-01-09T06:29:00,CDR,0.77
REL0081,P0217,P0351,CALLS,2026-01-09T06:29:00,CDR,0.86
REL0082,P0037,P0421,CALLS,2026-01-09T06:29:00,CDR,0.52
REL0083,P0037,P0173,CALLS,2026-01-09T06:29:00,CDR,0.51
REL0084,P0037,P0523,CALLS,2026-01-09T06:29:00,CDR,0.61
REL0085,P0037,P0607,CALLS,2026-01-09T06:29:00,CDR,0.52
REL0086,P0217,P0784,CALLS,2026-01-09T06:29:00,CDR,0.77
REL0087,P1000,P0539,ASSOCIATED_WITH,2026-01-09T06:29:00,SHARED_ORG,0.3
REL0088,P0662,P0595,CALLS,2026-07-30T18:00:00,CDR,0.5
REL0089,P0662,P0257,CALLS,2026-07-30T18:00:00,CDR,0.55
REL0090,P0662,P0726,CALLS,2026-07-30T18:00:00,CDR,0.53
REL0091,P0662,P0841,CALLS,2026-07-30T18:00:00,CDR,0.75
REL0092,P0662,P0976,CALLS,2026-07-30T18:00:00,CDR,0.86
REL0093,P0662,P0081,CALLS,2026-07-30T18:00:00,CDR,0.74
REL0094,P0662,P0179,CALLS,2026-07-30T18:00:00,CDR,0.58
REL0095,P0662,P0792,CALLS,2026-07-30T18:00:00,CDR,0.7
REL0096,P0662,P0307,CALLS,2026-07-30T18:00:00,CDR,0.57
REL0097,P0662,P0775,CALLS,2026-07-30T18:00:00,CDR,0.89
REL0098,P0662,P0964,CALLS,2026-07-30T18:00:00,CDR,0.61
REL0099,P0307,P0841,ASSOCIATED_WITH,2026-07-30T18:00:00,SHARED_ORG,0.3
REL0100,P0509,P0765,CALLS,2026-04-13T07:48:00,CDR,0.57
REL0101,P0509,P0639,CALLS,2026-04-13T07:48:00,CDR,0.54
REL0102,P0509,P0450,CALLS,2026-04-13T07:48:00,CDR,0.81
REL0103,P0509,P0705,CALLS,2026-04-13T07:48:00,CDR,0.59
REL0104,P0509,P0327,CALLS,2026-04-13T07:48:00,CDR,0.72
REL0105,P0509,P0414,CALLS,2026-04-13T07:48:00,CDR,0.52
REL0106,P0509,P0432,CALLS,2026-04-13T07:48:00,CDR,0.78
REL0107,P0509,P0782,CALLS,2026-04-13T07:48:00,CDR,0.71
REL0108,P0509,P0093,CALLS,2026-04-13T07:48:00,CDR,0.79
REL0109,P0509,P0622,CALLS,2026-04-13T07:48:00,CDR,0.9
REL0110,P0327,P0093,ASSOCIATED_WITH,2026-04-13T07:48:00,SHARED_ORG,0.3
REL0111,P0575,P0036,CALLS,2025-11-03T03:22:00,CDR,0.79
REL0112,P0036,P0095,CALLS,2025-11-03T03:22:00,CDR,0.83
REL0113,P0095,P0036,ASSOCIATED_WITH,2025-11-03T03:22:00,SHARED_ORG,0.3
REL0114,P0207,P0303,CALLS,2026-05-30T21:03:00,CDR,0.77
REL0115,P0303,P0586,CALLS,2026-05-30T21:03:00,CDR,0.51
REL0116,P0586,P0918,CALLS,2026-05-30T21:03:00,CDR,0.79
REL0117,P0267,P0584,CALLS,2026-05-30T21:03:00,CDR,0.69
REL0118,P0584,P0053,CALLS,2026-05-30T21:03:00,CDR,0.64
REL0119,P0053,P0158,CALLS,2026-05-30T21:03:00,CDR,0.56
REL0120,P0918,P0267,CALLS,2026-05-30T21:03:00,CDR,0.67
REL0121,P0586,P0586,ASSOCIATED_WITH,2026-05-30T21:03:00,SHARED_ORG,0.3
REL0122,P0922,P0913,CALLS,2025-08-13T02:17:00,CDR,0.81
REL0123,P0922,P0220,CALLS,2025-08-13T02:17:00,CDR,0.65
REL0124,P0922,P0004,CALLS,2025-08-13T02:17:00,CDR,0.73
REL0125,P0922,P0066,CALLS,2025-08-13T02:17:00,CDR,0.8
REL0126,P0922,P0414,CALLS,2025-08-13T02:17:00,CDR,0.88
REL0127,P0922,P0954,CALLS,2025-08-13T02:17:00,CDR,0.58
REL0128,P0922,P0788,CALLS,2025-08-13T02:17:00,CDR,0.76
REL0129,P0922,P0722,CALLS,2025-08-13T02:17:00,CDR,0.56
REL0130,P0922,P0463,CALLS,2025-08-13T02:17:00,CDR,0.89
REL0131,P0922,P0945,CALLS,2025-08-13T02:17:00,CDR,0.59
REL0132,P0922,P0662,CALLS,2025-08-13T02:17:00,CDR,0.84
REL0133,P0922,P0298,CALLS,2025-08-13T02:17:00,CDR,0.57
REL0134,P0922,P0667,CALLS,2025-08-13T02:17:00,CDR,0.65
REL0135,P0922,P0876,CALLS,2025-08-13T02:17:00,CDR,0.61
REL0136,P0922,P0941,CALLS,2025-08-13T02:17:00,CDR,0.64
REL0137,P0922,P0593,CALLS,2025-08-13T02:17:00,CDR,0.58
REL0138,P0922,P0885,CALLS,2025-08-13T02:17:00,CDR,0.71
REL0139,P0922,P0459,CALLS,2025-08-13T02:17:00,CDR,0.82
REL0140,P0922,P0736,CALLS,2025-08-13T02:17:00,CDR,0.82
REL0141,P0922,P0218,CALLS,2025-08-13T02:17:00,CDR,0.72
REL0142,P0922,P0108,CALLS,2025-08-13T02:17:00,CDR,0.68
REL0143,P0922,P0377,CALLS,2025-08-13T02:17:00,CDR,0.54
REL0144,P0922,P0844,CALLS,2025-08-13T02:17:00,CDR,0.59
REL0145,P0922,P0490,CALLS,2025-08-13T02:17:00,CDR,0.75
REL0146,P0922,P0205,CALLS,2025-08-13T02:17:00,CDR,0.86
REL0147,P0922,P0351,CALLS,2025-08-13T02:17:00,CDR,0.52
REL0148,P0922,P0135,CALLS,2025-08-13T02:17:00,CDR,0.94
REL0149,P0922,P0001,CALLS,2025-08-13T02:17:00,CDR,0.5
REL0150,P0922,P0902,CALLS,2025-08-13T02:17:00,CDR,0.8
REL0151,P0922,P0926,CALLS,2025-08-13T02:17:00,CDR,0.64
REL0152,P0922,P0154,CALLS,2025-08-13T02:17:00,CDR,0.68
REL0153,P0922,P0966,CALLS,2025-08-13T02:17:00,CDR,0.55
REL0154,P0922,P0763,CALLS,2025-08-13T02:17:00,CDR,0.92
REL0155,P0922,P0408,CALLS,2025-08-13T02:17:00,CDR,0.8
REL0156,P0922,P0195,CALLS,2025-08-13T02:17:00,CDR,0.75
REL0157,P0922,P0447,CALLS,2025-08-13T02:17:00,CDR,0.88
REL0158,P0922,P0470,CALLS,2025-08-13T02:17:00,CDR,0.73
REL0159,P0922,P0188,CALLS,2025-08-13T02:17:00,CDR,0.62
REL0160,P0922,P0806,CALLS,2025-08-13T02:17:00,CDR,0.67
REL0161,P0922,P0505,CALLS,2025-08-13T02:17:00,CDR,0.57
REL0162,P0922,P0774,CALLS,2025-08-13T02:17:00,CDR,0.73
REL0163,P0922,P0023,CALLS,2025-08-13T02:17:00,CDR,0.76
REL0164,P0922,P0555,CALLS,2025-08-13T02:17:00,CDR,0.64
REL0165,P0922,P0996,CALLS,2025-08-13T02:17:00,CDR,0.84
REL0166,P0922,P0661,CALLS,2025-08-13T02:17:00,CDR,0.63
REL0167,P0922,P0760,CALLS,2025-08-13T02:17:00,CDR,0.58
REL0168,P0922,P0212,CALLS,2025-08-13T02:17:00,CDR,0.6
REL0169,P0922,P0746,CALLS,2025-08-13T02:17:00,CDR,0.76
REL0170,P0922,P0333,CALLS,2025-08-13T02:17:00,CDR,0.6
REL0171,P0922,P0669,CALLS,2025-08-13T02:17:00,CDR,0.57
REL0172,P0922,P0908,CALLS,2025-08-13T02:17:00,CDR,0.77
REL0173,P0922,P0777,CALLS,2025-08-13T02:17:00,CDR,0.55
REL0174,P0922,P0528,CALLS,2025-08-13T02:17:00,CDR,0.79
REL0175,P0922,P0586,CALLS,2025-08-13T02:17:00,CDR,0.85
REL0176,P0922,P0451,CALLS,2025-08-13T02:17:00,CDR,0.73
REL0177,P0922,P0617,CALLS,2025-08-13T02:17:00,CDR,0.56
REL0178,P0922,P0043,CALLS,2025-08-13T02:17:00,CDR,0.61
REL0179,P0922,P0318,CALLS,2025-08-13T02:17:00,CDR,0.75
REL0180,P0922,P0035,CALLS,2025-08-13T02:17:00,CDR,0.5
REL0181,P0922,P0674,CALLS,2025-08-13T02:17:00,CDR,0.75
REL0182,P0922,P0085,CALLS,2025-08-13T02:17:00,CDR,0.86
REL0183,P0922,P0375,CALLS,2025-08-13T02:17:00,CDR,0.79
REL0184,P0922,P0148,CALLS,2025-08-13T02:17:00,CDR,0.7
REL0185,P0922,P0860,CALLS,2025-08-13T02:17:00,CDR,0.8
REL0186,P0922,P0229,CALLS,2025-08-13T02:17:00,CDR,0.54
REL0187,P0922,P0964,CALLS,2025-08-13T02:17:00,CDR,0.7
REL0188,P0922,P0424,CALLS,2025-08-13T02:17:00,CDR,0.64
REL0189,P0922,P0289,CALLS,2025-08-13T02:17:00,CDR,0.88
REL0190,P0922,P0293,CALLS,2025-08-13T02:17:00,CDR,0.79
REL0191,P0922,P0805,CALLS,2025-08-13T02:17:00,CDR,0.51
REL0192,P0922,P0049,CALLS,2025-08-13T02:17:00,CDR,0.88
REL0193,P0922,P0301,CALLS,2025-08-13T02:17:00,CDR,0.78
REL0194,P0922,P0171,CALLS,2025-08-13T02:17:00,CDR,0.6
REL0195,P0229,P0195,ASSOCIATED_WITH,2025-08-13T02:17:00,SHARED_ORG,0.3
REL0196,P0763,P0399,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0197,P0763,P0967,CALLS,2026-07-21T12:03:00,CDR,0.58
REL0198,P0399,P0967,CALLS,2026-07-21T12:03:00,CDR,0.7
REL0199,P0399,P0979,CALLS,2026-07-21T12:03:00,CDR,0.84
REL0200,P0967,P0979,CALLS,2026-07-21T12:03:00,CDR,0.7
REL0201,P0967,P0013,CALLS,2026-07-21T12:03:00,CDR,0.88
REL0202,P0979,P0013,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0203,P0979,P0351,CALLS,2026-07-21T12:03:00,CDR,0.61
REL0204,P0013,P0351,CALLS,2026-07-21T12:03:00,CDR,0.89
REL0205,P0013,P0838,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0206,P0351,P0838,CALLS,2026-07-21T12:03:00,CDR,0.63
REL0207,P0351,P0016,CALLS,2026-07-21T12:03:00,CDR,0.89
REL0208,P0838,P0016,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0209,P0838,P0472,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0210,P0016,P0472,CALLS,2026-07-21T12:03:00,CDR,0.59
REL0211,P0016,P0529,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0212,P0472,P0529,CALLS,2026-07-21T12:03:00,CDR,0.83
REL0213,P0472,P0137,CALLS,2026-07-21T12:03:00,CDR,0.85
REL0214,P0529,P0137,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0215,P0529,P0141,CALLS,2026-07-21T12:03:00,CDR,0.86
REL0216,P0137,P0141,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0217,P0137,P0029,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0218,P0141,P0029,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0219,P0141,P0858,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0220,P0029,P0858,CALLS,2026-07-21T12:03:00,CDR,0.56
REL0221,P0029,P0012,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0222,P0858,P0012,CALLS,2026-07-21T12:03:00,CDR,0.92
REL0223,P0858,P0871,CALLS,2026-07-21T12:03:00,CDR,0.75
REL0224,P0012,P0871,CALLS,2026-07-21T12:03:00,CDR,0.59
REL0225,P0012,P0055,CALLS,2026-07-21T12:03:00,CDR,0.91
REL0226,P0871,P0055,CALLS,2026-07-21T12:03:00,CDR,0.95
REL0227,P0871,P0725,CALLS,2026-07-21T12:03:00,CDR,0.6
REL0228,P0055,P0725,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0229,P0055,P0208,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0230,P0725,P0208,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0231,P0725,P0124,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0232,P0208,P0124,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0233,P0208,P0430,CALLS,2026-07-21T12:03:00,CDR,0.6
REL0234,P0124,P0430,CALLS,2026-07-21T12:03:00,CDR,0.8
REL0235,P0124,P0547,CALLS,2026-07-21T12:03:00,CDR,0.73
REL0236,P0430,P0547,CALLS,2026-07-21T12:03:00,CDR,0.93
REL0237,P0430,P0225,CALLS,2026-07-21T12:03:00,CDR,0.57
REL0238,P0547,P0225,CALLS,2026-07-21T12:03:00,CDR,0.57
REL0239,P0547,P0083,CALLS,2026-07-21T12:03:00,CDR,0.94
REL0240,P0225,P0083,CALLS,2026-07-21T12:03:00,CDR,0.77
REL0241,P0225,P0798,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0242,P0083,P0798,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0243,P0083,P0125,CALLS,2026-07-21T12:03:00,CDR,0.69
REL0244,P0798,P0125,CALLS,2026-07-21T12:03:00,CDR,0.54
REL0245,P0798,P0670,CALLS,2026-07-21T12:03:00,CDR,0.74
REL0246,P0125,P0670,CALLS,2026-07-21T12:03:00,CDR,0.61
REL0247,P0125,P0228,CALLS,2026-07-21T12:03:00,CDR,0.65
REL0248,P0670,P0228,CALLS,2026-07-21T12:03:00,CDR,0.73
REL0249,P0670,P0340,CALLS,2026-07-21T12:03:00,CDR,0.83
REL0250,P0228,P0340,CALLS,2026-07-21T12:03:00,CDR,0.93
REL0251,P0228,P0282,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0252,P0340,P0282,CALLS,2026-07-21T12:03:00,CDR,0.59
REL0253,P0340,P0374,CALLS,2026-07-21T12:03:00,CDR,0.81
REL0254,P0282,P0374,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0255,P0282,P0517,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0256,P0374,P0517,CALLS,2026-07-21T12:03:00,CDR,0.76
REL0257,P0374,P0814,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0258,P0517,P0814,CALLS,2026-07-21T12:03:00,CDR,0.75
REL0259,P0517,P0599,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0260,P0814,P0599,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0261,P0814,P0905,CALLS,2026-07-21T12:03:00,CDR,0.58
REL0262,P0599,P0905,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0263,P0599,P0426,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0264,P0905,P0426,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0265,P0905,P0380,CALLS,2026-07-21T12:03:00,CDR,0.76
REL0266,P0426,P0380,CALLS,2026-07-21T12:03:00,CDR,0.81
REL0267,P0426,P0103,CALLS,2026-07-21T12:03:00,CDR,0.88
REL0268,P0380,P0103,CALLS,2026-07-21T12:03:00,CDR,0.94
REL0269,P0380,P0964,CALLS,2026-07-21T12:03:00,CDR,0.68
REL0270,P0103,P0964,CALLS,2026-07-21T12:03:00,CDR,0.68
REL0271,P0103,P0076,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0272,P0964,P0076,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0273,P0964,P0315,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0274,P0076,P0315,CALLS,2026-07-21T12:03:00,CDR,0.8
REL0275,P0076,P0255,CALLS,2026-07-21T12:03:00,CDR,0.54
REL0276,P0315,P0255,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0277,P0315,P0740,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0278,P0255,P0740,CALLS,2026-07-21T12:03:00,CDR,0.57
REL0279,P0255,P0505,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0280,P0740,P0505,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0281,P0740,P0332,CALLS,2026-07-21T12:03:00,CDR,0.85
REL0282,P0505,P0332,CALLS,2026-07-21T12:03:00,CDR,0.66
REL0283,P0505,P0445,CALLS,2026-07-21T12:03:00,CDR,0.54
REL0284,P0332,P0445,CALLS,2026-07-21T12:03:00,CDR,0.56
REL0285,P0332,P0008,CALLS,2026-07-21T12:03:00,CDR,0.85
REL0286,P0445,P0008,CALLS,2026-07-21T12:03:00,CDR,0.79
REL0287,P0445,P0140,CALLS,2026-07-21T12:03:00,CDR,0.89
REL0288,P0008,P0140,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0289,P0008,P0400,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0290,P0140,P0400,CALLS,2026-07-21T12:03:00,CDR,0.84
REL0291,P0140,P0886,CALLS,2026-07-21T12:03:00,CDR,0.65
REL0292,P0400,P0886,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0293,P0400,P0538,CALLS,2026-07-21T12:03:00,CDR,0.65
REL0294,P0886,P0538,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0295,P0886,P0164,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0296,P0538,P0164,CALLS,2026-07-21T12:03:00,CDR,0.69
REL0297,P0538,P0709,CALLS,2026-07-21T12:03:00,CDR,0.94
REL0298,P0164,P0709,CALLS,2026-07-21T12:03:00,CDR,0.89
REL0299,P0164,P0397,CALLS,2026-07-21T12:03:00,CDR,0.94
REL0300,P0709,P0397,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0301,P0709,P0248,CALLS,2026-07-21T12:03:00,CDR,0.53
REL0302,P0397,P0248,CALLS,2026-07-21T12:03:00,CDR,0.79
REL0303,P0397,P0609,CALLS,2026-07-21T12:03:00,CDR,0.7
REL0304,P0248,P0609,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0305,P0248,P0436,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0306,P0609,P0436,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0307,P0609,P0200,CALLS,2026-07-21T12:03:00,CDR,0.8
REL0308,P0436,P0200,CALLS,2026-07-21T12:03:00,CDR,0.63
REL0309,P0436,P0133,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0310,P0200,P0133,CALLS,2026-07-21T12:03:00,CDR,0.9
REL0311,P0200,P0567,CALLS,2026-07-21T12:03:00,CDR,0.73
REL0312,P0133,P0567,CALLS,2026-07-21T12:03:00,CDR,0.91
REL0313,P0133,P0323,CALLS,2026-07-21T12:03:00,CDR,0.78
REL0314,P0567,P0323,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0315,P0567,P0755,CALLS,2026-07-21T12:03:00,CDR,0.68
REL0316,P0323,P0755,CALLS,2026-07-21T12:03:00,CDR,0.54
REL0317,P0323,P0041,CALLS,2026-07-21T12:03:00,CDR,0.77
REL0318,P0755,P0041,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0319,P0755,P0250,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0320,P0041,P0250,CALLS,2026-07-21T12:03:00,CDR,0.54
REL0321,P0041,P0826,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0322,P0250,P0826,CALLS,2026-07-21T12:03:00,CDR,0.81
REL0323,P0250,P0840,CALLS,2026-07-21T12:03:00,CDR,0.77
REL0324,P0826,P0840,CALLS,2026-07-21T12:03:00,CDR,0.81
REL0325,P0826,P0990,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0326,P0840,P0990,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0327,P0840,P0440,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0328,P0990,P0440,CALLS,2026-07-21T12:03:00,CDR,0.59
REL0329,P0990,P0421,CALLS,2026-07-21T12:03:00,CDR,0.77
REL0330,P0440,P0421,CALLS,2026-07-21T12:03:00,CDR,0.72
REL0331,P0440,P0787,CALLS,2026-07-21T12:03:00,CDR,0.64
REL0332,P0421,P0787,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0333,P0421,P0376,CALLS,2026-07-21T12:03:00,CDR,0.51
REL0334,P0787,P0376,CALLS,2026-07-21T12:03:00,CDR,0.59
REL0335,P0787,P0572,CALLS,2026-07-21T12:03:00,CDR,0.76
REL0336,P0376,P0572,CALLS,2026-07-21T12:03:00,CDR,0.85
REL0337,P0376,P0651,CALLS,2026-07-21T12:03:00,CDR,0.65
REL0338,P0572,P0651,CALLS,2026-07-21T12:03:00,CDR,0.57
REL0339,P0572,P0247,CALLS,2026-07-21T12:03:00,CDR,0.55
REL0340,P0651,P0247,CALLS,2026-07-21T12:03:00,CDR,0.71
REL0341,P0651,P0153,CALLS,2026-07-21T12:03:00,CDR,0.87
REL0342,P0247,P0153,CALLS,2026-07-21T12:03:00,CDR,0.62
REL0343,P0247,P0658,CALLS,2026-07-21T12:03:00,CDR,0.69
REL0344,P0153,P0658,CALLS,2026-07-21T12:03:00,CDR,0.77
REL0345,P0153,P0294,CALLS,2026-07-21T12:03:00,CDR,0.65
REL0346,P0658,P0294,CALLS,2026-07-21T12:03:00,CDR,0.82
REL0347,P0658,P0861,CALLS,2026-07-21T12:03:00,CDR,0.68
REL0348,P0294,P0861,CALLS,2026-07-21T12:03:00,CDR,0.94
REL0349,P0294,P0827,CALLS,2026-07-21T12:03:00,CDR,0.52
REL0350,P0861,P0827,CALLS,2026-07-21T12:03:00,CDR,0.84
REL0351,P0029,P0990,ASSOCIATED_WITH,2026-07-21T12:03:00,SHARED_ORG,0.3
REL0352,P0288,P0534,CALLS,2025-10-09T05:38:00,CDR,0.6
REL0353,P0288,P0141,CALLS,2025-10-09T05:38:00,CDR,0.95
REL0354,P0288,P0978,CALLS,2025-10-09T05:38:00,CDR,0.89
