event_id,case_id,camera_id,location_id,timestamp,detection_type,plate_number,description
CASE046-CCTV0048,CASE046,CAM0029,LOC0057,2025-08-22T11:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE046-CCTV0049,CASE046,CAM0029,LOC0057,2025-08-24T09:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE046-CCTV0050,CASE046,CAM0131,LOC0288,2025-08-17T12:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE047-CCTV0051,CASE047,CAM0010,LOC0021,2025-07-04T10:09:00,vehicle,CH-95-YO-0149,Vehicle plate captured by ANPR camera.
CASE047-CCTV0052,CASE047,CAM0010,LOC0021,2025-07-02T10:09:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE047-CCTV0053,CASE047,CAM0001,LOC0002,2025-07-05T14:09:00,vehicle,CH-14-WW-0094,Vehicle plate captured by ANPR camera.
CASE049-CCTV0054,CASE049,CAM0049,LOC0113,2026-01-17T06:15:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE051-CCTV0055,CASE051,CAM0088,LOC0192,2026-02-14T07:18:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE051-CCTV0056,CASE051,CAM0006,LOC0014,2026-02-10T10:18:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE053-CCTV0057,CASE053,CAM0031,LOC0064,2026-04-24T23:47:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE055-CCTV0058,CASE055,CAM0094,LOC0214,2026-02-18T16:06:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE055-CCTV0059,CASE055,CAM0086,LOC0185,2026-02-20T16:06:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE056-CCTV0060,CASE056,CAM0105,LOC0229,2025-06-11T03:21:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE056-CCTV0061,CASE056,CAM0026,LOC0053,2025-06-02T03:21:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE056-CCTV0062,CASE056,CAM0094,LOC0214,2025-06-05T03:21:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE058-CCTV0063,CASE058,CAM0071,LOC0155,2025-06-18T14:03:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE058-CCTV0064,CASE058,CAM0131,LOC0288,2025-06-18T14:03:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE059-CCTV0065,CASE059,CAM0027,LOC0054,2025-07-22T15:42:00,vehicle,LU-80-HK-0076,Vehicle plate captured by ANPR camera.
CASE059-CCTV0066,CASE059,CAM0096,LOC0216,2025-07-24T20:42:00,vehicle,NO-81-CP-0011,Vehicle plate captured by ANPR camera.
CASE060-CCTV0067,CASE060,CAM0049,LOC0113,2025-07-22T21:03:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE060-CCTV0068,CASE060,CAM0049,LOC0113,2025-07-23T22:03:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE062-CCTV0069,CASE062,CAM0086,LOC0185,2025-12-27T13:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE062-CCTV0070,CASE062,CAM0086,LOC0185,2025-12-27T16:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE062-CCTV0071,CASE062,CAM0041,LOC0087,2025-12-18T16:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE063-CCTV0072,CASE063,CAM0066,LOC0146,2025-11-13T00:13:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE064-CCTV0073,CASE064,CAM0051,LOC0116,2025-06-07T20:02:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE064-CCTV0074,CASE064,CAM0024,LOC0051,2025-05-29T20:02:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE065-CCTV0075,CASE065,CAM0051,LOC0116,2025-07-09T07:51:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE065-CCTV0076,CASE065,CAM0051,LOC0116,2025-07-09T07:51:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE067-CCTV0077,CASE067,CAM0001,LOC0002,2026-01-06T06:01:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE067-CCTV0078,CASE067,CAM0127,LOC0282,2026-01-05T08:01:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE068-CCTV0079,CASE068,CAM0080,LOC0174,2026-07-02T00:00:00,vehicle,PU-36-ME-0291,Vehicle plate captured by ANPR camera.
CASE068-CCTV0080,CASE068,CAM0063,LOC0142,2026-06-26T00:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE069-CCTV0081,CASE069,CAM0070,LOC0153,2025-05-17T19:46:00,vehicle,GU-12-SY-0270,Vehicle plate captured by ANPR camera.
CASE070-CCTV0082,CASE070,CAM0017,LOC0033,2025-09-11T19:16:00,vehicle,MU-94-BU-0133,Vehicle plate captured by ANPR camera.
CASE071-CCTV0083,CASE071,CAM0064,LOC0143,2026-03-26T12:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE072-CCTV0084,CASE072,CAM0049,LOC0113,2025-08-13T08:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE074-CCTV0085,CASE074,CAM0115,LOC0248,2025-10-13T22:19:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE074-CCTV0086,CASE074,CAM0077,LOC0168,2025-10-15T22:19:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE075-CCTV0087,CASE075,CAM0135,LOC0297,2026-02-21T04:39:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE077-CCTV0088,CASE077,CAM0092,LOC0211,2025-07-21T15:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE077-CCTV0089,CASE077,CAM0048,LOC0109,2025-07-11T18:34:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE078-CCTV0090,CASE078,CAM0046,LOC0099,2026-07-03T12:19:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE079-CCTV0091,CASE079,CAM0029,LOC0057,2025-12-02T00:28:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE081-CCTV0092,CASE081,CAM0082,LOC0177,2025-11-01T14:18:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE081-CCTV0093,CASE081,CAM0046,LOC0099,2025-10-20T16:18:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE082-CCTV0094,CASE082,CAM0023,LOC0047,2025-09-14T10:56:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE084-CCTV0095,CASE084,CAM0053,LOC0123,2026-05-30T11:09:00,vehicle,LU-45-WK-0231,Vehicle plate captured by ANPR camera.
CASE085-CCTV0096,CASE085,CAM0057,LOC0129,2026-05-25T04:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE085-CCTV0097,CASE085,CAM0057,LOC0129,2026-05-26T08:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE086-CCTV0098,CASE086,CAM0136,LOC0298,2026-01-23T05:46:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE086-CCTV0099,CASE086,CAM0136,LOC0298,2026-01-25T05:46:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE087-CCTV0100,CASE087,CAM0114,LOC0246,2025-12-01T07:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE087-CCTV0101,CASE087,CAM0114,LOC0246,2025-11-25T07:17:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE088-CCTV0102,CASE088,CAM0017,LOC0033,2025-06-12T22:41:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE090-CCTV0103,CASE090,CAM0025,LOC0052,2026-04-18T15:37:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE090-CCTV0104,CASE090,CAM0107,LOC0236,2026-04-07T20:37:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE091-CCTV0105,CASE091,CAM0084,LOC0180,2026-01-11T20:52:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE091-CCTV0106,CASE091,CAM0084,LOC0180,2026-01-11T21:52:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE091-CCTV0107,CASE091,CAM0079,LOC0171,2026-01-12T00:52:00,vehicle,GU-86-LS-0176,Vehicle plate captured by ANPR camera.
CASE091-CCTV0108,CASE091,CAM0134,LOC0296,2026-01-13T00:52:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE092-CCTV0109,CASE092,CAM0130,LOC0285,2025-10-26T09:02:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE093-CCTV0110,CASE093,CAM0106,LOC0232,2025-08-12T20:32:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE094-CCTV0111,CASE094,CAM0105,LOC0229,2026-05-16T21:43:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE094-CCTV0112,CASE094,CAM0104,LOC0228,2026-05-05T21:43:00,vehicle,NO-80-WA-0256,Vehicle plate captured by ANPR camera.
CASE094-CCTV0113,CASE094,CAM0031,LOC0064,2026-05-17T21:43:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE095-CCTV0114,CASE095,CAM0096,LOC0216,2026-07-08T16:07:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE096-CCTV0115,CASE096,CAM0056,LOC0128,2026-01-14T05:05:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE096-CCTV0116,CASE096,CAM0056,LOC0128,2026-01-14T04:05:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE096-CCTV0117,CASE096,CAM0087,LOC0188,2026-01-05T05:05:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE098-CCTV0118,CASE098,CAM0054,LOC0124,2025-12-11T11:52:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE099-CCTV0119,CASE099,CAM0126,LOC0280,2026-06-15T08:57:00,vehicle,MU-71-CK-0250,Vehicle plate captured by ANPR camera.
CASE099-CCTV0120,CASE099,CAM0126,LOC0280,2026-06-17T07:57:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE100-CCTV0121,CASE100,CAM0039,LOC0080,2026-05-24T08:07:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE019-CCTV0122,CASE019,CAM0079,LOC0171,2025-10-01T22:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE039-CCTV0123,CASE039,CAM0058,LOC0130,2025-10-08T18:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE071-CCTV0124,CASE071,CAM0081,LOC0176,2026-04-27T04:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE011-CCTV0125,CASE011,CAM0100,LOC0224,2025-08-12T18:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE039-CCTV0126,CASE039,CAM0102,LOC0226,2026-01-26T11:00:00,vehicle,KO-88-BH-0034,Vehicle plate captured by ANPR camera.
CASE009-CCTV0127,CASE009,CAM0111,LOC0241,2026-07-12T12:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE045-CCTV0128,CASE045,CAM0048,LOC0109,2025-12-23T15:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE054-CCTV0129,CASE054,CAM0126,LOC0280,2025-12-06T21:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE058-CCTV0130,CASE058,CAM0103,LOC0227,2025-06-01T10:00:00,vehicle,MU-69-WW-0166,Vehicle plate captured by ANPR camera.
CASE066-CCTV0131,CASE066,CAM0085,LOC0184,2025-10-09T17:00:00,vehicle,RA-30-BD-0207,Vehicle plate captured by ANPR camera.
CASE025-CCTV0132,CASE025,CAM0064,LOC0143,2025-07-24T13:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE086-CCTV0133,CASE086,CAM0109,LOC0238,2025-11-20T08:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE040-CCTV0134,CASE040,CAM0018,LOC0035,2026-02-05T11:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE083-CCTV0135,CASE083,CAM0060,LOC0136,2025-12-21T02:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE042-CCTV0136,CASE042,CAM0108,LOC0237,2026-06-02T19:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE086-CCTV0137,CASE086,CAM0066,LOC0146,2026-04-13T05:00:00,vehicle,PU-36-ME-0291,Vehicle plate captured by ANPR camera.
CASE055-CCTV0138,CASE055,CAM0099,LOC0223,2026-04-28T02:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE022-CCTV0139,CASE022,CAM0063,LOC0142,2026-07-06T08:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE032-CCTV0140,CASE032,CAM0057,LOC0129,2026-04-27T09:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE003-CCTV0141,CASE003,CAM0120,LOC0266,2025-10-22T19:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE057-CCTV0142,CASE057,CAM0076,LOC0166,2026-04-10T11:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE046-CCTV0143,CASE046,CAM0136,LOC0298,2026-06-30T17:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE062-CCTV0144,CASE062,CAM0085,LOC0184,2025-07-26T17:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE096-CCTV0145,CASE096,CAM0071,LOC0155,2026-06-27T13:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE011-CCTV0146,CASE011,CAM0132,LOC0293,2025-11-09T02:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE090-CCTV0147,CASE090,CAM0064,LOC0143,2025-07-23T17:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE018-CCTV0148,CASE018,CAM0012,LOC0026,2025-08-18T09:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE004-CCTV0149,CASE004,CAM0092,LOC0211,2025-09-01T09:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE014-CCTV0150,CASE014,CAM0096,LOC0216,2026-07-10T16:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE036-CCTV0151,CASE036,CAM0132,LOC0293,2026-07-23T04:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE010-CCTV0152,CASE010,CAM0091,LOC0210,2025-07-01T21:00:00,vehicle,BE-31-FH-0053,Vehicle plate captured by ANPR camera.
CASE007-CCTV0153,CASE007,CAM0008,LOC0019,2025-12-24T08:00:00,vehicle,KA-79-DV-0087,Vehicle plate captured by ANPR camera.
CASE088-CCTV0154,CASE088,CAM0111,LOC0241,2025-10-25T08:00:00,vehicle,AH-69-CG-0210,Vehicle plate captured by ANPR camera.
CASE084-CCTV0155,CASE084,CAM0070,LOC0153,2026-06-18T10:00:00,vehicle,FA-28-JX-0212,Vehicle plate captured by ANPR camera.
CASE081-CCTV0156,CASE081,CAM0052,LOC0119,2025-08-18T06:00:00,vehicle,FA-94-KB-0289,Vehicle plate captured by ANPR camera.
CASE092-CCTV0157,CASE092,CAM0102,LOC0226,2026-03-09T11:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE045-CCTV0158,CASE045,CAM0051,LOC0116,2025-09-14T00:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE065-CCTV0159,CASE065,CAM0017,LOC0033,2026-02-20T15:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE026-CCTV0160,CASE026,CAM0048,LOC0109,2025-09-09T15:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE091-CCTV0161,CASE091,CAM0088,LOC0192,2026-04-24T08:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE018-CCTV0162,CASE018,CAM0051,LOC0116,2025-11-06T22:00:00,vehicle,DE-58-LW-0021,Vehicle plate captured by ANPR camera.
CASE012-CCTV0163,CASE012,CAM0001,LOC0002,2025-06-23T23:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE034-CCTV0164,CASE034,CAM0022,LOC0045,2025-08-22T03:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE087-CCTV0165,CASE087,CAM0095,LOC0215,2025-12-20T00:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE071-CCTV0166,CASE071,CAM0077,LOC0168,2025-07-29T04:00:00,vehicle,HY-83-WZ-0097,Vehicle plate captured by ANPR camera.
CASE012-CCTV0167,CASE012,CAM0090,LOC0203,2025-08-08T17:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE025-CCTV0168,CASE025,CAM0124,LOC0277,2025-08-20T15:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE059-CCTV0169,CASE059,CAM0006,LOC0014,2026-05-27T13:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE098-CCTV0170,CASE098,CAM0083,LOC0179,2026-02-08T08:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE065-CCTV0171,CASE065,CAM0027,LOC0054,2026-04-09T06:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE038-CCTV0172,CASE038,CAM0050,LOC0114,2026-04-14T16:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE006-CCTV0173,CASE006,CAM0126,LOC0280,2026-03-12T18:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE012-CCTV0174,CASE012,CAM0003,LOC0005,2025-06-05T06:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE052-CCTV0175,CASE052,CAM0054,LOC0124,2025-11-22T14:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE028-CCTV0176,CASE028,CAM0117,LOC0255,2025-09-12T03:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE002-CCTV0177,CASE002,CAM0012,LOC0026,2025-07-20T00:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE007-CCTV0178,CASE007,CAM0102,LOC0226,2026-06-27T11:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE021-CCTV0179,CASE021,CAM0105,LOC0229,2026-03-11T07:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE004-CCTV0180,CASE004,CAM0052,LOC0119,2025-06-08T10:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
CASE028-CCTV0181,CASE028,CAM0023,LOC0047,2025-07-20T16:00:00,person,,"Unidentified individual captured on CCTV; description only, identity not resolved by the sensor."
