organization_id:ID(Organization),organization_name
ORG0131,Mishra Constructions Pvt Ltd
ORG0132,Rathore Group Manufacturing Ltd
ORG0133,Nair & Sons Constructions Pvt Ltd
ORG0134,Mishra Finance Services
ORG0135,Malhotra & Sons Consulting Services
ORG0136,Yadav Retail Stores
ORG0137,Choudhary Finance Services
ORG0138,Reddy & Sons Consulting Services
ORG0139,Khanna Transport Services
ORG0140,Sharma Group Finance Services
ORG0141,Malhotra Group Finance Services
ORG0142,Sethi Finance Services
ORG0143,Iyer Finance Services
ORG0144,Gupta & Sons Constructions Pvt Ltd
ORG0145,Sharma Group Logistics Pvt Ltd
ORG0146,Bhatia Group Finance Services
ORG0147,Rawat & Sons Trading Co
ORG0148,Arora Retail Stores
ORG0149,Singh Consulting Services
ORG0150,Joshi Manufacturing Ltd
