:START_ID(Person),:END_ID(Person),confidence,source_record
P0509,P0432,0.78,CDR
P0509,P0782,0.71,CDR
P0509,P0093,0.79,CDR
P0509,P0622,0.9,CDR
P0327,P0093,0.3,SHARED_ORG
P0575,P0036,0.79,CDR
P0036,P0095,0.83,CDR
P0095,P0036,0.3,SHARED_ORG
P0207,P0303,0.77,CDR
P0303,P0586,0.51,CDR
P0586,P0918,0.79,CDR
P0267,P0584,0.69,CDR
P0584,P0053,0.64,CDR
P0053,P0158,0.56,CDR
P0918,P0267,0.67,CDR
P0586,P0586,0.3,SHARED_ORG
P0922,P0913,0.81,CDR
P0922,P0220,0.65,CDR
P0922,P0004,0.73,CDR
P0922,P0066,0.8,CDR
P0922,P0414,0.88,CDR
P0922,P0954,0.58,CDR
P0922,P0788,0.76,CDR
P0922,P0722,0.56,CDR
P0922,P0463,0.89,CDR
P0922,P0945,0.59,CDR
P0922,P0662,0.84,CDR
P0922,P0298,0.57,CDR
P0922,P0667,0.65,CDR
P0922,P0876,0.61,CDR
P0922,P0941,0.64,CDR
P0922,P0593,0.58,CDR
P0922,P0885,0.71,CDR
P0922,P0459,0.82,CDR
P0922,P0736,0.82,CDR
P0922,P0218,0.72,CDR
P0922,P0108,0.68,CDR
P0922,P0377,0.54,CDR
P0922,P0844,0.59,CDR
P0922,P0490,0.75,CDR
P0922,P0205,0.86,CDR
P0922,P0351,0.52,CDR
P0922,P0135,0.94,CDR
P0922,P0001,0.5,CDR
P0922,P0902,0.8,CDR
P0922,P0926,0.64,CDR
P0922,P0154,0.68,CDR
P0922,P0966,0.55,CDR
P0922,P0763,0.92,CDR
P0922,P0408,0.8,CDR
P0922,P0195,0.75,CDR
P0922,P0447,0.88,CDR
P0922,P0470,0.73,CDR
P0922,P0188,0.62,CDR
P0922,P0806,0.67,CDR
P0922,P0505,0.57,CDR
P0922,P0774,0.73,CDR
P0922,P0023,0.76,CDR
P0922,P0555,0.64,CDR
P0922,P0996,0.84,CDR
P0922,P0661,0.63,CDR
P0922,P0760,0.58,CDR
P0922,P0212,0.6,CDR
P0922,P0746,0.76,CDR
P0922,P0333,0.6,CDR
P0922,P0669,0.57,CDR
P0922,P0908,0.77,CDR
P0922,P0777,0.55,CDR
P0922,P0528,0.79,CDR
P0922,P0586,0.85,CDR
P0922,P0451,0.73,CDR
P0922,P0617,0.56,CDR
P0922,P0043,0.61,CDR
P0922,P0318,0.75,CDR
P0922,P0035,0.5,CDR
P0922,P0674,0.75,CDR
P0922,P0085,0.86,CDR
P0922,P0375,0.79,CDR
P0922,P0148,0.7,CDR
P0922,P0860,0.8,CDR
P0922,P0229,0.54,CDR
P0922,P0964,0.7,CDR
P0922,P0424,0.64,CDR
P0922,P0289,0.88,CDR
P0922,P0293,0.79,CDR
P0922,P0805,0.51,CDR
P0922,P0049,0.88,CDR
P0922,P0301,0.78,CDR
P0922,P0171,0.6,CDR
P0229,P0195,0.3,SHARED_ORG
P0763,P0399,0.62,CDR
P0763,P0967,0.58,CDR
P0399,P0967,0.7,CDR
P0399,P0979,0.84,CDR
P0967,P0979,0.7,CDR
P0967,P0013,0.88,CDR
P0979,P0013,0.55,CDR
P0979,P0351,0.61,CDR
P0013,P0351,0.89,CDR
P0013,P0838,0.53,CDR
P0351,P0838,0.63,CDR
P0351,P0016,0.89,CDR
P0838,P0016,0.53,CDR
P0838,P0472,0.78,CDR
P0016,P0472,0.59,CDR
P0016,P0529,0.52,CDR
P0472,P0529,0.83,CDR
P0472,P0137,0.85,CDR
P0529,P0137,0.52,CDR
P0529,P0141,0.86,CDR
P0137,P0141,0.53,CDR
P0137,P0029,0.82,CDR
P0141,P0029,0.87,CDR
P0141,P0858,0.72,CDR
P0029,P0858,0.56,CDR
P0029,P0012,0.62,CDR
P0858,P0012,0.92,CDR
P0858,P0871,0.75,CDR
P0012,P0871,0.59,CDR
P0012,P0055,0.91,CDR
P0871,P0055,0.95,CDR
P0871,P0725,0.6,CDR
P0055,P0725,0.52,CDR
P0055,P0208,0.82,CDR
P0725,P0208,0.87,CDR
P0725,P0124,0.53,CDR
P0208,P0124,0.78,CDR
P0208,P0430,0.6,CDR
P0124,P0430,0.8,CDR
P0124,P0547,0.73,CDR
P0430,P0547,0.93,CDR
P0430,P0225,0.57,CDR
P0547,P0225,0.57,CDR
P0547,P0083,0.94,CDR
P0225,P0083,0.77,CDR
P0225,P0798,0.55,CDR
P0083,P0798,0.62,CDR
P0083,P0125,0.69,CDR
P0798,P0125,0.54,CDR
P0798,P0670,0.74,CDR
P0125,P0670,0.61,CDR
P0125,P0228,0.65,CDR
P0670,P0228,0.73,CDR
P0670,P0340,0.83,CDR
P0228,P0340,0.93,CDR
P0228,P0282,0.72,CDR
P0340,P0282,0.59,CDR
P0340,P0374,0.81,CDR
P0282,P0374,0.9,CDR
P0282,P0517,0.72,CDR
P0374,P0517,0.76,CDR
P0374,P0814,0.72,CDR
P0517,P0814,0.75,CDR
P0517,P0599,0.9,CDR
P0814,P0599,0.9,CDR
P0814,P0905,0.58,CDR
P0599,P0905,0.78,CDR
P0599,P0426,0.55,CDR
P0905,P0426,0.78,CDR
P0905,P0380,0.76,CDR
P0426,P0380,0.81,CDR
P0426,P0103,0.88,CDR
P0380,P0103,0.94,CDR
P0380,P0964,0.68,CDR
P0103,P0964,0.68,CDR
P0103,P0076,0.78,CDR
P0964,P0076,0.9,CDR
P0964,P0315,0.62,CDR
P0076,P0315,0.8,CDR
P0076,P0255,0.54,CDR
P0315,P0255,0.53,CDR
P0315,P0740,0.82,CDR
P0255,P0740,0.57,CDR
P0255,P0505,0.9,CDR
P0740,P0505,0.82,CDR
P0740,P0332,0.85,CDR
P0505,P0332,0.66,CDR
P0505,P0445,0.54,CDR
P0332,P0445,0.56,CDR
P0332,P0008,0.85,CDR
P0445,P0008,0.79,CDR
P0445,P0140,0.89,CDR
P0008,P0140,0.78,CDR
P0008,P0400,0.62,CDR
P0140,P0400,0.84,CDR
P0140,P0886,0.65,CDR
P0400,P0886,0.55,CDR
P0400,P0538,0.65,CDR
P0886,P0538,0.82,CDR
P0886,P0164,0.53,CDR
P0538,P0164,0.69,CDR
P0538,P0709,0.94,CDR
P0164,P0709,0.89,CDR
P0164,P0397,0.94,CDR
P0709,P0397,0.87,CDR
P0709,P0248,0.53,CDR
P0397,P0248,0.79,CDR
P0397,P0609,0.7,CDR
P0248,P0609,0.62,CDR
P0248,P0436,0.9,CDR
P0609,P0436,0.87,CDR
P0609,P0200,0.8,CDR
P0436,P0200,0.63,CDR
P0436,P0133,0.9,CDR
P0200,P0133,0.9,CDR
P0200,P0567,0.73,CDR
P0133,P0567,0.91,CDR
P0133,P0323,0.78,CDR
P0567,P0323,0.87,CDR
P0567,P0755,0.68,CDR
P0323,P0755,0.54,CDR
P0323,P0041,0.77,CDR
P0755,P0041,0.55,CDR
P0755,P0250,0.52,CDR
P0041,P0250,0.54,CDR
P0041,P0826,0.52,CDR
P0250,P0826,0.81,CDR
P0250,P0840,0.77,CDR
P0826,P0840,0.81,CDR
P0826,P0990,0.72,CDR
P0840,P0990,0.55,CDR
P0840,P0440,0.55,CDR
P0990,P0440,0.59,CDR
P0990,P0421,0.77,CDR
P0440,P0421,0.72,CDR
P0440,P0787,0.64,CDR
P0421,P0787,0.82,CDR
P0421,P0376,0.51,CDR
P0787,P0376,0.59,CDR
P0787,P0572,0.76,CDR
P0376,P0572,0.85,CDR
P0376,P0651,0.65,CDR
P0572,P0651,0.57,CDR
P0572,P0247,0.55,CDR
P0651,P0247,0.71,CDR
P0651,P0153,0.87,CDR
P0247,P0153,0.62,CDR
P0247,P0658,0.69,CDR
P0153,P0658,0.77,CDR
P0153,P0294,0.65,CDR
P0658,P0294,0.82,CDR
P0658,P0861,0.68,CDR
P0294,P0861,0.94,CDR
P0294,P0827,0.52,CDR
P0861,P0827,0.84,CDR
P0029,P0990,0.3,SHARED_ORG
P0288,P0534,0.6,CDR
P0288,P0141,0.95,CDR
P0288,P0978,0.89,CDR
P0288,P0730,0.68,CDR
P0288,P0231,0.89,CDR
P0288,P0794,0.67,CDR
P0288,P0353,0.88,CDR
P0288,P0210,0.62,CDR
P0288,P0006,0.56,CDR
P0288,P0720,0.72,CDR
P0288,P0815,0.76,CDR
P0288,P0694,0.83,CDR
P0288,P0319,0.85,CDR
P0288,P0960,0.52,CDR
P0288,P0129,0.81,CDR
P0288,P0510,0.8,CDR
P0288,P0746,0.89,CDR
P0288,P0967,0.6,CDR
P0288,P0486,0.88,CDR
P0288,P0061,0.61,CDR
P0288,P0124,0.74,CDR
P0288,P0809,0.78,CDR
P0288,P0159,0.79,CDR
P0288,P0506,0.67,CDR
P0288,P0814,0.69,CDR
P0288,P0440,0.58,CDR
P0288,P0436,0.54,CDR
P0288,P0499,0.71,CDR
P0288,P0832,0.65,CDR
P0288,P0076,0.76,CDR
P0288,P0594,0.53,CDR
P0288,P0428,0.7,CDR
P0288,P0280,0.89,CDR
P0288,P0144,0.67,CDR
P0288,P0999,0.92,CDR
P0288,P0983,0.94,CDR
P0288,P0939,0.85,CDR
P0288,P0028,0.68,CDR
P0288,P0830,0.9,CDR
P0288,P0085,0.89,CDR
P0288,P0416,0.72,CDR
P0288,P0840,0.74,CDR
P0288,P0807,0.53,CDR
P0288,P0565,0.75,CDR
P0288,P0904,0.6,CDR
P0440,P0999,0.3,SHARED_ORG
P0649,P0510,0.66,CDR
P0649,P0437,0.81,CDR
P0510,P0437,0.5,CDR
P0510,P0137,0.81,CDR
P0437,P0137,0.79,CDR
P0437,P0361,0.59,CDR
P0137,P0361,0.53,CDR
P0137,P0705,0.52,CDR
P0361,P0705,0.67,CDR
P0361,P0402,0.52,CDR
P0705,P0402,0.66,CDR
P0705,P0842,0.6,CDR
P0402,P0842,0.88,CDR
P0402,P0549,0.85,CDR
P0842,P0549,0.66,CDR
P0842,P0587,0.9,CDR
P0549,P0587,0.51,CDR
P0549,P0794,0.93,CDR
P0587,P0794,0.61,CDR
P0587,P0416,0.77,CDR
P0794,P0416,0.61,CDR
P0794,P0034,0.87,CDR
P0416,P0034,0.8,CDR
P0437,P0034,0.3,SHARED_ORG
P0174,P0927,0.89,CDR
P0927,P0235,0.9,CDR
P0235,P0670,0.89,CDR
P0715,P0637,0.54,CDR
P0637,P0257,0.51,CDR
P0257,P0096,0.56,CDR
P0670,P0715,0.52,CDR
P0096,P0174,0.3,SHARED_ORG
P0196,P0759,0.76,CDR
P0325,P0759,0.85,CDR
P0309,P0383,0.85,CDR
P0759,P0344,0.91,CDR
P0759,P0443,0.3,SHARED_ORG
P0454,P0801,0.92,CDR
P0801,P0233,0.86,CDR
P0233,P0754,0.9,CDR
P0754,P0842,0.94,CDR
P0842,P0026,0.81,CDR
P0026,P0234,0.6,CDR
P0234,P0666,0.87,CDR
P0666,P0610,0.69,CDR
P0610,P0332,0.83,CDR
P0332,P0889,0.68,CDR
P0889,P0703,0.54,CDR
P0703,P0643,0.94,CDR
P0643,P0414,0.74,CDR
P0414,P0861,0.83,CDR
P0861,P0266,0.62,CDR
P0266,P0627,0.79,CDR
P0627,P0807,0.67,CDR
P0807,P0342,0.58,CDR
P0342,P0843,0.67,CDR
P0843,P0168,0.89,CDR
P0168,P0697,0.82,CDR
P0697,P0171,0.76,CDR
P0171,P0001,0.64,CDR
P0001,P0691,0.52,CDR
P0691,P0116,0.58,CDR
P0116,P0616,0.92,CDR
P0616,P0449,0.75,CDR
P0449,P0502,0.74,CDR
P0807,P0666,0.3,SHARED_ORG
P0930,P0261,0.71,CDR
P0261,P0587,0.74,CDR
P0587,P0611,0.93,CDR
P0611,P0046,0.86,CDR
P0611,P0587,0.3,SHARED_ORG
P0486,P0704,0.7,CDR
P0486,P0099,0.67,CDR
P0486,P0130,0.83,CDR
P0486,P0550,0.53,CDR
P0486,P0979,0.84,CDR
P0486,P0591,0.9,CDR
P0486,P0319,0.74,CDR
P0486,P0566,0.86,CDR
P0486,P0926,0.92,CDR
P0486,P0547,0.57,CDR
P0486,P0875,0.79,CDR
P0486,P0962,0.55,CDR
P0486,P0861,0.58,CDR
P0486,P0343,0.57,CDR
P0486,P0859,0.61,CDR
P0486,P0801,0.79,CDR
P0486,P0452,0.84,CDR
P0486,P0913,0.83,CDR
P0486,P0729,0.9,CDR
P0486,P0355,0.77,CDR
P0486,P0092,0.59,CDR
P0486,P0826,0.87,CDR
P0486,P0737,0.89,CDR
P0486,P0521,0.92,CDR
P0486,P0786,0.71,CDR
P0486,P0909,0.72,CDR
P0486,P0029,0.94,CDR
P0486,P0150,0.64,CDR
P0486,P0189,0.69,CDR
P0486,P0384,0.53,CDR
P0486,P0002,0.81,CDR
P0486,P0906,0.93,CDR
P0486,P0534,0.55,CDR
P0486,P0730,0.63,CDR
P0486,P0489,0.65,CDR
P0486,P0889,0.83,CDR
P0486,P0447,0.63,CDR
P0486,P0956,0.78,CDR
P0486,P0210,0.91,CDR
P0486,P0829,0.91,CDR
P0486,P0076,0.6,CDR
P0486,P0732,0.81,CDR
P0486,P0032,0.59,CDR
P0547,P0319,0.3,SHARED_ORG
P0186,P0723,0.75,CDR
P0186,P0695,0.71,CDR
P0723,P0695,0.78,CDR
P0723,P0727,0.6,CDR
P0695,P0727,0.64,CDR
P0695,P0139,0.53,CDR
P0727,P0139,0.74,CDR
P0727,P0862,0.62,CDR
P0139,P0862,0.62,CDR
P0139,P0318,0.92,CDR
P0862,P0318,0.6,CDR
P0862,P0870,0.91,CDR
P0318,P0870,0.66,CDR
P0318,P0219,0.93,CDR
P0870,P0219,0.68,CDR
P0870,P0624,0.52,CDR
P0219,P0624,0.77,CDR
P0219,P0313,0.65,CDR
P0624,P0313,0.7,CDR
P0624,P0730,0.67,CDR
P0313,P0730,0.91,CDR
P0313,P0579,0.76,CDR
P0730,P0579,0.5,CDR
P0730,P1000,0.81,CDR
P0579,P1000,0.65,CDR
P0579,P0600,0.85,CDR
P1000,P0600,0.84,CDR
P1000,P0450,0.82,CDR
P0600,P0450,0.75,CDR
P0600,P0196,0.61,CDR
P0450,P0196,0.57,CDR
P0450,P0359,0.78,CDR
P0196,P0359,0.6,CDR
P0196,P0397,0.66,CDR
P0359,P0397,0.86,CDR
P0359,P0953,0.72,CDR
P0397,P0953,0.71,CDR
P0397,P0463,0.53,CDR
P0953,P0463,0.77,CDR
P0953,P0404,0.71,CDR
P0463,P0404,0.8,CDR
P0463,P0693,0.85,CDR
P0404,P0693,0.8,CDR
P0404,P0748,0.54,CDR
P0693,P0748,0.68,CDR
P0693,P0728,0.89,CDR
P0748,P0728,0.67,CDR
P0748,P0029,0.79,CDR
P0728,P0029,0.94,CDR
P0728,P0198,0.66,CDR
P0029,P0198,0.75,CDR
P0029,P0970,0.87,CDR
P0198,P0970,0.91,CDR
P0198,P0026,0.89,CDR
P0970,P0026,0.64,CDR
P0970,P0356,0.76,CDR
P0026,P0356,0.57,CDR
P0026,P0009,0.78,CDR
P0356,P0009,0.7,CDR
P0356,P0775,0.57,CDR
P0009,P0775,0.53,CDR
P0009,P0520,0.63,CDR
P0775,P0520,0.85,CDR
P0775,P0043,0.93,CDR
P0520,P0043,0.82,CDR
P0520,P0785,0.89,CDR
P0043,P0785,0.51,CDR
P0043,P0456,0.95,CDR
P0785,P0456,0.55,CDR
P0785,P0806,0.55,CDR
P0456,P0806,0.9,CDR
P0456,P0249,0.52,CDR
P0806,P0249,0.55,CDR
P0806,P0287,0.91,CDR
P0249,P0287,0.72,CDR
P0249,P0550,0.75,CDR
P0287,P0550,0.81,CDR
P0287,P0178,0.69,CDR
P0550,P0178,0.9,CDR
P0550,P0814,0.56,CDR
P0178,P0814,0.82,CDR
P0178,P0511,0.58,CDR
P0814,P0511,0.5,CDR
P0814,P0307,0.85,CDR
P0511,P0307,0.92,CDR
P0026,P0520,0.3,SHARED_ORG
P0772,P0613,0.64,CDR
P0772,P0970,0.55,CDR
P0772,P0664,0.63,CDR
P0772,P0103,0.77,CDR
P0772,P0021,0.65,CDR
P0772,P0273,0.87,CDR
P0772,P0810,0.84,CDR
P0772,P0728,0.53,CDR
P0772,P0893,0.68,CDR
P0772,P0930,0.54,CDR
P0772,P0148,0.65,CDR
P0772,P0663,0.63,CDR
P0772,P0732,0.83,CDR
P0772,P0355,0.74,CDR
P0772,P0552,0.7,CDR
P0772,P0239,0.92,CDR
P0772,P0277,0.71,CDR
P0772,P0589,0.57,CDR
P0772,P0448,0.54,CDR
P0772,P0585,0.7,CDR
P0772,P0120,0.61,CDR
P0772,P0745,0.86,CDR
P0772,P0326,0.56,CDR
P0772,P0778,0.52,CDR
P0772,P0535,0.88,CDR
P0772,P0757,0.63,CDR
P0772,P0921,0.57,CDR
P0772,P0924,0.89,CDR
P0772,P0036,0.71,CDR
P0772,P0248,0.62,CDR
P0772,P0786,0.84,CDR
P0772,P0789,0.87,CDR
P0772,P0918,0.69,CDR
P0772,P0219,0.57,CDR
P0772,P0673,0.57,CDR
P0772,P0680,0.52,CDR
P0772,P0393,0.62,CDR
P0772,P0012,0.82,CDR
P0772,P0991,0.68,CDR
P0772,P0776,0.93,CDR
P0772,P0665,0.81,CDR
P0772,P0931,0.69,CDR
P0772,P0246,0.53,CDR
P0772,P0986,0.94,CDR
P0772,P0005,0.95,CDR
P0772,P0531,0.95,CDR
P0772,P0466,0.63,CDR
P0772,P0584,0.74,CDR
P0772,P0163,0.9,CDR
P0772,P0746,0.78,CDR
P0772,P0168,0.69,CDR
P0772,P0854,0.63,CDR
P0772,P0596,0.66,CDR
P0273,P0986,0.3,SHARED_ORG
P0888,P0333,0.81,CDR
P0333,P0406,0.69,CDR
P0406,P0538,0.63,CDR
P0538,P0283,0.91,CDR
P0283,P0215,0.88,CDR
P0215,P0498,0.88,CDR
P0498,P0354,0.69,CDR
P0354,P0772,0.55,CDR
P0772,P0222,0.69,CDR
P0222,P0547,0.89,CDR
P0547,P0257,0.63,CDR
P0257,P0816,0.75,CDR
P0816,P0723,0.57,CDR
P0723,P0242,0.88,CDR
P0242,P0722,0.93,CDR
P0722,P0431,0.73,CDR
P0431,P0635,0.83,CDR
P0635,P0458,0.59,CDR
P0458,P0929,0.86,CDR
P0929,P0404,0.89,CDR
P0404,P0052,0.54,CDR
P0052,P0228,0.69,CDR
P0228,P0050,0.9,CDR
P0050,P0587,0.93,CDR
P0587,P0613,0.87,CDR
P0613,P0270,0.8,CDR
P0270,P0582,0.8,CDR
P0582,P0710,0.85,CDR
P0710,P0703,0.65,CDR
P0703,P0998,0.77,CDR
P0998,P0313,0.93,CDR
P0313,P0759,0.58,CDR
P0759,P0741,0.74,CDR
P0741,P0933,0.73,CDR
P0933,P0762,0.88,CDR
P0762,P0528,0.61,CDR
P0528,P0734,0.63,CDR
P0734,P0777,0.57,CDR
P0777,P0912,0.62,CDR
P0912,P0295,0.72,CDR
P0295,P0438,0.86,CDR
P0438,P0894,0.66,CDR
P0894,P0850,0.94,CDR
P0850,P0990,0.81,CDR
P0990,P0687,0.9,CDR
P0687,P0755,0.86,CDR
P0755,P0733,0.9,CDR
P0733,P0107,0.92,CDR
P0107,P0823,0.51,CDR
P0823,P0532,0.76,CDR
P0532,P0463,0.66,CDR
P0463,P0343,0.78,CDR
P0343,P0291,0.88,CDR
P0291,P0062,0.74,CDR
P0062,P0649,0.87,CDR
P0649,P0407,0.79,CDR
P0407,P0625,0.76,CDR
P0894,P0582,0.3,SHARED_ORG
P0985,P0820,0.59,CDR
P0820,P0850,0.5,CDR
P0850,P0541,0.6,CDR
P0541,P0435,0.52,CDR
P0435,P0023,0.71,CDR
P0023,P0565,0.52,CDR
P0565,P0911,0.69,CDR
P0911,P0714,0.64,CDR
P0714,P0693,0.88,CDR
P0693,P0951,0.67,CDR
P0951,P0273,0.94,CDR
P0273,P0065,0.83,CDR
P0065,P0132,0.65,CDR
P0132,P0443,0.52,CDR
P0443,P0494,0.65,CDR
P0494,P0214,0.86,CDR
P0214,P0239,0.67,CDR
P0239,P1000,0.83,CDR
P1000,P0041,0.89,CDR
P0041,P0669,0.74,CDR
P0669,P0206,0.87,CDR
P0206,P0010,0.73,CDR
P0010,P0817,0.67,CDR
P0817,P0345,0.57,CDR
P0345,P0964,0.64,CDR
P0964,P0048,0.62,CDR
P0048,P0763,0.93,CDR
P0763,P0203,0.72,CDR
P0203,P0572,0.67,CDR
P0572,P0397,0.56,CDR
P0397,P0789,0.51,CDR
P0789,P0950,0.78,CDR
P0950,P0606,0.81,CDR
P0606,P0296,0.87,CDR
P0296,P0487,0.92,CDR
P0487,P0411,0.89,CDR
P0949,P0767,0.82,CDR
P0767,P0742,0.54,CDR
P0742,P0975,0.59,CDR
P0975,P0007,0.59,CDR
P0007,P0502,0.62,CDR
P0502,P0191,0.87,CDR
P0191,P0621,0.81,CDR
P0621,P0930,0.77,CDR
P0930,P0125,0.67,CDR
P0125,P0927,0.79,CDR
P0927,P0707,0.69,CDR
P0707,P0127,0.93,CDR
P0127,P0670,0.93,CDR
P0670,P0842,0.59,CDR
P0842,P0561,0.74,CDR
P0561,P0195,0.64,CDR
P0195,P0651,0.65,CDR
P0651,P0674,0.82,CDR
P0674,P0066,0.71,CDR
P0066,P0302,0.61,CDR
P0302,P0255,0.76,CDR
P0255,P0076,0.59,CDR
P0076,P0406,0.74,CDR
P0406,P0543,0.88,CDR
P0543,P0107,0.81,CDR
P0107,P0448,0.53,CDR
P0448,P0708,0.54,CDR
P0708,P0802,0.51,CDR
P0802,P0177,0.74,CDR
P0177,P0826,0.84,CDR
P0826,P0038,0.74,CDR
P0038,P0071,0.85,CDR
P0071,P0544,0.8,CDR
P0544,P0620,0.58,CDR
P0620,P0421,0.55,CDR
P0421,P0907,0.64,CDR
P0907,P0812,0.68,CDR
P0411,P0949,0.54,CDR
P0572,P0406,0.3,SHARED_ORG
P0801,P0038,0.71,CDR
P0038,P0127,0.91,CDR
P0127,P0113,0.62,CDR
P0113,P0401,0.51,CDR
P0401,P0624,0.56,CDR
P0624,P0954,0.79,CDR
P0954,P0591,0.68,CDR
P0591,P0738,0.63,CDR
P0738,P0328,0.92,CDR
P0328,P0483,0.65,CDR
P0483,P0132,0.94,CDR
P0132,P0616,0.56,CDR
P0585,P0431,0.73,CDR
P0431,P0187,0.79,CDR
P0187,P0922,0.7,CDR
P0922,P0840,0.86,CDR
P0840,P0090,0.61,CDR
P0090,P0974,0.75,CDR
P0974,P0938,0.91,CDR
P0938,P0942,0.94,CDR
P0942,P0200,0.81,CDR
P0200,P0806,0.87,CDR
P0806,P0763,0.78,CDR
P0763,P0358,0.82,CDR
P0616,P0585,0.82,CDR
P0585,P0585,0.3,SHARED_ORG
P0875,P0364,0.73,CDR
P0184,P0346,0.72,CDR
P0364,P0498,0.79,CDR
P0346,P0908,0.5,CDR
P0346,P0184,0.3,SHARED_ORG
P0933,P0760,0.84,CDR
P0760,P0892,0.76,CDR
P0892,P0393,0.56,CDR
P0393,P0246,0.89,CDR
P0246,P0093,0.89,CDR
P0093,P0536,0.5,CDR
P0536,P0063,0.83,CDR
P0063,P0992,0.71,CDR
P0992,P0678,0.51,CDR
P0678,P0925,0.65,CDR
P0925,P0624,0.82,CDR
P0624,P0358,0.66,CDR
P0358,P0315,0.63,CDR
P0315,P0444,0.53,CDR
P0444,P0679,0.79,CDR
P0679,P0149,0.88,CDR
P0149,P0878,0.68,CDR
P0878,P0058,0.54,CDR
P0058,P0434,0.56,CDR
P0434,P0191,0.72,CDR
P0191,P0575,0.68,CDR
P0575,P0084,0.5,CDR
P0084,P0915,0.58,CDR
P0915,P0756,0.73,CDR
P0756,P0048,0.95,CDR
P0048,P0176,0.78,CDR
P0176,P0346,0.69,CDR
P0346,P0479,0.7,CDR
P0479,P0182,0.66,CDR
P0182,P0172,0.76,CDR
P0172,P0843,0.93,CDR
P0843,P0245,0.87,CDR
P0245,P0596,0.8,CDR
P0596,P0630,0.65,CDR
P0630,P0905,0.76,CDR
P0905,P0081,0.55,CDR
P0081,P0531,0.79,CDR
P0714,P0857,0.54,CDR
P0857,P0699,0.81,CDR
P0699,P0024,0.64,CDR
P0024,P0665,0.88,CDR
P0665,P0526,0.59,CDR
P0526,P0303,0.52,CDR
P0303,P0123,0.93,CDR
P0123,P0644,0.74,CDR
P0644,P0166,0.71,CDR
P0166,P0098,0.93,CDR
P0098,P0380,0.6,CDR
