vehicle_id:ID(Vehicle),registration_id
VEH0116,BE-77-PY-0116
VEH0117,GH-12-UB-0117
VEH0118,BH-45-AO-0118
VEH0119,NO-60-IG-0119
VEH0120,DE-72-ZH-0120
VEH0121,PU-21-FU-0121
VEH0122,CH-45-DH-0122
VEH0123,PA-20-OX-0123
VEH0124,LU-22-JS-0124
VEH0125,DE-95-NK-0125
VEH0126,PU-85-KP-0126
VEH0127,BH-56-OA-0127
VEH0128,KO-81-NU-0128
VEH0129,NO-11-KX-0129
VEH0130,HY-38-ZL-0130
VEH0131,NO-56-QD-0131
VEH0132,MU-50-RE-0132
VEH0133,MU-94-BU-0133
VEH0134,KO-56-NI-0134
VEH0135,AG-58-EA-0135
VEH0136,JA-45-TT-0136
VEH0137,AH-99-MX-0137
VEH0138,BH-50-GI-0138
VEH0139,KA-31-SP-0139
VEH0140,HY-76-MY-0140
VEH0141,PU-40-IK-0141
VEH0142,KA-26-BS-0142
VEH0143,AG-95-GW-0143
VEH0144,GH-60-LD-0144
VEH0145,DE-70-AX-0145
VEH0146,KO-86-KX-0146
VEH0147,KO-83-VY-0147
VEH0148,AH-78-LH-0148
VEH0149,CH-95-YO-0149
VEH0150,AM-86-MM-0150
VEH0151,FA-56-KT-0151
VEH0152,AG-65-FX-0152
VEH0153,KA-38-SC-0153
VEH0154,KA-77-UF-0154
VEH0155,AM-10-LD-0155
VEH0156,CH-24-MQ-0156
VEH0157,KA-53-DD-0157
VEH0158,BE-13-TO-0158
VEH0159,IN-53-EF-0159
VEH0160,AG-74-BP-0160
VEH0161,CH-39-ZI-0161
VEH0162,MU-34-SZ-0162
VEH0163,AG-57-UO-0163
VEH0164,AG-61-GV-0164
VEH0165,BH-94-HO-0165
VEH0166,MU-69-WW-0166
VEH0167,CH-34-XE-0167
VEH0168,CH-93-SD-0168
VEH0169,BH-34-CL-0169
VEH0170,NO-13-RT-0170
VEH0171,KA-67-RU-0171
VEH0172,AG-50-HV-0172
VEH0173,PA-52-GI-0173
VEH0174,RA-62-MH-0174
VEH0175,BH-92-KH-0175
VEH0176,GU-86-LS-0176
VEH0177,DE-26-SB-0177
VEH0178,PA-83-ZR-0178
VEH0179,AM-25-BV-0179
VEH0180,CH-50-SR-0180
VEH0181,HY-63-XS-0181
VEH0182,GU-49-GK-0182
VEH0183,BH-10-MA-0183
VEH0184,PA-30-DY-0184
VEH0185,KO-47-FI-0185
VEH0186,LU-90-QX-0186
VEH0187,LU-95-EB-0187
VEH0188,PA-31-AA-0188
VEH0189,FA-13-WW-0189
VEH0190,HY-27-ZZ-0190
VEH0191,GU-37-ZZ-0191
VEH0192,PA-76-OC-0192
VEH0193,BE-27-BN-0193
VEH0194,KA-24-XX-0194
VEH0195,MU-14-NL-0195
VEH0196,BE-22-SD-0196
VEH0197,NO-14-QF-0197
VEH0198,MU-27-PH-0198
VEH0199,KO-52-WL-0199
VEH0200,PA-13-ME-0200
VEH0201,LU-43-IJ-0201
VEH0202,HY-93-HK-0202
VEH0203,KA-54-TJ-0203
VEH0204,AH-37-YS-0204
VEH0205,AM-73-CL-0205
VEH0206,JA-86-XM-0206
VEH0207,RA-30-BD-0207
VEH0208,DE-17-YP-0208
VEH0209,HA-95-VU-0209
VEH0210,AH-69-CG-0210
VEH0211,PA-12-KO-0211
VEH0212,FA-28-JX-0212
VEH0213,AG-90-XM-0213
VEH0214,MU-37-AJ-0214
VEH0215,SU-13-XT-0215
VEH0216,GU-15-PI-0216
VEH0217,SU-97-NP-0217
VEH0218,PA-64-VU-0218
VEH0219,DE-65-ZZ-0219
VEH0220,KO-89-GE-0220
VEH0221,NO-87-HA-0221
VEH0222,SU-81-PW-0222
VEH0223,KA-61-DH-0223
VEH0224,GU-66-YH-0224
VEH0225,GH-11-CA-0225
VEH0226,GH-72-VD-0226
VEH0227,MU-59-WK-0227
VEH0228,CH-48-MY-0228
VEH0229,LU-35-JC-0229
VEH0230,BE-89-YB-0230
VEH0231,LU-45-WK-0231
VEH0232,HY-94-IL-0232
VEH0233,SU-65-OV-0233
VEH0234,AG-96-MY-0234
VEH0235,BE-39-VF-0235
VEH0236,DE-50-NR-0236
VEH0237,NO-88-NE-0237
VEH0238,IN-14-IK-0238
VEH0239,KO-89-EE-0239
VEH0240,BE-93-CI-0240
VEH0241,GU-49-GE-0241
VEH0242,NO-45-RR-0242
VEH0243,GU-11-IU-0243
VEH0244,DE-83-YX-0244
VEH0245,KA-59-BW-0245
VEH0246,BH-37-EM-0246
VEH0247,FA-37-RI-0247
VEH0248,JA-34-WJ-0248
VEH0249,BH-90-JZ-0249
VEH0250,MU-71-CK-0250
VEH0251,CH-81-FN-0251
VEH0252,BE-29-NI-0252
VEH0253,RA-75-IY-0253
VEH0254,LU-20-XD-0254
VEH0255,IN-99-PG-0255
VEH0256,NO-80-WA-0256
VEH0257,MU-70-TU-0257
VEH0258,BH-46-DK-0258
VEH0259,DE-38-IP-0259
VEH0260,GH-12-ZL-0260
VEH0261,GU-82-DZ-0261
VEH0262,HA-80-VJ-0262
VEH0263,KA-71-EA-0263
VEH0264,KA-77-BT-0264
VEH0265,LU-31-WZ-0265
VEH0266,BH-91-AS-0266
VEH0267,SU-70-JR-0267
VEH0268,BE-74-NI-0268
VEH0269,MU-23-IG-0269
VEH0270,GU-12-SY-0270
VEH0271,BH-80-WK-0271
VEH0272,AM-10-AE-0272
VEH0273,LU-78-YM-0273
VEH0274,GH-34-KN-0274
VEH0275,BH-27-EV-0275
VEH0276,KO-15-OY-0276
VEH0277,AH-23-JK-0277
VEH0278,RA-29-WB-0278
VEH0279,LU-74-EX-0279
VEH0280,NO-21-FV-0280
VEH0281,PA-29-FA-0281
VEH0282,PU-81-MA-0282
VEH0283,CH-61-XF-0283
VEH0284,CH-51-DD-0284
VEH0285,KO-78-JG-0285
VEH0286,CH-69-JO-0286
VEH0287,AH-79-GY-0287
VEH0288,AG-18-QQ-0288
VEH0289,FA-94-KB-0289
VEH0290,BE-74-RJ-0290
VEH0291,PU-36-ME-0291
VEH0292,NO-36-MQ-0292
VEH0293,CH-71-YD-0293
VEH0294,KO-78-QI-0294
VEH0295,KO-66-SK-0295
VEH0296,RA-23-KS-0296
VEH0297,PA-47-IA-0297
VEH0298,HY-11-IF-0298
VEH0299,NO-86-LG-0299
VEH0300,CH-85-TK-0300
